DistrictNumber,DistrictType,districtName,year,percentLunch
4103,07,HMONG COLLEGE PREP ACADEMY,2009,0.9666666666666667
4104,07,PALADIN CAREER AND TECH HIGH SCHOOL,2009,0.26143790849673204
4105,07,GREAT RIVER SCHOOL,2009,0.13852813852813853
4106,07,TREKNORTH HIGH SCHOOL,2009,0.5813953488372093
4107,07,VOYAGEURS EXPEDITIONARY,2009,0.8421052631578947
4110,07,PIM ARTS HIGH SCHOOL,2009,0.2350230414746544
4111,07,AUGSBURG FAIRVIEW ACADEMY,2009,0.55
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2009,0.0199501246882793
4113,07,SPERO ACADEMY,2009,0.14084507042253522
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEM,2009,0.07554671968190854
4118,07,KALEIDOSCOPE CHARTER SCHOOL,2009,0.06862745098039216
4119,07,ACADEMIC ARTS HIGH SCHOOL,2009,0.28378378378378377
4120,07,ST. CROIX PREPARATORY ACADEMY,2009,0
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2009,0.9834710743801653
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2009,0.0546875
4124,07,BEACON ACADEMY,2009,0.18256130790190736
4126,07,PRAIRIE SEEDS ACADEMY,2009,0.8490990990990991
4127,07,TEAM ACADEMY,2009,0.48
4131,07,METRO SCHOOLS CHARTER,2009,0.9836734693877551
4132,07,TWIN CITIES ACADEMY,2009,0.20588235294117646
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2009,0.9898477157360406
4137,07,SWAN RIVER MONTESSORI CHARTER SCH,2009,0.1527777777777778
4138,07,MILROY AREA CHARTER SCHOOL,2009,0.4897959183673469
4139,07,LOVEWORKS ACADEMY FOR ARTS,2009,0.6466165413533834
4140,07,YINGHUA ACADEMY,2009,0.12280701754385964
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2009,0.46184738955823296
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCH,2009,0.8212121212121212
4144,07,GREEN ISLE COMMUNITY SCHOOL,2009,0.375
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2009,0.4878048780487805
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2009,0.6635514018691588
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2009,0.15126050420168066
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2009,0.33766233766233766
4152,07,TWIN CITIES GERMAN IMMERSION CHTR,2009,0.07643312101910828
4153,07,DUGSI ACADEMY,2009,0.958139534883721
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2009,0.9418604651162791
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2009,0.1588235294117647
4160,07,SPECTRUM HIGH SCHOOL,2009,0.11764705882352941
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2009,0.4642857142857143
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2009,0.6555555555555556
4163,07,LEARNING FOR LEADERSHIP CHARTER,2009,0.8453038674033149
4164,07,LAURA JEFFREY ACADEMY CHARTER,2009,0.25510204081632654
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2009,0.4666666666666667
4167,07,INTERNATIONAL SPANISH LANGUAGE ACAD,2009,0.08264462809917356
4168,07,GLACIAL HILLS ELEMENTARY,2009,0.52
4169,07,STONEBRIDGE WORLD SCHOOL,2009,0.9732142857142857
4170,07,HIAWATHA ACADEMIES,2009,0.9536082474226805
4171,07,NOBLE ACADEMY,2009,0.9281767955801105
4172,07,CLARKFIELD CHARTER SCHOOL,2009,0.7246376811594203
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2009,0.5357142857142857
4178,07,LINCOLN INTERNATIONAL SCHOOL,2009,0.9932885906040269
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2009,0.8761609907120743
4183,07,LIONSGATE ACADEMY,2009,0.1267605633802817
4184,07,ASPEN ACADEMY,2009,0.022058823529411766
4185,07,DAVINCI ACADEMY,2009,0.20588235294117646
4186,07,GLOBAL ACADEMY,2009,0.9485294117647058
4187,07,NATURAL SCIENCE ACADEMY,2009,0
4188,07,COLOGNE ACADEMY,2009,0.22794117647058823
4189,07,BRIGHT WATER ELEMENTARY,2009,0.5813953488372093
4190,07,RIVERS EDGE ACADEMY,2009,NA
4191,07,KIPP MINNESOTA CHARTER SCHOOL,2009,0.9014084507042254
4192,07,BEST ACADEMY,2009,0.8226415094339623
4193,07,COLLEGE PREPARATORY ELEMENTARY,2009,NA
4194,07,CANNON RIVER STEM SCHOOL,2009,NA
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2009,NA
4198,07,DISCOVERY WOODS,2009,NA
4199,07,PARNASSUS PREPARATORY CHARTER SCH,2009,NA
4200,07,STEP ACADEMY CHARTER SCHOOL,2009,NA
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2009,NA
4204,07,ROCHESTER STEM ACADEMY,2009,NA
4205,07,HENNEPIN ELEMENTARY SCHOOL,2009,NA
4207,07,VERMILION COUNTRY SCHOOL,2009,NA
4208,07,NASHA SHKOLA CHARTER SCHOOL,2009,NA
4209,07,MASTERY SCHOOL,2009,NA
4210,07,UPPER MISSISSIPPI ACADEMY,2009,NA
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2009,NA
4213,07,PRODEO ACADEMY,2009,NA
4215,07,SEJONG ACADEMY OF MINNESOTA,2009,NA
4217,07,TECHNICAL ACADEMIES OF MINNESOTA,2009,NA
4218,07,VENTURE ACADEMY,2009,NA
4219,07,NORTHEAST COLLEGE PREP,2009,NA
4220,07,AGAMIM CLASSICAL ACADEMY,2009,NA
4221,07,DISCOVERY CHARTER SCHOOL,2009,NA
4223,07,SAINT CLOUD MATH AND SCIENCE ACADEM,2009,NA
4224,07,STAR OF THE NORTH ACADEMY CHARTER S,2009,NA
4225,07,UNIVERSAL ACADEMY CHARTER SCHOOL,2009,NA
4226,07,BDOTE LEARNING CENTER,2009,NA
4227,07,ART AND SCIENCE ACADEMY,2009,NA
4228,07,WOODBURY LEADERSHIP ACADEMY,2009,NA
4229,07,JANE GOODALL ENVIRONMENTAL SCIENCE,2009,NA
4230,07,MINNESOTA EXCELLENCE IN LEARNING AC,2009,NA
4231,07,MINNESOTA MATH AND SCIENCE ACADEMY,2009,NA
4232,07,SUCCESS ACADEMY,2009,NA
4233,07,LEVEL UP ACADEMY,2009,NA
4237,07,CAREER PATHWAYS,2009,NA
4238,07,ROCHESTER BEACON ACADEMY,2009,NA
4239,07,TESFA INTERNATIONAL SCHOOL,2009,NA
4240,07,NEW CENTURY SCHOOL,2009,NA
4243,07,NORTH METRO FLEX ACADEMY,2009,NA
4244,07,FIT ACADEMY,2009,NA
4246,07,BIG PICTURE TWIN CITIES,2009,NA
4250,07,ATHLOS ACADEMY OF SAINT CLOUD,2009,NA
4254,07,MARINE AREA COMMUNITY SCHOOL,2009,NA
6004,61,FRESHWATER ED. DIST.,2009,0.5925925925925926
6012,61,ZUMBRO EDUCATION DISTRICT,2009,0.5955056179775281
6013,61,HIAWATHA VALLEY ED. DISTRICT,2009,0.07894736842105263
6014,61,RUNESTONE AREA ED. DISTRICT,2009,0.4666666666666667
6018,61,MN RIVER VALLEY EDUCATION DISTRICT,2009,0.28688524590163933
6026,61,WEST CENTRAL EDUCATION DISTRICT,2009,0.22448979591836735
6027,61,MN VALLEY EDUCATION DISTRICT,2009,0.575
6049,61,RIVER BEND EDUCATION DISTRICT,2009,0.5416666666666666
6051,61,GOODHUE COUNTY EDUCATION DISTRICT,2009,0.45161290322580644
6074,50,CENTRAL MINNESOTA JT. POWERS DIST.,2009,0.09090909090909091
6076,50,NORTHLAND LEARNING CENTER,2009,0.7363636363636363
6079,52,RUM RIVER SPECIAL EDUCATION COOP,2009,0.5818181818181818
6083,52,SOUTHERN MN EDUCATION CONSORTIUM,2009,NA
6090,52,SHERBURNE AND NORTHERN WRIGHT SPECI,2009,NA
6094,52,CANNON VALLEY SPECIAL EDUCATION COO,2009,NA
6095,52,AUSTIN ALBERT LEA AREA SPECIAL EDUC,2009,NA
6096,52,NORTHERN LIGHTS ACADEMY COOPERATIVE,2009,NA
6383,61,BENTON-STEARNS ED. DISTRICT,2009,0.7222222222222222
6979,61,MID STATE EDUCATION DISTRICT,2009,0.5882352941176471
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2010,0.4358772619984264
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2010,0.6494114140962599
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2010,0.6332179930795848
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2010,0.6816976127320955
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2010,0.4130569306930693
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2010,0.2922506393861893
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2010,0.16077026421854007
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2010,0.7232638888888889
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2010,0.5346851654215582
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2010,0.28022284122562674
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2010,0.3129625713681539
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2010,0.3769230769230769
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,2010,0.49776785714285715
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2010,0.9666666666666667
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2010,0.5120232172470979
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2010,0.577922077922078
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2010,0.7818181818181819
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2010,0.8837719298245614
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2010,0.3264474041859201
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2010,0.3224489795918367
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2010,0.1815068493150685
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2010,0.34826569302064314
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2010,0.4645161290322581
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2010,0.5236593059936908
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2010,0.3719723183391003
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2010,0.24371859296482412
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2010,0.3689189189189189
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2010,0.35567970204841715
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2010,0.3789341166596727
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2010,0.4358108108108108
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2010,0.35724137931034483
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2010,0.10182767624020887
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2010,0.4012158054711246
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2010,0.19919110212335692
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2010,0.1022977651872836
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2010,0.1472819216182048
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2010,0.16444544838491076
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2010,0.4697554697554698
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2010,0.8077268643306379
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2010,0.5418275418275418
0118,01,NORTHLAND COMMUNITY SCHOOLS,2010,0.629976580796253
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2010,0.3804589193190229
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2010,0.3016977456164765
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2010,0.3233256351039261
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2010,0.23507462686567165
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2010,0.16017797552836485
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2010,0.33389199255121044
0160,70,MINNESOTA STATE ACADEMIES,2010,0.7456647398843931
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2010,0.5221327967806841
0166,01,COOK COUNTY PUBLIC SCHOOLS,2010,0.29411764705882354
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2010,0.4817987152034261
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2010,0.37513751375137516
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2010,0.4272223055014241
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2010,0.49214659685863876
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2010,0.33121019108280253
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2010,0.3488442822384428
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2010,0.1700870646766169
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2010,0.10992270357720654
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2010,0.17518248175182483
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2010,0.18327296917732278
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2010,0.3848789401553221
0199,01,INVER GROVE HEIGHTS SCHOOLS,2010,0.31423240938166314
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2010,0.2017562199456408
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2010,0.2893401015228426
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2010,0.15495668912415783
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2010,0.29704016913319237
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2010,0.4379746835443038
0227,01,CHATFIELD PUBLIC SCHOOLS,2010,0.20438799076212472
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2010,0.3739130434782609
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2010,0.3592233009708738
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2010,0.4786729857819905
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2010,0.45785736338376043
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2010,0.35833333333333334
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2010,0.21141479099678456
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2010,0.20262390670553937
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2010,0.1863711001642036
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2010,0.2811938151743977
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2010,0.3296296296296296
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2010,0.49019607843137253
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2010,0.3159871991095033
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2010,0.3628992386037773
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2010,0.1599752296418619
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2010,0.07724086129193791
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2010,0.08455226542989654
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2010,0.1761234679981843
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2010,0.08101173020527859
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2010,0.356167723061921
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2010,0.624298111281266
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2010,0.4255481896991331
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2010,0.2
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2010,0.3259515570934256
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2010,0.14943087849012548
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2010,0.6751563896336015
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2010,0.5257672264041691
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2010,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2010,0.24452954048140044
0297,01,SPRING GROVE SCHOOL DISTRICT,2010,0.34591194968553457
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2010,0.32317880794701986
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2010,0.22086824067022087
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2010,0.7218045112781954
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2010,0.5915221579961464
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2010,0.4871116986120291
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2010,0.4860215053763441
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2010,0.5207956600361664
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2010,0.596551724137931
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2010,0.39817945383615083
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2010,0.5759162303664922
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2010,0.38924050632911394
0332,01,MORA PUBLIC SCHOOL DISTRICT,2010,0.40382452193475815
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2010,0.38971807628524047
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2010,0.3015006821282401
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2010,0.5027960126428398
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2010,0.5511363636363636
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2010,0.3325453112687155
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2010,0.41904761904761906
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2010,0.5449591280653951
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2010,0.3872255489021956
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.,2010,0.35298346513299783
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2010,0.49171270718232046
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2010,0.26433915211970077
0397,52,LAKE AGASSIZ SPECIAL ED. COOP.,2010,0.4
0398,52,MIDWEST SPECIAL EDUCATION COOP.,2010,NaN
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2010,0.5174825174825175
0403,01,IVANHOE PUBLIC SCHOOL DISTRICT,2010,0.2733333333333333
0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,2010,0.5227272727272727
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2010,0.33239700374531833
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2010,0.3708609271523179
0415,01,LYND PUBLIC SCHOOL DISTRICT,2010,0.6306306306306306
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2010,0.2655983634503921
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,2010,0.3139240506329114
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2010,0.714975845410628
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2010,0.6579378068739771
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2010,0.47715736040609136
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2010,0.5274725274725275
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2010,0.5048543689320388
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2010,0.42272727272727273
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2010,0.3698241633579126
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2010,0.3378085751407536
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2010,0.4794520547945205
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2010,0.3020252421485178
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2010,0.6435643564356436
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2010,0.45674456744567443
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2010,0.42344045368620037
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2010,0.3905249679897567
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2010,0.5041322314049587
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2010,0.39856801909307876
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2010,0.5207857469164002
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2010,0.3271276595744681
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2010,0.5427350427350427
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2010,0.39864864864864863
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2010,0.28291814946619215
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2010,0.34308510638297873
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2010,0.28823529411764703
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2010,0.3556179775280899
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2010,0.35517241379310344
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2010,0.3898305084745763
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2010,0.617003367003367
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2010,0.1244158878504673
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2010,0.18856121537086684
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2010,0.228229937393284
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2010,0.32126386638414556
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2010,0.3826429980276134
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2010,0.29758190327613104
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2010,0.4340659340659341
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2010,0.40152963671128106
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2010,0.4535637149028078
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2010,0.42936673625608907
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2010,0.44485294117647056
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2010,0.45481049562682213
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2010,0.5668449197860963
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2010,0.36322188449848025
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2010,0.4861751152073733
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2010,0.4066955982641042
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2010,0.40189873417721517
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2010,0.6688741721854304
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2010,0.404743687834736
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2010,0.31718569780853517
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2010,0.394273127753304
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2010,0.25868725868725867
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2010,0.4710252600297177
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2010,0.27268129867502783
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2010,0.39516889979241365
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2010,0.3696190771136575
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2010,0.2601063172209173
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2010,0.736630586217983
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2010,0.44715447154471544
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2010,0.36363636363636365
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2010,0.294811320754717
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2010,0.489764973464746
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2010,0.2343709128956317
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2010,0.347953216374269
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2010,0.49145299145299143
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2010,0.2935560859188544
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2010,0.40825688073394495
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2010,0.4684931506849315
0696,01,ELY PUBLIC SCHOOL DISTRICT,2010,0.3602251407129456
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2010,0.4627831715210356
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2010,0.1312984496124031
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2010,0.42887383573243015
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2010,0.270996640537514
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2010,0.40373470701867353
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2010,0.7605633802816901
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2010,0.4156892284515227
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2010,0.5233968804159446
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2010,0.19448094612352168
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2010,0.2523696682464455
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2010,0.11011139674378749
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2010,0.2953090096798213
0721,01,NEW PRAGUE AREA SCHOOLS,2010,0.1358799454297408
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2010,0.20920043811610076
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2010,0.2804703183252079
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2010,0.20451079540894132
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2010,0.2359882005899705
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2010,0.30694444444444446
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2010,0.3634344929681717
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2010,0.3984526112185687
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2010,0.48584701815038894
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2010,0.39819458375125377
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2010,0.21214017521902379
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2010,0.1478463329452852
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2010,0.2715040845747237
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2010,0.3244005641748942
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2010,0.3535980148883375
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2010,0.24808184143222506
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2010,0.38461538461538464
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2010,0.4050632911392405
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2010,0.3798165137614679
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2010,0.3245521601685985
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2010,0.652073732718894
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2010,0.5612244897959183
