DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,HMLK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,HML-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,,,,,,,,13,4,3,,,13,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,83,35,10,,,14,,83,35,10,,,14,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,67,25,9,,,12,,67,25,9,,,12,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,94,33,16,,,12,,94,33,16,,,12,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,92,44,9,,,14,,92,44,9,,,14,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,81,23,14,,,8,,81,23,14,,,8,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,98,36,11,,,10,,98,36,11,,,10,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,105,29,15,,,14,,105,29,15,,,14,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,102,28,17,,,8,,102,28,17,,,8,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,82,25,8,,,14,,82,25,8,,,14,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,89,28,14,,,10,,89,28,14,,,10,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,89,25,10,,,7,,89,25,10,,,7,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,92,22,7,,,15,,92,22,7,,,15,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,113,25,12,,,20,,113,25,12,,,20,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,1187,378,152,,,158,,1200,382,155,,,171,,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,EC,,,,,,,,863,519,42,270,,863,32,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,KG,3134,1691,193,673,669,272,132,3134,1691,193,673,669,272,132,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,01,3164,1781,159,782,781,338,229,3164,1781,159,782,781,338,229,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,02,3155,1793,169,821,816,359,219,3155,1793,169,821,816,359,219,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,03,3181,1890,177,938,920,424,204,3181,1890,177,938,920,424,204,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,04,2975,1713,160,878,872,418,192,2975,1713,160,878,872,418,192,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,05,2860,1617,158,732,722,468,178,2860,1617,158,732,722,468,178,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,06,2587,1470,127,661,658,441,152,2587,1470,127,661,658,441,152,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,07,2335,1311,143,526,525,376,137,2335,1311,143,526,525,376,137,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,08,2276,1340,133,527,518,444,156,2276,1340,133,527,518,444,156,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,09,2499,1451,151,590,582,426,144,2499,1451,151,590,582,426,144,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,10,2550,1454,152,587,577,433,128,2550,1454,152,587,577,433,128,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,11,2350,1338,124,515,505,415,107,2350,1338,124,515,505,415,107,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,12,2716,1499,156,475,464,644,142,2716,1499,156,475,464,644,142,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,All Grades,35782,20348,2002,8705,8609,5458,2120,36645,20867,2044,8975,8609,6321,2152,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,EC,,,,,,,,8,7,1,,,8,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,KG,15,6,4,,,6,,15,6,4,,,6,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,11,7,,,,3,,11,7,,,,3,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,21,12,3,,,4,,21,12,3,,,4,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,18,6,5,,,2,,18,6,5,,,2,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,04,15,8,2,,,1,,15,8,2,,,1,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,05,28,15,3,,,6,,28,15,3,,,6,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,06,29,15,4,,,1,,29,15,4,,,1,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,07,20,14,2,,,5,,20,14,2,,,5,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,08,21,11,2,,,4,,21,11,2,,,4,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,09,17,8,2,,,4,,17,8,2,,,4,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,10,20,10,1,,,9,,20,10,1,,,9,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,11,21,11,2,,,4,,21,11,2,,,4,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,12,18,6,2,,,3,,18,6,2,,,3,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,All Grades,254,129,32,,,52,,262,136,33,,,60,,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,EC,,,,,,,,18,8,1,,,18,,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,KG,42,25,2,,,11,1,42,25,2,,,11,1,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,01,42,23,5,,,5,1,42,23,5,,,5,1,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,02,33,20,2,,,6,,33,20,2,,,6,,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,03,40,20,4,,,6,1,40,20,4,,,6,1,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,04,35,21,4,,,9,,35,21,4,,,9,,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,05,34,16,8,,,9,1,34,16,8,,,9,1,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,06,33,20,5,,,4,,33,20,5,,,4,,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,07,46,26,8,,,15,4,46,26,8,,,15,4,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,08,29,14,2,,,6,,29,14,2,,,6,,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,09,26,14,3,,,5,1,26,14,3,,,5,1,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,10,24,10,1,,,1,,24,10,1,,,1,,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,11,34,13,3,,,3,1,34,13,3,,,3,1,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,12,24,11,2,,,3,,24,11,2,,,3,,, ,EC-12,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,All Grades,442,233,49,,,83,10,460,241,50,,,101,10,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,EC,,,,,,,,71,11,3,,,71,,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,KG,265,115,22,23,23,33,3,265,115,22,23,23,33,3,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,01,279,117,16,27,27,23,,279,117,16,27,27,23,,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,02,274,123,28,38,38,23,3,274,123,28,38,38,23,3,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,03,276,110,32,28,28,46,3,276,110,32,28,28,46,3,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,04,287,112,41,30,30,38,1,287,112,41,30,30,38,1,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,05,284,106,34,12,12,45,3,284,106,34,12,12,45,3,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,06,266,119,28,6,6,42,2,266,119,28,6,6,42,2,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,07,260,94,26,5,5,41,,260,94,26,5,5,41,,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,08,258,92,28,10,10,38,1,258,92,28,10,10,38,1,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,09,265,98,31,16,16,38,,265,98,31,16,16,38,,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,10,263,86,24,12,12,31,1,263,86,24,12,12,31,1,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,11,228,68,20,3,3,35,3,228,68,20,3,3,35,3,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,12,260,77,20,1,1,36,1,260,77,20,1,1,36,1,, ,EC-12,
15-16,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,3465,1317,350,211,211,469,21,3536,1328,353,211,211,540,21,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,EC,,,,,,,,796,222,18,,,796,9,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,KG,2470,678,164,270,252,312,46,2470,678,164,270,252,312,46,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,01,2673,776,169,311,289,354,38,2673,776,169,311,289,354,38,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,02,2674,774,215,289,273,365,46,2674,774,215,289,273,365,46,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,03,2777,809,202,321,302,406,39,2777,809,202,321,302,406,39,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,04,2820,828,202,223,211,442,32,2820,828,202,223,211,442,32,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,05,2776,730,220,140,132,416,29,2776,730,220,140,132,416,29,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,06,2919,761,232,112,108,388,28,2919,761,232,112,108,388,28,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,07,2856,752,217,106,103,413,30,2856,752,217,106,103,413,30,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,08,2852,740,212,109,100,360,34,2852,740,212,109,100,360,34,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,09,3115,736,261,143,126,328,31,3115,736,261,143,126,328,31,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,10,2970,676,229,87,76,309,33,2970,676,229,87,76,309,33,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,11,3036,682,227,75,63,365,44,3036,682,227,75,63,365,44,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,12,3282,746,217,83,69,505,79,3282,746,217,83,69,505,79,, ,EC-12,
15-16,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,37220,9688,2767,2269,2104,4963,509,38016,9910,2785,2269,2104,5759,518,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,EC,,,,,,,,88,15,4,,,88,,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,KG,434,48,17,12,11,50,1,434,48,17,12,11,50,1,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,01,485,68,18,18,18,55,2,485,68,18,18,18,55,2,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,02,437,72,25,17,17,46,3,437,72,25,17,17,46,3,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,03,496,75,20,15,15,53,4,496,75,20,15,15,53,4,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,04,455,71,15,9,9,94,,455,71,15,9,9,94,,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,05,452,75,12,12,11,93,4,452,75,12,12,11,93,4,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,06,526,67,25,1,,75,2,526,67,25,1,,75,2,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,07,511,65,24,7,6,83,4,511,65,24,7,6,83,4,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,08,525,74,29,9,7,88,3,525,74,29,9,7,88,3,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,09,514,78,18,2,1,100,4,514,78,18,2,1,100,4,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,10,516,86,18,6,5,103,8,516,86,18,6,5,103,8,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,11,548,63,19,1,1,88,3,548,63,19,1,1,88,3,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,12,555,70,14,,,142,7,555,70,14,,,142,7,, ,EC-12,
15-16,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,All Grades,6454,912,254,109,101,1070,45,6542,927,258,109,101,1158,45,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,EC,,,,,,,,68,35,3,,,68,,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,KG,250,158,31,106,106,22,2,250,158,31,106,106,22,2,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,01,232,162,28,112,110,21,8,232,162,28,112,110,21,8,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,02,273,194,37,121,121,29,10,273,194,37,121,121,29,10,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,03,253,182,25,99,96,36,5,253,182,25,99,96,36,5,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,04,263,189,25,74,73,42,9,263,189,25,74,73,42,9,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,05,269,198,24,57,56,39,10,269,198,24,57,56,39,10,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,06,260,180,22,42,41,40,4,260,180,22,42,41,40,4,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,07,212,162,18,28,27,35,4,212,162,18,28,27,35,4,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,08,237,169,22,42,41,45,6,237,169,22,42,41,45,6,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,09,229,168,21,52,52,25,4,229,168,21,52,52,25,4,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,10,223,155,27,37,37,32,4,223,155,27,37,37,32,4,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,11,198,121,26,22,22,32,1,198,121,26,22,22,32,1,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,12,211,134,22,19,18,36,4,211,134,22,19,18,36,4,, ,EC-12,
15-16,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,All Grades,3110,2172,328,811,800,434,71,3178,2207,331,811,800,502,71,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,EC,,,,,,,,37,20,,,,37,,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,KG,210,101,26,44,43,17,2,210,101,26,44,43,17,2,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,01,203,100,26,41,34,22,1,203,100,26,41,34,22,1,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,02,238,133,27,46,44,24,5,238,133,27,46,44,24,5,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,03,226,130,26,49,49,29,,226,130,26,49,49,29,,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,04,227,112,36,57,50,43,2,227,112,36,57,50,43,2,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,05,216,133,21,43,42,36,2,216,133,21,43,42,36,2,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,06,263,122,41,31,20,33,1,263,122,41,31,20,33,1,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,07,241,130,35,26,25,30,1,241,130,35,26,25,30,1,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,08,233,124,33,20,20,32,5,233,124,33,20,20,32,5,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,09,245,126,33,36,27,36,4,245,126,33,36,27,36,4,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,10,240,129,21,41,31,40,,240,129,21,41,31,40,,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,11,233,98,31,29,20,31,2,233,98,31,29,20,31,2,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,12,213,77,21,13,11,43,,213,77,21,13,11,43,,, ,EC-12,
15-16,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,All Grades,2988,1515,377,476,416,416,25,3025,1535,377,476,416,453,25,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,EC,,,,,,,,87,14,2,,,87,,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,KG,328,65,30,10,7,56,1,328,65,30,10,7,56,1,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,01,304,61,23,12,8,40,,304,61,23,12,8,40,,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,02,339,72,38,15,12,51,,339,72,38,15,12,51,,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,03,334,71,31,23,20,35,1,334,71,31,23,20,35,1,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,04,329,59,41,14,13,50,2,329,59,41,14,13,50,2,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,05,360,66,32,11,8,44,3,360,66,32,11,8,44,3,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,06,348,68,35,8,8,51,,348,68,35,8,8,51,,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,07,391,83,42,10,10,48,2,391,83,42,10,10,48,2,, ,EC-12,
15-16,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,08,368,71,34,4,4,48,3,368,71,34,4,4,48,3,, ,EC-12,
