districtNumber,districtType,districtName,year,gradRate
2898,01,Westbrook-Walnut Grove,2012,NA
0001,03,Minneapolis Public School District,2013,0.447598253275109
0006,03,South St. Paul Public School Dist.,2013,0.636363636363636
0011,01,Anoka-Hennepin Public School District,2013,0.684014869888476
0012,01,Centennial Public School District,2013,0.818181818181818
0013,01,Columbia Heights Public School Dist,2013,0.791666666666667
0014,01,Fridley Public School District,2013,0.754098360655738
0016,01,Spring Lake Park Public Schools,2013,0.697674418604651
0047,01,Sauk Rapids-Rice Public Schools,2013,NA
0077,01,Mankato Public School District,2013,0.7
0112,01,Eastern Carver County Public School,2013,0.714285714285714
0152,01,Moorhead Public School District,2013,NA
0191,01,Burnsville Public School District,2013,0.646464646464647
0192,01,Farmington Public School District,2013,0.736842105263158
0194,01,Lakeville Public School District,2013,0.780487804878049
0196,01,Rosemount-Apple Valley-Eagan,2013,0.808383233532934
0197,01,West St. Paul-Mendota Hts.-Eagan,2013,0.761904761904762
0199,01,Inver Grove Heights Schools,2013,0.777777777777778
0200,01,Hastings Public School District,2013,NA
0270,01,Hopkins Public School District,2013,0.766990291262136
0271,01,Bloomington Public School District,2013,0.752066115702479
0272,01,Eden Prairie Public School District,2013,0.510204081632653
0273,01,Edina Public School District,2013,0.964285714285714
0276,01,Minnetonka Public School District,2013,0.761904761904762
0279,01,Osseo Public School District,2013,0.763513513513513
0280,01,Richfield Public School District,2013,0.692307692307692
0281,01,Robbinsdale Public School District,2013,0.683206106870229
0282,01,St. Anthony-New Brighton Schools,2013,0.5
0283,01,St. Louis Park Public School Dist.,2013,0.784615384615385
0284,01,Wayzata Public School District,2013,0.810344827586207
0286,01,Brooklyn Center School District,2013,0.731707317073171
0287,06,Intermediate School District 287,2013,0.0887096774193548
0347,01,Willmar Public School District,2013,0.6
0413,01,Marshall Public School District,2013,0.692307692307692
0492,01,Austin Public School District,2013,0.608695652173913
0508,01,St. Peter Public School District,2013,NA
0518,01,Worthington Public School District,2013,0.727272727272727
0535,01,Rochester Public School District,2013,0.614864864864865
0621,01,Mounds View Public School District,2013,0.714285714285714
0622,01,North St Paul-Maplewood Oakdale Public School District,2013,0.666666666666667
0623,01,Roseville Public School District,2013,0.75
0624,01,White Bear Lake School District,2013,0.647058823529412
0625,01,St. Paul Public School District,2013,0.648843930635838
0656,01,Faribault Public School District,2013,0.571428571428571
0709,01,Duluth Public School District,2013,0.422222222222222
0719,01,Prior Lake-Savage Area Schools,2013,0.769230769230769
0720,01,Shakopee Public School District,2013,0.757575757575758
0728,01,Elk River Public School District,2013,0.772727272727273
0742,01,St. Cloud Public School District,2013,0.5625
0761,01,Owatonna Public School District,2013,0.785714285714286
0833,01,South Washington County School Dist,2013,0.834862385321101
0834,01,Stillwater Area Public School Dist.,2013,0.538461538461538
0861,01,Winona Area Public School District,2013,0.6
0916,06,Northeast Metro 916,2013,0.226415094339623
0917,06,Intermediate School District 917,2013,0.0769230769230769
4000,07,City Academy,2013,NA
4017,07,Minnesota Transitions Charter School,2013,0.124223602484472
4027,07,Higher Ground Academy,2013,0.666666666666667
4031,07,Jennings Community School,2013,NA
4036,07,Face To Face Academy,2013,NA
4039,07,High School For Recording Arts,2013,0.184615384615385
4082,07,Bluesky Charter School,2013,NA
4102,07,Minnesota Internship Center,2013,0.08
4104,07,Paladin Career And Technical High School,2013,0.142857142857143
4111,07,Augsburg Fairview Academy,2013,0.15625
4112,07,St Paul Conservatory Performing Art,2013,0.727272727272727
4121,07,Ubah Medical Academy Charter School,2013,0.82258064516129
4126,07,Prairie Seeds Academy,2013,0.666666666666667
4131,07,Metro Schools Charter,2013,0
4178,07,Lincoln International School,2013,0.461538461538462
4200,07,Step Academy Charter School,2013,NA
4204,07,Rochester Stem Academy,2013,NA
4237,07,Career Pathways,2013,NA
0000,01,Minneapolis-St. Paul International Airport,2013,NA
0001,01,Aitkin,2013,NA
0002,01,Hill City,2013,NA
0004,01,Mcgregor,2013,NA
0023,01,Frazee-Vergas,2013,NA
0025,01,Pine Point,2013,NA
0032,01,Blackduck,2013,NA
0036,01,Kelliher,2013,NA
0051,01,Foley,2013,NA
0075,01,St. Clair,2013,NA
0081,01,Comfrey,2013,NA
0084,01,Sleepy Eye,2013,NA
0085,01,Springfield,2013,NA
0088,01,New Ulm,2013,NA
0091,01,Barnum,2013,NA
0093,01,Carlton,2013,NA
0095,01,Cromwell-Wright,2013,NA
0097,01,Moose Lake,2013,NA
0099,01,Esko,2013,NA
0100,01,Wrenshall,2013,NA
0108,01,Central,2013,NA
0111,01,Watertown-Mayer,2013,NA
