districtNumber,districtType,districtName,year,dropRate
4112,07,St Paul Conservatory Performing Art,2012,4.63
4118,07,Kaleidoscope Charter School,2012,NA
4119,07,Academic Arts High School,2012,26.92
4120,07,St. Croix Preparatory Academy,2012,0
4121,07,Ubah Medical Academy Charter School,2012,1.79
4122,07,Eagle Ridge Academy Charter School,2012,0
4126,07,Prairie Seeds Academy,2012,3.92
4131,07,Metro Schools Charter,2012,6.67
4132,07,Twin Cities Academy,2012,0
4146,07,Northern Lights Community School,2012,24.24
4150,07,Minnesota Online High School,2012,14.29
4151,07,Edvisions Off Campus School,2012,17.65
4160,07,Spectrum High School,2012,0
4163,07,Learning For Leadership Charter,2012,NA
4166,07,East Range Academy Of Tech-Science,2012,8.7
4178,07,Lincoln International School,2012,47.3
4183,07,Lionsgate Academy,2012,6.67
4190,07,Rivers Edge Academy,2012,11.76
4200,07,Step Academy Charter School,2012,NA
4204,07,Rochester Stem Academy,2012,NA
4207,07,Vermilion Country School,2012,NA
4210,07,Upper Mississippi Academy,2012,NA
4217,07,Technical Academies Of Minnesota,2012,NA
4237,07,Career Pathways,2012,NA
6004,61,Freshwater Ed. Dist.,2012,9.09
6012,61,Zumbro Education District,2012,19.23
6013,61,Hiawatha Valley Ed. District,2012,26.83
6014,61,Runestone Area Ed. District,2012,8.51
6018,61,Mn River Valley Education District,2012,1.28
6026,61,West Central Education District,2012,20.83
6049,61,River Bend Education District,2012,10.53
6051,61,Goodhue County Education District,2012,23.08
6074,50,Central Minnesota Jt. Powers Dist.,2012,0
6076,50,Northland Learning Center,2012,21.43
6079,52,Rum River Special Education Coop,2012,NA
6083,52,Southern Mn Education Consortium,2012,NA
0000,01,Minneapolis-St. Paul International Airport,2012,NA
2759,01,Eagle Valley,2012,NA
0323,02,Franconia,2012,NA
0815,02,Prinsburg,2012,NA
0025,01,Pine Point,2012,NA
0264,01,Herman-Norcross,2012,NA
0402,01,Hendricks,2012,NA
0403,01,Ivanhoe,2012,NA
0404,01,Lake Benton,2012,NA
0415,01,Lynd,2012,NA
0635,01,Milroy,2012,NA
0707,01,Nett Lake,2012,NA
0801,01,Browns Valley,2012,NA
0852,01,Campbell-Tintah,2012,NA
2907,01,Round Lake-Brewster,2012,NA
0001,01,Aitkin Public School District,2013,3.74
0001,03,Minneapolis Public School District,2013,8.5
0002,01,Hill City Public School District,2013,0
0004,01,Mcgregor Public School District,2013,8.11
0006,03,South St. Paul Public School Dist.,2013,3.17
0011,01,Anoka-Hennepin Public School District,2013,2.76
0012,01,Centennial Public School District,2013,0.58
0013,01,Columbia Heights Public School Dist,2013,7.85
0014,01,Fridley Public School District,2013,3.6
0015,01,St. Francis Public School District,2013,1.85
0016,01,Spring Lake Park Public Schools,2013,4.01
0022,01,Detroit Lakes Public School Dist.,2013,3.28
0023,01,Frazee-Vergas Public School Dist.,2013,3.57
0031,01,Bemidji Public School District,2013,7.34
0032,01,Blackduck Public School District,2013,5.41
0036,01,Kelliher Public School District,2013,4.17
0038,01,Red Lake Public School District,2013,35.79
0047,01,Sauk Rapids-Rice Public Schools,2013,1.77
0051,01,Foley Public School District,2013,1.79
0075,01,St. Clair Public School District,2013,2.22
0077,01,Mankato Public School District,2013,3.91
0081,01,Comfrey Public School District,2013,10
0084,01,Sleepy Eye Public School District,2013,6.98
0085,01,Springfield Public School District,2013,0
0088,01,New Ulm Public School District,2013,4.08
0091,01,Barnum Public School District,2013,5.66
0093,01,Carlton Public School District,2013,5.26
0094,01,Cloquet Public School District,2013,4.52
0095,01,Cromwell-Wright Public Schools,2013,6.9
0097,01,Moose Lake Public School District,2013,0
0099,01,Esko Public School District,2013,0
0100,01,Wrenshall Public School District,2013,4.17
0108,01,Central Public School District,2013,1.49
0110,01,Waconia Public School District,2013,1.05
0111,01,Watertown-Mayer Public School Dist.,2013,0
0112,01,Eastern Carver County Public School,2013,1.38
0113,01,Walker-Hackensack-Akeley Schl. Dist,2013,14.58
0115,01,Cass Lake-Bena Public Schools,2013,14.29
0116,01,Pillager Public School District,2013,3.57
0118,01,Northland Community Schools,2013,0
0129,01,Montevideo Public School District,2013,0
0138,01,North Branch Public Schools,2013,2.63
0139,01,Rush City Public School District,2013,6.78
0146,01,Barnesville Public School District,2013,5.66
0150,01,Hawley Public School District,2013,1.69
0152,01,Moorhead Public School District,2013,7.59
0160,70,Minnesota State Academies,2013,3.13
0162,01,Bagley Public School District,2013,7.14
0166,01,Cook County Public Schools,2013,4.76
0173,01,Mountain Lake Public Schools,2013,3.13
0177,01,Windom Public School District,2013,0
0181,01,Brainerd Public School District,2013,3.92
0182,01,Crosby-Ironton Public School Dist.,2013,4.21
0186,01,Pequot Lakes Public Schools,2013,1.57
0191,01,Burnsville Public School District,2013,4.56
0192,01,Farmington Public School District,2013,1.92
0194,01,Lakeville Public School District,2013,0.97
0195,01,Randolph Public School District,2013,0
0196,01,Rosemount-Apple Valley-Eagan,2013,1.78
0197,01,West St. Paul-Mendota Hts.-Eagan,2013,3.9
0199,01,Inver Grove Heights Schools,2013,6.92
0200,01,Hastings Public School District,2013,1.37
0203,01,Hayfield Public School District,2013,1.85
0204,01,Kasson-Mantorville School District,2013,2.94
0206,01,Alexandria Public School District,2013,2.88
0213,01,Osakis Public School District,2013,0
0227,01,Chatfield Public Schools,2013,0
0229,01,Lanesboro Public School District,2013,0
0238,01,Mabel-Canton Public School Dist.,2013,0
0239,01,Rushford-Peterson Public Schools,2013,0
0241,01,Albert Lea Public School District,2013,7.47
0242,01,Alden-Conger Public School District,2013,9.3
0252,01,Cannon Falls Public School District,2013,0
0253,01,Goodhue Public School District,2013,6.38
0255,01,Pine Island Public School Dist.,2013,0
0256,01,Red Wing Public School District,2013,2.86
0261,01,Ashby Public School District,2013,0
0270,01,Hopkins Public School District,2013,1.64
0271,01,Bloomington Public School District,2013,1.07
0272,01,Eden Prairie Public School District,2013,1.85
0273,01,Edina Public School District,2013,0.15
0276,01,Minnetonka Public School District,2013,0.84
0277,01,Westonka Public School District,2013,1.12
0278,01,Orono Public School District,2013,0
0279,01,Osseo Public School District,2013,4.05
0280,01,Richfield Public School District,2013,6.34
0281,01,Robbinsdale Public School District,2013,5.41
0282,01,St. Anthony-New Brighton Schools,2013,1.09
0283,01,St. Louis Park Public School Dist.,2013,5.18
0284,01,Wayzata Public School District,2013,1.06
0286,01,Brooklyn Center School District,2013,17.26
0287,06,Intermediate School District 287,2013,7
0288,06,Southwest Metro Intermediate 288,2013,NA
0294,01,Houston Public School District,2013,13.41
0297,01,Spring Grove School District,2013,0
0299,01,Caledonia Public School District,2013,0
0300,01,La Crescent-Hokah School District,2013,0.72
0306,01,Laporte Public School District,2013,35.29
0308,01,Nevis Public School District,2013,2.27
0309,01,Park Rapids Public School District,2013,10.85
0314,01,Braham Public School District,2013,2.53
0316,01,Greenway Public School District,2013,1.27
0317,01,Deer River Public School District,2013,13.43
0318,01,Grand Rapids Public School District,2013,1.55
0319,01,Nashwauk-Keewatin School District,2013,6.12
0330,01,Heron Lake-Okabena School District,2013,7.32
0332,01,Mora Public School District,2013,2.9
0333,01,Ogilvie Public School District,2013,13.04
0345,01,New London-Spicer School District,2013,5.31
0347,01,Willmar Public School District,2013,8.82
0356,01,Lancaster Public School District,2013,0
0361,01,International Falls School District,2013,4.85
0362,01,Littlefork-Big Falls School Dist.,2013,5.88
0363,01,South Koochiching School District,2013,0
0378,01,Dawson-Boyd Public School District,2013,0
0381,01,Lake Superior Public School Dist.,2013,7.34
0390,01,Lake Of The Woods School District,2013,11.9
0391,01,Cleveland Public School District,2013,0
0413,01,Marshall Public School District,2013,4.72
0414,01,Minneota Public School District,2013,0
0423,01,Hutchinson Public School District,2013,1.4
0424,01,Lester Prairie Public School Dist.,2013,10.71
0432,01,Mahnomen Public School District,2013,18.87
0435,01,Waubun-Ogema-White Earth Public Sch,2013,13.33
0441,01,Marshall County Central Schools,2013,0
0447,01,Grygla Public School District,2013,0
0458,01,Truman Public School District,2013,3.23
0463,01,Eden Valley-Watkins School District,2013,1.67
0465,01,Litchfield Public School District,2013,2.16
0466,01,Dassel-Cokato Public School Dist.,2013,2.84
0473,01,Isle Public School District,2013,2.7
0477,01,Princeton Public School District,2013,2.65
0480,01,Onamia Public School District,2013,15.22
0482,01,Little Falls Public School District,2013,1.75
0484,01,Pierz Public School District,2013,1.09
0485,01,Royalton Public School District,2013,5.56
0486,01,Swanville Public School District,2013,0
0487,01,Upsala Public School District,2013,0
0492,01,Austin Public School District,2013,7.53
0495,01,Grand Meadow Public School District,2013,3.45
0497,01,Lyle Public School District,2013,5
0499,01,Leroy-Ostrander Public Schools,2013,11.11
0500,01,Southland Public School District,2013,3.39
0505,01,Fulda Public School District,2013,0
0507,01,Nicollet Public School District,2013,4
0508,01,St. Peter Public School District,2013,5.03
0511,01,Adrian Public School District,2013,0
0514,01,Ellsworth Public School District,2013,0
0518,01,Worthington Public School District,2013,10.09
0531,01,Byron Public School District,2013,0
0533,01,Dover-Eyota Public School District,2013,2.11
0534,01,Stewartville Public School District,2013,3.03
0535,01,Rochester Public School District,2013,3.34
0542,01,Battle Lake Public School District,2013,2.33
0544,01,Fergus Falls Public School District,2013,5.86
0545,01,Henning Public School District,2013,8.7
0547,01,Parkers Prairie Public School Dist.,2013,3.85
0548,01,Pelican Rapids Public School Dist.,2013,4.82
0549,01,Perham-Dent Public School District,2013,5.15
0550,01,Underwood Public School District,2013,2.04
0553,01,New York Mills Public School Dist.,2013,2.22
0561,01,Goodridge Public School District,2013,0
0564,01,Thief River Falls School District,2013,4.43
0577,01,Willow River Public School District,2013,0
0578,01,Pine City Public School District,2013,6.77
0581,01,Edgerton Public School District,2013,6.06
0592,01,Climax-Shelly Public Schools,2013,0
0593,01,Crookston Public School District,2013,7.46
0595,01,East Grand Forks Public School Dist,2013,5.34
0599,01,Fertile-Beltrami School District,2013,5.88
0600,01,Fisher Public School District,2013,0
0601,01,Fosston Public School District,2013,1.75
0621,01,Mounds View Public School District,2013,2.27
0622,01,North St Paul-Maplewood Oakdale Public School District,2013,3.22
0623,01,Roseville Public School District,2013,1.73
0624,01,White Bear Lake School District,2013,1.32
0625,01,St. Paul Public School District,2013,7.49
0630,01,Red Lake Falls Public School Dist.,2013,0
0640,01,Wabasso Public School District,2013,0
0656,01,Faribault Public School District,2013,2.33
0659,01,Northfield Public School District,2013,2.08
0671,01,Hills-Beaver Creek School District,2013,0
0676,01,Badger Public School District,2013,0
0682,01,Roseau Public School District,2013,4.67
0690,01,Warroad Public School District,2013,12.63
0695,01,Chisholm Public School District,2013,13.95
0696,01,Ely Public School District,2013,2.13
0698,01,Floodwood Public School District,2013,4
0700,01,Hermantown Public School District,2013,0.58
0701,01,Hibbing Public School District,2013,5.06
0704,01,Proctor Public School District,2013,3.79
0706,01,Virginia Public School District,2013,7.08
0709,01,Duluth Public School District,2013,6.35
0712,01,Mountain Iron-Buhl School District,2013,3.13
