districtNumber,districtType,districtName,year,gradRate
0803,01,Wheaton Area Public School District,2012,97.37
0811,01,Wabasha-Kellogg Public School Dist.,2012,92.98
0813,01,Lake City Public School District,2012,95.45
0818,01,Verndale Public School District,2012,71.43
0820,01,Sebeka Public School District,2012,100
0821,01,Menahga Public School District,2012,91.11
0829,01,Waseca Public School District,2012,87.73
0831,01,Forest Lake Public School District,2012,84.2
0832,01,Mahtomedi Public School District,2012,98.32
0833,01,South Washington County School Dist,2012,91.15
0834,01,Stillwater Area Public School Dist.,2012,86.3
0836,01,Butterfield Public School District,2012,94.12
0837,01,Madelia Public School District,2012,77.08
0840,01,St. James Public School District,2012,90.7
0846,01,Breckenridge Public School District,2012,89.47
0850,01,Rothsay Public School District,2012,87.5
0857,01,Lewiston-Altura Public School Dist.,2012,88.71
0858,01,St. Charles Public School District,2012,94.44
0861,01,Winona Area Public School District,2012,81.73
0876,01,Annandale Public School District,2012,89.78
0877,01,Buffalo-Hanover-Montrose Public Sch,2012,90.33
0879,01,Delano Public School District,2012,93.57
0881,01,Maple Lake Public School District,2012,94.81
0882,01,Monticello Public School District,2012,93.56
0883,01,Rockford Public School District,2012,76.74
0885,01,St. Michael-Albertville School Dist,2012,92.09
0891,01,Canby Public School District,2012,100
0911,01,Cambridge-Isanti Public School Dist,2012,89.28
0912,01,Milaca Public School District,2012,80.27
0914,01,Ulen-Hitterdal Public School Dist,2012,90
0915,52,Southern Plains Education Coop.,2012,36.67
0916,06,Northeast Metro 916,2012,10.08
0917,06,Intermediate School District 917,2012,25.41
0926,83,Region 4-Lakes Country Service Coop,2012,8
0966,51,Wright Technical Center,2012,38.55
0991,83,Region 6 And 8-Sw/Wc Service Cooperative,2012,46.43
1000,70,Perpich Center For Arts Education,2012,100
1094,34,Fond Du Lac Ojibwe,2012,66.67
1435,34,Circle Of Life,2012,NA
2071,01,Lake Crystal-Wellcome Memorial,2012,98.15
2125,01,Triton School District,2012,89.39
2134,01,United South Central School Dist.,2012,81.25
2135,01,Maple River School District,2012,88.16
2137,01,Kingsland Public School District,2012,92.73
2142,01,St. Louis County School District,2012,86.42
2143,01,Waterville-Elysian-Morristown Public School District,2012,95.31
2144,01,Chisago Lakes School District,2012,89.64
2149,01,Minnewaska School District,2012,84.34
2154,01,Eveleth-Gilbert School District,2012,93.33
2155,01,Wadena-Deer Creek School District,2012,82.72
2159,01,Buffalo Lk-Hector-Stewart Public Sc,2012,88.68
2164,01,Dilworth-Glyndon-Felton,2012,93.48
2165,01,Hinckley-Finlayson School District,2012,81.94
2167,01,Lakeview School District,2012,88.46
2168,01,Nrheg School District,2012,95.77
2169,01,Murray County Central School Dist.,2012,92.19
2170,01,Staples-Motley School District,2012,87.12
2171,01,Kittson Central School District,2012,91.67
2172,01,Kenyon-Wanamingo School District,2012,86.96
2174,01,Pine River-Backus School District,2012,62.5
2176,01,Warren-Alvarado-Oslo School Dist.,2012,87.5
2180,01,Maccray School District,2012,92.86
2184,01,Luverne Public School District,2012,86.27
2190,01,Yellow Medicine East,2012,97.5
2198,01,Fillmore Central,2012,91.49
2215,01,Norman County East School District,2012,84.85
2310,01,Sibley East School District,2012,96.25
2311,01,Clearbrook-Gonvick School District,2012,82.76
2342,01,West Central Area,2012,92.86
2358,01,Tri-County School District,2012,100
2364,01,Belgrade-Brooten-Elrosa Public School District,2012,94.92
2365,01,G.f.w. Public School District,2012,79.71
2396,01,A.c.g.c. Public School District,2012,90.91
2397,01,Le Sueur-Henderson School District,2012,93.68
2448,01,Martin County West School District,2012,84.21
2527,01,Norman County West School District,2012,90.91
2534,01,Bird Island-Olivia-Lake Lillian Public School District,2012,86.36
2536,01,Granada Huntley-East Chain,2012,84.62
2580,01,East Central School District,2012,69.86
2609,01,Win-E-Mac School District,2012,75
2683,01,Greenbush-Middle River School Dist.,2012,100
2687,01,Howard Lake-Waverly-Winsted,2012,94.32
2689,01,Pipestone Area School District,2012,87.21
2711,01,Mesabi East School District,2012,87.5
2752,01,Fairmont Area School District,2012,91.78
2753,01,Long Prairie-Grey Eagle School District,2012,78.05
2754,01,Cedar Mountain School District,2012,88
2769,01,Morris Area Public Schools,2012,93.06
2805,01,Zumbrota-Mazeppa School District,2012,88.51
2835,01,Janesville-Waldorf-Pemberton,2012,91.67
2853,01,Lac Qui Parle Valley School Dist.,2012,91.8
2854,01,Ada-Borup Public School District,2012,82.69
2856,01,Stephen-Argyle Central Schools,2012,90.91
2859,01,Glencoe-Silver Lake School District,2012,91.18
2860,01,Blue Earth Area Public School,2012,84.04
2884,01,Red Rock Central School District,2012,100
2886,01,Glenville-Emmons School District,2012,85.71
2888,01,Clinton-Graceville-Beardsley,2012,96.77
2889,01,Lake Park Audubon School District,2012,95.74
2890,01,Renville County West School Dist.,2012,79.49
2895,01,Jackson County Central School Dist.,2012,92.5
2897,01,Redwood Area School District,2012,86.96
2898,01,Westbrook-Walnut Grove Schools,2012,86.96
2899,01,Plainview-Elgin-Millville,2012,92
2902,01,Rtr Public Schools,2012,86.84
2903,01,Ortonville Public Schools,2012,89.58
2904,01,Tracy Area Public School District,2012,86.96
2905,01,Tri-City United School District,2012,NA
2906,01,Red Lake County Central Public Schools,2012,NA
2908,01,Brandon-Evansville Public Schools,2012,NA
4000,07,City Academy,2012,63.93
4003,07,"New Heights School, Inc.",2012,62.96
4007,07,Minnesota New Country School,2012,45.83
4008,07,Pact Charter School,2012,74.55
4015,07,Community Of Peace Academy,2012,85.71
4017,07,Minnesota Transitions Charter School,2012,24.19
4025,07,Cyber Village Academy,2012,NA
4026,07,E.c.h.o. Charter School,2012,95.24
4027,07,Higher Ground Academy,2012,72
4031,07,Jennings Community School,2012,22.86
4036,07,Face To Face Academy,2012,10
4039,07,High School For Recording Arts,2012,23.91
4043,07,Math And Science Academy,2012,88.89
4049,07,Northwest Passage High School,2012,22.64
4053,07,North Lakes Academy,2012,75
4056,07,Rosa Parks Charter High School,2012,25.93
4057,07,El Colegio Charter School,2012,6.45
4059,07,Crosslake Community Charter School,2012,NA
4066,07,Kato Public Charter School,2012,33.33
4074,07,Afsa High School,2012,68.97
4075,07,Avalon School,2012,67.31
4080,07,Pillager Area Charter School,2012,18.18
4081,07,Discovery Public School Faribault,2012,53.85
4082,07,Bluesky Charter School,2012,21.26
4085,07,Harbor City International Charter,2012,78.72
4087,07,Sage Academy Charter School,2012,21.05
4091,07,Arcadia Charter School,2012,85.71
4092,07,Watershed High School,2012,41.38
4093,07,New Century Academy,2012,62.5
4095,07,Trio Wolf Creek Distance Learning,2012,24.07
4098,07,Nova Classical Academy,2012,NA
4102,07,Minnesota Internship Center,2012,8.2
4103,07,Hmong College Prep Academy,2012,61.7
4104,07,Paladin Career And Technical High School,2012,17.39
4105,07,Great River School,2012,85
4106,07,Treknorth High School,2012,48
4107,07,Voyageurs Expeditionary,2012,30
4110,07,Pim Arts High School,2012,79.22
4111,07,Augsburg Fairview Academy,2012,20
4112,07,St Paul Conservatory Performing Art,2012,77.78
4118,07,Kaleidoscope Charter School,2012,NA
4119,07,Academic Arts High School,2012,3.85
4120,07,St. Croix Preparatory Academy,2012,73.08
4121,07,Ubah Medical Academy Charter School,2012,69.64
4122,07,Eagle Ridge Academy Charter School,2012,85.71
4126,07,Prairie Seeds Academy,2012,74.51
4131,07,Metro Schools Charter,2012,17.78
4132,07,Twin Cities Academy,2012,100
4146,07,Northern Lights Community School,2012,51.52
4150,07,Minnesota Online High School,2012,26.98
4151,07,Edvisions Off Campus School,2012,14.71
4160,07,Spectrum High School,2012,87.72
4163,07,Learning For Leadership Charter,2012,NA
4166,07,East Range Academy Of Tech-Science,2012,58.7
4178,07,Lincoln International School,2012,21.62
4183,07,Lionsgate Academy,2012,6.67
4190,07,Rivers Edge Academy,2012,11.76
4200,07,Step Academy Charter School,2012,NA
4204,07,Rochester Stem Academy,2012,NA
4207,07,Vermilion Country School,2012,NA
4210,07,Upper Mississippi Academy,2012,NA
4217,07,Technical Academies Of Minnesota,2012,NA
4237,07,Career Pathways,2012,NA
6004,61,Freshwater Ed. Dist.,2012,42.42
6012,61,Zumbro Education District,2012,30.77
6013,61,Hiawatha Valley Ed. District,2012,0
6014,61,Runestone Area Ed. District,2012,27.66
6018,61,Mn River Valley Education District,2012,44.87
6026,61,West Central Education District,2012,54.17
6049,61,River Bend Education District,2012,31.58
6051,61,Goodhue County Education District,2012,23.08
6074,50,Central Minnesota Jt. Powers Dist.,2012,57.38
6076,50,Northland Learning Center,2012,46.43
6079,52,Rum River Special Education Coop,2012,NA
6083,52,Southern Mn Education Consortium,2012,NA
0000,01,Minneapolis-St. Paul International Airport,2012,NA
2759,01,Eagle Valley,2012,NA
0323,02,Franconia,2012,NA
0815,02,Prinsburg,2012,NA
0025,01,Pine Point,2012,NA
0264,01,Herman-Norcross,2012,NA
0402,01,Hendricks,2012,NA
0403,01,Ivanhoe,2012,NA
0404,01,Lake Benton,2012,NA
0415,01,Lynd,2012,NA
0635,01,Milroy,2012,NA
0707,01,Nett Lake,2012,NA
0801,01,Browns Valley,2012,NA
0852,01,Campbell-Tintah,2012,NA
2907,01,Round Lake-Brewster,2012,NA
0001,01,Aitkin Public School District,2013,79.44
0001,03,Minneapolis Public School District,2013,56.08
0002,01,Hill City Public School District,2013,88.24
0004,01,Mcgregor Public School District,2013,67.57
0006,03,South St. Paul Public School Dist.,2013,82.35
0011,01,Anoka-Hennepin Public School District,2013,81.35
0012,01,Centennial Public School District,2013,94.8
0013,01,Columbia Heights Public School Dist,2013,76.44
0014,01,Fridley Public School District,2013,78.83
0015,01,St. Francis Public School District,2013,91.8
0016,01,Spring Lake Park Public Schools,2013,80.75
0022,01,Detroit Lakes Public School Dist.,2013,84.02
0023,01,Frazee-Vergas Public School Dist.,2013,89.29
0031,01,Bemidji Public School District,2013,75.7
0032,01,Blackduck Public School District,2013,89.19
0036,01,Kelliher Public School District,2013,91.67
0038,01,Red Lake Public School District,2013,29.47
0047,01,Sauk Rapids-Rice Public Schools,2013,92.23
0051,01,Foley Public School District,2013,94.64
0075,01,St. Clair Public School District,2013,95.56
0077,01,Mankato Public School District,2013,85.77
0081,01,Comfrey Public School District,2013,90
0084,01,Sleepy Eye Public School District,2013,81.4
0085,01,Springfield Public School District,2013,100
0088,01,New Ulm Public School District,2013,91.16
0091,01,Barnum Public School District,2013,90.57
0093,01,Carlton Public School District,2013,94.74
0094,01,Cloquet Public School District,2013,78.39
0095,01,Cromwell-Wright Public Schools,2013,89.66
0097,01,Moose Lake Public School District,2013,98.41
0099,01,Esko Public School District,2013,100
0100,01,Wrenshall Public School District,2013,87.5
0108,01,Central Public School District,2013,94.03
0110,01,Waconia Public School District,2013,90.88
0111,01,Watertown-Mayer Public School Dist.,2013,97.5
0112,01,Eastern Carver County Public School,2013,92.78
0113,01,Walker-Hackensack-Akeley Schl. Dist,2013,72.92
0115,01,Cass Lake-Bena Public Schools,2013,45.71
0116,01,Pillager Public School District,2013,87.5
0118,01,Northland Community Schools,2013,82.14
0129,01,Montevideo Public School District,2013,93.55
0138,01,North Branch Public Schools,2013,85.34
0139,01,Rush City Public School District,2013,88.14
0146,01,Barnesville Public School District,2013,94.34
0150,01,Hawley Public School District,2013,96.61
0152,01,Moorhead Public School District,2013,78.39
0160,70,Minnesota State Academies,2013,53.13
0162,01,Bagley Public School District,2013,84.29
0166,01,Cook County Public Schools,2013,92.06
0173,01,Mountain Lake Public Schools,2013,90.63
0177,01,Windom Public School District,2013,98.57
0181,01,Brainerd Public School District,2013,82.47
0182,01,Crosby-Ironton Public School Dist.,2013,91.58
0186,01,Pequot Lakes Public Schools,2013,92.13
0191,01,Burnsville Public School District,2013,80.31
0192,01,Farmington Public School District,2013,93.53
0194,01,Lakeville Public School District,2013,90.55
0195,01,Randolph Public School District,2013,93.62
0196,01,Rosemount-Apple Valley-Eagan,2013,91.89
0197,01,West St. Paul-Mendota Hts.-Eagan,2013,85.71
0199,01,Inver Grove Heights Schools,2013,85.38
0200,01,Hastings Public School District,2013,93.42
0203,01,Hayfield Public School District,2013,92.59
0204,01,Kasson-Mantorville School District,2013,94.12
0206,01,Alexandria Public School District,2013,89.74
0213,01,Osakis Public School District,2013,98.21
0227,01,Chatfield Public Schools,2013,89.47
0229,01,Lanesboro Public School District,2013,87.5
0238,01,Mabel-Canton Public School Dist.,2013,95.24
0239,01,Rushford-Peterson Public Schools,2013,94
0241,01,Albert Lea Public School District,2013,73.86
0242,01,Alden-Conger Public School District,2013,76.74
0252,01,Cannon Falls Public School District,2013,74.76
0253,01,Goodhue Public School District,2013,89.36
0255,01,Pine Island Public School Dist.,2013,95.74
0256,01,Red Wing Public School District,2013,82.86
0261,01,Ashby Public School District,2013,92.86
0270,01,Hopkins Public School District,2013,87.01
0271,01,Bloomington Public School District,2013,87.17
0272,01,Eden Prairie Public School District,2013,87.7
0273,01,Edina Public School District,2013,94.27
0276,01,Minnetonka Public School District,2013,95.12
0277,01,Westonka Public School District,2013,94.94
0278,01,Orono Public School District,2013,95.79
0279,01,Osseo Public School District,2013,83.28
0280,01,Richfield Public School District,2013,71.64
0281,01,Robbinsdale Public School District,2013,78.14
0282,01,St. Anthony-New Brighton Schools,2013,87.5
0283,01,St. Louis Park Public School Dist.,2013,87.7
0284,01,Wayzata Public School District,2013,91.06
0286,01,Brooklyn Center School District,2013,54.87
0287,06,Intermediate School District 287,2013,11.2
0288,06,Southwest Metro Intermediate 288,2013,NA
0294,01,Houston Public School District,2013,47.13
0297,01,Spring Grove School District,2013,95.45
0299,01,Caledonia Public School District,2013,94.44
0300,01,La Crescent-Hokah School District,2013,93.48
0306,01,Laporte Public School District,2013,58.82
0308,01,Nevis Public School District,2013,90.91
0309,01,Park Rapids Public School District,2013,74.42
0314,01,Braham Public School District,2013,86.08
0316,01,Greenway Public School District,2013,88.61
0317,01,Deer River Public School District,2013,79.1
0318,01,Grand Rapids Public School District,2013,87
0319,01,Nashwauk-Keewatin School District,2013,83.67
0330,01,Heron Lake-Okabena School District,2013,87.8
0332,01,Mora Public School District,2013,86.96
0333,01,Ogilvie Public School District,2013,82.61
0345,01,New London-Spicer School District,2013,88.5
0347,01,Willmar Public School District,2013,70.29
0356,01,Lancaster Public School District,2013,100
0361,01,International Falls School District,2013,91.26
0362,01,Littlefork-Big Falls School Dist.,2013,94.12
0363,01,South Koochiching School District,2013,82.5
0378,01,Dawson-Boyd Public School District,2013,96.3
0381,01,Lake Superior Public School Dist.,2013,83.49
0390,01,Lake Of The Woods School District,2013,83.33
0391,01,Cleveland Public School District,2013,94.44
0413,01,Marshall Public School District,2013,85.84
0414,01,Minneota Public School District,2013,100
0423,01,Hutchinson Public School District,2013,90.7
0424,01,Lester Prairie Public School Dist.,2013,85.71
0432,01,Mahnomen Public School District,2013,62.26
0435,01,Waubun-Ogema-White Earth Public Sch,2013,73.33
0441,01,Marshall County Central Schools,2013,96.88
0447,01,Grygla Public School District,2013,100
0458,01,Truman Public School District,2013,87.1
0463,01,Eden Valley-Watkins School District,2013,96.67
0465,01,Litchfield Public School District,2013,85.61
0466,01,Dassel-Cokato Public School Dist.,2013,93.18
0473,01,Isle Public School District,2013,81.08
0477,01,Princeton Public School District,2013,89.82
0480,01,Onamia Public School District,2013,73.91
0482,01,Little Falls Public School District,2013,85.96
0484,01,Pierz Public School District,2013,94.57
0485,01,Royalton Public School District,2013,88.89
0486,01,Swanville Public School District,2013,70
0487,01,Upsala Public School District,2013,100
0492,01,Austin Public School District,2013,71.08
0495,01,Grand Meadow Public School District,2013,93.1
0497,01,Lyle Public School District,2013,60
0499,01,Leroy-Ostrander Public Schools,2013,81.48
0500,01,Southland Public School District,2013,88.14
0505,01,Fulda Public School District,2013,100
0507,01,Nicollet Public School District,2013,92
0508,01,St. Peter Public School District,2013,90.57
0511,01,Adrian Public School District,2013,97.92
0514,01,Ellsworth Public School District,2013,93.33
0518,01,Worthington Public School District,2013,76.32
0531,01,Byron Public School District,2013,93.15
0533,01,Dover-Eyota Public School District,2013,90.53
0534,01,Stewartville Public School District,2013,87.12
0535,01,Rochester Public School District,2013,84.08
0542,01,Battle Lake Public School District,2013,90.7
0544,01,Fergus Falls Public School District,2013,72.89
0545,01,Henning Public School District,2013,78.26
0547,01,Parkers Prairie Public School Dist.,2013,94.23
0548,01,Pelican Rapids Public School Dist.,2013,80.72
0549,01,Perham-Dent Public School District,2013,82.35
0550,01,Underwood Public School District,2013,91.84
0553,01,New York Mills Public School Dist.,2013,91.11
0561,01,Goodridge Public School District,2013,90
0564,01,Thief River Falls School District,2013,87.34
0577,01,Willow River Public School District,2013,88.89
0578,01,Pine City Public School District,2013,76.69
0581,01,Edgerton Public School District,2013,90.91
0592,01,Climax-Shelly Public Schools,2013,83.33
0593,01,Crookston Public School District,2013,81.34
0595,01,East Grand Forks Public School Dist,2013,88.55
0599,01,Fertile-Beltrami School District,2013,88.24
0600,01,Fisher Public School District,2013,82.35
0601,01,Fosston Public School District,2013,92.98
0621,01,Mounds View Public School District,2013,88.52
0622,01,North St Paul-Maplewood Oakdale Public School District,2013,82.32
0623,01,Roseville Public School District,2013,84.8
0624,01,White Bear Lake School District,2013,91.65
0625,01,St. Paul Public School District,2013,73.05
0630,01,Red Lake Falls Public School Dist.,2013,100
0640,01,Wabasso Public School District,2013,88.1
0656,01,Faribault Public School District,2013,79.4
0659,01,Northfield Public School District,2013,90.8
0671,01,Hills-Beaver Creek School District,2013,77.78
0676,01,Badger Public School District,2013,86.67
0682,01,Roseau Public School District,2013,86.92
0690,01,Warroad Public School District,2013,78.95
0695,01,Chisholm Public School District,2013,83.72
0696,01,Ely Public School District,2013,95.74
0698,01,Floodwood Public School District,2013,60
