Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Economic Development Region,School Classification,Grade,Total Enrollment,Filter Groups,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total American Indian or Alaska Native Count,Total American Indian or Alaska Native Percent,American Indian or Alaska Native Female Count,American Indian or Alaska Native Male Count,Total Asian Count,Total Asian Percent,Asian Female Count,Asian Male Count,Total Native Hawaiian or Pacific Islander Count,Total Native Hawaiian or Pacific Islander Percent,Native Hawaiian or Pacific Islander Female Count,Native Hawaiian or Pacific Islander Male Count,Total Hispanic or Latino Count,Total Hispanic or Latino Percent,Hispanic or Latino Female Count,Hispanic or Latino Male Count,Total Black or African American Count,Total Black or African American Percent,Black or African American Female Count,Black or African American Male Count,Total White Count,Total White Percent,White Female Count,White Male Count,Total Two or More Races Count,Total Two or More Races Percent,Two or More Races Female Count,Two or More Races Male Count,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Eligible for Free or Reduced-Priced Meals Count,Total Students Eligible for Free or Reduced-Priced Meals Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total English learner Identified Count,Total English learner Identified Percent,Total Students Experiencing Homelessness Count,Total Students Experiencing Homelessness Percent,Additional Suppression Free or Reduced-Priced Meals Applied,Additional Suppression Special Education Applied,Additional Suppression English learner Identified Applied,Additional Suppression Homeless Applied
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,ECSE,20,N,7,35.00%,13,65.00%,1,5.00%,0,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,19,95.00%,7,12,0,0.00%,0,0,1,5.00%,13,65.00%,,>=90%,0,0.00%,0,0.00%,N,Y,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,KG,92,N,46,50.00%,46,50.00%,0,0.00%,0,0,1,1.09%,1,0,0,0.00%,0,0,2,2.17%,0,2,1,1.09%,0,1,87,94.57%,44,43,1,1.09%,1,0,5,5.43%,49,53.26%,15,16.30%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,1,89,N,40,44.94%,49,55.06%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,2,2.25%,0,2,0,0.00%,0,0,84,94.38%,39,45,3,3.37%,1,2,5,5.62%,42,47.19%,14,15.73%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,2,82,N,39,47.56%,43,52.44%,1,1.22%,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,2,2.44%,1,1,74,90.24%,34,40,5,6.10%,3,2,8,9.76%,40,48.78%,14,17.07%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,3,94,N,35,37.23%,59,62.77%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,1.06%,1,0,2,2.13%,0,2,86,91.49%,32,54,5,5.32%,2,3,8,8.51%,47,50.00%,9,9.57%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,4,99,N,46,46.46%,53,53.54%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,1.01%,0,1,0,0.00%,0,0,94,94.95%,44,50,4,4.04%,2,2,5,5.05%,36,36.36%,12,12.12%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,5,105,N,53,50.48%,52,49.52%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,2,1.90%,1,1,3,2.86%,2,1,97,92.38%,47,50,3,2.86%,3,0,8,7.62%,50,47.62%,13,12.38%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,6,77,N,41,53.25%,36,46.75%,2,2.60%,1,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,73,94.81%,39,34,2,2.60%,1,1,4,5.19%,33,42.86%,11,14.29%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,7,94,N,45,47.87%,49,52.13%,2,2.13%,0,2,0,0.00%,0,0,0,0.00%,0,0,2,2.13%,1,1,2,2.13%,1,1,85,90.43%,41,44,3,3.19%,2,1,9,9.57%,44,46.81%,10,10.64%,0,0.00%,0,0.00%,N,N,N,N
13-14,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,no data,3,03,no data,8,87,N,48,55.17%,39,44.83%,0,0.00%,0,0,1,1.15%,0,1,0,0.00%,0,0,0,0.00%,0,0,3,3.45%,3,0,82,94.25%,45,37,1,1.15%,0,1,5,5.75%,36,41.38%,8,9.20%,0,0.00%,0,0.00%,N,N,N,N
