DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,EC,,,,,,,22,1,5,,,22,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,KG,104,37,16,,,12,104,37,16,,,12,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,01,109,40,17,,,18,109,40,17,,,18,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,02,78,35,8,,,12,78,35,8,,,12,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,03,95,34,15,,,10,95,34,15,,,10,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,04,89,27,10,1,1,9,89,27,10,1,1,9,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,05,95,20,14,,,13,95,20,14,,,13,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,06,107,28,12,,,15,107,28,12,,,15,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,07,87,25,10,,,8,87,25,10,,,8,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,08,105,35,13,,,18,105,35,13,,,18,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,09,101,33,16,,,15,101,33,16,,,15,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,10,103,29,7,1,1,17,103,29,7,1,1,17,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,11,105,23,19,,,14,105,23,19,,,14,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,12,93,20,11,1,1,10,93,20,11,1,1,10,,,EC-12,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,All Grades,1271,386,168,3,3,171,1293,387,173,3,3,193,,,EC-12,
09-10,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,,11,11,EC,,,,,,,886,502,53,281,,886,,,EC-12,
09-10,27,Hennepin,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,,11,11,KG,3237,1879,149,865,841,298,3237,1879,149,865,841,298,,,EC-12,
