districtNumber,districtType,districtName,year,percentIdentified
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2019,NA
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DISTRICT,2019,NA
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2019,NA
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2019,0.0214797136038186
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DISTRICT,2019,NA
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2019,NA
0801,01,BROWNS VALLEY PUBLIC SCHOOL DISTRICT,2019,NA
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2019,NA
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DISTRICT,2019,NA
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2019,0.0271348762968875
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2019,NA
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2019,NA
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2019,NA
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2019,0.0406169665809769
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2019,0.0217957059206246
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2019,0.0149611011370437
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DISTRICT,2019,0.0515132342085838
0834,01,STILLWATER AREA PUBLIC SCHOOL DISTRICT,2019,0.0240823006780454
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2019,NA
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2019,NA
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2019,0.145873320537428
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2019,NA
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2019,NA
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DISTRICT,2019,NA
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DISTRICT,2019,0.0134228187919463
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2019,NA
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2019,0.0316649642492339
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2019,0.00557244174265451
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCHOOLS,2019,0.0131399317406143
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2019,0.0079968012794882
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2019,0.00588235294117647
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2019,0.0232727272727273
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2019,0.0495716034271726
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DISTRICT,2019,0.0167105059569859
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2019,NA
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DISTRICT,2019,0.00912698412698413
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2019,0.0022075055187638
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DISTRICT,2019,0.0033003300330033
0915,52,SOUTHERN PLAINS EDUCATION COOPERATIVE,2019,NA
0916,06,NORTHEAST METRO 916,2019,NA
0916,06,NORTHEAST METRO 917,2019,NA
0916,06,NORTHEAST METRO 918,2019,0.294117647058824
0916,06,NORTHEAST METRO 919,2019,0.241379310344828
0916,06,NORTHEAST METRO 920,2019,0.0344827586206897
0916,06,NORTHEAST METRO 921,2019,0.03125
0916,06,NORTHEAST METRO 922,2019,0.111111111111111
0916,06,NORTHEAST METRO 923,2019,0.027027027027027
0916,06,NORTHEAST METRO 924,2019,0.027027027027027
0916,06,NORTHEAST METRO 925,2019,0.0952380952380952
0916,06,NORTHEAST METRO 926,2019,0
0916,06,NORTHEAST METRO 927,2019,0.0172413793103448
0916,06,NORTHEAST METRO 928,2019,0.0983606557377049
0916,06,NORTHEAST METRO 929,2019,0.110539845758355
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 918,2019,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 919,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 920,2019,NA
0917,06,INTERMEDIATE SCHOOL DISTRICT 921,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 922,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 923,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 924,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 925,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 926,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 927,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 928,2019,0
0917,06,INTERMEDIATE SCHOOL DISTRICT 929,2019,0.0206185567010309
0917,06,INTERMEDIATE SCHOOL DISTRICT 930,2019,0.0220994475138122
0926,83,REGION 4-LAKES COUNTRY SERVICE COOPERATIVE,2019,NA
0935,52,FERGUS FALLS AREA SPECIAL EDUCATION COOPERATIVE,2019,NA
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2019,NA
0966,51,WRIGHT TECHNICAL CENTER,2019,NA
0991,83,REGION 6 AND 8-SW/WC SERVICE COOPERATIVE,2019,NA
0998,52,BEMIDJI REGIONAL INTERDISTRICT COUNCIL,2019,0
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2019,0
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2019,NA
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2019,0.00546448087431694
2125,01,TRITON SCHOOL DISTRICT,2019,0.0548837209302326
2134,01,UNITED SOUTH CENTRAL SCHOOL DISTRICT,2019,NA
2135,01,MAPLE RIVER SCHOOL DISTRICT,2019,0
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2019,0
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2019,0
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN PUBLIC SCHOOL DISTRICT,2019,NA
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2019,0.00517985611510791
2149,01,MINNEWASKA SCHOOL DISTRICT,2019,0.00460122699386503
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2019,NA
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2019,0.00480769230769231
2159,01,BUFFALO LAKE-HECTOR-STEWART PUBLIC SCHOOLS,2019,0.0357142857142857
2164,01,DILWORTH-GLYNDON-FELTON,2019,0.0170523751522534
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2019,NA
2167,01,LAKEVIEW SCHOOL DISTRICT,2019,NA
2168,01,NRHEG SCHOOL DISTRICT,2019,0.00333704115684093
2169,01,MURRAY COUNTY CENTRAL SCHOOL DISTRICT,2019,0.00535475234270415
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2019,0.0036231884057971
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2019,NA
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2019,0.0337662337662338
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2019,0.00317796610169492
2176,01,WARREN-ALVARADO-OSLO SCHOOL DISTRICT,2019,0.0228136882129278
2180,01,MACCRAY SCHOOL DISTRICT,2019,0.0137174211248285
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2019,0.0204724409448819
2190,01,YELLOW MEDICINE EAST,2019,0.0272988505747126
2198,01,FILLMORE CENTRAL,2019,NA
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2019,0.0116279069767442
2310,01,SIBLEY EAST SCHOOL DISTRICT,2019,0.122608695652174
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2019,0
2342,01,WEST CENTRAL AREA,2019,0.0101781170483461
2358,01,TRI-COUNTY SCHOOL DISTRICT,2019,NA
2364,01,BELGRADE-BROOTEN-ELROSA PUBLIC SCHOOL DISTRICT,2019,0.0580152671755725
2365,01,G.F.W. PUBLIC SCHOOL DISTRICT,2019,0.0497159090909091
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2019,0.0159118727050184
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2019,0.050682261208577
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2019,NA
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2019,NA
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN PUBLIC SCHOOL DISTRICT,2019,0.0380116959064327
2536,01,GRANADA HUNTLEY EAST CHAIN,2019,NA
2580,01,EAST CENTRAL SCHOOL DISTRICT,2019,0
2609,01,WIN-E-MAC SCHOOL DISTRICT,2019,NA
