DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
13-14,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11,09,5,1,11,15,16,15,13,14,1,1,11,9,221,228,278,283,112,561,District,EC-12,, ,
13-14,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11,10,0,2,17,17,13,9,11,18,0,1,10,9,250,240,301,296,107,597,District,EC-12,, ,
13-14,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11,11,2,1,24,17,15,16,18,16,0,1,5,7,245,243,309,301,122,610,District,EC-12,, ,
13-14,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11,12,1,5,17,14,15,12,14,13,1,0,6,6,292,258,346,308,104,654,District,EC-12,, ,
13-14,62,Ramsey                                       ,0624,01,WHITE BEAR LAKE SCHOOL DISTRICT    ,000, ,11,11,All Grades,27,24,255,243,194,196,207,212,5,5,156,173,3367,3115,4211,3968,1697,8179,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,EC,4,3,109,44,128,73,96,59,0,0,35,25,140,83,512,287,576,799,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,KG,16,15,430,448,488,435,294,248,0,1,125,162,429,403,1782,1712,2662,3494,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,01,16,15,457,370,475,476,249,234,1,2,131,138,367,394,1696,1629,2564,3325,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,02,23,22,406,364,450,420,240,217,2,1,98,110,417,363,1636,1497,2353,3133,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,03,16,22,382,406,414,383,221,205,1,0,52,76,391,342,1477,1434,2178,2911,District,EC-12,, ,
13-14,62,Ramsey                                       ,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    ,000, ,11,11,04,19,26,392,393,439,365,230,195,0,1,47,65,353,356,1480,1401,2172,2881,District,EC-12,, ,
