dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
04-05,0001,03,MINNEAPOLIS,27,195,POWDERHORN EL.,27,330,299,14,69,42,341,308,14,69,53,11
04-05,0001,03,MINNEAPOLIS,27,210,PERFORMING ARTS MAGNET-KENWOOD EL.,27,117,44,9,3,10,117,44,9,3,10,11
04-05,0001,03,MINNEAPOLIS,27,214,PHILLIPS COMMUNITY SCHOOL,27,102,97,5,82,13,103,98,5,82,14,11
04-05,0001,03,MINNEAPOLIS,27,225,ANISHINABE ACADEMY EL,27,223,211,4,0,26,223,211,4,0,26,11
04-05,0001,03,MINNEAPOLIS,27,226,MARCY OPEN EL.,27,616,217,77,109,49,616,217,77,109,49,11
04-05,0001,03,MINNEAPOLIS,27,234,BOTTINEAU,27,90,40,7,24,12,90,40,7,24,12,11
04-05,0001,03,MINNEAPOLIS,27,249,BRYN MAWR EL.,27,321,217,25,98,41,354,248,26,98,74,11
04-05,0001,03,MINNEAPOLIS,27,256,GREEN CENTRAL PARK,27,560,500,31,304,54,560,500,31,304,54,11
04-05,0001,03,MINNEAPOLIS,27,260,EMERSON EL.,27,549,305,57,226,33,549,305,57,226,33,11
04-05,0001,03,MINNEAPOLIS,27,268,LEARNING CNTR. FOR CHILDREN,27,63,62,1,1,10,63,62,1,1,10,11
04-05,0001,03,MINNEAPOLIS,27,280,JORDAN PARK,27,448,395,26,146,53,448,395,26,146,53,11
04-05,0001,03,MINNEAPOLIS,27,282,LUCY LANEY @ CLEVELAND PARK EL.,27,603,455,66,138,75,603,455,66,138,75,11
04-05,0001,03,MINNEAPOLIS,27,283,RIVER WEST DTP,27,20,16,1,0,20,20,16,1,0,20,11
04-05,0001,03,MINNEAPOLIS,27,284,W. HARRY DAVIS ACADEMY,27,394,361,20,146,61,394,361,20,146,61,11
04-05,0001,03,MINNEAPOLIS,27,287,HALL EL.,27,162,143,12,35,16,163,143,13,35,17,11
04-05,0001,03,MINNEAPOLIS,27,288,NELLIE STONE JOHNSON EL.,27,479,419,24,158,51,491,429,25,158,63,11
04-05,0001,03,MINNEAPOLIS,27,289,WHITTIER PARK EL.,27,292,243,34,146,27,293,244,34,146,28,11
04-05,0001,03,MINNEAPOLIS,27,290,CITYVIEW PAM MAGNET,27,639,525,61,116,108,639,525,61,116,108,11
04-05,0001,03,MINNEAPOLIS,27,300,ANTHONY MID.,27,602,240,37,54,89,602,240,37,54,89,11
04-05,0001,03,MINNEAPOLIS,27,301,ANWATIN MID.,27,643,378,45,96,77,643,378,45,96,77,11
04-05,0001,03,MINNEAPOLIS,27,304,FOLWELL MID.,27,527,397,53,183,114,527,397,53,183,114,11
04-05,0001,03,MINNEAPOLIS,27,306,FRANKLIN MID.,27,381,343,21,69,86,381,343,21,69,86,11
04-05,0001,03,MINNEAPOLIS,27,311,SPAN,27,97,83,8,6,97,97,83,8,6,97,11
04-05,0001,03,MINNEAPOLIS,27,315,RONALD MCDONALD HOUSE,27,6,0,0,0,0,6,0,0,0,0,11
04-05,0001,03,MINNEAPOLIS,27,316,NORTHEAST MID.,27,463,309,36,64,83,463,309,36,64,83,11
04-05,0001,03,MINNEAPOLIS,27,318,OLSON MID.,27,583,455,54,121,123,583,455,54,121,123,11
04-05,0001,03,MINNEAPOLIS,27,319,VOLUNTEERS OF AMERICA MID.,27,35,32,1,1,6,35,32,1,1,6,11
04-05,0001,03,MINNEAPOLIS,27,324,SANFORD MID.,27,382,247,39,79,83,382,247,39,79,83,11
