dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
04-05,0242,01,ALDEN,24,002,ALDEN-CONGER EL.,24,190,49,22,2,31,190,49,22,2,31,10
04-05,0252,01,CANNON FALLS,25,001,CANNON FALLS EL.,25,584,66,32,2,69,597,68,32,2,82,10
04-05,0252,01,CANNON FALLS,25,002,CANNON FALLS SEC.,25,789,79,54,3,98,789,79,54,3,98,10
04-05,0253,01,GOODHUE,25,001,GOODHUE EL.,25,319,40,27,16,24,322,40,27,16,27,10
04-05,0253,01,GOODHUE,25,002,GOODHUE SEC.,25,279,17,15,3,20,279,17,15,3,20,10
04-05,0255,01,PINE ISLAND,25,010,PINE ISLAND EL.,25,450,64,13,0,30,463,64,14,0,43,10
04-05,0255,01,PINE ISLAND,25,015,PINE ISLAND MID.,25,389,61,15,0,31,389,61,15,0,31,10
04-05,0255,01,PINE ISLAND,25,020,PINE ISLAND SEC.,25,389,46,12,0,32,389,46,12,0,32,10
04-05,0256,01,RED WING,25,107,TOWER VIEW OPPORTUNITY PROGRAM ALC,25,61,6,6,0,7,61,6,6,0,7,10
04-05,0256,01,RED WING,25,108,RED WING SR.,25,989,95,26,10,102,989,95,26,10,102,10
04-05,0256,01,RED WING,25,109,TWIN BLUFF MID.,25,652,96,35,3,62,652,96,35,3,62,10
04-05,0256,01,RED WING,25,537,BURNSIDE EL.,25,577,97,28,17,75,577,97,28,17,75,10
04-05,0256,01,RED WING,25,541,SUNNYSIDE EL.,25,568,103,22,19,58,568,103,22,19,58,10
04-05,0256,01,RED WING,25,542,COLVILL FAMILY EDUCATION CENTER,25,0,0,0,0,0,53,10,1,0,53,10
04-05,0256,01,RED WING,25,543,RED WING ALC,25,6,2,0,0,1,6,2,0,0,1,10
04-05,0256,01,RED WING,25,545,RED WING MIDDLE LEVEL DAY ALC,25,32,13,2,0,4,32,13,2,0,4,10
04-05,0261,01,ASHBY,26,010,ASHBY EL.,26,141,35,11,0,14,142,35,11,0,15,04
04-05,0261,01,ASHBY,26,020,ASHBY SEC.,26,165,24,14,0,13,165,24,14,0,13,04
04-05,0264,01,HERMAN-NORCROSS,26,001,HERMAN EL.,26,60,20,7,0,9,61,20,7,0,10,04
04-05,0264,01,HERMAN-NORCROSS,26,002,HERMAN SEC.,26,53,15,5,0,7,53,15,5,0,7,04
04-05,0270,01,HOPKINS,27,076,EPSILON-BETA,27,13,0,0,0,4,13,0,0,0,4,11
04-05,0270,01,HOPKINS,27,079,EPSILON-ALPHA,27,90,0,0,0,38,90,0,0,0,38,11
04-05,0270,01,HOPKINS,27,112,NEW CONNECTION,27,4,0,0,0,1,4,0,0,0,1,11
04-05,0270,01,HOPKINS,27,183,DELTA,27,20,2,0,0,18,20,2,0,0,18,11
04-05,0270,01,HOPKINS,27,185,OMEGON,27,26,0,0,0,13,26,0,0,0,13,11
04-05,0270,01,HOPKINS,27,282,HOPKINS SR.,27,2034,223,75,105,271,2034,223,75,105,271,11
04-05,0270,01,HOPKINS,27,378,HOPKINS NORTH JR.,27,1025,179,54,60,115,1025,179,54,60,115,11
04-05,0270,01,HOPKINS,27,380,HOPKINS WEST JR.,27,930,109,18,24,95,930,109,18,24,95,11
04-05,0270,01,HOPKINS,27,561,ALICE SMITH EL.,27,534,102,31,61,57,534,102,31,61,57,11
04-05,0270,01,HOPKINS,27,563,GLEN LAKE EL.,27,536,15,6,3,35,536,15,6,3,35,11
04-05,0270,01,HOPKINS,27,564,HARLEY HOPKINS FAMILY CNTR.,27,0,0,0,0,0,118,0,0,0,118,11
04-05,0270,01,HOPKINS,27,565,KATHERINE CURREN EL.,27,395,127,24,66,41,395,127,24,66,41,11
04-05,0270,01,HOPKINS,27,566,EISENHOWER EL.,27,638,178,21,103,72,638,178,21,103,72,11
04-05,0270,01,HOPKINS,27,567,L.H. TANGLEN EL.,27,689,99,28,44,51,689,99,28,44,51,11
04-05,0270,01,HOPKINS,27,569,GATEWOOD EL.,27,639,85,29,65,64,639,85,29,65,64,11
04-05,0270,01,HOPKINS,27,570,MEADOWBROOK EL.,27,596,46,14,16,49,596,46,14,16,49,11
04-05,0271,01,BLOOMINGTON,27,007,KENNEDY SR.,27,1746,391,171,140,183,1746,391,171,140,183,11
04-05,0271,01,BLOOMINGTON,27,009,JEFFERSON SR.,27,1683,109,68,2,157,1683,109,68,2,157,11
04-05,0271,01,BLOOMINGTON,27,013,OAK GROVE MID.,27,831,164,60,57,99,831,164,60,57,99,11
04-05,0271,01,BLOOMINGTON,27,345,VALLEY VIEW MID.,27,703,211,100,0,85,703,211,100,0,85,11
04-05,0271,01,BLOOMINGTON,27,346,OLSON MID.,27,849,111,46,58,110,849,111,46,58,110,11
04-05,0271,01,BLOOMINGTON,27,432,WASHBURN EL.,27,537,145,68,89,54,537,145,68,89,54,11
04-05,0271,01,BLOOMINGTON,27,443,HILLCREST EL.,27,415,36,20,0,41,415,36,20,0,41,11
04-05,0271,01,BLOOMINGTON,27,446,INDIAN MOUNDS EL.,27,451,134,44,94,56,451,134,44,94,56,11
04-05,0271,01,BLOOMINGTON,27,447,OLSON EL.,27,494,72,24,28,70,494,72,24,28,70,11
04-05,0271,01,BLOOMINGTON,27,448,OAK GROVE EL.,27,414,152,44,87,40,414,152,44,87,40,11
04-05,0271,01,BLOOMINGTON,27,450,NORMANDALE HILLS EL.,27,470,60,14,8,53,470,60,14,8,53,11
04-05,0271,01,BLOOMINGTON,27,454,POPLAR BRIDGE EL.,27,497,73,25,39,51,497,73,25,39,51,11
04-05,0271,01,BLOOMINGTON,27,455,RIDGEVIEW EL.,27,330,45,24,1,48,330,45,24,1,48,11
04-05,0271,01,BLOOMINGTON,27,458,SOUTHWOOD EARLY CHILDHOOD,27,5,0,0,0,5,151,13,0,0,151,11
04-05,0271,01,BLOOMINGTON,27,459,VALLEY VIEW EL.,27,532,262,74,160,51,532,262,74,160,51,11
04-05,0271,01,BLOOMINGTON,27,461,WESTWOOD EL.,27,429,65,19,12,63,429,65,19,12,63,11
04-05,0272,01,EDEN PRAIRIE,27,064,EDEN PRAIRIE SR.,27,3299,204,48,102,283,3299,204,48,102,283,11
04-05,0272,01,EDEN PRAIRIE,27,065,CENTRAL MID.,27,1538,91,31,36,145,1538,91,31,36,145,11
04-05,0272,01,EDEN PRAIRIE,27,880,OAK POINT INTERMEDIATE EL.,27,1563,107,32,53,172,1563,107,32,53,172,11
04-05,0272,01,EDEN PRAIRIE,27,881,PRAIRIE VIEW EL.,27,742,38,14,24,68,742,38,14,24,68,11
04-05,0272,01,EDEN PRAIRIE,27,882,FOREST HILLS EL.,27,685,128,35,83,77,685,128,35,83,77,11
04-05,0272,01,EDEN PRAIRIE,27,883,EDEN LAKE EL.,27,901,103,28,74,73,901,103,28,74,73,11
04-05,0272,01,EDEN PRAIRIE,27,884,EARLY CHILDHOOD SP. ED.,27,0,0,0,0,0,150,0,0,0,150,11
04-05,0272,01,EDEN PRAIRIE,27,885,CENTRAL KINDERGARTEN CTR.,27,365,1,0,15,25,365,1,0,15,25,11
04-05,0272,01,EDEN PRAIRIE,27,887,CEDAR RIDGE EL.,27,881,37,9,36,72,881,37,9,36,72,11
04-05,0273,01,EDINA,27,019,SOUTH VIEW MID.,27,1124,57,20,21,109,1124,57,20,21,109,11
04-05,0273,01,EDINA,27,020,VALLEY VIEW MID.,27,1175,49,16,13,81,1175,49,16,13,81,11
04-05,0273,01,EDINA,27,021,EDINA SR.,27,1658,76,17,30,138,1658,76,17,30,138,11
04-05,0273,01,EDINA,27,515,SPECIAL ED-NON PUBLIC,27,5,0,0,0,5,5,0,0,0,5,11
04-05,0273,01,EDINA,27,526,CONCORD EL.,27,605,17,5,15,51,605,17,5,15,51,11
04-05,0273,01,EDINA,27,527,CORNELIA EL.,27,517,45,13,57,69,517,45,13,57,69,11
04-05,0273,01,EDINA,27,528,COUNTRYSIDE EL.,27,524,22,10,12,52,524,22,10,12,52,11
04-05,0273,01,EDINA,27,529,HIGHLANDS EL.,27,500,9,4,3,52,500,9,4,3,52,11
04-05,0273,01,EDINA,27,532,CREEK VALLEY EL.,27,550,31,2,17,43,550,31,2,17,43,11
04-05,0273,01,EDINA,27,533,NORMANDALE EL.,27,605,8,4,3,39,605,8,4,3,39,11
04-05,0273,01,EDINA,27,535,EARLY CHILDHOOD SPECIAL ED,27,0,0,0,0,0,102,0,0,0,102,11
04-05,0276,01,MINNETONKA,27,074,MINNETONKA SR.,27,2457,43,22,22,257,2457,43,22,22,257,11
04-05,0276,01,MINNETONKA,27,075,MINNETONKA EAST MID.,27,875,17,8,2,83,875,17,8,2,83,11
04-05,0276,01,MINNETONKA,27,175,MINNETONKA WEST MID.,10,1009,29,14,19,115,1009,29,14,19,115,11
04-05,0276,01,MINNETONKA,27,601,CLEAR SPRINGS EL.,27,528,10,2,14,78,528,10,2,14,78,11
04-05,0276,01,MINNETONKA,27,602,DEEPHAVEN EL.,27,542,13,1,7,47,542,13,1,7,47,11
04-05,0276,01,MINNETONKA,27,603,EXCELSIOR EL.,27,533,14,8,15,61,533,14,8,15,61,11
04-05,0276,01,MINNETONKA,27,604,GROVELAND EL.,27,439,5,1,4,59,439,5,1,4,59,11
04-05,0276,01,MINNETONKA,27,605,MINNEWASHTA EL.,27,637,5,5,8,73,637,5,5,8,73,11
04-05,0276,01,MINNETONKA,27,606,SCENIC HEIGHTS EL.,27,520,2,0,12,46,520,2,0,12,46,11
04-05,0276,01,MINNETONKA,27,900,DEEPHAVEN EDUCATION CENTER,27,0,0,0,0,0,82,1,0,0,82,11
04-05,0276,01,MINNETONKA,27,906,SHARED TIME REPORTING,27,3,0,0,0,3,3,0,0,0,3,11
04-05,0277,01,WESTONKA,27,062,MOUND-WESTONKA SEC.,27,956,88,41,10,92,956,88,41,10,92,11
04-05,0277,01,WESTONKA,27,063,GRANDVIEW MID.,27,525,60,34,11,68,525,60,34,11,68,11
04-05,0277,01,WESTONKA,27,615,SHIRLEY HILLS PRIMARY SCHOOL,27,387,43,20,6,50,387,43,20,6,50,11
04-05,0277,01,WESTONKA,27,616,HILLTOP PRIMARY SCHOOL,27,351,22,16,0,54,351,22,16,0,54,11
04-05,0277,01,WESTONKA,27,618,EARLY CHILDHOOD SPEC. ED.,27,0,0,0,0,0,25,0,1,0,25,11
04-05,0278,01,ORONO,27,030,ORONO SR.,27,803,28,7,7,70,803,28,7,7,70,11
04-05,0278,01,ORONO,27,031,ORONO MID.,27,640,21,16,7,66,640,21,16,7,66,11
04-05,0278,01,ORONO,27,661,SCHUMANN EL.,27,565,10,11,8,49,565,10,11,8,49,11
04-05,0278,01,ORONO,27,662,ORONO INTERMEDIATE EL.,27,511,25,9,4,65,511,25,9,4,65,11
04-05,0278,01,ORONO,27,663,ORONO DISCOVERY CENTER,27,1,0,0,0,1,16,2,0,0,16,11
04-05,0279,01,OSSEO,27,032,OSSEO SR.,27,1668,288,105,107,157,1668,288,105,107,157,11
04-05,0279,01,OSSEO,27,033,BROOKLYN JR.,27,1082,358,118,160,95,1082,358,118,160,95,11
04-05,0279,01,OSSEO,27,034,OSSEO JR.,27,1238,83,43,7,132,1238,83,43,7,132,11
04-05,0279,01,OSSEO,27,042,OSSEO SECONDARY TRANSITION CENTER,27,61,14,2,1,61,61,14,2,1,61,11
04-05,0279,01,OSSEO,27,086,NORTH VIEW JR.,27,1291,579,178,238,131,1291,579,178,238,131,11
04-05,0279,01,OSSEO,27,088,PARK CENTER SR.,27,1519,487,138,169,140,1519,487,138,169,140,11
04-05,0279,01,OSSEO,27,090,MAPLE GROVE SR.,27,1784,72,29,4,117,1784,72,29,4,117,11
04-05,0279,01,OSSEO,27,094,MAPLE GROVE JR.,27,1617,122,26,28,161,1617,122,26,28,161,11
04-05,0279,01,OSSEO,27,665,WOODLAND EL.,27,772,101,40,57,60,772,101,40,57,60,11
04-05,0279,01,OSSEO,27,668,EDINBROOK EL.,27,907,192,72,154,104,907,192,72,154,104,11
04-05,0279,01,OSSEO,27,669,RUSH CREEK EL.,27,827,24,13,4,69,827,24,13,4,69,11
04-05,0279,01,OSSEO,27,670,BASSWOOD EL.,27,900,56,12,1,108,900,56,12,1,108,11
04-05,0279,01,OSSEO,27,671,BIRCH GROVE EL.,27,587,206,71,99,79,587,206,71,99,79,11
04-05,0279,01,OSSEO,27,672,CREST VIEW EL.,27,393,217,68,117,58,393,217,68,117,58,11
04-05,0279,01,OSSEO,27,673,EDGEWOOD EL.,27,361,102,55,89,53,361,102,55,89,53,11
04-05,0279,01,OSSEO,27,674,FAIR OAKS EL.,27,559,346,91,211,53,559,346,91,211,53,11
04-05,0279,01,OSSEO,27,675,GARDEN CITY EL.,27,387,230,49,176,40,387,230,49,176,40,11
04-05,0279,01,OSSEO,27,677,OSSEO EL.,27,269,42,20,0,37,269,42,20,0,37,11
04-05,0279,01,OSSEO,27,678,PALMER LAKE EL.,27,690,228,79,145,86,690,228,79,145,86,11
04-05,0279,01,OSSEO,27,679,PARK BROOK EL.,27,348,191,44,82,41,348,191,44,82,41,11
04-05,0279,01,OSSEO,27,681,ZANEWOOD COMMUNITY SCHOOL,27,441,250,66,138,58,441,250,66,138,58,11
04-05,0279,01,OSSEO,27,682,CEDAR ISLAND EL.,27,622,65,18,0,61,622,65,18,0,61,11
04-05,0279,01,OSSEO,27,684,ELM CREEK EL.,27,572,59,45,33,87,572,59,45,33,87,11
04-05,0279,01,OSSEO,27,685,RICE LAKE EL.,27,492,66,18,48,57,492,66,18,48,57,11
04-05,0279,01,OSSEO,27,689,FERNBROOK EL.,27,708,52,16,0,86,708,52,16,0,86,11
04-05,0279,01,OSSEO,27,693,WEAVER LAKE EL.,27,652,32,10,2,68,652,32,10,2,68,11
04-05,0279,01,OSSEO,27,696,OAK VIEW EL.,27,590,61,19,2,102,590,61,19,2,102,11
04-05,0279,01,OSSEO,27,697,WILLOW LANE ECSE,27,0,0,0,0,0,209,12,3,0,209,11
04-05,0279,01,OSSEO,27,698,ARBOR VIEW ECSE,27,0,0,0,0,0,74,1,0,0,74,11
04-05,0280,01,RICHFIELD,27,035,RICHFIELD SR.,27,1411,420,86,120,144,1411,420,86,120,144,11
04-05,0280,01,RICHFIELD,27,036,RICHFIELD INTER. EL.,27,867,346,99,211,106,867,346,99,211,106,11
04-05,0280,01,RICHFIELD,27,037,RICHFIELD MIDDLE,27,928,342,76,101,123,928,342,76,101,123,11
04-05,0280,01,RICHFIELD,27,695,CENTENNIAL EL.,27,438,211,56,180,48,438,211,56,180,48,11
04-05,0280,01,RICHFIELD,27,698,ELLIOT SPECIAL ED,27,0,0,0,0,0,53,10,3,0,53,11
04-05,0280,01,RICHFIELD,27,699,SEC. SP. ED.,27,12,2,0,0,12,12,2,0,0,12,11
04-05,0280,01,RICHFIELD,27,701,SHERIDAN HILLS EL.,27,395,164,35,118,45,395,164,35,118,45,11
04-05,0280,01,RICHFIELD,27,703,CENTER FOR CAREERS AND TRAINING,27,150,116,16,115,1,150,116,16,115,1,11
04-05,0281,01,ROBBINSDALE,27,004,FOREST EL.,27,414,112,44,64,33,414,112,44,64,33,11
04-05,0281,01,ROBBINSDALE,27,006,LAKEVIEW EL.,27,376,105,35,16,44,376,105,35,16,44,11
04-05,0281,01,ROBBINSDALE,27,009,LINCOLN 5'S ALIVE,27,31,0,0,0,3,31,0,0,0,3,11
04-05,0281,01,ROBBINSDALE,27,010,MEADOW LAKE EL.,27,524,215,94,138,54,524,215,94,138,54,11
04-05,0281,01,ROBBINSDALE,27,011,NEILL EL.,27,489,122,56,45,58,489,122,56,45,58,11
04-05,0281,01,ROBBINSDALE,27,012,ROBBINSDALE SPANISH IMMERSION EL.,27,630,27,30,0,29,630,27,30,0,29,11
04-05,0281,01,ROBBINSDALE,27,013,NEW HOPE EL.,27,375,200,56,115,33,375,200,56,115,33,11
04-05,0281,01,ROBBINSDALE,27,017,NOBLE EL.,27,449,113,58,61,44,449,113,58,61,44,11
04-05,0281,01,ROBBINSDALE,27,019,NORTHPORT EL.,27,559,292,89,195,56,559,292,89,195,56,11
04-05,0281,01,ROBBINSDALE,27,020,PILGRIM LANE EL.,27,435,83,30,38,34,435,83,30,38,34,11
04-05,0281,01,ROBBINSDALE,27,022,SONNESYN EL.,27,562,105,62,63,72,562,105,62,63,72,11
04-05,0281,01,ROBBINSDALE,27,023,SUNNY HOLLOW EL.,27,488,117,36,39,58,488,117,36,39,58,11
04-05,0281,01,ROBBINSDALE,27,030,ZACHARY LANE EL.,27,482,27,8,0,40,482,27,8,0,40,11
04-05,0281,01,ROBBINSDALE,27,040,PLYMOUTH MID.,27,1083,303,107,114,103,1083,303,107,114,103,11
04-05,0281,01,ROBBINSDALE,27,043,TECHNOLOGY & LANGUAGE MID.,27,697,58,64,1,82,697,58,64,1,82,11
04-05,0281,01,ROBBINSDALE,27,045,SANDBURG MID.,27,1292,422,144,160,164,1292,422,144,160,164,11
04-05,0281,01,ROBBINSDALE,27,050,ROBBINSDALE COOPER SR.,27,2049,475,188,92,271,2049,475,188,92,271,11
04-05,0281,01,ROBBINSDALE,27,053,ROBBINSDALE ARMSTRONG SR.,27,2298,303,115,210,206,2298,303,115,210,206,11
04-05,0281,01,ROBBINSDALE,27,103,CAVANAGH EARLY CHILDHOOD,27,0,0,0,0,0,118,0,0,0,118,11
04-05,0282,01,ST. ANTHONY-NEW BRIGHTON,27,020,ST. ANTHONY VILLAGE SR.,27,604,40,19,2,31,604,40,19,2,31,11
04-05,0282,01,ST. ANTHONY-NEW BRIGHTON,27,040,WILSHIRE PARK EL.,27,646,67,22,3,61,649,67,22,3,64,11
04-05,0282,01,ST. ANTHONY-NEW BRIGHTON,27,050,ST. ANTHONY MID.,27,403,42,28,6,29,403,42,28,6,29,11
04-05,0283,01,ST. LOUIS PARK,27,040,ST. LOUIS PARK SR.,27,1292,217,54,57,201,1292,217,54,57,201,11
04-05,0283,01,ST. LOUIS PARK,27,042,ST. LOUIS PARK JR.,27,679,142,29,31,93,679,142,29,31,93,11
04-05,0283,01,ST. LOUIS PARK,27,043,SHOC-ALP,27,27,10,1,0,6,27,10,1,0,6,11
04-05,0283,01,ST. LOUIS PARK,27,745,AQUILA EL.,27,471,188,41,16,81,471,188,41,16,81,11
04-05,0283,01,ST. LOUIS PARK,27,747,CEDAR MANOR EL.,27,359,133,30,40,86,359,133,30,40,86,11
04-05,0283,01,ST. LOUIS PARK,27,754,PETER HOBART EL.,27,496,99,27,37,51,496,99,27,37,51,11
04-05,0283,01,ST. LOUIS PARK,27,755,SUSAN LINDGREN EL.,27,361,76,26,30,57,361,76,26,30,57,11
04-05,0283,01,ST. LOUIS PARK,27,756,SPECIAL ED.,27,8,0,0,0,8,102,16,3,0,102,11
04-05,0283,01,ST. LOUIS PARK,27,757,SPECIAL ED.,27,26,2,2,0,26,26,2,2,0,26,11
04-05,0283,01,ST. LOUIS PARK,27,758,PARK SPANISH IMMERSION EL.,27,536,20,10,0,34,536,20,10,0,34,11
04-05,0284,01,WAYZATA,27,050,WAYZATA HIGH,27,3110,214,58,38,235,3110,214,58,38,235,11
04-05,0284,01,WAYZATA,27,051,WAYZATA WEST MID.,27,728,30,18,1,65,728,30,18,1,65,11
04-05,0284,01,WAYZATA,27,052,WAYZATA EAST MID.,27,713,76,31,41,63,713,76,31,41,63,11
04-05,0284,01,WAYZATA,27,053,WAYZATA CENTRAL MID.,27,880,66,17,3,77,880,66,17,3,77,11
04-05,0284,01,WAYZATA,27,804,BIRCHVIEW EL.,27,503,40,21,11,30,503,40,21,11,30,11
04-05,0284,01,WAYZATA,27,806,GREENWOOD EL.,27,637,9,8,1,40,637,9,8,1,40,11
04-05,0284,01,WAYZATA,27,807,OAKWOOD EL.,27,455,105,16,39,63,455,105,16,39,63,11
04-05,0284,01,WAYZATA,27,808,SUNSET HILL EL.,27,481,63,20,16,37,481,63,20,16,37,11
04-05,0284,01,WAYZATA,27,810,PLYMOUTH CREEK EL.,27,666,21,9,10,46,666,21,9,10,46,11
04-05,0284,01,WAYZATA,27,811,GLEASON LAKE EL.,27,649,25,12,7,52,753,25,13,7,156,11
04-05,0284,01,WAYZATA,27,812,KIMBERLY LANE EL.,27,765,14,6,12,46,765,14,6,12,46,11
04-05,0286,01,BROOKLYN CENTER,27,012,BROOKLYN CENTER SEC.,27,824,382,147,260,87,824,382,147,260,87,11
04-05,0286,01,BROOKLYN CENTER,27,480,EARLE BROWN EL.,27,850,438,142,253,93,860,442,143,253,103,11
04-05,0286,01,BROOKLYN CENTER,27,862,JOY IN LEARNING ACADEMY,27,7,0,0,0,0,7,0,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,243,HARLEY HOPKINS-EC CENTER BASED,27,0,0,0,0,0,14,0,0,0,14,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,420,SPED MIDDLE CROSSWALK,27,4,0,0,0,4,9,0,0,0,9,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,430,SPECIAL EDUCATION-SECONDARY,27,14,7,0,0,14,14,7,0,0,14,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,431,VECTOR-BPC,27,77,4,2,1,77,77,4,2,1,77,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,432,VECTOR-EPC,27,50,12,0,0,50,50,12,0,0,50,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,434,INTERSECT,27,14,0,0,0,14,14,0,0,0,14,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,439,FOCUS-HOSTERMAN,27,3,2,0,0,3,3,2,0,0,3,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,440,SPED ELEMENTARY-HOSTERMAN,27,30,15,8,0,30,30,15,8,0,30,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,451,SPED-SECONDARY-HOSTERMAN,27,20,12,1,0,20,20,12,1,0,20,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,453,EBD-SECONDARY-EXPLORE,27,53,31,3,0,53,53,31,3,0,53,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,454,OPTIONS NORTH SECONDARY,27,46,14,2,0,46,46,14,2,0,46,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,455,OPTIONS SOUTH SECONDARY,27,28,15,1,0,28,28,15,1,0,28,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,457,INVEST,27,24,11,0,0,24,24,11,0,0,24,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,462,PHASE SW,27,21,13,2,0,21,21,13,2,0,21,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,463,PHASE N.,27,44,44,0,0,44,44,44,0,0,44,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,464,VENTURE-WAYZATA,27,4,0,0,0,4,4,0,0,0,4,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,465,SUN-RICHFIELD CENTRAL,27,14,12,0,0,14,14,12,0,0,14,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,466,SUN-HOSTERMAN,27,20,10,3,0,20,20,10,3,0,20,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,467,VENTURE II-HOSTERMAN,27,10,3,1,0,10,10,3,1,0,10,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,470,SUN-TRANSITION,27,10,10,0,0,10,10,10,0,0,10,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,480,STRIVE SECONDARY-HOSTERMAN,27,12,10,0,0,12,12,10,0,0,12,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,482,STRIVE MIDDLE-HOSTERMAN,27,4,2,0,0,4,4,2,0,0,4,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,483,STRIVE SECONDARY - OSSEO SR.,27,7,2,0,0,7,7,2,0,0,7,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,484,STRIVE TRANSITION-PHASE N.,27,13,13,0,0,13,13,13,0,0,13,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,485,STRIVE HOSTERMAN-OTHER MMI/EBD,27,16,10,1,0,16,16,10,1,0,16,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,486,COMMUNICATION INTERACTION PROGRAM,27,9,0,0,0,9,9,0,0,0,9,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,491,SPED-ST. LOUIS PARK SR.,27,24,12,2,0,24,24,12,2,0,24,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,602,ALC EDINA HS ALTERNATIVE - IS,27,1,0,0,0,0,1,0,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,604,ALC ELL NORTH,27,17,17,0,16,0,17,17,0,16,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,606,ALC-ELL-SOUTH,27,8,7,0,8,0,8,7,0,8,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,608,ALC GOLDEN VALLEY (RAP) IS,27,2,0,0,0,0,2,0,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,609,ALC PRAIRIE CENTER ALTERNATIVE IS,27,14,0,0,0,0,14,0,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,610,ALC WAYZATA TAP-IS,27,9,1,0,0,0,9,1,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,611,ALC COOPER HS-IS,27,2,0,0,0,0,2,0,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,620,271 SHAPE ALC,27,148,2,0,0,17,148,2,0,0,17,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,621,ALC ARMSTRONG HS - IS,27,6,0,0,0,0,6,0,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,622,SOUTH VISTA ALC,27,29,22,3,0,2,29,22,3,0,2,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,623,WAVE NORTH ALC,27,9,9,0,0,0,9,9,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,625,RIDGEDALE ALTERNATIVE,27,57,0,0,0,10,57,0,0,0,10,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,626,270 HOPKINS ALTERNATIVE,27,69,19,7,0,17,69,19,7,0,17,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,627,270 HOPKINS IS,27,3,0,0,0,0,3,0,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,629,271 BEACON NIGHT SCHOOL,27,29,1,0,0,5,29,1,0,0,5,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,630,WAVE SOUTH,27,126,23,6,0,15,126,23,6,0,15,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,635,NORTH VISTA ALC,27,21,21,0,0,0,21,21,0,0,0,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,644,PRAIRIE CTR. ALC,27,81,1,0,0,4,81,1,0,0,4,11
04-05,0287,06,INTERMEDIATE SCHOOL DISTRICT 287,27,648,281 WINNETKA LEARNING CTR. ALC,27,16,0,0,0,0,16,0,0,0,0,11
