DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,KG        ,2,2,0,1,5,0,3,0,32,26,42,29,13,71,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,01        ,2,1,1,0,6,1,0,2,32,39,41,43,13,84,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,02        ,3,2,2,0,1,1,2,0,25,33,33,36,11,69,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,03        ,0,1,0,0,0,2,0,3,37,27,37,33,6,70,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,04        ,1,0,1,0,1,2,0,2,29,27,32,31,7,63,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,05        ,0,0,0,1,0,1,1,2,23,26,24,30,5,54,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,06        ,0,1,1,1,2,2,0,1,41,35,44,40,8,84,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,07        ,1,0,2,0,1,1,1,0,46,35,51,36,6,87,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,08        ,0,0,1,0,1,0,1,0,37,31,40,31,3,71,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,09        ,0,0,1,1,0,3,1,1,29,37,31,42,7,73,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,10        ,0,0,1,0,3,1,2,1,48,37,54,39,8,93,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,11        ,0,0,1,0,1,0,1,0,36,29,39,29,3,68,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,12        ,0,0,0,1,0,1,0,0,43,40,43,42,2,85,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0769,01,MORRIS PUBLIC SCHOOL DISTRICT      ,000, ,04,4,All Grades,9,7,11,5,21,16,12,12,468,434,521,474,93,995,District,EC-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,KG        ,0,0,0,0,0,0,0,0,4,2,4,2,0,6,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,01        ,0,1,0,0,1,1,0,0,11,6,12,8,3,20,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,02        ,0,0,0,0,0,0,0,0,4,7,4,7,0,11,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,03        ,0,0,0,0,0,0,0,0,3,5,3,5,0,8,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,04        ,0,1,0,0,0,0,0,0,6,1,6,2,1,8,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,05        ,0,0,0,0,0,1,0,0,6,5,6,6,1,12,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,06        ,0,0,0,0,0,1,0,0,3,5,3,6,1,9,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,07        ,0,0,0,0,0,0,0,0,10,6,10,6,0,16,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,08        ,0,0,0,0,0,0,0,0,7,5,7,5,0,12,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,09        ,0,0,0,0,0,0,0,0,7,5,7,5,0,12,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,10        ,0,0,0,0,0,0,0,0,6,4,6,4,0,10,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,11        ,0,0,0,0,0,0,0,0,6,4,6,4,0,10,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,12        ,0,0,0,0,0,0,0,0,7,5,7,5,0,12,District,KG-12,  , ,  
10-11,75,Stevens                                      ,0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. ,000, ,04,4,All Grades,0,2,0,0,1,3,0,0,80,60,81,65,6,146,District,KG-12,  , ,  
10-11,76,Swift                                        ,0775,01,KERKHOVEN-MURDOCK-SUNBURG          ,000, ,06,06W,EC        ,0,0,0,0,0,0,0,0,3,0,3,0,0,3,District,EC-12,  , ,  
10-11,76,Swift                                        ,0775,01,KERKHOVEN-MURDOCK-SUNBURG          ,000, ,06,06W,KG        ,0,0,0,0,0,3,0,0,26,23,26,26,3,52,District,EC-12,  , ,  
10-11,76,Swift                                        ,0775,01,KERKHOVEN-MURDOCK-SUNBURG          ,000, ,06,06W,01        ,0,0,0,0,3,3,0,0,23,22,26,25,6,51,District,EC-12,  , ,  
10-11,76,Swift                                        ,0775,01,KERKHOVEN-MURDOCK-SUNBURG          ,000, ,06,06W,02        ,0,0,0,0,4,3,0,0,26,16,30,19,7,49,District,EC-12,  , ,  
10-11,76,Swift                                        ,0775,01,KERKHOVEN-MURDOCK-SUNBURG          ,000, ,06,06W,03        ,0,0,0,0,0,1,0,1,15,16,15,18,2,33,District,EC-12,  , ,  
10-11,76,Swift                                        ,0775,01,KERKHOVEN-MURDOCK-SUNBURG          ,000, ,06,06W,04        ,0,0,0,1,0,2,0,0,22,17,22,20,3,42,District,EC-12,  , ,  
10-11,76,Swift                                        ,0775,01,KERKHOVEN-MURDOCK-SUNBURG          ,000, ,06,06W,05        ,0,1,0,0,3,1,0,0,6,16,9,18,5,27,District,EC-12,  , ,  
10-11,76,Swift                                        ,0775,01,KERKHOVEN-MURDOCK-SUNBURG          ,000, ,06,06W,06        ,0,0,0,0,2,3,0,0,19,22,21,25,5,46,District,EC-12,  , ,  
10-11,76,Swift                                        ,0775,01,KERKHOVEN-MURDOCK-SUNBURG          ,000, ,06,06W,07        ,0,1,0,0,3,3,0,0,18,26,21,30,7,51,District,EC-12,  , ,  
