DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
10-11,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,12        ,3011,1843,187,446,445,741,3011,1843,187,446,445,741,  , ,EC-12,  
10-11,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,All Grades,33415,19973,1963,7307,7259,5456,34336,20511,2023,7618,7259,6377,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,13,6,NULL,NULL,NULL,13,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,KG        ,27,16,3,NULL,NULL,10,27,16,3,NULL,NULL,10,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,01        ,24,15,3,NULL,NULL,2,24,15,3,NULL,NULL,2,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,02        ,14,11,2,NULL,NULL,3,14,11,2,NULL,NULL,3,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,03        ,17,8,4,NULL,NULL,4,17,8,4,NULL,NULL,4,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,04        ,18,8,7,NULL,NULL,1,18,8,7,NULL,NULL,1,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,05        ,19,8,3,NULL,NULL,7,19,8,3,NULL,NULL,7,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,06        ,23,13,5,NULL,NULL,3,23,13,5,NULL,NULL,3,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,07        ,18,9,1,NULL,NULL,2,18,9,1,NULL,NULL,2,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,08        ,33,17,6,NULL,NULL,4,33,17,6,NULL,NULL,4,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,09        ,19,9,2,NULL,NULL,5,19,9,2,NULL,NULL,5,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,10        ,21,11,1,NULL,NULL,6,21,11,1,NULL,NULL,6,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,11        ,19,7,3,NULL,NULL,6,19,7,3,NULL,NULL,6,  , ,EC-12,  
10-11,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,12        ,37,16,7,NULL,NULL,6,37,16,7,NULL,NULL,6,  , ,EC-12,  
