Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,GNS Average Score,GPFA Average Score,GDSP Average Score,GSGM Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
13-Dec,5,Benton,51,1,FOLEY PUBLIC SCHOOL DISTRICT,0,All Schools,7,07W,GRAD,20130416,11,M,1,All Categories,All Students,N,123,86,37,69.9,30.1,53.3,5.6,11.5,7.5,6.3,12.2,1.1,51.1-55.5,0,0,0,0,0,0,0,131,1755,9,Y,,,0
13-Dec,7,Blue Earth,75,1,ST. CLAIR PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20130416,11,M,1,All Categories,All Students,N,45,30,15,66.7,33.3,52.2,5.7,11.4,7.6,5.9,9.8,1.5,49.3-55.1,1,0,0,0,0,0,1,55,624,9,Y,,,0
13-Dec,7,Blue Earth,77,1,MANKATO PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20130416,11,M,1,All Categories,All Students,N,463,342,121,73.9,26.1,55.8,5.8,11.7,7.8,6.5,13.8,0.6,54.5-57.1,1,0,0,1,0,0,0,510,7530,9,Y,,,0
13-Dec,8,Brown,81,1,COMFREY PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20130416,11,M,1,All Categories,All Students,N,11,9,2,81.8,18.2,56.4,6,11.7,7.7,6.3,15.8,4.8,47.1-65.7,0,0,0,0,0,0,0,12,165,9,Y,,,0
13-Dec,8,Brown,84,1,SLEEPY EYE PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20130416,11,M,1,All Categories,All Students,N,43,22,21,51.2,48.8,47.7,5.1,10.2,6.7,5.2,12.2,1.9,44.1-51.3,0,0,0,0,0,0,0,49,595,9,Y,,,0
13-Dec,8,Brown,85,1,SPRINGFIELD PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20130416,11,M,1,All Categories,All Students,N,38,24,14,63.2,36.8,52.7,5.7,11.4,7.3,5.4,15.5,2.5,47.8-57.6,0,0,0,0,0,0,0,38,612,9,Y,,,0
13-Dec,8,Brown,88,1,NEW ULM PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20130416,11,M,1,All Categories,All Students,N,138,106,32,76.8,23.2,56.5,5.9,12.1,8.1,6.5,11.7,1,54.5-58.5,1,0,0,0,0,0,0,145,1887,9,Y,,,0
13-Dec,9,Carlton,91,1,BARNUM PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,45,28,17,62.2,37.8,52.4,5.6,11.3,7.6,6,10.4,1.5,49.4-55.4,0,0,0,0,0,0,0,56,794,9,Y,,,0
13-Dec,9,Carlton,93,1,CARLTON PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,15,10,5,66.7,33.3,51.5,5.8,11,7.3,5.4,11.6,3,45.6-57.4,0,0,0,0,0,0,0,24,476,9,Y,,,0
13-Dec,9,Carlton,94,1,CLOQUET PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,177,127,50,71.8,28.2,54.4,5.8,11.9,7.7,6,11.8,0.9,52.7-56.1,1,0,0,0,0,0,0,192,2405,9,Y,,,0
13-Dec,9,Carlton,95,1,CROMWELL-WRIGHT PUBLIC SCHOOLS,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,14,10,4,71.4,28.6,53.1,5.5,10.9,7.6,5.9,18.1,4.8,43.6-62.6,0,0,0,0,0,0,0,16,326,9,Y,,,0
13-Dec,9,Carlton,97,1,MOOSE LAKE PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,43,32,11,74.4,25.6,55.2,6,12,8,6.3,9.5,1.4,52.4-58.0,0,0,0,0,0,0,0,51,635,9,Y,,,0
13-Dec,9,Carlton,99,1,ESKO PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,96,86,10,89.6,10.4,58.7,6.2,12.6,8.5,7.1,9.6,1,56.8-60.6,1,0,0,0,0,0,0,101,1229,9,Y,,,0
13-Dec,9,Carlton,100,1,WRENSHALL PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,24,12,12,50,50,50.7,5.7,11.1,6.8,5.3,10.9,2.2,46.3-55.1,1,0,0,0,0,0,0,28,321,9,Y,,,0
13-Dec,10,Carver,108,1,CENTRAL PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,99,75,24,75.8,24.2,56.1,5.9,11.9,7.9,7,10,1,54.1-58.1,0,0,0,0,0,0,0,107,989,9,Y,,,0
13-Dec,10,Carver,110,1,WACONIA PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,266,200,66,75.2,24.8,56.5,5.8,12.3,7.6,6.6,13,0.8,54.9-58.1,0,0,0,1,0,0,0,268,3559,9,Y,,,0
13-Dec,10,Carver,111,1,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,101,69,32,68.3,31.7,55.4,5.9,12,8,6,11.9,1.2,53.1-57.7,0,0,0,0,0,0,0,103,1566,9,Y,,,0
13-Dec,10,Carver,112,1,EASTERN CARVER COUNTY PUBLIC SCHOOL,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,669,528,141,78.9,21.1,57.4,6,12,8.2,6.9,12.4,0.5,56.5-58.3,5,0,0,2,0,1,0,707,9197,9,Y,,,0
13-Dec,11,Cass,113,1,WALKER-HACKENSACK-AKELEY SCHL. DIST,0,All Schools,5,5,GRAD,20130416,11,M,1,All Categories,All Students,N,41,22,19,53.7,46.3,48,5.1,10.4,6.6,5.2,11.8,1.8,44.4-51.6,0,0,0,0,0,0,0,47,780,9,Y,,,0
13-Dec,11,Cass,115,1,CASS LAKE-BENA PUBLIC SCHOOLS,0,All Schools,5,5,GRAD,20130416,11,M,1,All Categories,All Students,N,50,23,27,46,54,45.5,4.9,9.6,6.1,5.1,11.5,1.6,42.3-48.7,1,0,0,1,0,0,0,61,1120,9,Y,,,0
13-Dec,11,Cass,116,1,PILLAGER PUBLIC SCHOOL DISTRICT,0,All Schools,5,5,GRAD,20130416,11,M,1,All Categories,All Students,N,59,35,24,59.3,40.7,49.8,5.4,10.3,7.1,5.3,14.1,1.8,46.2-53.4,0,1,0,0,0,0,0,63,855,9,Y,,,0
13-Dec,11,Cass,118,1,NORTHLAND COMMUNITY SCHOOLS,0,All Schools,5,5,GRAD,20130416,11,M,1,All Categories,All Students,N,32,18,14,56.3,43.8,51.8,5.5,11,7.3,5.5,13.3,2.3,47.2-56.4,0,0,0,0,0,0,0,33,345,9,Y,,,0
13-Dec,12,Chippewa,129,1,MONTEVIDEO PUBLIC SCHOOL DISTRICT,0,All Schools,6,06W,GRAD,20130416,11,M,1,All Categories,All Students,N,99,58,41,58.6,41.4,51.2,5.4,11.1,6.8,5.8,13.1,1.3,48.6-53.8,0,0,0,0,0,0,0,109,1293,9,Y,,,0
13-Dec,13,Chisago,138,1,NORTH BRANCH PUBLIC SCHOOLS,0,All Schools,7,07E,GRAD,20130416,11,M,1,All Categories,All Students,N,222,173,49,77.9,22.1,56.8,6,12,8,6.7,11.2,0.7,55.3-58.3,0,0,0,1,0,0,0,243,3161,9,Y,,,0
13-Dec,13,Chisago,139,1,RUSH CITY PUBLIC SCHOOL DISTRICT,0,All Schools,7,07E,GRAD,20130416,11,M,1,All Categories,All Students,N,58,37,21,63.8,36.2,50.9,5.6,11,6.9,5.9,11,1.4,48.1-53.7,0,0,0,0,0,0,0,67,885,9,Y,,,0
13-Dec,14,Clay,146,1,BARNESVILLE PUBLIC SCHOOL DIST.,0,All Schools,4,4,GRAD,20130416,11,M,1,All Categories,All Students,N,67,44,23,65.7,34.3,54.5,5.7,11.7,7.7,6.2,12.2,1.5,51.6-57.4,0,0,0,0,0,0,0,73,863,9,Y,,,0
13-Dec,14,Clay,150,1,HAWLEY PUBLIC SCHOOL DISTRICT,0,All Schools,4,4,GRAD,20130416,11,M,1,All Categories,All Students,N,68,43,25,63.2,36.8,53.1,5.9,11.3,7.6,6.3,9.5,1.2,50.8-55.4,0,0,0,1,0,0,0,74,938,9,Y,,,0
13-Dec,14,Clay,152,1,MOORHEAD PUBLIC SCHOOL DISTRICT,0,All Schools,4,4,GRAD,20130416,11,M,1,All Categories,All Students,N,343,215,128,62.7,37.3,52.4,5.6,11.3,7.4,5.7,13.2,0.7,51.0-53.8,1,0,1,2,0,0,0,397,5542,9,Y,,,0
13-Dec,66,Rice,160,70,MINNESOTA STATE ACADEMIES,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,19,6,13,31.6,68.4,42.3,4.8,8.1,5.4,4.6,16,3.7,35.1-49.5,0,0,0,0,0,0,0,26,188,9,Y,,,0
13-Dec,15,Clearwater,162,1,BAGLEY PUBLIC SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20130416,11,M,1,All Categories,All Students,N,66,35,31,53,47,50,5.3,11.4,6.9,5.3,9.5,1.2,47.7-52.3,1,0,0,0,0,0,0,70,993,9,Y,,,0
13-Dec,16,Cook,166,1,COOK COUNTY PUBLIC SCHOOLS,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,32,20,12,62.5,37.5,51.6,5.5,11.1,7.1,5.9,12.1,2.1,47.4-55.8,0,0,0,0,0,0,0,32,465,9,Y,,,0
13-Dec,17,Cottonwood,173,1,MOUNTAIN LAKE PUBLIC SCHOOLS,0,All Schools,6,8,GRAD,20130416,11,M,1,All Categories,All Students,N,32,20,12,62.5,37.5,51.4,5.7,11.2,6.9,5.8,11.3,2,47.5-55.3,0,0,0,0,0,0,0,40,477,9,Y,,,0
13-Dec,17,Cottonwood,177,1,WINDOM PUBLIC SCHOOL DISTRICT,0,All Schools,6,8,GRAD,20130416,11,M,1,All Categories,All Students,N,54,40,14,74.1,25.9,56.7,6.2,12,7.8,6.6,11.6,1.6,53.6-59.8,0,0,0,0,0,0,0,64,955,9,Y,,,0
13-Dec,18,Crow Wing,181,1,BRAINERD PUBLIC SCHOOL DISTRICT,0,All Schools,5,5,GRAD,20130416,11,M,1,All Categories,All Students,N,468,334,134,71.4,28.6,55.5,5.8,11.8,7.7,6.6,11.9,0.6,54.4-56.6,0,0,0,0,0,0,0,531,6379,9,Y,,,0
13-Dec,18,Crow Wing,182,1,CROSBY-IRONTON PUBLIC SCHOOL DIST.,0,All Schools,5,5,GRAD,20130416,11,M,1,All Categories,All Students,N,83,50,33,60.2,39.8,53,5.5,11.2,7.4,5.9,13.6,1.5,50.1-55.9,0,0,0,0,0,0,0,101,1155,9,Y,,,0
13-Dec,18,Crow Wing,186,1,PEQUOT LAKES PUBLIC SCHOOLS,0,All Schools,5,5,GRAD,20130416,11,M,1,All Categories,All Students,N,103,79,24,76.7,23.3,53.6,5.8,11.9,7.8,6.1,9.4,0.9,51.8-55.4,0,0,0,0,0,0,0,109,1626,9,Y,,,0
