Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,GNS Average Score,GPFA Average Score,GDSP Average Score,GSGM Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
11-Oct,1,Aitkin,1,1,AITKIN PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20110412,11,M,1,All Categories,All Students,N,89,56,33,62.9,37.1,54.8,5.2,10.3,8.2,6,12,1.3,52.3-57.3,0,0,1,0,0,0,0,114,1288,9,Y,,,0
11-Oct,27,Hennepin,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20110412,11,M,1,All Categories,All Students,N,1960,829,1131,42.3,57.7,46.4,4.2,8.6,6.9,4.7,16.3,0.4,45.7-47.1,28,1,2,32,0,1,0,2262,33415,9,Y,,,0
11-Oct,1,Aitkin,2,1,HILL CITY PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20110412,11,M,1,All Categories,All Students,N,16,10,6,62.5,37.5,52.9,4.9,10.6,7.9,5.4,10.6,2.6,47.7-58.1,0,0,0,0,0,0,0,19,289,9,Y,,,0
11-Oct,1,Aitkin,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20110412,11,M,1,All Categories,All Students,N,31,12,19,38.7,61.3,46.3,4.5,7.6,7.1,5.1,12.2,2.2,42.0-50.6,0,0,0,0,0,0,0,34,369,9,Y,,,0
11-Oct,19,Dakota,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20110412,11,M,1,All Categories,All Students,N,264,166,98,62.9,37.1,53.4,5,10.1,8.3,5.5,12.9,0.8,51.8-55.0,2,0,0,1,0,0,0,271,3154,9,Y,,,0
11-Oct,2,Anoka,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20110412,11,M,1,All Categories,All Students,N,3016,1761,1255,58.4,41.6,52.2,4.9,10,7.8,5.4,12.5,0.2,51.8-52.6,10,2,0,10,0,0,0,3230,38334,9,Y,,,0
11-Oct,2,Anoka,12,1,CENTENNIAL PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20110412,11,M,1,All Categories,All Students,N,519,437,82,84.2,15.8,60,5.5,11.6,9.4,6.4,10.5,0.5,59.1-60.9,0,0,0,1,0,0,0,601,6612,9,Y,,,0
11-Oct,2,Anoka,13,1,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,0,All Schools,11,11,GRAD,20110412,11,M,1,All Categories,All Students,N,216,95,121,44,56,46.5,4.3,8.8,6.9,4.7,13.2,0.9,44.7-48.3,0,0,0,1,0,0,0,236,2926,9,Y,,,0
11-Oct,2,Anoka,14,1,FRIDLEY PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20110412,11,M,1,All Categories,All Students,N,221,100,121,45.2,54.8,47.9,4.4,8.9,7.2,5,12.8,0.9,46.2-49.6,1,0,0,1,0,0,0,251,2860,9,Y,,,0
11-Oct,2,Anoka,15,1,ST. FRANCIS PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20110412,11,M,1,All Categories,All Students,N,395,253,142,64.1,35.9,53.2,5,10.5,7.9,5.5,11.6,0.6,52.1-54.3,0,0,0,4,0,0,0,439,5186,9,Y,,,0
