Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification,,,,,,,,
11-12,02,,0014,31,Nonpublic School,006,AL-AMAL SCHOOL,,11,GRAD,20120417,10,R,1,All Categories,All Students,N,14,12,2,85.7,14.3,60.6,6.7,22.9,4.4,10.7,2.9,55.0-66.2,0,0,0,0,0,0,0,16,358,9,N,02,Anoka,40,,,,,,,,
11-12,08,,0084,31,Nonpublic School,002,ST. MARY'S H.S.,,09,GRAD,20120417,10,R,1,All Categories,All Students,N,24,22,2,91.7,8.3,60.6,6.5,22.5,5.0,12.3,2.5,55.7-65.5,0,0,0,0,0,0,0,25,196,9,N,08,Brown,00,,,,,,,,
11-12,27,,0283,31,Nonpublic School,019,BAIS YAAKOV HIGH SCHOOL,,11,GRAD,20120417,10,R,1,All Categories,All Students,Y,7,,,,,,,,,,,,,,,,,,,8,34,9,N,27,Hennepin,00,,,,,,,,
11-12,85,,0861,31,Nonpublic School,026,HOPE LUTHERAN HIGH SCHOOL,,10,GRAD,20120417,10,R,1,All Categories,All Students,N,12,12,0,100.0,.0,63.8,7.4,23.3,5.2,9.1,2.6,58.7-68.9,0,0,0,0,0,0,0,16,49,9,N,85,Winona,00,,,,,,,,
11-12,09,Carlton,1094,34,Nonpublic School,030,FOND DU LAC OJIBWE SCHOOL,03,03,GRAD,20120417,10,R,1,All Categories,All Students,Y,9,,,,,,,,,,,,,,,,,,,,,9,N,09,Carlton,40,,,,,,,,
11-12,11,Cass,1115,34,Nonpublic School,010,BUG-O-NAY-GE-SHIG,05,05,GRAD,20120417,10,R,1,All Categories,All Students,N,17,9,8,52.9,47.1,47.4,5.4,17.9,3.2,10.3,2.5,42.5-52.3,0,1,0,0,0,0,0,,,9,N,11,Cass,40,,,,,,,,
11-12,03,Becker,1435,34,Nonpublic School,010,CIRCLE OF LIFE,01,04,GRAD,20120417,10,R,1,All Categories,All Students,Y,6,,,,,,,,,,,,,,,,,,,,,9,N,03,Becker,40,,,,,,,,
11-12,48,Mille Lacs,1480,34,Nonpublic School,010,NAY-AH-SHING,07,07E,GRAD,20120417,10,R,1,All Categories,All Students,Y,1,,,,,,,,,,,,,,,,,,,,,9,N,48,Mille Lacs,40,,,,,,,,
