Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
10-Sep,1,Aitkin,1,1,AITKIN PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,10,R,1,All Categories,All Students,N,95,72,23,75.8,24.2,55,6.2,19.4,4.4,11.5,1.2,52.7-57.3,1,0,0,0,0,0,0,103,1271,9,Y,,,0
10-Sep,27,Hennepin,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20100413,10,R,1,All Categories,All Students,N,2149,1251,898,58.2,41.8,51.1,5.5,17.8,3.8,14.1,0.3,50.5-51.7,26,6,0,33,0,0,1,2372,33555,9,Y,,,0
10-Sep,1,Aitkin,2,1,HILL CITY PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,10,R,1,All Categories,All Students,N,15,12,3,80,20,55.4,6.1,19.7,4.9,10,2.6,50.4-60.4,0,0,0,0,0,0,0,22,289,9,Y,,,0
10-Sep,1,Aitkin,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,10,R,1,All Categories,All Students,N,37,25,12,67.6,32.4,53.1,6.3,18.3,4.3,10.2,1.7,49.8-56.4,1,0,0,0,0,0,0,39,377,9,Y,,,0
10-Sep,19,Dakota,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20100413,10,R,1,All Categories,All Students,N,283,205,78,72.4,27.6,53.4,6.2,18.8,4.3,12.3,0.7,52.0-54.8,1,0,0,0,0,0,0,304,3232,9,Y,,,0
10-Sep,2,Anoka,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20100413,10,R,1,All Categories,All Students,N,3171,2573,598,81.1,18.9,56.9,6.5,20.1,4.7,11.2,0.2,56.5-57.3,10,0,1,10,0,1,0,3292,39100,9,Y,,,0
10-Sep,2,Anoka,12,1,CENTENNIAL PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20100413,10,R,1,All Categories,All Students,N,566,493,73,87.1,12.9,58.6,6.8,20.7,4.9,10.6,0.4,57.7-59.5,1,0,2,0,0,0,0,617,6795,9,Y,,,0
10-Sep,2,Anoka,13,1,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,0,All Schools,11,11,GRAD,20100413,10,R,1,All Categories,All Students,N,233,136,97,58.4,41.6,50.2,5.6,17.7,3.8,11.2,0.7,48.8-51.6,0,0,0,2,0,0,0,232,2880,9,Y,,,0
10-Sep,2,Anoka,14,1,FRIDLEY PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20100413,10,R,1,All Categories,All Students,N,227,159,68,70,30,53.7,6.1,19.1,4.1,11.7,0.8,52.2-55.2,0,0,0,0,0,0,4,248,2811,9,Y,,,0
10-Sep,2,Anoka,15,1,ST. FRANCIS PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20100413,10,R,1,All Categories,All Students,N,422,354,68,83.9,16.1,57.5,6.7,20.3,4.7,10.6,0.5,56.5-58.5,0,0,1,4,0,0,1,455,5385,9,Y,,,0
