districtNumber,districtType,districtName,year,averageScore,percentPassed
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2012,60.7,87.3
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2012,57,83.7
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2012,56.3,83.3
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2012,NA,NA
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2012,60,87.2
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2012,57.6,82.4
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2012,60.3,89.3
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2012,64.4,96.6
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2012,62.6,95.7
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2012,61.7,94.8
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2012,63.4,97.9
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2012,57.3,83.2
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2012,51.3,60.9
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2012,54,72.8
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2012,60.9,89.9
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2012,58.6,84.5
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2012,62.8,93.8
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2012,49.7,55.1
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2012,44.6,40.2
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2012,55.5,75.6
0297,01,SPRING GROVE SCHOOL DISTRICT,2012,57.9,84.4
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2012,57.4,85.3
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2012,58.3,84.9
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2012,55.3,84.2
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2012,56.5,83.3
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2012,56.3,81.2
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2012,56.3,76.4
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2012,54.3,74.2
