Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,GNS Average Score,GPFA Average Score,GDSP Average Score,GSGM Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification,,,,,,,,
09-10,27,,0283,31,Nonpublic School,019,BAIS YAAKOV HIGH SCHOOL,,11,GRAD,20100413,11,M,1,All Categories,All Students,Y,6,,,,,,,,,,,,,,,,,,,,6,23,9,N,27,Hennepin,00,,,,,,,,
09-10,85,,0861,31,Nonpublic School,026,HOPE LUTHERAN HIGH SCHOOL,,10,GRAD,20100413,11,M,1,All Categories,All Students,Y,9,,,,,,,,,,,,,,,,,,,,9,38,9,N,85,Winona,00,,,,,,,,
09-10,85,,0861,31,Nonpublic School,031,COTTER SENIOR HIGH,,10,GRAD,20100413,11,M,1,All Categories,All Students,N,76,47,29,61.8,38.2,51.3,6.8,10.5,5.4,5.7,8.8,1.0,49.3-53.3,0,0,0,0,0,0,0,80,301,9,N,85,Winona,00,,,,,,,,
09-10,09,Carlton,1094,34,Nonpublic School,030,FOND DU LAC OJIBWE SCHOOL,03,03,GRAD,20100413,11,M,1,All Categories,All Students,N,15,0,15,.0,100.0,29.8,3.1,4.5,3.5,3.0,8.8,2.3,25.4-34.2,0,0,0,0,0,0,0,,,9,N,09,Carlton,40,,,,,,,,
09-10,11,Cass,1115,34,Nonpublic School,010,BUG-O-NAY-GE-SHIG,05,05,GRAD,20100413,11,M,1,All Categories,All Students,N,12,0,12,.0,100.0,35.2,4.3,5.9,3.8,3.0,9.3,2.7,30.0-40.4,0,0,0,0,0,0,0,,,9,N,11,Cass,40,,,,,,,,
09-10,03,Becker,1435,34,Nonpublic School,010,CIRCLE OF LIFE,01,04,GRAD,20100413,11,M,1,All Categories,All Students,Y,4,,,,,,,,,,,,,,,,,,,,,,9,N,03,Becker,40,,,,,,,,
09-10,48,Mille Lacs,1480,34,Nonpublic School,010,NAY-AH-SHING,07,07E,GRAD,20100413,11,M,1,All Categories,All Students,Y,7,,,,,,,,,,,,,,,,,,,,,,9,N,48,Mille Lacs,40,,,,,,,,
