Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
9-Aug,25,Goodhue,2172,1,KENYON-WANAMINGO SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20090413,10,R,1,All Categories,All Students,N,49,40,9,81.6,18.4,56.5,7,21.2,3.2,12.3,1.8,53.1-59.9,0,1,0,0,0,0,0,53,850,9,Y,25,Goodhue,0
9-Aug,11,Cass,2174,1,PINE RIVER-BACKUS SCHOOL DISTRICT,0,All Schools,5,5,GRAD,20090413,10,R,1,All Categories,All Students,N,72,57,15,79.2,20.8,55.5,7.1,21,2.8,10.7,1.3,53.0-58.0,1,0,0,0,0,0,0,82,909,9,Y,11,Cass,0
9-Aug,45,Marshall,2176,1,WARREN-ALVARADO-OSLO SCHOOL DIST.,0,All Schools,1,1,GRAD,20090413,10,R,1,All Categories,All Students,N,37,29,8,78.4,21.6,61.2,7.3,22.8,3,13.8,2.3,56.8-65.6,0,0,0,0,0,0,0,41,450,9,Y,45,Marshall,0
9-Aug,12,Chippewa,2180,1,M.A.C.C.R.A.Y. SCHOOL DISTRICT,0,All Schools,6,06W,GRAD,20090413,10,R,1,All Categories,All Students,N,54,43,11,79.6,20.4,56,6.9,21.1,3.1,10.8,1.5,53.1-58.9,0,0,0,0,0,0,0,59,697,9,Y,12,Chippewa,0
9-Aug,67,Rock,2184,1,LUVERNE PUBLIC SCHOOL DISTRICT,0,All Schools,6,8,GRAD,20090413,10,R,1,All Categories,All Students,N,79,59,20,74.7,25.3,55.6,7.3,20.8,3.1,10.4,1.2,53.3-57.9,0,0,0,0,0,0,2,86,1200,9,Y,67,Rock,0
9-Aug,87,Yellow Medicine,2190,1,YELLOW MEDICINE EAST,0,All Schools,6,06W,GRAD,20090413,10,R,1,All Categories,All Students,N,71,61,10,85.9,14.1,55.6,7.4,21.2,3.1,7.9,0.9,53.8-57.4,0,0,1,0,0,0,0,74,875,9,Y,87,Yellow Medicine,0
9-Aug,23,Fillmore,2198,1,FILLMORE CENTRAL,0,All Schools,10,10,GRAD,20090413,10,R,1,All Categories,All Students,N,46,37,9,80.4,19.6,56.7,7.2,21.3,3.2,10.7,1.6,53.6-59.8,0,0,0,0,0,0,0,51,560,9,Y,23,Fillmore,0
9-Aug,54,Norman,2215,1,NORMAN COUNTY EAST SCHOOL DISTRICT,0,All Schools,1,1,GRAD,20090413,10,R,1,All Categories,All Students,N,29,25,4,86.2,13.8,58.6,7.7,21.9,3.3,9.7,1.8,55.1-62.1,1,0,0,0,0,0,0,30,336,9,Y,54,Norman,0
9-Aug,72,Sibley,2310,1,SIBLEY EAST SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,94,72,22,76.6,23.4,55.3,6.9,21,3.1,10.4,1.1,53.2-57.4,1,0,1,0,0,0,0,104,1213,9,Y,72,Sibley,0
9-Aug,15,Clearwater,2311,1,CLEARBROOK-GONVICK SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20090413,10,R,1,All Categories,All Students,N,27,21,6,77.8,22.2,53.7,7.1,20.1,2.7,11.3,2.2,49.4-58.0,0,0,0,0,0,0,3,31,465,9,Y,15,Clearwater,0
9-Aug,26,Grant,2342,1,WEST CENTRAL AREA,0,All Schools,4,4,GRAD,20090413,10,R,1,All Categories,All Students,N,60,50,10,83.3,16.7,58.5,7.7,22,3.1,10.6,1.4,55.8-61.2,0,0,0,0,0,0,0,62,763,9,Y,26,Grant,0
9-Aug,35,Kittson,2358,1,TRI-COUNTY SCHOOL DISTRICT,0,All Schools,1,1,GRAD,20090413,10,R,1,All Categories,All Students,N,18,14,4,77.8,22.2,55.9,7.5,20.7,2.9,11.2,2.6,50.7-61.1,0,0,0,0,0,0,0,18,225,9,Y,35,Kittson,0
9-Aug,73,Stearns,2364,1,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,0,All Schools,7,07W,GRAD,20090413,10,R,1,All Categories,All Students,N,49,36,13,73.5,26.5,55.1,7,20.9,3.1,10.9,1.6,52.0-58.2,0,0,0,0,0,0,0,51,714,9,Y,73,Stearns,0
9-Aug,72,Sibley,2365,1,G.F.W.,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,66,52,14,78.8,21.2,56.4,7.3,21,3.1,12.5,1.5,53.4-59.4,0,0,0,0,0,0,0,67,745,9,Y,72,Sibley,0
9-Aug,47,Meeker,2396,1,A.C.G.C.,0,All Schools,6,06E,GRAD,20090413,10,R,1,All Categories,All Students,N,67,55,12,82.1,17.9,58.1,7.3,21.6,3.2,12.2,1.5,55.2-61.0,0,0,0,0,0,0,0,64,787,9,Y,47,Meeker,0
9-Aug,40,Le Sueur,2397,1,LESUEUR-HENDERSON SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,118,91,27,77.1,22.9,57,7.2,21.1,3.1,13.4,1.2,54.6-59.4,0,0,0,0,0,0,0,116,1154,9,Y,40,Le Sueur,0
9-Aug,46,Martin,2448,1,MARTIN COUNTY WEST SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,65,54,11,83.1,16.9,58.1,7.3,21.7,3.2,11.3,1.4,55.4-60.8,0,0,0,0,0,0,0,70,789,9,Y,46,Martin,0
9-Aug,54,Norman,2527,1,NORMAN COUNTY WEST SCHOOL DISTRICT,0,All Schools,1,1,GRAD,20090413,10,R,1,All Categories,All Students,N,14,12,2,85.7,14.3,55.1,7.1,20.7,3,12.2,3.3,48.7-61.5,0,0,0,0,0,0,0,14,282,9,Y,54,Norman,0
9-Aug,65,Renville,2534,1,BIRD ISLAND-OLIVIA-LAKE LILLIAN,0,All Schools,6,06E,GRAD,20090413,10,R,1,All Categories,All Students,N,69,51,18,73.9,26.1,56.4,7.1,20.6,3.1,14.1,1.7,53.1-59.7,0,0,0,0,0,0,0,73,794,9,Y,65,Renville,0
9-Aug,46,Martin,2536,1,GRANADA HUNTLEY-EAST CHAIN,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,25,16,9,64,36,53.3,6.7,20,2.8,12.8,2.6,48.3-58.3,0,0,1,0,0,0,0,28,243,9,Y,46,Martin,0
9-Aug,58,Pine,2580,1,EAST CENTRAL SCHOOL DISTRICT,0,All Schools,7,07E,GRAD,20090413,10,R,1,All Categories,All Students,N,69,41,28,59.4,40.6,51.1,6.8,18.6,2.7,11.6,1.4,48.4-53.8,0,0,0,0,0,0,1,94,764,9,Y,58,Pine,0
9-Aug,60,Polk,2609,1,WIN-E-MAC SCHOOL DISTRICT,0,All Schools,1,1,GRAD,20090413,10,R,1,All Categories,All Students,N,37,28,9,75.7,24.3,54.8,6.8,20.6,2.8,12.7,2.1,50.7-58.9,0,0,0,1,0,0,0,41,473,9,Y,60,Polk,0
9-Aug,68,Roseau,2683,1,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,0,All Schools,1,1,GRAD,20090413,10,R,1,All Categories,All Students,N,36,26,10,72.2,27.8,56.5,7.1,21,3,12.5,2.1,52.4-60.6,0,0,0,0,0,0,0,36,464,9,Y,68,Roseau,0
9-Aug,86,Wright,2687,1,HOWARD LAKE-WAVERLY-WINSTED,0,All Schools,7,07W,GRAD,20090413,10,R,1,All Categories,All Students,N,113,91,22,80.5,19.5,54.8,7.2,21,2.8,9.6,0.9,53.0-56.6,0,0,0,0,0,0,0,116,996,9,Y,86,Wright,0
9-Aug,59,Pipestone,2689,1,PIPESTONE AREA SCHOOL DISTRICT,0,All Schools,6,8,GRAD,20090413,10,R,1,All Categories,All Students,N,92,76,16,82.6,17.4,55.6,7.1,21,3.2,9.7,1,53.6-57.6,0,0,0,0,0,0,0,99,1135,9,Y,59,Pipestone,0
9-Aug,69,St. Louis,2711,1,MESABI EAST SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20090413,10,R,1,All Categories,All Students,N,44,31,13,70.5,29.5,53.9,7.1,20.1,2.9,11.8,1.8,50.4-57.4,2,0,0,1,0,0,0,48,852,9,Y,69,St. Louis,0
9-Aug,46,Martin,2752,1,FAIRMONT AREA SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,152,107,45,70.4,29.6,53.9,7.1,20,2.9,11.6,0.9,52.1-55.7,0,0,0,0,0,0,2,158,1739,9,Y,46,Martin,0
9-Aug,77,Todd,2753,1,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,0,All Schools,5,5,GRAD,20090413,10,R,1,All Categories,All Students,N,97,59,38,60.8,39.2,52.8,6.5,19.6,2.7,14.5,1.5,49.9-55.7,0,0,0,1,0,0,0,107,1119,9,Y,77,Todd,0
9-Aug,64,Redwood,2754,1,CEDAR MOUNTAIN SCHOOL DISTRICT,0,All Schools,6,8,GRAD,20090413,10,R,1,All Categories,All Students,N,33,24,9,72.7,27.3,54.2,6.9,20.5,2.8,11.9,2.1,50.1-58.3,0,0,0,0,0,0,0,38,421,9,Y,64,Redwood,0
9-Aug,77,Todd,2759,1,EAGLE VALLEY PUBLIC SCHOOL DISTRICT,0,All Schools,5,5,GRAD,20090413,10,R,1,All Categories,All Students,N,25,16,9,64,36,52.5,6.3,20.4,2.8,9.7,1.9,48.7-56.3,0,0,0,0,0,0,0,25,327,9,Y,77,Todd,0
9-Aug,79,Wabasha,2805,1,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20090413,10,R,1,All Categories,All Students,N,114,100,14,87.7,12.3,59.7,7.8,22,3.2,11.2,1.1,57.6-61.8,0,0,0,0,0,0,1,112,1068,9,Y,79,Wabasha,0
9-Aug,81,Waseca,2835,1,JANESVILLE-WALDORF-PEMBERTON,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,43,27,16,62.8,37.2,52.4,7,19.4,3,10.9,1.7,49.1-55.7,0,0,0,0,0,0,4,43,528,9,Y,81,Waseca,0
9-Aug,37,Lac qui Parle,2853,1,LAC QUI PARLE VALLEY SCHOOL DIST.,0,All Schools,6,06W,GRAD,20090413,10,R,1,All Categories,All Students,N,91,75,16,82.4,17.6,57.8,7.4,21.7,3,11,1.2,55.5-60.1,0,0,0,0,0,0,0,95,861,9,Y,37,Lac qui Parle,0
9-Aug,54,Norman,2854,1,ADA-BORUP PUBLIC SCHOOL DISTRICT,0,All Schools,1,1,GRAD,20090413,10,R,1,All Categories,All Students,N,41,34,7,82.9,17.1,57.6,7.3,21.6,3,11.6,1.8,54.1-61.1,0,0,0,0,0,0,1,47,547,9,Y,54,Norman,0
