districtNumber,districtType,districtName,year,averageScore,percentPassed
0497,01,Lyle Public School District,2013,48.5,54.5
0499,01,Leroy-Ostrander Public Schools,2013,55.8,77.8
0500,01,Southland Public School District,2013,53.5,68.1
0505,01,Fulda Public School District,2013,55.8,76.9
0507,01,Nicollet Public School District,2013,NA,NA
0508,01,St. Peter Public School District,2013,54.9,70.5
0511,01,Adrian Public School District,2013,57.2,68.3
0514,01,Ellsworth Public School District,2013,54,75
0516,01,Round Lake Public School District,2013,NA,NA
0518,01,Worthington Public School District,2013,47.6,48.4
0531,01,Byron Public School District,2013,58.6,74.1
0533,01,Dover-Eyota Public School District,2013,54.4,75.3
0534,01,Stewartville Public School District,2013,54,68.1
0535,01,Rochester Public School District,2013,55.2,67.7
0542,01,Battle Lake Public School District,2013,59,82.1
0544,01,Fergus Falls Public School District,2013,49.5,51.7
0545,01,Henning Public School District,2013,54.2,83.3
0547,01,Parkers Prairie Public School Dist.,2013,53.7,73.2
0548,01,Pelican Rapids Public School Dist.,2013,48.4,53.4
0549,01,Perham-Dent Public School District,2013,57.1,75.2
0550,01,Underwood Public School District,2013,50.9,57.9
0553,01,New York Mills Public School Dist.,2013,54.3,69.8
0561,01,Goodridge Public School District,2013,NA,NA
0564,01,Thief River Falls School District,2013,51.5,59.2
0577,01,Willow River Public School District,2013,50,56.3
0578,01,Pine City Public School District,2013,52.7,61.9
0581,01,Edgerton Public School District,2013,57.9,69.6
0592,01,Climax-Shelly Public Schools,2013,NA,NA
0593,01,Crookston Public School District,2013,50.6,56.8
0595,01,East Grand Forks Public School Dist,2013,54.3,67.2
0599,01,Fertile-Beltrami School District,2013,51.8,54.8
0600,01,Fisher Public School District,2013,59.3,95
0601,01,Fosston Public School District,2013,57.9,73.9
0621,01,Mounds View Public School District,2013,58.4,78.8
0622,01,North St Paul-Maplewood School Dist,2013,53.2,65.4
0623,01,Roseville Public School District,2013,53,64.4
0624,01,White Bear Lake School District,2013,55.7,75.9
0625,01,St. Paul Public School District,2013,48.1,48.5
0627,01,Oklee Public School District,2013,49,55
0630,01,Red Lake Falls Public School Dist.,2013,55.8,69
0640,01,Wabasso Public School District,2013,56.5,82.9
0656,01,Faribault Public School District,2013,52.9,63
0659,01,Northfield Public School District,2013,58,73.8
0671,01,Hills-Beaver Creek School District,2013,53.4,57.1
0676,01,Badger Public School District,2013,63.3,93.8
0682,01,Roseau Public School District,2013,54.5,70.7
0690,01,Warroad Public School District,2013,49.5,50
0695,01,Chisholm Public School District,2013,51.7,62.5
0696,01,Ely Public School District,2013,55,67.6
0698,01,Floodwood Public School District,2013,50.4,59.1
0700,01,Hermantown Public School District,2013,53.3,65.9
0701,01,Hibbing Public School District,2013,54.8,66.5
0704,01,Proctor Public School District,2013,52.5,59.1
0706,01,Virginia Public School District,2013,52.3,59.8
0709,01,Duluth Public School District,2013,51.5,55.6
0712,01,Mountain Iron-Buhl School District,2013,49.3,42.3
0716,01,Belle Plaine Public School District,2013,52.4,58.1
0717,01,Jordan Public School District,2013,52.3,61.4
0719,01,Prior Lake-Savage Area Schools,2013,58.4,80.2
0720,01,Shakopee Public School District,2013,53.1,67.9
0721,01,New Prague Area Schools,2013,56.2,75.3
0726,01,Becker Public School District,2013,56.9,77.6
0727,01,Big Lake Public School District,2013,55.9,76.2
0728,01,Elk River Public School District,2013,55.7,74.6
0738,01,Holdingford Public School District,2013,54.4,73.9
0739,01,Kimball Public School District,2013,50.9,62.5
0740,01,Melrose Public School District,2013,56.1,75
0741,01,Paynesville Public School District,2013,56,70.4
0742,01,St. Cloud Public School District,2013,48.7,52.4
0743,01,Sauk Centre Public School District,2013,57.4,79.1
0745,01,Albany Public School District,2013,54.3,71.1
0748,01,Sartell-St. Stephen School District,2013,59.3,82.7
0750,01,Rocori Public School District,2013,56.2,73.6
0756,01,Blooming Prairie Public School Dist,2013,52.3,66
0761,01,Owatonna Public School District,2013,55.1,70
0763,01,Medford Public School District,2013,52.9,50.9
0768,01,Hancock Public School District,2013,51.1,64.3
0769,01,Morris Public School District,2013,55.2,70.1
0771,01,Chokio-Alberta Public School Dist.,2013,56,72.7
0775,01,Kerkhoven-Murdock-Sunburg,2013,52.6,59.5
0777,01,Benson Public School District,2013,53.4,64
0786,01,Bertha-Hewitt Public School Dist.,2013,53.1,66.7
0787,01,Browerville Public School District,2013,52,66.7
0803,01,Wheaton Area Public School District,2013,57.7,80
0811,01,Wabasha-Kellogg Public School Dist.,2013,54.1,81.8
0813,01,Lake City Public School District,2013,57.1,75.9
0818,01,Verndale Public School District,2013,48.9,53.7
0820,01,Sebeka Public School District,2013,52.9,69.6
0821,01,Menahga Public School District,2013,56.4,78.7
0829,01,Waseca Public School District,2013,52,62.3
0831,01,Forest Lake Public School District,2013,55.9,74.8
0832,01,Mahtomedi Public School District,2013,62.8,91.3
0833,01,South Washington County School Dist,2013,58.3,80.6
0834,01,Stillwater Area Public School Dist.,2013,58.9,82
0836,01,Butterfield Public School District,2013,43.8,37.5
0837,01,Madelia Public School District,2013,49.7,48.3
0840,01,St. James Public School District,2013,47.5,43.8
0846,01,Breckenridge Public School District,2013,52.7,65.1
0850,01,Rothsay Public School District,2013,63,90
0852,01,Campbell-Tintah Public School Dist.,2013,50.6,54.5
0857,01,Lewiston-Altura Public School Dist.,2013,49.8,49.3
0858,01,St. Charles Public School District,2013,57.5,74.6
0861,01,Winona Area Public School District,2013,51.6,61.4
0876,01,Annandale Public School District,2013,56.8,77.3
0877,01,Buffalo-Hanover-Montrose Public Sch,2013,56.4,73
0879,01,Delano Public School District,2013,59.7,86.8
0881,01,Maple Lake Public School District,2013,56.4,82.8
0882,01,Monticello Public School District,2013,56.8,76.4
0883,01,Rockford Public School District,2013,57,79.6
0885,01,St. Michael-Albertville School Dist,2013,61.2,85.6
0891,01,Canby Public School District,2013,48.8,57.1
0911,01,Cambridge-Isanti Public School Dist,2013,56,71.4
0912,01,Milaca Public School District,2013,52.4,58.8
0914,01,Ulen-Hitterdal Public School Dist,2013,52.9,71.4
0915,52,Southern Plains Education Coop.,2013,NA,NA
0916,06,Northeast Metro 916,2013,35.3,7.1
0917,06,Intermediate School District 917,2013,35.8,9.8
0926,83,Region 4-Lakes Country Service Coop,2013,42.1,20
0930,53,Carver-Scott Educational Coop.,2013,36.8,14.6
0938,52,Meeker And Wright Special Education,2013,NA,NA
0957,51,Oak Land Vocational Cooperatve,2013,39.3,11.1
0966,51,Wright Technical Center,2013,38.4,14.6
0991,83,Regn 6 And 8-Sw/Wc Srv Cooperative,2013,36.9,14.3
0993,52,Mn River Valley Special Ed. Coop.,2013,NA,NA
1000,70,Perpich Center For Arts Education,2013,52.3,65.3
2071,01,Lake Crystal-Wellcome Memorial,2013,54.6,72
2125,01,Triton School District,2013,52.7,64.7
2134,01,United South Central School Dist.,2013,54,70.8
2135,01,Maple River School District,2013,54.2,67.1
2137,01,Kingsland Public School District,2013,56,71.4
2142,01,St. Louis County School District,2013,46.3,43.4
2143,01,Waterville-Elysian-Morristown,2013,55.2,72.6
2144,01,Chisago Lakes School District,2013,58.8,82.9
2149,01,Minnewaska School District,2013,52.5,68
2154,01,Eveleth-Gilbert School District,2013,53.2,57.9
2155,01,Wadena-Deer Creek School District,2013,53.8,63.9
2159,01,Buffalo Lk-Hector-Stewart Public Sc,2013,49.4,63.9
2164,01,Dilworth-Glyndon-Felton,2013,55.6,71.4
2165,01,Hinckley-Finlayson School District,2013,48.6,46.4
2167,01,Lakeview School District,2013,53.1,70.3
2168,01,Nrheg School District,2013,52.6,62.5
2169,01,Murray County Central School Dist.,2013,56,81.4
2170,01,Staples-Motley School District,2013,50.1,52.4
2171,01,Kittson Central School District,2013,58.7,79.2
2172,01,Kenyon-Wanamingo School District,2013,56.8,77.2
2174,01,Pine River-Backus School District,2013,49,51.6
2176,01,Warren-Alvarado-Oslo School Dist.,2013,56.2,77.8
2180,01,M.a.c.c.r.a.y. School District,2013,51.7,58.7
2184,01,Luverne Public School District,2013,59.5,87.1
2190,01,Yellow Medicine East,2013,50.6,54
2198,01,Fillmore Central,2013,50.9,57.9
2215,01,Norman County East School District,2013,55.2,75
2310,01,Sibley East School District,2013,57.3,82.7
2311,01,Clearbrook-Gonvick School District,2013,50.4,53.6
2342,01,West Central Area,2013,56.2,73.2
2358,01,Tri-County School District,2013,56.9,70.6
2364,01,Belgrade-Brooten-Elrosa School Dist,2013,55.2,72.2
2365,01,G.f.w.,2013,51.5,55.6
2396,01,A.c.g.c.,2013,53.7,76.6
2397,01,Le Sueur-Henderson School District,2013,48.8,58.2
2448,01,Martin County West School District,2013,54.2,68.5
2527,01,Norman County West School District,2013,56.3,85.7
2534,01,Bird Island-Olivia-Lake Lillian,2013,55.7,80.3
2536,01,Granada Huntley-East Chain,2013,52.2,57.9
2580,01,East Central School District,2013,49.8,50.9
2609,01,Win-E-Mac School District,2013,56.4,75.6
2683,01,Greenbush-Middle River School Dist.,2013,61.9,81.8
2687,01,Howard Lake-Waverly-Winsted,2013,55.8,75.3
2689,01,Pipestone Area School District,2013,52,68.9
2711,01,Mesabi East School District,2013,50.3,53.4
2752,01,Fairmont Area School District,2013,56.1,78.8
2753,01,Long Prairie-Grey Eagle School Dist,2013,52.6,62.9
2754,01,Cedar Mountain School District,2013,48.1,33.3
2759,01,Eagle Valley Public School District,2013,40.1,7.1
2805,01,Zumbrota-Mazeppa School District,2013,55.9,75.3
2835,01,Janesville-Waldorf-Pemberton,2013,48.8,53.7
2853,01,Lac Qui Parle Valley School Dist.,2013,54.9,70.3
2854,01,Ada-Borup Public School District,2013,54.5,68.2
2856,01,Stephen-Argyle Central Schools,2013,51,63.3
2859,01,Glencoe-Silver Lake School District,2013,53.2,65.4
2860,01,Blue Earth Area Public School,2013,54.8,67.1
2884,01,Red Rock Central School District,2013,58.5,80.6
2886,01,Glenville-Emmons School District,2013,46.8,48
2888,01,Clinton-Graceville-Beardsley,2013,53,76.5
2889,01,Lake Park Audubon School District,2013,51.6,55
2890,01,Renville County West School Dist.,2013,49,62.9
2895,01,Jackson County Central School Dist.,2013,56.6,75
2897,01,Redwood Area School District,2013,52,61.5
2898,01,Westbrook-Walnut Grove Schools,2013,52.2,63.2
2899,01,Plainview-Elgin-Millville,2013,55.9,70.8
2902,01,Rtr Public Schools,2013,54,65.9
2903,01,Ortonville Public Schools,2013,53.4,68.1
2904,01,Tracy Area Public School District,2013,52.4,62.3
2905,01,Tri-City United School District,2013,53,61
4000,07,City Academy,2013,34.3,11.1
4003,07,"New Heights School, Inc.",2013,46.6,41.2
4005,07,Metro Deaf School,2013,NA,NA
4007,07,Minnesota New Country School,2013,40.4,21.4
4008,07,Pact Charter School,2013,53.6,68.1
4015,07,Community Of Peace Academy,2013,49.7,46.4
4017,07,Minnesota Transitions Charter Sch,2013,45.7,39.6
4025,07,Cyber Village Academy,2013,NA,NA
4026,07,E.c.h.o. Charter School,2013,48.4,40
4027,07,Higher Ground Academy,2013,55.6,89.3
4031,07,Jennings Community Learning Center,2013,31,18.2
4036,07,Face To Face Academy,2013,44.3,40
4039,07,High School For Recording Arts,2013,38,21.2
4043,07,Math And Science Academy,2013,63.7,96
4049,07,Northwest Passage High School,2013,43.1,27.3
4053,07,North Lakes Academy,2013,48.9,44.2
4056,07,Rochester Off-Campus Charter High,2013,42.5,28.6
4057,07,El Colegio Charter School,2013,NA,NA
4064,07,Riverway Learning Community Chtr,2013,NA,NA
4066,07,Riverbend Academy,2013,38.7,10
4074,07,Afsa High School,2013,48.9,51.9
4075,07,Avalon School,2013,53.1,60.5
4080,07,Pillager Area Charter School,2013,NA,NA
4081,07,Discovery Public School Faribault,2013,NA,NA
4082,07,Bluesky Charter School,2013,40.7,19.4
4085,07,Harbor City International Charter,2013,53,57.8
4087,07,Sage Academy Charter School,2013,38.2,22.2
4091,07,Arcadia Charter School,2013,56.3,68.8
4092,07,Watershed High School,2013,39.7,7.7
4093,07,New Century Charter School,2013,50.4,53.8
4095,07,Trio Wolf Creek Distance Learning,2013,42.1,28.6
4098,07,Nova Classical Academy,2013,61.5,100
4102,07,Minnesota Internship Center,2013,30.6,3.7
4103,07,Hmong College Prep Academy,2013,46.5,42.9
4104,07,Paladin Academy,2013,37.6,20.7
4105,07,Great River School,2013,59.3,78
4106,07,Treknorth High School,2013,53.3,57.7
4107,07,Voyageurs Expeditionary,2013,36.6,12.5
4109,07,Sobriety High,2013,43.2,34.8
4110,07,Main Street School Performing Arts,2013,50.7,60
4111,07,Augsburg Fairview Academy,2013,35,14.3
4112,07,St Paul Conservatory Performing Art,2013,59.1,88
4119,07,Academic Arts High School,2013,36.3,13.6
4120,07,St. Croix Preparatory Academy,2013,58.9,87.1
4121,07,Ubah Medical Academy Charter School,2013,51.4,58
4122,07,Eagle Ridge Academy Charter School,2013,62.8,86.1
4126,07,Prairie Seeds Academy,2013,42.3,28.1
4131,07,Metro Schools Charter,2013,36.8,15.2
4132,07,Twin Cities Academy High School,2013,55.7,68.4
4146,07,Northern Lights Community School,2013,32.9,5
4150,07,Minnesota Online High School,2013,44.8,26.7
4151,07,Edvisions Off Campus School,2013,36.7,21.4
4160,07,Spectrum High School,2013,54.7,74.5
4163,07,Learning For Leadership Charter,2013,NA,NA
4166,07,East Range Academy Of Tech-Science,2013,40.3,21.9
4173,07,Metro Tech Academy,2013,43.1,30
4177,07,Minisinaakwaang Leadership Academy,2013,NA,NA
4178,07,Lincoln International School,2013,27.1,0
4183,07,Lionsgate Academy,2013,38.6,12.5
4190,07,Rivers Edge Academy,2013,39.2,16
4200,07,Step Academy Charter School,2013,37.6,20
4204,07,Rochester Stem Academy,2013,40.3,25
6004,61,Freshwater Ed. Dist.,2013,31.6,0
