Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
11-Oct,1,Aitkin,1,1,AITKIN PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20110412,10,R,1,All Categories,All Students,N,88,73,15,83,17,57,7.3,20.3,4.2,10.3,1.1,54.8-59.2,1,0,0,0,0,0,0,101,1288,9,Y,,,0
11-Oct,27,Hennepin,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20110412,10,R,1,All Categories,All Students,N,2047,1189,858,58.1,41.9,51.1,6.2,18.1,3.5,14.3,0.3,50.5-51.7,16,3,0,24,0,0,2,2253,33415,9,Y,,,0
11-Oct,1,Aitkin,2,1,HILL CITY PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20110412,10,R,1,All Categories,All Students,N,22,14,8,63.6,36.4,50.2,6.4,17.9,3.7,12.9,2.8,44.8-55.6,0,0,0,0,0,0,0,21,289,9,Y,,,0
11-Oct,1,Aitkin,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20110412,10,R,1,All Categories,All Students,N,32,20,12,62.5,37.5,52,6.6,18.3,3.8,11.3,2,48.1-55.9,0,0,0,0,0,0,0,34,369,9,Y,,,0
11-Oct,19,Dakota,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20110412,10,R,1,All Categories,All Students,N,191,147,44,77,23,55,7.1,19.6,3.9,12,0.9,53.3-56.7,1,0,0,0,0,0,0,202,3154,9,Y,,,0
11-Oct,2,Anoka,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20110412,10,R,1,All Categories,All Students,N,2989,2471,518,82.7,17.3,57.2,7.3,20.5,4,10.7,0.2,56.8-57.6,6,1,0,3,0,1,0,3177,38334,9,Y,,,0
11-Oct,2,Anoka,12,1,CENTENNIAL PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20110412,10,R,1,All Categories,All Students,N,510,437,73,85.7,14.3,57.9,7.7,20.6,4.1,10.1,0.4,57.0-58.8,0,0,0,0,0,0,0,567,6612,9,Y,,,0
11-Oct,2,Anoka,13,1,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,0,All Schools,11,11,GRAD,20110412,10,R,1,All Categories,All Students,N,209,115,94,55,45,49.9,6.1,17.9,3.4,13.1,0.9,48.1-51.7,0,0,2,2,0,0,0,236,2926,9,Y,,,0
11-Oct,2,Anoka,14,1,FRIDLEY PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20110412,10,R,1,All Categories,All Students,N,189,132,57,69.8,30.2,54.2,6.8,19.5,3.8,11.8,0.9,52.5-55.9,0,0,0,3,0,0,0,224,2860,9,Y,,,0
11-Oct,2,Anoka,15,1,ST. FRANCIS PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20110412,10,R,1,All Categories,All Students,N,403,329,74,81.6,18.4,55.8,7.2,20,4,10.4,0.5,54.8-56.8,0,0,0,0,0,0,0,427,5186,9,Y,,,0
