countyName,year,mortgage,free,total,percentFree
Aitkin,1990,1693,2609,4302,0.606462110646211
Anoka,1990,56052,10926,66978,0.16312819134641227
Becker,1990,4215,3935,8150,0.48282208588957054
Beltrami,1990,4826,3854,8680,0.44400921658986175
Benton,1990,4670,2661,7331,0.3629791297230937
Big Stone,1990,786,1207,1993,0.6056196688409433
Blue Earth,1990,7240,5088,12328,0.4127190136275146
Brown,1990,3824,4155,7979,0.5207419476124827
Carlton,1990,4609,4189,8798,0.47613093884973856
Carver,1990,9723,3394,13117,0.25874818937256994
Cass,1990,2933,3949,6882,0.5738157512351061
