districtNumber,districtType,districtName,year,percentEng
2580,01,EAST CENTRAL SCHOOL DISTRICT,2009,0.973821989528796
2609,01,WIN-E-MAC SCHOOL DISTRICT,2009,0.826638477801269
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DISTRICT,2009,1
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2009,0.97289156626506
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2009,0.940969162995595
2711,01,MESABI EAST SCHOOL DISTRICT,2009,0.997652582159624
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2009,0.941345600920069
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DISTRICT,2009,0.786416443252904
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2009,0.98812351543943
2769,01,MORRIS AREA PUBLIC SCHOOLS,2009,NA
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2009,0.99250936329588
2835,01,JANESVILLE-WALDORF-PEMBERTON,2009,0.998106060606061
2853,01,LAC QUI PARLE VALLEY SCHOOL DISTRICT,2009,0.939605110336818
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2009,0.957952468007313
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2009,0.986072423398329
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2009,0.868699439950218
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2009,0.939669421487603
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2009,0.965665236051502
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2009,1
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2009,0.889784946236559
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2009,0.995098039215686
2890,01,RENVILLE COUNTY WEST SCHOOL DISTRICT,2009,0.795493934142114
2895,01,JACKSON COUNTY CENTRAL SCHOOL DISTRICT,2009,0.974290780141844
2897,01,REDWOOD AREA SCHOOL DISTRICT,2009,0.974858069748581
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2009,0.680656934306569
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2009,0.948473282442748
2902,01,RTR PUBLIC SCHOOLS,2009,0.985533453887884
2903,01,ORTONVILLE PUBLIC SCHOOLS,2009,NA
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2009,NA
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2009,NA
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCHOOLS,2009,NA
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2009,NA
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2009,NA
4000,07,CITY ACADEMY,2009,1
4001,07,BLUFFVIEW MONTESSORI,2009,1
4003,07,"NEW HEIGHTS SCHOOL, INC.",2009,0.991935483870968
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2009,0.0630630630630631
4005,07,METRO DEAF SCHOOL,2009,NA
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2009,1
4008,07,PACT CHARTER SCHOOL,2009,0.980869565217391
4011,07,ATHLOS LEADERSHIP ACADEMY,2009,0.594736842105263
4015,07,COMMUNITY OF PEACE ACADEMY,2009,0.283987915407855
4016,07,WORLD LEARNER CHARTER SCHOOL,2009,1
4017,07,MINNESOTA TRANSITIONS CHARTER SCHOOL,2009,0.946368372663193
4018,07,ACHIEVE LANGUAGE ACADEMY,2009,0.329439252336449
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2009,1
4025,07,CYBER VILLAGE ACADEMY,2009,0.951923076923077
4026,07,E.C.H.O. CHARTER SCHOOL,2009,1
4027,07,HIGHER GROUND ACADEMY,2009,0.0843585237258348
4029,07,ST. PAUL CITY SCHOOL,2009,0.276190476190476
4031,07,JENNINGS COMMUNITY LEARNING CENTER,2009,1
4032,07,HARVEST PREPARATORY SCHOOL,2009,1
4035,07,LIFE PREP,2009,0.751054852320675
4036,07,FACE TO FACE ACADEMY,2009,1
4038,07,SOJOURNER TRUTH ACADEMY,2009,0.783687943262411
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2009,1
4043,07,MATH AND SCIENCE ACADEMY,2009,1
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2009,0.97029702970297
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2009,1
4053,07,NORTH LAKES ACADEMY,2009,0.995652173913044
4054,07,LA CRESCENT MONTESSORI AND STEM SCHOOL,2009,1
4055,07,NERSTRAND CHARTER SCHOOL,2009,0.987012987012987
4056,07,ROSA PARKS CHARTER HIGH SCHOOL,2009,1
4057,07,EL COLEGIO CHARTER SCHOOL,2009,0.557692307692308
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHARTER,2009,1
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2009,1
4064,07,RIVERWAY LEARNING COMMUNITY CHARTER,2009,0.976190476190476
4066,07,KATO PUBLIC CHARTER SCHOOL,2009,1
4067,07,AURORA CHARTER SCHOOL,2009,0.0620915032679739
4068,07,EXCELL ACADEMY CHARTER,2009,0.934782608695652
4070,07,HOPE COMMUNITY ACADEMY,2009,0.118881118881119
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCHOOL,2009,0.335616438356164
4074,07,AFSA HIGH SCHOOL,2009,0.985915492957746
4075,07,AVALON SCHOOL,2009,0.966850828729282
4077,07,TWIN CITIES INTERNATIONAL ELEMENTARY SCHOOL,2009,0.015817223198594
4078,07,MINNESOTA INTERNATIONAL MIDDLE CHARTER,2009,0.0191693290734824
4079,07,FRIENDSHIP ACADEMY OF FINE ARTS CHARTER,2009,1
4080,07,PILLAGER AREA CHARTER SCHOOL,2009,1
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2009,0.941176470588235
4082,07,BLUESKY CHARTER SCHOOL,2009,0.995115995115995
4083,07,RIDGEWAY COMMUNITY SCHOOL,2009,1
4084,07,NORTH SHORE COMMUNITY SCHOOL,2009,1
4085,07,HARBOR CITY INTERNATIONAL CHARTER,2009,0.99492385786802
4087,07,SAGE ACADEMY CHARTER SCHOOL,2009,0.909090909090909
4088,07,URBAN ACADEMY CHARTER SCHOOL,2009,0.76
4089,07,NEW CITY SCHOOL,2009,0.984126984126984
4090,07,PRAIRIE CREEK COMMUNITY SCHOOL,2009,1
4091,07,ARCADIA CHARTER SCHOOL,2009,0.957627118644068
4092,07,WATERSHED HIGH SCHOOL,2009,0.97752808988764
4093,07,NEW CENTURY ACADEMY,2009,1
4095,07,TRIO WOLF CREEK DISTANCE LEARNING,2009,1
4097,07,"PARTNERSHIP ACADEMY, INC.",2009,0.0964285714285714
4098,07,NOVA CLASSICAL ACADEMY,2009,0.910669975186104
4100,07,GREAT EXPECTATIONS,2009,1
4102,07,MINNESOTA INTERNSHIP CENTER,2009,0.606280193236715
4103,07,HMONG COLLEGE PREP ACADEMY,2009,0.00208333333333333
4104,07,PALADIN CAREER AND TECHNICAL HIGH SCHOOL,2009,0.993464052287582
4105,07,GREAT RIVER SCHOOL,2009,0.987012987012987
4106,07,TREKNORTH HIGH SCHOOL,2009,1
4107,07,VOYAGEURS EXPEDITIONARY,2009,1
4110,07,PIM ARTS HIGH SCHOOL,2009,1
4111,07,AUGSBURG FAIRVIEW ACADEMY,2009,0.785714285714286
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2009,0.982543640897756
4113,07,SPERO ACADEMY,2009,0.985915492957746
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEMY,2009,1
4118,07,KALEIDOSCOPE CHARTER SCHOOL,2009,1
4119,07,ACADEMIC ARTS HIGH SCHOOL,2009,0.905405405405405
4120,07,ST. CROIX PREPARATORY ACADEMY,2009,0.988748241912799
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2009,0.0165289256198347
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2009,1
4124,07,BEACON ACADEMY,2009,0.978201634877384
4126,07,PRAIRIE SEEDS ACADEMY,2009,0.0135135135135135
4127,07,TEAM ACADEMY,2009,0.84
4131,07,METRO SCHOOLS CHARTER,2009,0.0653061224489796
4132,07,TWIN CITIES ACADEMY HIGH SCHOOL,2009,0.911764705882353
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2009,0.0152284263959391
4137,07,SWAN RIVER MONTESSORI CHARTER SCHOOL,2009,1
4138,07,MILROY AREA CHARTER SCHOOL,2009,0.959183673469388
4139,07,LOVEWORKS ACADEMY FOR ARTS,2009,1
4140,07,YINGHUA ACADEMY,2009,0.899122807017544
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2009,1
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCHOOL,2009,NA
4144,07,GREEN ISLE COMMUNITY SCHOOL,2009,0.965909090909091
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2009,1
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2009,1
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2009,1
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2009,0.935064935064935
4152,07,TWIN CITIES GERMAN IMMERSION CHARTER SCHOOL,2009,0.929936305732484
4153,07,DUGSI ACADEMY,2009,NA
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2009,1
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2009,0.994117647058824
4160,07,SPECTRUM HIGH SCHOOL,2009,1
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2009,1
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2009,1
4163,07,LEARNING FOR LEADERSHIP CHARTER,2009,0.718232044198895
4164,07,LAURA JEFFREY ACADEMY CHARTER,2009,0.938775510204082
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2009,1
4167,07,INTERNATIONAL SPANISH LANGUAGE ACADEMY,2009,0.991735537190083
4168,07,GLACIAL HILLS ELEMENTARY,2009,1
4169,07,STONEBRIDGE WORLD SCHOOL,2009,0.973214285714286
4170,07,HIAWATHA ACADEMIES,2009,0.438144329896907
4171,07,NOBLE ACADEMY,2009,0.0994475138121547
4172,07,CLARKFIELD CHARTER SCHOOL,2009,1
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2009,1
4178,07,LINCOLN INTERNATIONAL SCHOOL,2009,0.0134228187919463
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2009,0.0247678018575851
4183,07,LIONSGATE ACADEMY,2009,1
4184,07,ASPEN ACADEMY,2009,1
4185,07,DAVINCI ACADEMY,2009,0.947058823529412
4186,07,GLOBAL ACADEMY,2009,0.136029411764706
4187,07,NATURAL SCIENCE ACADEMY,2009,1
4188,07,COLOGNE ACADEMY,2009,0.963235294117647
4189,07,BRIGHT WATER ELEMENTARY,2009,0.86046511627907
4190,07,RIVERS EDGE ACADEMY,2009,NA
4191,07,KIPP MINNESOTA CHARTER SCHOOL,2009,0.971830985915493
4192,07,BEST ACADEMY,2009,1
4193,07,COLLEGE PREPARATORY ELEMENTARY,2009,NA
4194,07,CANNON RIVER STEM SCHOOL,2009,NA
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2009,NA
4198,07,DISCOVERY WOODS,2009,NA
4199,07,PARNASSUS PREPARATORY CHARTER SCHOOL,2009,NA
4200,07,STEP ACADEMY CHARTER SCHOOL,2009,NA
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2009,NA
4204,07,ROCHESTER STEM ACADEMY,2009,NA
4205,07,HENNEPIN ELEMENTARY SCHOOL,2009,NA
4207,07,VERMILION COUNTRY SCHOOL,2009,NA
4208,07,NASHA SHKOLA CHARTER SCHOOL,2009,NA
4209,07,MASTERY SCHOOL,2009,NA
4210,07,UPPER MISSISSIPPI ACADEMY,2009,NA
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2009,NA
4213,07,PRODEO ACADEMY,2009,NA
4215,07,SEJONG ACADEMY OF MINNESOTA,2009,NA
4217,07,TECHNICAL ACADEMIES OF MINNESOTA,2009,NA
4218,07,VENTURE ACADEMY,2009,NA
4219,07,NORTHEAST COLLEGE PREP,2009,NA
4220,07,AGAMIM CLASSICAL ACADEMY,2009,NA
4221,07,DISCOVERY CHARTER SCHOOL,2009,NA
4223,07,SAINT CLOUD MATH AND SCIENCE ACADEMY CHARTER SCHOOL,2009,NA
4224,07,STAR OF THE NORTH ACADEMY CHARTER SCHOOL,2009,NA
4225,07,UNIVERSAL ACADEMY CHARTER SCHOOL,2009,NA
4226,07,BDOTE LEARNING CENTER,2009,NA
4227,07,ART AND SCIENCE ACADEMY,2009,NA
4228,07,WOODBURY LEADERSHIP ACADEMY,2009,NA
4229,07,JANE GOODALL ENVIRONMENTAL SCIENCE ACADEMY,2009,NA
4230,07,MINNESOTA EXCELLENCE IN LEARNING ACADEMY,2009,NA
4231,07,MINNESOTA MATH AND SCIENCE ACADEMY,2009,NA
4232,07,SUCCESS ACADEMY,2009,NA
4233,07,LEVEL UP ACADEMY,2009,NA
4237,07,CAREER PATHWAYS,2009,NA
4238,07,ROCHESTER BEACON ACADEMY,2009,NA
4239,07,TESFA INTERNATIONAL SCHOOL,2009,NA
4240,07,NEW CENTURY SCHOOL,2009,NA
4243,07,NORTH METRO FLEX ACADEMY,2009,NA
4244,07,FIT ACADEMY,2009,NA
4246,07,BIG PICTURE TWIN CITIES,2009,NA
4250,07,ATHLOS ACADEMY OF SAINT CLOUD,2009,NA
4254,07,MARINE AREA COMMUNITY SCHOOL,2009,NA
6004,61,FRESHWATER EDUCATION DISTRICT,2009,1
6012,61,ZUMBRO EDUCATION DISTRICT,2009,1
6013,61,HIAWATHA VALLEY EDUCATION DISTRICT,2009,0.991228070175439
6014,61,RUNESTONE AREA EDUCATION DISTRICT,2009,1
6018,61,MINNESOTA RIVER VALLEY EDUCATION DISTRICT,2009,1
6026,61,WEST CENTRAL EDUCATION DISTRICT,2009,1
6027,61,MINNESOTA VALLEY EDUCATION DISTRICT,2009,0.875
6049,61,RIVER BEND EDUCATION DISTRICT,2009,0.989583333333333
6051,61,GOODHUE COUNTY EDUCATION DISTRICT,2009,1
6074,50,CENTRAL MINNESOTA JOINT POWERS DISTRICT,2009,0.977272727272727
6076,50,NORTHLAND LEARNING CENTER,2009,1
6079,52,RUM RIVER SPECIAL EDUCATION COOPERATIVE,2009,1
6083,52,SOUTHERN MINNESOTA EDUCATION CONSORTIUM,2009,NA
6090,52,SHERBURNE AND NORTHERN WRIGHT SPECIAL EDUCATION COOPERATIVE,2009,NA
6094,52,CANNON VALLEY SPECIAL EDUCATION COOPERATIVE,2009,NA
6095,52,AUSTIN ALBERT LEA AREA SPECIAL EDUCATION COOPERATIVE,2009,NA
6096,52,NORTHERN LIGHTS ACADEMY COOPERATIVE,2009,NA
6383,61,BENTON-STEARNS EDUCATION DISTRICT,2009,0.972222222222222
6979,61,MID STATE EDUCATION DISTRICT,2009,1
9999,99,STATEWIDE,2009,0.882971065597292
0000,01,Minneapolis-St. Paul International Airport,2009,NA
2759,01,Eagle Valley,2009,NA
0323,02,Franconia,2009,NA
0815,02,Prinsburg,2009,NA
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2010,0.997639653815893
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2010,0.701922217255253
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2010,1
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2010,1
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,2010,0.853960396039604
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,2010,0.871355498721228
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2010,0.957027225901398
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DISTRICT,2010,0.620486111111111
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2010,0.854144432586268
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2010,0.959517177344475
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2010,0.86466483400296
0022,01,DETROIT LAKES PUBLIC SCHOOL DISTRICT,2010,0.996339677891654
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DISTRICT,2010,0.9921875
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2010,1
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2010,0.994195688225539
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2010,0.991883116883117
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2010,1
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2010,0.881578947368421
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2010,0.98967110627888
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2010,1
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2010,0.993150684931507
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2010,0.93104900997051
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2010,0.987096774193548
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2010,0.753943217665615
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2010,0.961937716262976
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2010,0.980402010050251
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2010,0.997297297297297
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2010,0.998137802607076
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2010,0.996223248006714
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2010,1
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2010,0.997241379310345
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2010,0.998259355961706
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2010,0.996960486322188
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2010,0.944388270980789
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2010,0.9817437834435
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DISTRICT,2010,0.993678887484197
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2010,0.897899254574204
0113,01,WALKER-HACKENSACK-AKELEY SCHOOL DISTRICT,2010,0.993564993564994
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2010,1
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2010,0.993564993564994
0118,01,NORTHLAND COMMUNITY SCHOOLS,2010,1
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2010,0.933382679496669
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2010,0.98107431116059
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2010,0.991916859122402
0146,01,BARNESVILLE PUBLIC SCHOOL DISTRICT,2010,1
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2010,0.942157953281424
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2010,0.889199255121043
0160,70,MINNESOTA STATE ACADEMIES,2010,0.277456647398844
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2010,1
0166,01,COOK COUNTY PUBLIC SCHOOLS,2010,0.997971602434077
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2010,0.764453961456103
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2010,0.918591859185919
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2010,0.997001948733323
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DISTRICT,2010,0.996509598603839
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2010,1
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2010,0.76338199513382
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2010,0.932213930348259
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2010,0.962879741146863
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2010,1
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2010,0.887759627466923
0197,01,WEST ST. PAUL-MENDOTA HEIGHTS-EAGAN,2010,0.805847418912746
0199,01,INVER GROVE HEIGHTS SCHOOLS,2010,0.881130063965885
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2010,0.975747438845913
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2010,0.972081218274112
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2010,0.978825794032724
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2010,0.995243128964059
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2010,0.987341772151899
0227,01,CHATFIELD PUBLIC SCHOOLS,2010,0.98729792147806
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2010,1
0238,01,MABEL-CANTON PUBLIC SCHOOL DISTRICT,2010,1
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2010,0.998420221169036
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2010,0.871874035196048
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2010,0.995833333333333
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2010,0.993569131832797
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2010,0.944606413994169
0255,01,PINE ISLAND PUBLIC SCHOOL DISTRICT,2010,1
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2010,0.968356706220784
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2010,0.996296296296296
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2010,1
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2010,0.885626826213997
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2010,0.805398991397211
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2010,0.865827226751987
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2010,0.916624937406109
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2010,0.95374004043287
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2010,0.966863368134362
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2010,0.973607038123167
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2010,0.781472452462214
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2010,0.564318529862175
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2010,0.829593744688084
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2010,0.885474860335196
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DISTRICT,2010,0.877047289504037
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2010,0.897460842494406
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2010,0.731456657730116
0287,06,INTERMEDIATE DISTRICT 313,2010,0.869716270990156
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2010,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2010,0.99945295404814
0297,01,SPRING GROVE SCHOOL DISTRICT,2010,1
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2010,0.997350993377483
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2010,1
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2010,1
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2010,1
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2010,0.994712491738268
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2010,0.983870967741935
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2010,1
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2010,1
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2010,0.99297789336801
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2010,1
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2010,0.857594936708861
0332,01,MORA PUBLIC SCHOOL DISTRICT,2010,0.999437570303712
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2010,0.995024875621891
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2010,0.986357435197817
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2010,0.731582786287381
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2010,1
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2010,0.995271867612293
0362,01,LITTLEFORK-BIG FALLS SCHOOL DISTRICT,2010,0.990476190476191
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2010,0.994550408719346
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2010,0.992015968063872
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DISTRICT,2010,0.999281092739037
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2010,0.996316758747698
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2010,1
0397,52,LAKE AGASSIZ SPECIAL EDUCATION COOPERATIVE,2010,1
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2010,1
0403,01,IVANHOE PUBLIC SCHOOL DISTRICT,2010,0.986666666666667
0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,2010,0.988636363636364
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2010,0.868445692883895
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2010,0.940397350993378
0415,01,LYND PUBLIC SCHOOL DISTRICT,2010,0.675675675675676
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2010,0.966928060006819
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DISTRICT,2010,0.906329113924051
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2010,1
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCHOOL,2010,1
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2010,1
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2010,1
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2010,0.967637540453074
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2010,0.998863636363636
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2010,0.948950652297221
0466,01,DASSEL-COKATO PUBLIC SCHOOL DISTRICT,2010,0.989172802078822
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2010,1
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2010,0.996184326386851
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2010,0.995756718528996
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2010,0.984419844198442
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2010,0.994328922495274
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2010,1
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2010,0.988980716253444
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2010,1
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2010,0.797342940779104
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2010,0.997340425531915
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2010,1
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2010,0.983108108108108
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2010,0.97153024911032
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2010,0.960106382978723
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2010,0.967647058823529
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2010,0.909550561797753
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2010,0.979310344827586
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2010,1
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2010,0.547138047138047
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2010,1
