GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,EX8001
G2701050,1990,,,,,,,,,,Nobles,105,,4,9999,,9999,2,Minnesota,27,,,,,Nobles County,1951
G2701070,1990,,,,,,,,,,Norman,107,,4,9999,,9999,2,Minnesota,27,,,,,Norman County,1942
G2701090,1990,,,,,,,,,,Olmsted,109,,4,6820,,9999,2,Minnesota,27,,,,,Olmsted County,1967
G2701110,1990,,,,,,,,,,Otter Tail,111,,4,9999,,9999,2,Minnesota,27,,,,,Otter Tail County,1963
G2701130,1990,,,,,,,,,,Pennington,113,,4,9999,,9999,2,Minnesota,27,,,,,Pennington County,1962
G2701150,1990,,,,,,,,,,Pine,115,,4,9999,,9999,2,Minnesota,27,,,,,Pine County,1970
G2701170,1990,,,,,,,,,,Pipestone,117,,4,9999,,9999,2,Minnesota,27,,,,,Pipestone County,1947
G2701190,1990,,,,,,,,,,Polk,119,,4,9999,,9999,2,Minnesota,27,,,,,Polk County,1959
G2701210,1990,,,,,,,,,,Pope,121,,4,9999,,9999,2,Minnesota,27,,,,,Pope County,1953
G2701230,1990,,,,,,,,,,Ramsey,123,,4,5120,,9999,2,Minnesota,27,,,,,Ramsey County,1958
G2701250,1990,,,,,,,,,,Red Lake,125,,4,9999,,9999,2,Minnesota,27,,,,,Red Lake County,1954
G2701270,1990,,,,,,,,,,Redwood,127,,4,9999,,9999,2,Minnesota,27,,,,,Redwood County,1951
G2701290,1990,,,,,,,,,,Renville,129,,4,9999,,9999,2,Minnesota,27,,,,,Renville County,1950
G2701310,1990,,,,,,,,,,Rice,131,,4,9999,,9999,2,Minnesota,27,,,,,Rice County,1962
G2701330,1990,,,,,,,,,,Rock,133,,4,9999,,9999,2,Minnesota,27,,,,,Rock County,1952
G2701350,1990,,,,,,,,,,Roseau,135,,4,9999,,9999,2,Minnesota,27,,,,,Roseau County,1971
G2701370,1990,,,,,,,,,,St Louis,137,,4,2240,,9999,2,Minnesota,27,,,,,St. Louis County,1952
G2701390,1990,,,,,,,,,,Scott,139,,4,5120,,9999,2,Minnesota,27,,,,,Scott County,1974
G2701410,1990,,,,,,,,,,Sherburne,141,,4,6980,,9999,2,Minnesota,27,,,,,Sherburne County,1975
G2701430,1990,,,,,,,,,,Sibley,143,,4,9999,,9999,2,Minnesota,27,,,,,Sibley County,1947
G2701450,1990,,,,,,,,,,Stearns,145,,4,6980,,9999,2,Minnesota,27,,,,,Stearns County,1970
G2701470,1990,,,,,,,,,,Steele,147,,4,9999,,9999,2,Minnesota,27,,,,,Steele County,1958
G2701490,1990,,,,,,,,,,Stevens,149,,4,9999,,9999,2,Minnesota,27,,,,,Stevens County,1956
G2701510,1990,,,,,,,,,,Swift,151,,4,9999,,9999,2,Minnesota,27,,,,,Swift County,1946
G2701530,1990,,,,,,,,,,Todd,153,,4,9999,,9999,2,Minnesota,27,,,,,Todd County,1961
G2701550,1990,,,,,,,,,,Traverse,155,,4,9999,,9999,2,Minnesota,27,,,,,Traverse County,1942
G2701570,1990,,,,,,,,,,Wabasha,157,,4,9999,,9999,2,Minnesota,27,,,,,Wabasha County,1960
G2701590,1990,,,,,,,,,,Wadena,159,,4,9999,,9999,2,Minnesota,27,,,,,Wadena County,1962
G2701610,1990,,,,,,,,,,Waseca,161,,4,9999,,9999,2,Minnesota,27,,,,,Waseca County,1957
G2701630,1990,,,,,,,,,,Washington,163,,4,5120,,9999,2,Minnesota,27,,,,,Washington County,1973
G2701650,1990,,,,,,,,,,Watonwan,165,,4,9999,,9999,2,Minnesota,27,,,,,Watonwan County,1949
G2701670,1990,,,,,,,,,,Wilkin,167,,4,9999,,9999,2,Minnesota,27,,,,,Wilkin County,1950
G2701690,1990,,,,,,,,,,Winona,169,,4,9999,,9999,2,Minnesota,27,,,,,Winona County,1950
G2701710,1990,,,,,,,,,,Wright,171,,4,5120,,9999,2,Minnesota,27,,,,,Wright County,1972
G2701730,1990,,,,,,,,,,Yellow Medicine,173,,4,9999,,9999,2,Minnesota,27,,,,,Yellow Medicine County,1947
