countyName,year,yearBuilt
Faribault,2017,1951
Fillmore,2017,1964
Freeborn,2017,1958
Goodhue,2017,1973
Grant,2017,1966
Hennepin,2017,1970
Houston,2017,1971
Hubbard,2017,1984
Isanti,2017,1985
Itasca,2017,1977
Jackson,2017,1956
Kanabec,2017,1979
Kandiyohi,2017,1975
Kittson,2017,1966
Koochiching,2017,1972
Lac Qui Parle,2017,1950
Lake,2017,1966
Lake Of The Woods,2017,1983
Le Sueur,2017,1974
Lincoln,2017,1958
Lyon,2017,1971
McLeod,2017,1973
Mahnomen,2017,1973
Marshall,2017,1969
Martin,2017,1956
Meeker,2017,1972
Mille Lacs,2017,1980
Morrison,2017,1977
Mower,2017,1956
Murray,2017,1960
Nicollet,2017,1977
Nobles,2017,1962
Norman,2017,1962
Olmsted,2017,1983
Otter Tail,2017,1977
Pennington,2017,1972
Pine,2017,1985
Pipestone,2017,1954
Polk,2017,1971
Pope,2017,1972
Ramsey,2017,1963
Red Lake,2017,1971
Redwood,2017,1958
Renville,2017,1957
Rice,2017,1977
Rock,2017,1958
Roseau,2017,1979
St Louis,2017,1960
Scott,2017,1994
Sherburne,2017,1993
Sibley,2017,1960
Stearns,2017,1982
Steele,2017,1972
Stevens,2017,1967
Swift,2017,1958
Todd,2017,1973
Traverse,2017,1956
Wabasha,2017,1973
Wadena,2017,1972
Waseca,2017,1971
Washington,2017,1990
Watonwan,2017,1951
Wilkin,2017,1964
Winona,2017,1968
Wright,2017,1992
Yellow Medicine,2017,1954
