districtName,actCode,year,score
Red Lake Independent Sd 38,247036,2017,14.9
Red Rock Central Ind Sd 2884,247668,2017,21.3
Red Wing School District 256,247264,2017,22
Redwood Falls Sch Dist 2897,247674,2017,20.4
Renville Co West Sch Dist 2890,247698,2017,20.6
Richfield School District 280,247300,2017,18
Robbinsdale Ind Sch Dist 281,247302,2017,19.4
Rochester School District 535,247566,2017,22.2
Rockford School District 883,247918,2017,20.9
Rocori Ind Sch Dist 750,247808,2017,22.5
Roseau School District 682,247720,2017,19.7
Rosemount-Apple Vly-Eagan 196,247180,2017,23.1
Roseville Area Sch Dist 623,247652,2017,21.1
Rothsay School District 850,247896,2017,20
Royalton School District 485,247512,2017,21.7
Rush City Ind School Dist 139,247128,2017,19.3
Rushford-Peterson Isd 239,247240,2017,22.1
Russell Tyler Ruthton Sd 2902,247412,2017,21.3
Sartell-St Stephen Isd 748,247804,2017,23.3
Sauk Centre School Dist 743,247806,2017,20.6
Sauk Rapids-Rice Sch Dist 47,247042,2017,20.5
Sebeka Ind School District 820,247866,2017,21
Shakopee School District 720,247768,2017,21.4
Sibley East Ind Sch Dist 2310,247782,2017,21.2
Sleepy Eye School District 84,247068,2017,19.2
South Koochiching Sd 363,247382,2017,18.5
South St Paul Special Sd 6,247182,2017,21.2
South Washington Co Sd 833,247882,2017,22.7
Southland School District 500,247524,2017,19.3
Spring Grove School Dist 297,247322,2017,19.6
Spring Lake Park Sd 16,247018,2017,20.7
Springfield School District 85,247070,2017,22.2
St Anthony-New Brighton Sd 282,247304,2017,22.9
St Charles Ind School Dist 858,247900,2017,20.5
St Clair School District 75,247062,2017,20.2
St Cloud Ind Sch Dist 742,247802,2017,19.5
St James School District 840,247890,2017,19
St Louis Co Isd 2142,247756,2017,19.2
St Louis Park School Dist 283,247306,2017,21.4
St Michael-Albertville Sd 885,247916,2017,23.1
St Paul Independent Sd 625,247656,2017,18.5
St Peter Ind School Dist 508,247534,2017,22.1
Staples-Motley Isd 2170,247842,2017,19.8
Stephen-Argyle Central Sd 2856,247460,2017,21.2
Stewartville School Dist 534,247568,2017,22.3
Stillwater School Dist 834,247884,2017,23.3
Swanville School District 486,247504,2017,18
Thief River Falls Sd 564,247592,2017,20.9
Tracy Ind School District 2904,247428,2017,20.4
Tri-County Ind Sch Dist 2358,247372,2017,21.3
Triton Ind School Dist 2125,247192,2017,20.5
Truman School District 458,247474,2017,19.1
Ulen-Hitterdal Sch Dist 914,247142,2017,20.2
Underwood School District 550,247588,2017,20.8
United South Central Isd 2134,247222,2017,20.5
Upsala Area School Dist 487,247506,2017,20.1
Verndale Ind School Dist 818,247862,2017,18.2
Virginia Public Sch Dist 706,247752,2017,21.6
W St Paul-Mendota-Eagan Sd 197,247184,2017,22.4
Wabasha-Kellogg Isd 811,247858,2017,20.4
Wabasso School District 640,247678,2017,21.1
Waconia School District 110,247096,2017,22.5
Wadena-Deer Creek Sd 2155,247864,2017,20
Walker-Hackensack-Akeley 113,247112,2017,18.8
Warren-Alvarado-Oslo Sd 2176,247464,2017,24
Warroad School District 690,247722,2017,20.7
Waseca Public School Dist,247876,2017,21.3
Watertown-Mayer Sch Dist 111,247098,2017,20.5
Watrvle-Elysian-Mrstwn Sd 2143,247404,2017,20.6
Waubun-Ogema-White Earth Psd,247446,2017,17.4
Wayzata School District 284,247308,2017,25.4
West Central Area Sd 2342,247206,2017,19.7
Westbrook-Walnut Grove Sd 2898,247158,2017,19.6
Westonka Ind School Dist 277,247294,2017,23.5
Wheaton School District 803,247848,2017,21.3
White Bear Lake Area Isd 624,247654,2017,21.6
Willmar School District 347,247364,2017,19.2
Willow River School Dist 577,247606,2017,18.3
Win-E-Mac School Dist 2609,247632,2017,19.3
Windom School District 177,247160,2017,20.5
Winona Area Public School Dist,247902,2017,20.7
Worthington School Dist 518,247542,2017,18.2
Wrenshall School District 100,247088,2017,19.2
Wright School District 966,247920,2017,16
Yellow Medicine East Sd 2190,247928,2017,20.5
Zumbrota-Mazeppa Isd 2805,247854,2017,21.5
Ada-Borup School District 2854,247550,2016,21.2
Adrian Ind School District 511,247544,2016,20.7
Aitkin Ind School District 1,247002,2016,19.7
Albany Area Sch District 745,247788,2016,21.2
Albert Lea Area Schools,247246,2016,19.2
Alden-Conger Ind Sch Dist 242,247248,2016,21.1
Alexandria Ind School Dist 206,247200,2016,21.1
Annandale Ind School Dist 876,247906,2016,20.6
Anoka-Hennepin Ind Sch Dist 11,247008,2016,20.7
Ashby Ind School District 261,247270,2016,18.7
Atwater-Cosmos-Grove City Sd,247358,2016,19.8
Austin Ind School District 492,247518,2016,19
Badger Ind School District 676,247716,2016,19.7
Bagley Ind School District 162,247146,2016,19.7
Barnesville Ind Sch Dist 146,247132,2016,19.5
Barnum Ind School District 91,247076,2016,20.4
Battle Lake Ind Sch Dist 542,247572,2016,21
Becker Ind School District 726,247770,2016,21.2
Belgrade-Brootn-Elrosa Sd 2364,247790,2016,20.3
Belle Plaine Ind Sch Dist 716,247760,2016,20.2
Bemidji Ind School District 31,247030,2016,21.4
Benson Ind School District 777,247826,2016,20.2
Bertha-Hewitt Ind Sch Dist 786,247830,2016,18
Big Lake Ind School Dist 727,247772,2016,20.2
Blackduck Ind School Dist 32,247032,2016,19.2
Blooming Prairie Ind Sd 756,247810,2016,19.7
Bloomington Pub Sch Dist 271,247280,2016,21.5
Blue Earth Area Ind Sd 2860,247210,2016,19.1
Bold School District,247682,2016,18.8
Braham Ind School District 314,247332,2016,19.1
Brainerd Ind School Dist 181,247162,2016,20.4
Brandon-Evansville Isd 2908,247202,2016,20
Breckenridge Ind Sch Dist 846,247892,2016,20.4
Brooklyn Center Ind Sd 286,247282,2016,16.6
Browerville Ind Sch Dist 787,247832,2016,19.9
Buffalo Hanover Montrose Sd,247908,2016,21.2
Buffalo Lake-Hector Isd 2159,247692,2016,18.9
Burnsville-Eagan-Savage Sd 191,247170,2016,21.3
Butterfield-Odin Ind Sd 836,247886,2016,17
Byron Ind School District 531,247562,2016,22.4
Caledonia Ind School Dist 299,247316,2016,20.7
Cambridge-Isanti Sch Dist 911,247334,2016,20.2
Campbell-Tintah Ind Sd 852,247894,2016,21.2
Canby Ind School District 891,247922,2016,20.3
Cannon Falls Ind Sch Dist 252,247256,2016,21.8
Carlton Ind School District 93,247078,2016,17.9
Cass Lake-Bena Ind Sd 115,247106,2016,15.7
Cedar Mountain Sch Dist 2754,247672,2016,19.5
Centennial Ind School Dist 12,247010,2016,22.5
Central School District 108,247094,2016,22.1
Chatfield Pub School Dist 227,247570,2016,21.5
Chisago Lakes Isd 2144,247124,2016,20.6
Chisholm Ind School Dist 695,247728,2016,19.1
Chokio-Alberta Ind Sd 771,247822,2016,20.1
Clearbrook-Gonvick Sd 2311,247148,2016,19.3
Cleveland Public Sch Dist 391,247396,2016,19.9
Climax-Shelly Ind Sch Dist 592,247618,2016,18.1
Clnton-Gracevl-Brdsley Sd 2888,247046,2016,21.2
Cloquet Ind School District 94,247080,2016,21
Columbia Heights Isd 13,247012,2016,17.3
Comfrey Ind School District 81,247064,2016,17
Cook Co Sch Dist 166,247152,2016,20.8
Cromwell-Wright Ind Sd 95,247082,2016,21.2
Crookston Ind School Dist 593,247620,2016,19.7
Crosby-Ironton School Dist 182,247164,2016,21.3
Dassel-Cokato Ind Sch Dist 466,247486,2016,20.1
Dawson-Boyd Isd 378,247388,2016,20.7
Deer River Ind School Dist 317,247340,2016,18.8
Delano Ind School District 879,247910,2016,22.7
Detroit Lakes Ind Sch Dist 22,247022,2016,20.6
Dilworth-Glyndn-Feltn Isd 2164,247134,2016,20.9
Dover-Eyota Ind Sch Dist 533,247564,2016,21.4
Duluth Ind School District 709,247730,2016,21
East Central Isd 2580,247604,2016,19.1
East Grand Forks Ind Sd 595,247622,2016,19.3
Eastern Carver Co Schools,247092,2016,23.1
Eden Prairie Ind Sch Dist 272,247284,2016,24.5
Eden Valley-Watkins Ind Sd 463,247488,2016,19.9
Edgerton Ind School Dist 581,247610,2016,20
Edina Public School Dist 273,247286,2016,25.7
Elk River Ind School Dist 728,247774,2016,21.9
Ellsworth Ind School Dist 514,247540,2016,18.3
Ely Ind School District 696,247732,2016,21.8
Esko Ind School District 99,247086,2016,22.7
Eveleth-Gilbert Sch Dist 2154,247734,2016,18.8
Fairmont Area School Dist 2752,247466,2016,21
Faribault Ind School Dist 656,247702,2016,19.2
Farmington Ind School Dist 192,247172,2016,21.3
Fergus Falls Ind Sch Dist 544,247576,2016,20.6
Fertile-Beltrami Ind Sd 599,247626,2016,19.4
Fillmore Central Sch Dist 2198,247238,2016,20.1
Fisher Ind School District 600,247628,2016,19.5
Floodwood Ind School Dist 698,247736,2016,17.4
Foley Ind School District 51,247040,2016,19.7
Forest Lake Ind Sch Dist 831,247878,2016,20.6
Fosston Ind School Dist 601,247630,2016,20.1
Frazee-Vergas Ind Sch Dist 23,247024,2016,20.4
Fridley Ind School District 14,247014,2016,19.5
Fulda Ind School District 505,247528,2016,19.8
Gfw Public School Dist 2365,247688,2016,18.1
Glencoe Silver Lake Isd 2859,247432,2016,20.6
Glenville-Emmons Isd 2886,247250,2016,18.6
Goodhue Ind School Dist 253,247258,2016,18.9
Goodridge Ind School Dist 561,247590,2016,18.4
Granada-Huntley-East Chain Sd,247470,2016,17.9
Grand Meadow Pub Sch Dist 495,247520,2016,19.5
Grand Rapids Ind Sch Dist 318,247342,2016,20.2
Greenbush-Middle River Sd 2683,247718,2016,21.6
Greenway Ind School Dist 316,247338,2016,19.6
Grygla Ind School District 447,247458,2016,19.7
Hancock Ind Sch Dist 768,247818,2016,20.5
Hastings Ind School Dist 200,247174,2016,21.5
Hawley Ind School District 150,247138,2016,21.2
Hayfield Ind School Dist 203,247194,2016,21
Hendricks Ind School Dist 402,247406,2016,NA
Henning Ind School Dist 545,247578,2016,21.3
Herman-Norcross Cmty Sd 264,247278,2016,NA
Hermantown Ind School Dist 700,247740,2016,22.1
Heron Lake-Okabena Isd 330,247346,2016,17.3
Hibbing Ind School Dist 701,247742,2016,21.1
Hill City Ind School Dist 2,247004,2016,19.6
Hills-Beaver Creek Ind Sd 671,247708,2016,20.7
Hinckley-Finlayson Psd 2165,247600,2016,18.8
Holdingford Ind Sch Dist 738,247794,2016,20.4
Hopkins Ind School Dist 270,247288,2016,21.6
Houston Ind School Dist 294,247318,2016,20.7
Hutchinson Ind School Dist 423,247434,2016,21.3
Independent School District 15,247016,2016,20.3
Independent Sd 2687,247912,2016,21.5
International Falls Ind Sd 361,247380,2016,19
Inver Grove Heights Isd 199,247186,2016,21.2
Isle Ind School District 473,247494,2016,17.9
Jackson Co Central Sd 2895,247348,2016,19.6
Janesvle-Wldrf-Pmbrtn Isd 2835,247870,2016,19.9
Jordan Ind School District 717,247762,2016,21.1
Kasson-Mantorville Ind Sd 204,247196,2016,21.8
Kelliher School Dist 36,247034,2016,20.3
Kenyon-Wanamingo Sd 2172,247260,2016,20.3
Kerkhoven-Murdck-Sunbrg Sd 775,247828,2016,20.4
Kimball Ind School Dist 739,247796,2016,19.6
Kingsland Public Sch Dist 2137,247242,2016,20
Kittson Central Sch Dist 2171,247366,2016,21.6
La Crescent-Hokah Ind Sd 300,247320,2016,22.3
Lac Qui Parle Vly Isd 2853,247934,2016,20.1
Lake City Ind School Dist 813,247852,2016,22.3
Lake Crystal-Wellcome Mem 2071,247056,2016,20.2
Lake Of The Woods Isd 390,247394,2016,19
Lake Park-Audubon Isd 2889,247020,2016,19.1
Lake Superior Ind Sch Dist 381,247392,2016,21.1
Lakeview Ind School Dist 2167,247418,2016,19.9
Lakeville Ind School Dist 194,247176,2016,22.7
Lancaster Ind School Dist 356,247374,2016,19.4
Lanesboro Ind School Dist 229,247232,2016,20.7
Laporte Ind School Dist 306,247328,2016,18.3
Le Center Ind School Dist 392,247398,2016,20.8
Le Sueur-Henderson Isd 2397,247400,2016,19
Leroy-Ostrander Ind Sd 499,247516,2016,17.2
Lester Prairie Ind Sd 424,247436,2016,19.9
Lewiston-Altura Isd 857,247898,2016,21
Litchfield Ind School Dist 465,247492,2016,20.3
Little Falls Ind Sch Dist 482,247502,2016,20.1
Littlefork-Big Falls Sd 362,247378,2016,20.7
Long Prairie-Grey Eagle 2753,247840,2016,20.2
Luverne Ind School Dist 2184,247710,2016,20.7
Lyle Ind School District 497,247522,2016,16.7
Mabel-Canton Ind Sch Dist 238,247234,2016,18.5
Maccray Ind School Dist 2180,247114,2016,19.8
Madelia Ind School Dist 837,247888,2016,19.4
Mahnomen Ind School Dist 432,247444,2016,18.2
Mahtomedi Ind School Dist 832,247880,2016,25.1
Mankato Area Public Schs,247060,2016,21.2
Maple Lake Ind School Dist 881,247914,2016,20.7
Maple River School Dist 2135,247058,2016,20.7
Marshall Co Central Isd 441,247454,2016,18.8
Marshall Ind School Dist 413,247422,2016,21
Martin Co West Sch Dist 2448,247472,2016,20.3
Mcgregor Ind School Dist 4,247006,2016,17
Medford Ind School Dist 763,247814,2016,18.3
Melrose Area Ind Sd 740,247798,2016,20.1
Menahga Ind School Dist 821,247860,2016,20.3
Mesabi East Ind Sch Dist 2711,247724,2016,18.3
Milaca Ind School District 912,247496,2016,18.5
Minneapolis Public Sch Dist,247310,2016,19.2
Minneota Public Schools,247424,2016,21.7
Minnetonka Isd 276,247292,2016,25.4
Minnewaska Area Sch Dist 2149,247642,2016,19.3
Montevideo Ind School Dist 129,247120,2016,20
Monticello Ind School Dist 882,247904,2016,21.3
Moorhead Ind School Dist 152,247140,2016,20.3
Moose Lake Ind School Dist 97,247084,2016,20.7
Mora Ind School Dist 332,247354,2016,20.3
Morris Ind School Dist 2769,247820,2016,21
Mounds View Ind Sch Dist 621,247648,2016,23.2
Mountain Iron-Buhl Isd 712,247746,2016,18.4
Mountain Lake Ind Sch Dist 173,247154,2016,20.4
Murray Co Central Isd 2169,247530,2016,21.1
N St Paul Mplwd Oakdale Sd 622,247650,2016,19.9
Nashwauk-Keewatin Ind Sd 319,247344,2016,17.7
Nevis Ind School District 308,247326,2016,20.8
New London-Spicer Ind Sd 0345,247360,2016,21.4
New Prague Ind Sch Dist 721,247764,2016,21.9
New Ulm Pub Sch District 88,247066,2016,21.1
New York Mills Ind Sd 553,247580,2016,19.4
Nicollet Ind School Dist 507,247532,2016,20.3
Norman Co East Isd 2215,247560,2016,21.7
Norman Co West Isd 2527,247556,2016,20.2
North Branch Ind Sch Dist 138,247126,2016,19.7
Northfield Ind School Dist 659,247706,2016,22.8
Northland Cmty Sd 118,247110,2016,18.2
Nrheg Ind Sch Dist 2168,247874,2016,19.6
Ogilvie Ind School Dist 333,247356,2016,19.2
Onamia Ind School Dist 480,247498,2016,17.7
Orono Ind School District 278,247296,2016,25.7
Ortonville Ind Sch Dist 2903,247050,2016,20.1
Osakis Ind School District 213,247208,2016,20.3
Osseo Ind School District 279,247298,2016,20.3
Owatonna School Dist 761,247816,2016,21.1
Park Rapids Ind Sch Dist 309,247330,2016,20.2
Parkers Prairie Ind Sd 547,247582,2016,21.1
Paynesville Ind Sch Dist 741,247800,2016,20.7
Pelican Rapids Ind Sd 548,247584,2016,16.7
Pequot Lakes Ind Sch Dist 186,247166,2016,21.1
Perham-Dent Ind Sch Dist 549,247586,2016,20.2
Pierz School District 484,247508,2016,19.5
Pillager Ind School Dist 116,247108,2016,19.6
Pine City Sch District 578,247602,2016,20.4
Pine Island School Dist 255,247262,2016,21.8
Pine River-Backus Ind Sd 2174,247104,2016,20.3
Pipestone Area Sch Dist 2689,247614,2016,20.4
Plainview Elgin Millville Sd,247856,2016,20
Princeton Public Sch Dist 477,247500,2016,20.4
Prior Lake-Savage Area Sd 719,247766,2016,23.2
Proctor Ind School Dist 704,247748,2016,20.3
Randolph School District 195,247178,2016,20.2
Red Lake Co Central Isd 2906,247658,2016,19.8
Red Lake Falls Sch Dist 630,247662,2016,19.5
Red Lake Independent Sd 38,247036,2016,14
Red Rock Central Ind Sd 2884,247668,2016,20.3
Red Wing School District 256,247264,2016,20.4
Redwood Falls Sch Dist 2897,247674,2016,19.4
Renville Co West Sch Dist 2890,247698,2016,19.9
Richfield School District 280,247300,2016,18.3
Robbinsdale Ind Sch Dist 281,247302,2016,19.8
Rochester School District 535,247566,2016,21.8
Rockford School District 883,247918,2016,21.6
Rocori Ind Sch Dist 750,247808,2016,21.3
Roseau School District 682,247720,2016,20.2
Rosemount-Apple Vly-Eagan 196,247180,2016,23
Roseville Area Sch Dist 623,247652,2016,20.6
Rothsay School District 850,247896,2016,19.6
Royalton School District 485,247512,2016,19.1
Rush City Ind School Dist 139,247128,2016,20.2
Rushford-Peterson Isd 239,247240,2016,20.2
Russell Tyler Ruthton Sd 2902,247412,2016,20.1
Sartell-St Stephen Isd 748,247804,2016,23.6
Sauk Centre School Dist 743,247806,2016,21
Sauk Rapids-Rice Sch Dist 47,247042,2016,21
Sebeka Ind School District 820,247866,2016,18.7
Shakopee School District 720,247768,2016,20.9
Sibley East Ind Sch Dist 2310,247782,2016,21.3
Sleepy Eye School District 84,247068,2016,19
South Koochiching Sd 363,247382,2016,18.8
South St Paul Special Sd 6,247182,2016,20.6
South Washington Co Sd 833,247882,2016,22.3
Southland School District 500,247524,2016,20.4
Spring Grove School Dist 297,247322,2016,22.8
Spring Lake Park Sd 16,247018,2016,20.1
Springfield School District 85,247070,2016,20.5
St Anthony-New Brighton Sd 282,247304,2016,23
St Charles Ind School Dist 858,247900,2016,21
St Clair School District 75,247062,2016,20.8
St Cloud Ind Sch Dist 742,247802,2016,19.2
St James School District 840,247890,2016,18.7
St Louis Co Isd 2142,247756,2016,19.5
St Louis Park School Dist 283,247306,2016,21.8
St Michael-Albertville Sd 885,247916,2016,22.3
St Paul Independent Sd 625,247656,2016,18
St Peter Ind School Dist 508,247534,2016,21.3
Staples-Motley Isd 2170,247842,2016,20.6
Stephen-Argyle Central Sd 2856,247460,2016,20.5
Stewartville School Dist 534,247568,2016,21
Stillwater School Dist 834,247884,2016,22.6
Swanville School District 486,247504,2016,19.6
Thief River Falls Sd 564,247592,2016,19.6
Tracy Ind School District 2904,247428,2016,18.2
Tri-County Ind Sch Dist 2358,247372,2016,21.2
Triton Ind School Dist 2125,247192,2016,17.9
Truman School District 458,247474,2016,17.6
Ulen-Hitterdal Sch Dist 914,247142,2016,20.4
Underwood School District 550,247588,2016,18.5
United South Central Isd 2134,247222,2016,20.8
Upsala Area School Dist 487,247506,2016,19.6
Verndale Ind School Dist 818,247862,2016,19.5
Virginia Public Sch Dist 706,247752,2016,20.8
W St Paul-Mendota-Eagan Sd 197,247184,2016,21.2
Wabasha-Kellogg Isd 811,247858,2016,20.3
Wabasso School District 640,247678,2016,20.2
Waconia School District 110,247096,2016,21.9
Wadena-Deer Creek Sd 2155,247864,2016,19.6
Walker-Hackensack-Akeley 113,247112,2016,20.3
Warren-Alvarado-Oslo Sd 2176,247464,2016,22
Warroad School District 690,247722,2016,19.6
Waseca Public School Dist,247876,2016,21.9
Watertown-Mayer Sch Dist 111,247098,2016,20.6
Watrvle-Elysian-Mrstwn Sd 2143,247404,2016,20.2
Waubun-Ogema-White Earth Psd,247446,2016,18.9
Wayzata School District 284,247308,2016,25.8
West Central Area Sd 2342,247206,2016,22.5
Westbrook-Walnut Grove Sd 2898,247158,2016,19.1
Westonka Ind School Dist 277,247294,2016,23.6
Wheaton School District 803,247848,2016,22.6
White Bear Lake Area Isd 624,247654,2016,20.9
Willmar School District 347,247364,2016,18.7
Willow River School Dist 577,247606,2016,19.7
Win-E-Mac School Dist 2609,247632,2016,19.1
Windom School District 177,247160,2016,20.1
Winona Area Public School Dist,247902,2016,20.4
Worthington School Dist 518,247542,2016,17.5
Wrenshall School District 100,247088,2016,18.3
Wright School District 966,247920,2016,14.3
Yellow Medicine East Sd 2190,247928,2016,18.7
Zumbrota-Mazeppa Isd 2805,247854,2016,21.6
Ada-Borup School District 2854,247550,2015,21.9
Adrian Ind School District 511,247544,2015,22
Aitkin Ind School District 1,247002,2015,23.4
Albany Area Sch District 745,247788,2015,21.6
Albert Lea Area Schools,247246,2015,21.7
Alden-Conger Ind Sch Dist 242,247248,2015,22.5
Alexandria Ind School Dist 206,247200,2015,23.1
Annandale Ind School Dist 876,247906,2015,22.4
Anoka-Hennepin Ind Sch Dist 11,247008,2015,22.4
Ashby Ind School District 261,247270,2015,20.9
Atwater-Cosmos-Grove City Sd,247358,2015,19.3
Austin Ind School District 492,247518,2015,19.6
Badger Ind School District 676,247716,2015,19.4
Bagley Ind School District 162,247146,2015,20.8
Barnesville Ind Sch Dist 146,247132,2015,20.7
Barnum Ind School District 91,247076,2015,22.3
Battle Lake Ind Sch Dist 542,247572,2015,22.2
Becker Ind School District 726,247770,2015,23.4
Belgrade-Brootn-Elrosa Sd 2364,247790,2015,20
Belle Plaine Ind Sch Dist 716,247760,2015,22.2
Bemidji Ind School District 31,247030,2015,22.3
Benson Ind School District 777,247826,2015,23.4
Bertha-Hewitt Ind Sch Dist 786,247830,2015,21.6
Big Lake Ind School Dist 727,247772,2015,23
Blackduck Ind School Dist 32,247032,2015,21.8
Blooming Prairie Ind Sd 756,247810,2015,21.8
Bloomington Pub Sch Dist 271,247280,2015,22
Blue Earth Area Ind Sd 2860,247210,2015,22.2
Bold School District,247682,2015,22
Braham Ind School District 314,247332,2015,22.7
Brainerd Ind School Dist 181,247162,2015,24
Brandon-Evansville Isd 2908,247202,2015,21.8
Breckenridge Ind Sch Dist 846,247892,2015,21.6
Brooklyn Center Ind Sd 286,247282,2015,17.7
Browerville Ind Sch Dist 787,247832,2015,21.9
Buffalo Hanover Montrose Sd,247908,2015,23.3
Buffalo Lake-Hector Isd 2159,247692,2015,21.3
Burnsville-Eagan-Savage Sd 191,247170,2015,22.3
Butterfield-Odin Ind Sd 836,247886,2015,NA
Byron Ind School District 531,247562,2015,23.5
Caledonia Ind School Dist 299,247316,2015,23
Cambridge-Isanti Sch Dist 911,247334,2015,22.8
Campbell-Tintah Ind Sd 852,247894,2015,NA
Canby Ind School District 891,247922,2015,21.6
Cannon Falls Ind Sch Dist 252,247256,2015,22.7
Carlton Ind School District 93,247078,2015,21.2
Cass Lake-Bena Ind Sd 115,247106,2015,18.4
Cedar Mountain Sch Dist 2754,247672,2015,20.3
Centennial Ind School Dist 12,247010,2015,23.8
Central School District 108,247094,2015,24.2
Chatfield Pub School Dist 227,247570,2015,22
Chisago Lakes Isd 2144,247124,2015,23.8
Chisholm Ind School Dist 695,247728,2015,21.2
Chokio-Alberta Ind Sd 771,247822,2015,NA
Clearbrook-Gonvick Sd 2311,247148,2015,23.3
Cleveland Public Sch Dist 391,247396,2015,21.2
Climax-Shelly Ind Sch Dist 592,247618,2015,NA
Clnton-Gracevl-Brdsley Sd 2888,247046,2015,21.9
Cloquet Ind School District 94,247080,2015,22.7
Columbia Heights Isd 13,247012,2015,18.6
Comfrey Ind School District 81,247064,2015,NA
Cook Co Sch Dist 166,247152,2015,22.5
Cromwell-Wright Ind Sd 95,247082,2015,21.2
Crookston Ind School Dist 593,247620,2015,20.1
Crosby-Ironton School Dist 182,247164,2015,22.5
Dassel-Cokato Ind Sch Dist 466,247486,2015,23.6
Dawson-Boyd Isd 378,247388,2015,22.1
Deer River Ind School Dist 317,247340,2015,21.6
Delano Ind School District 879,247910,2015,23.9
Detroit Lakes Ind Sch Dist 22,247022,2015,22.5
Dilworth-Glyndn-Feltn Isd 2164,247134,2015,22
Dover-Eyota Ind Sch Dist 533,247564,2015,24
Duluth Ind School District 709,247730,2015,23.3
East Central Isd 2580,247604,2015,22.6
East Grand Forks Ind Sd 595,247622,2015,20.9
Eastern Carver Co Schools,247092,2015,23.9
Eden Prairie Ind Sch Dist 272,247284,2015,25.5
Eden Valley-Watkins Ind Sd 463,247488,2015,22.3
Edgerton Ind School Dist 581,247610,2015,21.2
Edina Public School Dist 273,247286,2015,26
Elk River Ind School Dist 728,247774,2015,23.2
Ellsworth Ind School Dist 514,247540,2015,NA
Ely Ind School District 696,247732,2015,22.6
Esko Ind School District 99,247086,2015,22.7
Eveleth-Gilbert Sch Dist 2154,247734,2015,23.1
Fairmont Area School Dist 2752,247466,2015,22
Faribault Ind School Dist 656,247702,2015,21.3
Farmington Ind School Dist 192,247172,2015,23
Fergus Falls Ind Sch Dist 544,247576,2015,22.4
Fertile-Beltrami Ind Sd 599,247626,2015,20.4
Fillmore Central Sch Dist 2198,247238,2015,22
Fisher Ind School District 600,247628,2015,23.2
Floodwood Ind School Dist 698,247736,2015,NA
Foley Ind School District 51,247040,2015,22.8
Forest Lake Ind Sch Dist 831,247878,2015,22.8
Fosston Ind School Dist 601,247630,2015,22
Frazee-Vergas Ind Sch Dist 23,247024,2015,22.4
Fridley Ind School District 14,247014,2015,21
Fulda Ind School District 505,247528,2015,21.9
Gfw Public School Dist 2365,247688,2015,21.6
Glencoe Silver Lake Isd 2859,247432,2015,22.7
Glenville-Emmons Isd 2886,247250,2015,NA
Goodhue Ind School Dist 253,247258,2015,21.8
Goodridge Ind School Dist 561,247590,2015,NA
Granada-Huntley-East Chain Sd,247470,2015,NA
Grand Meadow Pub Sch Dist 495,247520,2015,20.6
Grand Rapids Ind Sch Dist 318,247342,2015,22.3
Greenbush-Middle River Sd 2683,247718,2015,22.9
Greenway Ind School Dist 316,247338,2015,21
Grygla Ind School District 447,247458,2015,NA
Hancock Ind Sch Dist 768,247818,2015,NA
Hastings Ind School Dist 200,247174,2015,23
Hawley Ind School District 150,247138,2015,23.1
Hayfield Ind School Dist 203,247194,2015,22.6
Hendricks Ind School Dist 402,247406,2015,NA
Henning Ind School Dist 545,247578,2015,20.9
Herman-Norcross Cmty Sd 264,247278,2015,NA
Hermantown Ind School Dist 700,247740,2015,23.6
Heron Lake-Okabena Isd 330,247346,2015,20.8
Hibbing Ind School Dist 701,247742,2015,23.2
Hill City Ind School Dist 2,247004,2015,21.3
Hills-Beaver Creek Ind Sd 671,247708,2015,24.8
Hinckley-Finlayson Psd 2165,247600,2015,22.6
Holdingford Ind Sch Dist 738,247794,2015,24.1
Hopkins Ind School Dist 270,247288,2015,23.5
Houston Ind School Dist 294,247318,2015,22.1
Hutchinson Ind School Dist 423,247434,2015,22.8
Independent School District 15,247016,2015,22.6
Independent Sd 2687,247912,2015,23.2
International Falls Ind Sd 361,247380,2015,21.2
Inver Grove Heights Isd 199,247186,2015,22.7
Isle Ind School District 473,247494,2015,22.2
Jackson Co Central Sd 2895,247348,2015,21.2
Janesvle-Wldrf-Pmbrtn Isd 2835,247870,2015,21.7
Jordan Ind School District 717,247762,2015,22.5
Kasson-Mantorville Ind Sd 204,247196,2015,23.4
Kelliher School Dist 36,247034,2015,18.5
Kenyon-Wanamingo Sd 2172,247260,2015,21.8
Kerkhoven-Murdck-Sunbrg Sd 775,247828,2015,23.1
Kimball Ind School Dist 739,247796,2015,22.9
Kingsland Public Sch Dist 2137,247242,2015,22.1
Kittson Central Sch Dist 2171,247366,2015,22.6
La Crescent-Hokah Ind Sd 300,247320,2015,23.2
Lac Qui Parle Vly Isd 2853,247934,2015,22.3
Lake City Ind School Dist 813,247852,2015,23.5
Lake Crystal-Wellcome Mem 2071,247056,2015,22.1
Lake Of The Woods Isd 390,247394,2015,21.2
Lake Park-Audubon Isd 2889,247020,2015,21.4
Lake Superior Ind Sch Dist 381,247392,2015,21.8
Lakeview Ind School Dist 2167,247418,2015,19.7
Lakeville Ind School Dist 194,247176,2015,24
Lancaster Ind School Dist 356,247374,2015,NA
Lanesboro Ind School Dist 229,247232,2015,21.7
Laporte Ind School Dist 306,247328,2015,21.3
Le Center Ind School Dist 392,247398,2015,NA
Le Sueur-Henderson Isd 2397,247400,2015,21.1
Leroy-Ostrander Ind Sd 499,247516,2015,20.8
Lester Prairie Ind Sd 424,247436,2015,22.1
