districtName,actCode,year,score
Hutchinson Ind School Dist 423,247434,2018,22.5
Independent School District 15,247016,2018,19.2
Independent Sd 2687,247912,2018,20.4
International Falls Ind Sd 361,247380,2018,20.2
Inver Grove Heights Isd 199,247186,2018,21.4
Isle Ind School District 473,247494,2018,18.1
Jackson Co Central Sd 2895,247348,2018,19.6
Janesvle-Wldrf-Pmbrtn Isd 2835,247870,2018,19.6
Jordan Ind School District 717,247762,2018,21.5
Kasson-Mantorville Ind Sd 204,247196,2018,21.4
Kelliher School Dist 36,247034,2018,21.5
Kenyon-Wanamingo Sd 2172,247260,2018,20.1
Kerkhoven-Murdck-Sunbrg Sd 775,247828,2018,20.7
Kimball Ind School Dist 739,247796,2018,22.6
Kingsland Public Sch Dist 2137,247242,2018,21
Kittson Central Sch Dist 2171,247366,2018,21.3
La Crescent-Hokah Ind Sd 300,247320,2018,21.7
Lac Qui Parle Vly Isd 2853,247934,2018,20
Lake City Ind School Dist 813,247852,2018,20.8
Lake Crystal-Wellcome Mem 2071,247056,2018,19.7
Lake Of The Woods Isd 390,247394,2018,20.1
Lake Park-Audubon Isd 2889,247020,2018,19.3
Lake Superior Ind Sch Dist 381,247392,2018,20.7
Lakeview Ind School Dist 2167,247418,2018,18.2
Lakeville Ind School Dist 194,247176,2018,22.8
Lancaster Ind School Dist 356,247374,2018,20.1
Lanesboro Ind School Dist 229,247232,2018,20.6
Laporte Ind School Dist 306,247328,2018,18.7
Le Center Ind School Dist 392,247398,2018,19.2
Le Sueur-Henderson Isd 2397,247400,2018,20
Leroy-Ostrander Ind Sd 499,247516,2018,18.7
Lester Prairie Ind Sd 424,247436,2018,19.8
Lewiston-Altura Isd 857,247898,2018,20
Litchfield Ind School Dist 465,247492,2018,21.4
Little Falls Ind Sch Dist 482,247502,2018,21.7
Littlefork-Big Falls Sd 362,247378,2018,19.3
Long Prairie-Grey Eagle 2753,247840,2018,21
Luverne Ind School Dist 2184,247710,2018,22.1
Lyle Ind School District 497,247522,2018,21.5
Mabel-Canton Ind Sch Dist 238,247234,2018,19.4
Maccray Ind School Dist 2180,247114,2018,19.1
Madelia Ind School Dist 837,247888,2018,21.6
Mahnomen Ind School Dist 432,247444,2018,18.6
Mahtomedi Ind School Dist 832,247880,2018,24.8
Mankato Area Public Schs,247060,2018,21.9
Maple Lake Ind School Dist 881,247914,2018,21.5
Maple River School Dist 2135,247058,2018,21.1
Marshall Co Central Isd 441,247454,2018,19.4
Marshall Ind School Dist 413,247422,2018,20.5
Martin Co West Sch Dist 2448,247472,2018,19.5
Mcgregor Ind School Dist 4,247006,2018,19.3
Medford Ind School Dist 763,247814,2018,20
Melrose Area Ind Sd 740,247798,2018,21.1
Menahga Ind School Dist 821,247860,2018,19.6
Mesabi East Ind Sch Dist 2711,247724,2018,18.1
Milaca Ind School District 912,247496,2018,19.4
Minneapolis Public Sch Dist,247310,2018,19
Minneota Public Schools,247424,2018,20.8
Minnetonka Isd 276,247292,2018,26
Minnewaska Area Sch Dist 2149,247642,2018,20.4
Montevideo Ind School Dist 129,247120,2018,20.2
Monticello Ind School Dist 882,247904,2018,21
Moorhead Ind School Dist 152,247140,2018,19.8
Moose Lake Ind School Dist 97,247084,2018,22
Mora Ind School Dist 332,247354,2018,19.3
Morris Ind School Dist 2769,247820,2018,20.9
Mounds View Ind Sch Dist 621,247648,2018,23.6
Mountain Iron-Buhl Isd 712,247746,2018,19.1
Mountain Lake Ind Sch Dist 173,247154,2018,19.9
Murray Co Central Isd 2169,247530,2018,21.2
N St Paul Mplwd Oakdale Sd 622,247650,2018,19.7
Nashwauk-Keewatin Ind Sd 319,247344,2018,19.4
Nevis Ind School District 308,247326,2018,19
New London-Spicer Ind Sd 0345,247360,2018,21.4
New Prague Ind Sch Dist 721,247764,2018,21.4
New Ulm Pub Sch District 88,247066,2018,22
New York Mills Ind Sd 553,247580,2018,19.7
Nicollet Ind School Dist 507,247532,2018,21.8
Norman Co East Isd 2215,247560,2018,19.3
Norman Co West Isd 2527,247556,2018,19.2
North Branch Ind Sch Dist 138,247126,2018,20.7
Northfield Ind School Dist 659,247706,2018,22
Northland Cmty Sd 118,247110,2018,16
Nrheg Ind Sch Dist 2168,247874,2018,20.1
Ogilvie Ind School Dist 333,247356,2018,17.9
