districtNumber,districtType,districtName,year,percentTakers
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2018,0.32972972972972975
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2018,0.25
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2018,0.2857142857142857
2536,01,GRANADA HUNTLEY-EAST CHAIN,2018,0.21052631578947367
2580,01,EAST CENTRAL SCHOOL DISTRICT,2018,0.2254335260115607
2609,01,WIN-E-MAC SCHOOL DISTRICT,2018,0.3684210526315789
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2018,0.21359223300970873
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2018,0.2674897119341564
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2018,0.2088888888888889
2711,01,MESABI EAST SCHOOL DISTRICT,2018,0.26146788990825687
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2018,0.3076923076923077
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2018,0.2
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2018,0.3181818181818182
2769,01,MORRIS AREA PUBLIC SCHOOLS,2018,0.31555555555555553
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2018,0.2723735408560311
2835,01,JANESVILLE-WALDORF-PEMBERTON,2018,0.3128834355828221
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2018,0.32142857142857145
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2018,0.1888111888111888
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2018,0.38571428571428573
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2018,0.232620320855615
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2018,0.3293172690763052
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2018,0.2830188679245283
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2018,0.2765957446808511
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2018,0.3076923076923077
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2018,0.2905405405405405
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2018,0.297029702970297
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2018,0.2956204379562044
2897,01,REDWOOD AREA SCHOOL DISTRICT,2018,0.24535315985130113
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2018,0.37037037037037035
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2018,0.2364217252396166
2902,01,RTR PUBLIC SCHOOLS,2018,0.27350427350427353
2903,01,ORTONVILLE PUBLIC SCHOOLS,2018,0.25757575757575757
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2018,0.26519337016574585
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2018,0.3037974683544304
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2018,0.3333333333333333
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2018,0.07478614847209616
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2017,0.32209737827715357
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2017,0.2833333333333333
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2017,0.25609756097560976
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2017,0.25785340314136124
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2017,0.2926065162907268
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2017,0.3284132841328413
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2017,0.2857142857142857
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2017,0.2567204301075269
