DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,HMLK12,EC12Enr,FreeEC12,RedEC12,LEPIdentifiedEC12,LEPServedEC12,SPEEC12,HMLEC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,87,24,12,,,12,,87,24,12,,,12,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,87,18,9,,,7,1,87,18,9,,,7,1,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,1162,330,175,2,2,162,1,1176,336,176,2,2,176,1,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,EC,,,,,,,,831,446,51,233,,831,20,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,PK,,,,,,,,234,180,22,,,,7,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,KG,2933,1499,148,629,626,312,111,2933,1499,148,629,626,312,111,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,01,2880,1492,157,666,664,313,128,2880,1492,157,666,664,313,128,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,02,2857,1487,186,648,645,338,104,2857,1487,186,648,645,338,104,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,03,2907,1591,177,702,699,434,128,2907,1591,177,702,699,434,128,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,04,2831,1562,154,696,692,406,106,2831,1562,154,696,692,406,106,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,05,2827,1615,156,623,617,469,106,2827,1615,156,623,617,469,106,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,06,2581,1410,132,482,479,372,98,2581,1410,132,482,479,372,98,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,07,2513,1381,155,522,515,434,82,2513,1381,155,522,515,434,82,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,08,2465,1344,125,521,518,397,83,2465,1344,125,521,518,397,83,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,09,2459,1284,152,524,524,383,63,2459,1284,152,524,524,383,63,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,10,2497,1397,133,549,544,406,67,2497,1397,133,549,544,406,67,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,11,2523,1347,132,474,468,414,58,2523,1347,132,474,468,414,58,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,12,3019,1657,158,581,572,702,90,3019,1657,158,581,572,702,90,, ,EC-12,
17-18,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,All Grades,35292,19066,1965,7617,7563,5380,1224,36357,19692,2038,7850,7563,6211,1251,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,EC,,,,,,,,14,8,3,,,14,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,PK,,,,,,,,9,5,2,,,,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,KG,17,5,5,,,4,,17,5,5,,,4,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,18,9,3,,,5,,18,9,3,,,5,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,18,6,5,,,4,,18,6,5,,,4,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,14,7,3,,,5,,14,7,3,,,5,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,04,22,13,2,,,4,,22,13,2,,,4,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,05,17,5,2,,,4,,17,5,2,,,4,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,06,16,8,3,,,2,,16,8,3,,,2,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,07,22,11,1,,,2,,22,11,1,,,2,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,08,34,12,8,,,3,,34,12,8,,,3,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,09,19,11,5,,,7,,19,11,5,,,7,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,10,22,7,3,,,6,,22,7,3,,,6,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,11,19,6,4,,,4,,19,6,4,,,4,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,12,21,8,,,,10,,21,8,,,,10,,, ,EC-12,
17-18,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,All Grades,259,108,44,,,60,,282,121,49,,,74,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,EC,,,,,,,,18,5,,,,18,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,PK,,,,,,,,24,4,1,,,,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,KG,26,13,5,,,8,,26,13,5,,,8,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,01,27,10,,,,8,,27,10,,,,8,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,02,41,22,2,,,9,,41,22,2,,,9,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,03,41,22,3,,,8,,41,22,3,,,8,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,04,38,18,3,,,7,,38,18,3,,,7,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,05,41,22,1,,,8,,41,22,1,,,8,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,06,32,13,5,,,10,,32,13,5,,,10,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,07,37,21,1,,,10,,37,21,1,,,10,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,08,34,15,4,,,8,,34,15,4,,,8,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,09,43,17,4,,,10,,43,17,4,,,10,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,10,34,17,2,,,7,,34,17,2,,,7,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,11,25,11,2,,,5,,25,11,2,,,5,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,12,22,5,1,,,1,,22,5,1,,,1,,, ,EC-12,
17-18,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,All Grades,441,206,33,,,99,,483,215,34,,,117,,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,EC,,,,,,,,78,35,6,,,78,1,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,PK,,,,,,,,136,40,15,,,,,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,KG,233,104,25,27,27,38,1,233,104,25,27,27,38,1,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,01,228,109,23,25,25,33,2,228,109,23,25,25,33,2,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,02,261,115,34,26,26,35,2,261,115,34,26,26,35,2,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,03,259,97,31,23,23,29,,259,97,31,23,23,29,,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,04,255,104,37,31,31,28,,255,104,37,31,31,28,,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,05,279,111,35,13,13,50,2,279,111,35,13,13,50,2,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,06,259,103,41,7,7,36,1,259,103,41,7,7,36,1,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,07,270,92,40,7,7,40,,270,92,40,7,7,40,,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,08,267,113,36,3,3,49,3,267,113,36,3,3,49,3,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,09,250,73,35,5,5,43,1,250,73,35,5,5,43,1,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,10,256,92,30,10,10,32,,256,92,30,10,10,32,,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,11,261,88,30,9,9,30,2,261,88,30,9,9,30,2,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,12,262,74,21,1,1,29,,262,74,21,1,1,29,,, ,EC-12,
17-18,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,3340,1275,418,187,187,472,14,3554,1350,439,187,187,550,15,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,EC,,,,,,,,864,174,21,,,864,26,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,PK,,,,,,,,113,57,16,,,,1,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,KG,2537,633,215,285,272,342,30,2537,633,215,285,272,342,30,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,01,2595,713,240,273,259,397,41,2595,713,240,273,259,397,41,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,02,2666,683,239,306,300,389,42,2666,683,239,306,300,389,42,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,03,2718,675,290,290,280,459,42,2718,675,290,290,280,459,42,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,04,2760,730,279,268,260,479,43,2760,730,279,268,260,479,43,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,05,2895,732,313,176,174,507,37,2895,732,313,176,174,507,37,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,06,2971,752,292,103,97,456,45,2971,752,292,103,97,456,45,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,07,2926,664,280,109,100,370,39,2926,664,280,109,100,370,39,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,08,3099,740,299,133,125,401,43,3099,740,299,133,125,401,43,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,09,3032,649,317,105,97,360,49,3032,649,317,105,97,360,49,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,10,3028,655,263,108,97,328,51,3028,655,263,108,97,328,51,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,11,3167,634,277,100,84,332,41,3167,634,277,100,84,332,41,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,12,3393,729,249,129,123,553,66,3393,729,249,129,123,553,66,, ,EC-12,
17-18,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,37787,8989,3553,2385,2268,5373,569,38764,9220,3590,2385,2268,6237,596,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,EC,,,,,,,,114,13,7,,,114,,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,KG,457,39,21,20,18,42,,457,39,21,20,18,42,,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,01,465,64,23,27,26,59,1,465,64,23,27,26,59,1,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,02,448,50,21,17,17,60,1,448,50,21,17,17,60,1,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,03,513,65,21,22,22,70,3,513,65,21,22,22,70,3,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,04,482,74,21,24,23,86,,482,74,21,24,23,86,,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,05,525,72,24,17,16,87,5,525,72,24,17,16,87,5,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,06,502,69,20,8,7,73,1,502,69,20,8,7,73,1,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,07,494,61,25,5,5,79,4,494,61,25,5,5,79,4,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,08,531,64,18,3,3,76,5,531,64,18,3,3,76,5,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,09,544,67,17,11,7,87,4,544,67,17,11,7,87,4,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,10,541,76,28,10,10,91,3,541,76,28,10,10,91,3,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,11,529,66,18,2,2,112,6,529,66,18,2,2,112,6,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,12,562,74,16,4,4,147,11,562,74,16,4,4,147,11,, ,EC-12,
17-18,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,All Grades,6593,841,273,170,160,1069,44,6707,854,280,170,160,1183,44,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,EC,,,,,,,,58,21,3,1,1,58,,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,PK,,,,,,,,124,80,8,5,5,,2,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,KG,194,129,20,70,70,27,3,194,129,20,70,70,27,3,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,01,217,129,38,83,83,25,3,217,129,38,83,83,25,3,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,02,235,146,35,85,85,30,5,235,146,35,85,85,30,5,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,03,229,143,36,110,110,24,2,229,143,36,110,110,24,2,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,04,276,176,43,106,106,45,11,276,176,43,106,106,45,11,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,05,256,181,27,73,73,49,7,256,181,27,73,73,49,7,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,06,258,184,26,34,34,47,7,258,184,26,34,34,47,7,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,07,267,172,33,59,59,31,8,267,172,33,59,59,31,8,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,08,266,180,26,50,50,36,8,266,180,26,50,50,36,8,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,09,240,171,33,47,47,29,4,240,171,33,47,47,29,4,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,10,273,169,39,62,62,37,4,273,169,39,62,62,37,4,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,11,222,143,26,49,49,28,7,222,143,26,49,49,28,7,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,12,207,125,22,41,41,39,4,207,125,22,41,41,39,4,, ,EC-12,
17-18,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,All Grades,3140,2048,404,869,869,447,73,3322,2149,415,875,875,505,75,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,EC,,,,,,,,43,21,2,,,43,,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,PK,,,,,,,,99,37,6,,,,,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,KG,205,101,23,45,43,19,,205,101,23,45,43,19,,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,01,200,104,27,27,27,18,2,200,104,27,27,27,18,2,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,02,230,127,24,62,60,23,5,230,127,24,62,60,23,5,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,03,230,125,28,45,43,31,2,230,125,28,45,43,31,2,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,04,258,142,43,61,57,36,5,258,142,43,61,57,36,5,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,05,203,111,36,34,29,31,6,203,111,36,34,29,31,6,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,06,236,134,36,23,22,33,5,236,134,36,23,22,33,5,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,07,236,131,38,26,24,34,4,236,131,38,26,24,34,4,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,08,266,136,34,24,24,32,1,266,136,34,24,24,32,1,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,09,250,135,32,14,5,32,6,250,135,32,14,5,32,6,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,10,258,127,39,24,12,40,6,258,127,39,24,12,40,6,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,11,266,114,35,20,10,37,4,266,114,35,20,10,37,4,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,12,227,92,29,17,14,54,4,227,92,29,17,14,54,4,, ,EC-12,
17-18,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,All Grades,3065,1579,424,422,370,420,50,3207,1637,432,422,370,463,50,, ,EC-12,
17-18,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,EC,,,,,,,,113,29,7,,,113,,, ,EC-12,
17-18,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,KG,306,57,24,8,6,51,,306,57,24,8,6,51,,, ,EC-12,
17-18,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,01,318,54,33,11,11,45,3,318,54,33,11,11,45,3,, ,EC-12,
17-18,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,02,312,62,21,8,6,50,2,312,62,21,8,6,50,2,, ,EC-12,
