DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,HMLK12,EC12Enr,FreeEC12,RedEC12,LEPIdentifiedEC12,LEPServedEC12,SPEEC12,HMLEC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,,,,,,,,14,6,1,,,14,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,93,25,13,,,16,,93,25,13,,,16,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,77,24,12,,,15,,77,24,12,,,15,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,88,41,13,,,11,,88,41,13,,,11,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,75,22,15,,,16,,75,22,15,,,16,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,99,26,23,1,1,15,,99,26,23,1,1,15,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,97,38,12,,,11,,97,38,12,,,11,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,81,22,11,,,6,,81,22,11,,,6,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,100,25,18,1,1,17,,100,25,18,1,1,17,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,107,22,18,,,15,,107,22,18,,,15,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,103,32,12,,,13,,103,32,12,,,13,,, ,EC-12,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,68,11,7,,,8,,68,11,7,,,8,,, ,EC-12,
