dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
00-01,0294,01,HOUSTON,08,28,10,0,0,0,0,0,0,0,0,17,16,17,16,0,33,10
00-01,0294,01,HOUSTON,09,28,10,0,0,0,0,0,0,1,1,18,20,19,21,2,40,10
00-01,0294,01,HOUSTON,10,28,10,0,0,0,0,0,0,0,0,25,11,25,11,0,36,10
00-01,0294,01,HOUSTON,11,28,10,0,0,0,0,0,0,0,0,22,20,22,20,0,42,10
00-01,0294,01,HOUSTON,12,28,10,0,0,0,0,0,0,0,0,13,23,13,23,0,36,10
00-01,0294,01,HOUSTON,KG,28,10,1,0,0,0,0,0,0,0,13,18,14,18,1,32,10
00-01,0294,01,HOUSTON,PK,28,10,1,0,0,0,0,0,0,0,3,3,4,3,1,7,10
00-01,0297,01,SPRING GROVE,01,28,10,0,0,0,0,0,0,0,0,12,13,12,13,0,25,10
00-01,0297,01,SPRING GROVE,02,28,10,0,0,0,0,0,0,0,0,13,15,13,15,0,28,10
00-01,0297,01,SPRING GROVE,03,28,10,0,0,0,0,0,0,0,0,11,21,11,21,0,32,10
00-01,0297,01,SPRING GROVE,04,28,10,0,0,0,0,0,0,0,0,20,15,20,15,0,35,10
00-01,0297,01,SPRING GROVE,05,28,10,0,0,0,0,0,0,0,0,11,7,11,7,0,18,10
00-01,0297,01,SPRING GROVE,06,28,10,0,1,0,0,0,0,0,0,18,17,18,18,1,36,10
00-01,0297,01,SPRING GROVE,07,28,10,0,0,0,0,0,0,0,0,16,19,16,19,0,35,10
00-01,0297,01,SPRING GROVE,08,28,10,0,1,0,0,0,0,0,0,23,15,23,16,1,39,10
00-01,0297,01,SPRING GROVE,09,28,10,0,0,0,0,0,0,0,0,20,20,20,20,0,40,10
00-01,0297,01,SPRING GROVE,10,28,10,0,0,0,0,0,0,0,0,12,20,12,20,0,32,10
00-01,0297,01,SPRING GROVE,11,28,10,0,0,0,1,0,0,0,0,19,12,19,13,1,32,10
00-01,0297,01,SPRING GROVE,12,28,10,0,0,0,0,0,0,0,0,21,16,21,16,0,37,10
00-01,0297,01,SPRING GROVE,KG,28,10,0,0,0,0,0,0,0,0,11,8,11,8,0,19,10
00-01,0297,01,SPRING GROVE,PK,28,10,0,0,0,0,0,0,0,0,0,3,0,3,0,3,10
