Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,GNS Average Score,GPFA Average Score,GDSP Average Score,GSGM Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification,,,,,,,,
10-11,27,,0001,33,Nonpublic School,037,SECOND FOUNDATION SCHOOL,,11,GRAD,20110412,11,M,1,All Categories,All Students,Y,0,,,,,,,,,,,,,,,,,,,,1,47,9,N,27,Hennepin,00,,,,,,,,
10-11,07,,0077,31,Nonpublic School,017,LOYOLA CATHOLIC SCHOOL,,09,GRAD,20110412,11,M,1,All Categories,All Students,N,38,20,18,52.6,47.4,47.9,4.9,9.3,6.2,5.3,9.8,1.6,44.8-51.0,0,0,0,1,0,0,0,43,557,9,N,07,Blue Earth,00,,,,,,,,
10-11,17,,0173,31,Nonpublic School,002,NEUHOF SCHOOL,,08,GRAD,20110412,11,M,1,All Categories,All Students,Y,1,,,,,,,,,,,,,,,,,,,,,13,9,N,17,Cottonwood,00,,,,,,,,
10-11,85,,0861,31,Nonpublic School,026,HOPE LUTHERAN HIGH SCHOOL,,10,GRAD,20110412,11,M,1,All Categories,All Students,N,12,7,5,58.3,41.7,50.3,5.0,9.8,7.6,5.4,5.9,1.7,46.9-53.7,0,0,0,0,0,0,0,15,47,9,N,85,Winona,00,,,,,,,,
10-11,09,Carlton,1094,34,Nonpublic School,030,FOND DU LAC OJIBWE SCHOOL,03,03,GRAD,20110412,11,M,1,All Categories,All Students,N,13,0,13,.0,100.0,34.5,3.2,5.4,4.5,3.7,8.5,2.3,29.9-39.1,0,0,0,1,0,0,0,,,9,N,09,Carlton,40,,,,,,,,
10-11,11,Cass,1115,34,Nonpublic School,010,BUG-O-NAY-GE-SHIG,05,05,GRAD,20110412,11,M,1,All Categories,All Students,N,13,5,8,38.5,61.5,41.6,4.4,6.7,5.9,4.7,13.8,3.8,34.1-49.1,0,0,0,0,0,0,0,,,9,N,11,Cass,40,,,,,,,,
10-11,03,Becker,1435,34,Nonpublic School,010,CIRCLE OF LIFE,01,04,GRAD,20110412,11,M,1,All Categories,All Students,Y,3,,,,,,,,,,,,,,,,,,,,,,9,N,03,Becker,40,,,,,,,,
10-11,48,Mille Lacs,1480,34,Nonpublic School,010,NAY-AH-SHING,07,07E,GRAD,20110412,11,M,1,All Categories,All Students,Y,4,,,,,,,,,,,,,,,,,,,,,,9,N,48,Mille Lacs,40,,,,,,,,
