DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,Total_Male,Total_Female,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,02,14,10,2,0,3,2,1,1,91,83,111,96,33,207,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,03,15,17,2,1,2,1,2,0,78,87,99,106,40,205,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,04,10,12,1,0,1,3,0,1,86,76,98,92,28,190,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,05,17,19,0,0,0,3,0,1,82,72,99,95,40,194,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,06,15,15,2,0,1,2,0,0,85,91,103,108,35,211,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,07,11,22,0,0,0,1,0,2,101,82,112,107,36,219,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,08,9,15,0,0,2,2,2,2,90,77,103,96,32,199,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,09,9,14,1,1,3,1,4,3,97,87,114,106,36,220,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,10,15,15,0,0,3,0,2,2,92,94,112,111,37,223,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,11,15,10,0,2,1,3,0,1,92,98,108,114,32,222,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,12,14,14,0,1,4,2,1,1,90,97,109,115,37,224,District,EC-12,,,
09-10,03,Becker,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,000,,04,04,All Grades,172,188,10,8,24,22,14,18,1224,1143,1444,1379,456,2823,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,EC,0,0,0,0,0,0,0,0,21,4,21,4,0,25,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,KG,4,0,0,0,1,1,0,1,29,31,34,33,7,67,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,01,1,2,2,0,1,1,1,1,35,30,40,34,9,74,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,02,6,0,1,0,1,0,1,1,18,35,27,36,10,63,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,03,8,8,0,0,1,2,0,0,28,24,37,34,19,71,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,04,6,3,0,0,0,1,2,0,36,25,44,29,12,73,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,05,2,2,1,1,3,1,0,0,28,21,34,25,10,59,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,06,2,4,1,1,0,0,0,0,44,28,47,33,8,80,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,07,5,1,0,0,0,0,0,0,26,36,31,37,6,68,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,08,4,1,2,2,0,1,0,0,31,36,37,40,10,77,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,09,0,3,0,0,1,0,0,0,42,18,43,21,4,64,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,10,4,5,1,0,0,0,0,0,27,25,32,30,10,62,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,11,3,1,1,0,1,0,1,0,33,33,39,34,7,73,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,12,4,1,0,2,0,0,0,0,24,34,28,37,7,65,District,EC-12,,,
09-10,03,Becker,0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,000,,04,04,All Grades,49,31,9,6,9,7,5,3,422,380,494,427,119,921,District,EC-12,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,KG,4,8,0,0,0,0,0,0,0,0,4,8,12,12,District,KG-08,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,01,9,3,0,0,0,0,0,0,0,0,9,3,12,12,District,KG-08,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,02,3,2,0,0,0,0,0,0,0,0,3,2,5,5,District,KG-08,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,03,3,3,0,0,0,0,0,0,0,0,3,3,6,6,District,KG-08,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,04,5,3,0,0,0,0,0,0,0,0,5,3,8,8,District,KG-08,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,05,3,2,0,0,0,0,0,0,0,0,3,2,5,5,District,KG-08,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,06,2,1,0,0,0,0,0,0,0,0,2,1,3,3,District,KG-08,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,07,3,2,0,0,0,0,0,0,0,0,3,2,5,5,District,KG-08,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,08,3,1,0,0,0,0,0,0,0,0,3,1,4,4,District,KG-08,,,
09-10,03,Becker,0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,000,,04,04,All Grades,35,25,0,0,0,0,0,0,0,0,35,25,60,60,District,KG-08,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,EC,17,6,2,0,1,1,2,1,62,29,84,37,30,121,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,KG,38,31,5,2,9,2,2,6,168,123,222,164,95,386,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,01,33,35,1,2,1,5,6,2,165,146,206,190,85,396,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,02,35,24,2,2,1,1,4,5,156,146,198,178,74,376,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,03,41,33,2,4,3,1,4,3,151,120,201,161,91,362,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,04,38,30,2,1,3,1,4,5,132,140,179,177,84,356,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,05,28,35,1,1,3,4,3,1,149,135,184,176,76,360,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,06,40,43,2,2,2,3,1,3,139,138,184,189,96,373,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,07,29,31,0,4,4,1,2,2,140,122,175,160,73,335,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,08,32,46,2,1,2,4,5,5,117,117,158,173,97,331,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,09,42,21,3,1,2,1,4,3,165,161,216,187,77,403,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,10,39,29,2,1,1,2,4,3,152,133,198,168,81,366,District,EC-12,,,
09-10,04,Beltrami,0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,000,,01,02,11,35,23,1,0,6,3,0,2,170,131,212,159,70,371,District,EC-12,,,
