DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,Total_Male,Total_Female,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
09-10,41,Lincoln,0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,000,,06,08,05,0,0,0,0,0,0,0,0,8,2,8,2,0,10,District,EC-11,,,
09-10,41,Lincoln,0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,000,,06,08,06,0,0,0,0,0,0,0,0,2,4,2,4,0,6,District,EC-11,,,
09-10,41,Lincoln,0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,000,,06,08,11,0,0,0,0,0,0,0,0,0,1,0,1,0,1,District,EC-11,,,
09-10,41,Lincoln,0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,000,,06,08,All Grades,0,0,0,0,1,1,1,1,54,36,56,38,4,94,District,EC-11,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,EC,0,0,0,1,6,3,1,0,36,20,43,24,11,67,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,KG,0,0,1,4,14,8,5,4,71,57,91,73,36,164,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,01,0,0,4,0,9,3,5,6,49,55,67,64,27,131,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,02,0,1,1,2,7,14,7,5,69,48,84,70,37,154,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,03,0,3,4,1,3,3,4,5,63,71,74,83,23,157,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,04,0,1,0,2,12,13,4,2,44,64,60,82,34,142,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,05,0,0,4,2,11,6,5,4,59,42,79,54,32,133,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,06,0,0,2,2,13,8,4,4,56,60,75,74,33,149,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,07,0,0,3,3,6,4,3,3,61,51,73,61,22,134,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,08,0,0,3,0,4,9,4,2,64,57,75,68,22,143,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,09,0,0,4,6,13,13,8,5,90,85,115,109,49,224,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,10,0,2,3,2,8,13,5,1,82,77,98,95,34,193,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,11,0,0,2,5,12,7,0,5,92,84,106,101,31,207,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,12,1,0,1,3,4,10,8,2,78,98,92,113,29,205,District,EC-12,,,
09-10,42,Lyon,0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,000,,06,08,All Grades,1,7,32,33,122,114,63,48,914,869,1132,1071,420,2203,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,EC,0,0,0,0,0,0,0,0,12,4,12,4,0,16,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,KG,0,0,0,0,2,2,0,0,16,24,18,26,4,44,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,01,0,0,0,0,2,2,2,0,10,10,14,12,6,26,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,02,0,0,0,0,0,2,0,0,18,8,18,10,2,28,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,03,0,0,0,0,2,0,0,1,15,12,17,13,3,30,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,04,0,0,0,0,0,2,0,0,16,18,16,20,2,36,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,05,0,0,0,0,1,1,0,0,9,13,10,14,2,24,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,06,0,0,0,0,3,3,0,0,10,12,13,15,6,28,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,07,0,0,0,0,0,2,0,2,22,18,22,22,4,44,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,08,0,0,0,1,1,0,0,0,8,6,9,7,2,16,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,09,0,0,0,0,1,2,0,0,10,21,11,23,3,34,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,10,0,0,0,0,0,1,0,0,23,17,23,18,1,41,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,11,0,0,1,0,1,0,0,0,25,28,27,28,2,55,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,12,0,0,0,0,3,0,0,0,21,23,24,23,3,47,District,EC-12,,,
09-10,42,Lyon,0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,000,,06,08,All Grades,0,0,1,1,16,17,2,3,215,214,234,235,40,469,District,EC-12,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,EC,0,0,0,0,0,2,0,0,0,1,0,3,2,3,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,KG,0,0,0,0,3,5,0,0,4,4,7,9,8,16,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,01,0,0,0,0,1,3,0,0,6,6,7,9,4,16,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,02,0,0,0,0,3,3,0,0,6,1,9,4,6,13,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,03,0,0,0,1,2,3,0,0,7,1,9,5,6,14,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,04,0,0,0,0,2,2,0,1,4,4,6,7,5,13,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,05,0,0,1,0,0,2,0,0,4,2,5,4,3,9,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,06,0,0,0,0,2,2,0,0,4,2,6,4,4,10,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,07,0,0,0,0,1,1,0,0,1,5,2,6,2,8,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,08,0,0,0,0,2,4,1,0,2,3,5,7,7,12,District,EC-08,,,
09-10,42,Lyon,0415,01,LYND PUBLIC SCHOOL DISTRICT,000,,06,08,All Grades,0,0,1,1,16,27,1,1,38,29,56,58,47,114,District,EC-08,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,EC,1,0,1,0,5,0,1,0,36,21,44,21,8,65,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,KG,0,0,2,1,5,5,1,2,116,114,124,122,16,246,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,01,0,0,3,1,11,5,2,3,104,92,120,101,25,221,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,02,0,0,0,1,5,7,3,4,95,90,103,102,20,205,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,03,0,0,1,2,5,6,4,1,85,89,95,98,19,193,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,04,0,1,1,3,7,4,2,1,105,98,115,107,19,222,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,05,0,1,1,0,0,9,4,1,91,95,96,106,16,202,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,06,1,0,0,1,7,3,1,1,93,94,102,99,14,201,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,07,1,1,0,2,10,4,4,2,119,90,134,99,24,233,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,08,0,0,0,2,5,4,1,0,119,107,125,113,12,238,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,09,1,0,0,1,5,9,4,0,112,107,122,117,20,239,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,10,0,0,2,1,3,2,0,1,88,128,93,132,9,225,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,11,0,0,1,3,8,2,0,1,118,102,127,108,15,235,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,12,0,0,1,1,4,8,2,2,135,120,142,131,18,273,District,EC-12,,,
09-10,43,McLeod,0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,000,,06,06E,All Grades,4,3,13,19,80,68,29,19,1416,1347,1542,1456,235,2998,District,EC-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,KG,0,0,0,0,2,3,0,0,13,12,15,15,5,30,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,01,0,0,0,0,4,1,0,0,12,18,16,19,5,35,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,02,0,0,0,0,2,4,0,0,4,10,6,14,6,20,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,03,0,0,0,0,4,2,0,0,15,10,19,12,6,31,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,04,0,0,0,0,2,1,0,0,18,12,20,13,3,33,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,05,0,0,0,0,2,2,0,0,13,18,15,20,4,35,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,06,0,0,0,0,0,2,0,0,14,11,14,13,2,27,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,07,0,0,1,0,1,1,0,0,16,10,18,11,3,29,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,08,0,0,1,0,1,0,0,0,19,10,21,10,2,31,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,09,0,0,0,0,2,2,0,0,15,13,17,15,4,32,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,10,0,0,0,1,0,0,0,0,17,12,17,13,1,30,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,11,0,0,0,0,1,1,0,0,12,9,13,10,2,23,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,12,0,0,0,0,0,0,0,0,20,19,20,19,0,39,District,KG-12,,,
09-10,43,McLeod,0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,000,,06,06E,All Grades,0,0,2,1,21,19,0,0,188,164,211,184,43,395,District,KG-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,EC,2,3,0,0,1,0,0,0,2,2,5,5,6,10,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,KG,16,21,0,0,0,0,0,0,4,5,20,26,37,46,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,01,16,14,0,0,0,0,0,0,2,6,18,20,30,38,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,02,15,7,0,1,0,0,0,0,8,2,23,10,23,33,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,03,20,18,0,0,0,0,0,1,8,6,28,25,39,53,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,04,11,19,0,0,0,0,0,0,10,5,21,24,30,45,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,05,20,17,1,0,0,0,0,0,3,4,24,21,38,45,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,06,15,10,0,0,0,0,0,0,9,5,24,15,25,39,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,07,14,25,0,0,0,1,0,0,12,7,26,33,40,59,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,08,22,17,0,0,1,0,0,0,15,7,38,24,40,62,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,09,18,22,0,1,1,0,0,0,11,4,30,27,42,57,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,10,18,10,1,0,0,0,0,1,8,3,27,14,30,41,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,11,19,13,0,0,0,0,0,0,11,7,30,20,32,50,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,12,15,15,0,0,0,0,0,0,9,14,24,29,30,53,District,EC-12,,,
09-10,44,Mahnomen,0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,000,,01,02,All Grades,221,211,2,2,3,1,0,2,112,77,338,293,442,631,District,EC-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,KG,20,19,0,0,0,0,0,0,9,9,29,28,39,57,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,01,19,19,0,0,0,0,1,0,5,3,25,22,39,47,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,02,22,16,0,0,0,0,0,0,4,6,26,22,38,48,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,03,19,13,0,0,0,0,0,0,15,1,34,14,32,48,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,04,14,14,0,0,0,0,0,0,6,6,20,20,28,40,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,05,20,14,0,0,0,1,0,0,8,6,28,21,35,49,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,06,22,25,0,0,0,0,0,0,6,6,28,31,47,59,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,07,15,18,0,0,0,0,1,0,6,8,22,26,34,48,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,08,16,16,0,0,0,0,0,0,6,8,22,24,32,46,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,09,12,17,0,0,1,0,0,0,7,3,20,20,30,40,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,10,12,12,0,0,0,0,0,1,9,10,21,23,25,44,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,11,11,19,0,0,0,1,0,0,8,10,19,30,31,49,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,12,15,12,0,0,0,0,0,1,5,3,20,16,28,36,District,KG-12,,,
09-10,44,Mahnomen,0435,01,WAUBUN PUBLIC SCHOOL DISTRICT,000,,01,02,All Grades,217,214,0,0,1,2,2,2,94,79,314,297,438,611,District,KG-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,EC,0,0,0,0,0,0,0,0,2,0,2,0,0,2,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,KG,0,0,0,0,0,0,0,0,12,20,12,20,0,32,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,01,0,0,0,0,1,0,0,0,17,18,18,18,1,36,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,02,0,0,0,0,0,0,1,0,16,9,17,9,1,26,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,03,0,0,0,0,0,0,0,1,13,15,13,16,1,29,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,04,0,0,0,0,0,0,0,0,11,16,11,16,0,27,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,05,0,0,0,1,0,0,0,1,21,17,21,19,2,40,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,06,0,0,0,0,0,0,0,0,15,15,15,15,0,30,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,07,0,0,0,1,0,0,1,0,18,8,19,9,2,28,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,08,0,0,0,0,0,0,0,0,19,13,19,13,0,32,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,09,0,0,0,0,0,0,0,0,20,17,20,17,0,37,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,10,0,0,0,0,0,0,0,0,13,13,13,13,0,26,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,11,2,0,0,0,0,0,0,0,17,10,19,10,2,29,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,12,0,0,0,0,0,0,0,1,14,7,14,8,1,22,District,EC-12,,,
09-10,45,Marshall,0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,000,,01,01,All Grades,2,0,0,2,1,0,2,3,208,178,213,183,10,396,District,EC-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,KG,0,0,0,0,0,0,0,0,7,4,7,4,0,11,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,01,0,0,0,0,0,1,0,0,6,5,6,6,1,12,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,02,0,0,0,0,0,0,0,0,4,6,4,6,0,10,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,03,0,0,0,0,0,0,0,0,8,6,8,6,0,14,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,04,0,0,0,0,0,0,0,0,2,6,2,6,0,8,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,05,0,0,0,0,1,0,0,0,4,5,5,5,1,10,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,06,0,0,0,1,0,0,0,0,7,7,7,8,1,15,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,07,0,0,0,0,0,0,0,0,6,5,6,5,0,11,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,08,0,0,0,0,1,0,0,0,11,9,12,9,1,21,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,09,0,0,0,0,0,0,0,0,5,9,5,9,0,14,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,10,0,0,0,0,1,0,0,0,8,9,9,9,1,18,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,11,0,1,0,0,0,0,0,0,8,13,8,14,1,22,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,12,0,0,0,1,0,1,0,0,7,7,7,9,2,16,District,KG-12,,,
09-10,45,Marshall,0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,000,,01,01,All Grades,0,1,0,2,3,2,0,0,83,91,86,96,8,182,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,KG,0,0,0,0,0,0,0,0,14,7,14,7,0,21,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,01,0,0,0,0,1,0,0,1,13,4,14,5,2,19,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,02,0,0,0,0,1,1,1,0,9,6,11,7,3,18,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,03,0,0,0,0,1,1,1,0,9,6,11,7,3,18,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,04,0,0,0,0,0,1,0,0,16,4,16,5,1,21,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,05,0,0,0,0,1,2,1,1,7,12,9,15,5,24,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,06,0,0,0,0,0,0,1,0,11,13,12,13,1,25,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,07,0,0,0,0,1,0,0,0,8,8,9,8,1,17,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,08,0,0,0,1,1,1,1,0,10,18,12,20,4,32,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,09,0,0,0,0,0,0,2,0,16,17,18,17,2,35,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,10,0,0,1,0,1,0,0,1,11,6,13,7,3,20,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,11,0,0,0,0,0,0,0,0,21,12,21,12,0,33,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,12,0,0,0,0,1,0,0,1,7,17,8,18,2,26,District,KG-12,,,
09-10,46,Martin,0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,000,,09,09,All Grades,0,0,1,1,8,6,7,4,152,130,168,141,27,309,District,KG-12,,,
09-10,47,Meeker,0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,000,,06,06E,EC,1,0,1,0,1,0,0,0,15,8,18,8,3,26,District,EC-12,,,
09-10,47,Meeker,0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,000,,06,06E,KG,0,0,0,2,1,0,0,1,30,48,31,51,4,82,District,EC-12,,,
09-10,47,Meeker,0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,000,,06,06E,01,0,0,0,2,0,3,0,1,31,31,31,37,6,68,District,EC-12,,,
09-10,47,Meeker,0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,000,,06,06E,02,1,0,0,0,1,2,0,0,39,32,41,34,4,75,District,EC-12,,,
09-10,47,Meeker,0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,000,,06,06E,03,0,0,1,0,0,0,1,0,39,24,41,24,2,65,District,EC-12,,,
09-10,47,Meeker,0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,000,,06,06E,04,0,0,0,1,0,0,0,1,30,30,30,32,2,62,District,EC-12,,,
09-10,47,Meeker,0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,000,,06,06E,05,0,0,0,1,0,1,0,0,36,22,36,24,2,60,District,EC-12,,,
