DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,1,0,0,0,0,0,0,0,0,0,1,0,6,5,8,5,2,13,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,0,1,1,0,0,0,1,0,0,0,1,0,47,32,50,33,4,83,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,1,0,0,0,0,0,0,0,0,0,0,0,37,29,38,29,1,67,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,0,0,0,2,1,0,1,0,0,0,0,1,45,44,47,47,5,94,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,1,0,0,0,0,0,2,0,0,0,3,1,45,40,51,41,7,92,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,0,2,0,0,0,0,0,0,0,0,1,2,37,39,38,43,5,81,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,0,0,0,0,2,0,0,1,0,0,2,2,58,33,62,36,7,98,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,0,0,0,0,0,0,1,0,0,0,2,2,50,50,53,52,5,105,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,1,0,0,0,0,2,0,1,0,0,0,2,48,48,49,53,6,102,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,2,2,0,0,0,0,0,0,0,0,1,2,37,38,40,42,7,82,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,0,0,0,0,0,1,1,1,0,0,1,2,41,42,43,46,6,89,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,0,0,1,0,0,3,0,0,0,0,1,1,41,42,43,46,6,89,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,1,1,0,0,0,2,0,2,0,0,1,0,51,34,53,39,7,92,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,0,0,1,0,1,0,0,0,0,0,0,0,65,46,67,46,2,113,District,EC-12,, ,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,7,6,3,2,4,8,6,5,0,0,14,15,608,522,642,558,70,1200,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,EC,11,11,32,11,157,90,125,48,0,0,16,5,210,147,551,312,506,863,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,KG,31,43,90,68,504,527,264,252,0,1,102,82,583,587,1574,1560,1964,3134,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,01,53,42,91,75,554,524,282,274,1,1,84,76,585,522,1650,1514,2057,3164,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,02,53,44,78,75,511,558,305,274,3,1,44,38,570,601,1564,1591,1984,3155,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,03,43,67,76,88,573,575,328,286,2,4,49,36,506,548,1577,1604,2127,3181,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,04,54,43,75,74,549,484,271,279,3,0,44,36,520,543,1516,1459,1912,2975,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,05,48,56,70,73,556,455,285,280,0,4,22,31,486,494,1467,1393,1880,2860,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,06,52,57,71,91,499,440,252,207,1,3,18,28,442,426,1335,1252,1719,2587,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,07,43,56,75,58,457,398,202,211,0,1,14,11,398,411,1189,1146,1526,2335,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,08,38,56,64,78,473,422,201,209,1,0,12,9,343,370,1132,1144,1563,2276,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,09,56,45,89,90,507,496,230,194,0,2,7,6,393,384,1282,1217,1722,2499,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,10,39,46,106,107,532,472,231,198,0,0,1,8,408,402,1317,1233,1740,2550,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,11,42,42,88,93,469,454,236,190,1,0,6,8,389,332,1231,1119,1629,2350,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,12,58,56,101,117,539,557,254,211,0,1,3,7,422,390,1377,1339,1904,2716,District,EC-12,, ,
15-16,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,All Grades,621,664,1106,1098,6880,6452,3466,3113,12,18,422,381,6255,6157,18762,17883,24233,36645,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,EC,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,8,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,KG,0,0,0,0,0,0,0,1,0,0,0,1,5,8,5,10,2,15,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,0,0,0,0,0,0,1,0,0,0,0,0,5,5,6,5,1,11,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,0,0,0,0,0,0,0,1,0,0,0,1,10,9,10,11,2,21,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,0,1,0,0,0,0,0,1,0,0,0,0,10,6,10,8,2,18,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,04,1,0,0,0,0,0,0,0,0,0,1,0,7,6,9,6,2,15,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,05,0,1,0,0,0,0,0,0,0,0,3,0,14,10,17,11,4,28,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,06,0,0,0,0,0,0,0,0,0,0,1,2,11,15,12,17,3,29,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,07,0,0,0,0,0,0,0,0,0,0,1,0,10,9,11,9,1,20,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,08,2,1,0,0,0,0,1,0,0,0,0,0,7,10,10,11,4,21,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,09,0,2,0,0,0,0,0,0,0,0,0,0,6,9,6,11,2,17,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,10,0,1,0,0,0,0,0,0,0,0,0,0,14,5,14,6,1,20,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,11,0,1,0,0,0,0,0,0,0,0,0,0,10,10,10,11,1,21,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,12,0,0,0,0,0,0,0,1,0,0,0,0,6,11,6,12,1,18,District,EC-12,, ,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,All Grades,3,7,0,0,0,0,2,4,0,0,6,4,120,116,131,131,26,262,District,EC-12,, ,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,EC,1,4,0,0,0,0,0,0,0,0,0,0,12,1,13,5,5,18,District,EC-12,, ,
15-16,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,KG,5,8,0,0,0,0,1,0,0,0,0,0,15,13,21,21,14,42,District,EC-12,, ,
