DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,,,,,,,20,13,,,,20,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,92,39,10,,,15,92,39,10,,,15,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,89,35,7,,,14,89,35,7,,,14,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,82,27,13,,,14,82,27,13,,,14,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,94,41,6,,,9,94,41,6,,,9,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,99,26,10,,,12,99,26,10,,,12,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,105,40,10,,,13,105,40,10,,,13,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,77,23,10,,,11,77,23,10,,,11,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,94,34,10,,,10,94,34,10,,,10,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,87,27,9,,,8,87,27,9,,,8,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,102,30,10,,,14,102,30,10,,,14,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,109,32,10,,,17,109,32,10,,,17,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,95,26,13,,,7,95,26,13,,,7,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,106,29,8,,,19,106,29,8,,,19,, ,EC-12,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,1231,409,126,,,163,1251,422,126,,,183,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,EC,,,,,,,910,547,43,288,1,910,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,KG,3358,1978,161,845,836,307,3358,1978,161,845,836,307,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,01,3389,2025,158,986,949,378,3389,2025,158,986,949,378,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,02,3205,1968,137,991,960,350,3205,1968,137,991,960,350,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,03,3099,1826,159,947,920,453,3099,1826,159,947,920,453,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,04,3027,1832,115,839,819,491,3027,1832,115,839,819,491,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,05,2622,1505,139,630,607,423,2622,1505,139,630,607,423,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,06,2392,1497,99,539,524,471,2392,1497,99,539,524,471,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,07,2489,1520,118,578,550,473,2489,1520,118,578,550,473,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,08,2408,1459,103,523,507,428,2408,1459,103,523,507,428,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,09,2333,1443,110,523,509,457,2333,1443,110,523,509,457,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,10,2300,1410,122,449,411,430,2300,1410,122,449,411,430,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,11,2151,1256,122,343,315,390,2151,1256,122,343,315,390,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,12,2600,1546,128,439,390,627,2600,1546,128,439,390,627,, ,EC-12,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,All Grades,35373,21265,1671,8632,8297,5678,36283,21812,1714,8920,8298,6588,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,EC,,,,,,,14,7,,,,14,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,KG,20,10,3,,,7,20,10,3,,,7,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,23,14,4,,,5,23,14,4,,,5,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,18,8,4,,,1,18,8,4,,,1,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,27,13,5,,,5,27,13,5,,,5,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,04,32,19,2,,,2,32,19,2,,,2,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,05,17,10,2,,,3,17,10,2,,,3,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,06,19,10,3,,,5,19,10,3,,,5,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,07,21,12,4,,,2,21,12,4,,,2,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,08,16,8,,,,5,16,8,,,,5,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,09,18,9,2,,,1,18,9,2,,,1,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,10,17,6,1,,,1,17,6,1,,,1,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,11,36,13,3,,,8,36,13,3,,,8,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,12,17,9,1,,,3,17,9,1,,,3,, ,EC-12,
13-14,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,All Grades,281,141,34,,,48,295,148,34,,,62,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,EC,,,,,,,15,5,1,,,15,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,KG,31,24,4,,,7,31,24,4,,,7,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,01,40,23,,,,5,40,23,,,,5,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,02,30,23,1,,,5,30,23,1,,,5,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,03,27,18,2,,,2,27,18,2,,,2,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,04,32,23,3,,,1,32,23,3,,,1,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,05,38,24,5,,,7,38,24,5,,,7,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,06,35,26,2,,,8,35,26,2,,,8,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,07,20,15,3,,,3,20,15,3,,,3,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,08,24,12,2,,,2,24,12,2,,,2,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,09,37,17,5,,,6,37,17,5,,,6,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,10,26,16,4,,,5,26,16,4,,,5,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,11,25,13,1,,,2,25,13,1,,,2,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,12,29,13,4,,,3,29,13,4,,,3,, ,EC-12,
13-14,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,All Grades,394,247,36,,,56,409,252,37,,,71,, ,EC-12,
13-14,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,EC,,,,,,,78,33,3,,,78,, ,EC-12,
13-14,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,KG,276,118,17,43,43,28,276,118,17,43,43,28,, ,EC-12,
13-14,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,01,292,131,26,38,38,54,292,131,26,38,38,54,, ,EC-12,
13-14,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,02,272,118,27,37,37,32,272,118,27,37,37,32,, ,EC-12,
13-14,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,03,277,106,25,30,30,38,277,106,25,30,30,38,, ,EC-12,
13-14,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,04,256,110,24,22,22,48,256,110,24,22,22,48,, ,EC-12,
