DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,09        ,58,38,138,107,181,147,391,457,355,360,1123,1109,1517,2232,District,EC-12,  , ,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,10        ,41,50,109,121,157,146,432,406,371,341,1110,1064,1462,2174,District,EC-12,  , ,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,11        ,41,35,101,115,170,135,438,443,344,344,1094,1072,1478,2166,District,EC-12,  , ,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,12        ,48,56,161,176,210,174,586,535,451,368,1456,1309,1946,2765,District,EC-12,  , ,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,All Grades,818,830,1341,1426,3004,2716,6394,5871,6172,5864,17729,16707,22400,34436,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,EC        ,0,0,0,0,0,1,0,0,11,1,11,2,1,13,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,KG        ,0,0,0,0,0,0,0,0,11,9,11,9,0,20,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,01        ,0,0,0,0,0,0,1,0,17,8,18,8,1,26,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,02        ,0,0,0,0,0,0,0,1,10,15,10,16,1,26,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,03        ,0,0,0,0,0,0,0,0,8,7,8,7,0,15,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,04        ,0,0,0,0,1,0,0,0,9,10,10,10,1,20,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,3,05        ,0,2,0,0,0,0,0,0,8,9,8,11,2,19,District,EC-12,  , ,  
