GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JSEE001,NAME_M,JSEM001
G2700010,2006-2010,,,Minnesota,27,Aitkin County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aitkin County, Minnesota",1976,"Aitkin County, Minnesota",1
G2700030,2006-2010,,,Minnesota,27,Anoka County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anoka County, Minnesota",1982,"Anoka County, Minnesota",1
G2700050,2006-2010,,,Minnesota,27,Becker County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Becker County, Minnesota",1976,"Becker County, Minnesota",1
G2700070,2006-2010,,,Minnesota,27,Beltrami County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beltrami County, Minnesota",1979,"Beltrami County, Minnesota",2
G2700090,2006-2010,,,Minnesota,27,Benton County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Minnesota",1980,"Benton County, Minnesota",2
G2700110,2006-2010,,,Minnesota,27,Big Stone County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Big Stone County, Minnesota",1956,"Big Stone County, Minnesota",3
G2700130,2006-2010,,,Minnesota,27,Blue Earth County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blue Earth County, Minnesota",1970,"Blue Earth County, Minnesota",2
G2700150,2006-2010,,,Minnesota,27,Brown County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brown County, Minnesota",1959,"Brown County, Minnesota",2
G2700170,2006-2010,,,Minnesota,27,Carlton County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlton County, Minnesota",1971,"Carlton County, Minnesota",1
G2700190,2006-2010,,,Minnesota,27,Carver County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carver County, Minnesota",1990,"Carver County, Minnesota",1
G2700210,2006-2010,,,Minnesota,27,Cass County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cass County, Minnesota",1978,"Cass County, Minnesota",1
G2700230,2006-2010,,,Minnesota,27,Chippewa County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chippewa County, Minnesota",1956,"Chippewa County, Minnesota",2
G2700250,2006-2010,,,Minnesota,27,Chisago County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chisago County, Minnesota",1988,"Chisago County, Minnesota",2
G2700270,2006-2010,,,Minnesota,27,Clay County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Minnesota",1972,"Clay County, Minnesota",1
G2700290,2006-2010,,,Minnesota,27,Clearwater County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clearwater County, Minnesota",1972,"Clearwater County, Minnesota",2
G2700310,2006-2010,,,Minnesota,27,Cook County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook County, Minnesota",1977,"Cook County, Minnesota",3
G2700330,2006-2010,,,Minnesota,27,Cottonwood County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cottonwood County, Minnesota",1954,"Cottonwood County, Minnesota",2
G2700350,2006-2010,,,Minnesota,27,Crow Wing County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crow Wing County, Minnesota",1977,"Crow Wing County, Minnesota",1
G2700370,2006-2010,,,Minnesota,27,Dakota County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dakota County, Minnesota",1984,"Dakota County, Minnesota",2
G2700390,2006-2010,,,Minnesota,27,Dodge County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dodge County, Minnesota",1975,"Dodge County, Minnesota",2
G2700410,2006-2010,,,Minnesota,27,Douglas County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County, Minnesota",1977,"Douglas County, Minnesota",2
G2700430,2006-2010,,,Minnesota,27,Faribault County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Faribault County, Minnesota",1950,"Faribault County, Minnesota",2
G2700450,2006-2010,,,Minnesota,27,Fillmore County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fillmore County, Minnesota",1949,"Fillmore County, Minnesota",3
G2700470,2006-2010,,,Minnesota,27,Freeborn County,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freeborn County, Minnesota",1956,"Freeborn County, Minnesota",1
G2700490,2006-2010,,,Minnesota,27,Goodhue County,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodhue County, Minnesota",1971,"Goodhue County, Minnesota",1
G2700510,2006-2010,,,Minnesota,27,Grant County,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Minnesota",1955,"Grant County, Minnesota",3
G2700530,2006-2010,,,Minnesota,27,Hennepin County,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hennepin County, Minnesota",1967,"Hennepin County, Minnesota",2
G2700550,2006-2010,,,Minnesota,27,Houston County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Minnesota",1967,"Houston County, Minnesota",3
G2700570,2006-2010,,,Minnesota,27,Hubbard County,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hubbard County, Minnesota",1977,"Hubbard County, Minnesota",1
G2700590,2006-2010,,,Minnesota,27,Isanti County,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Isanti County, Minnesota",1981,"Isanti County, Minnesota",2
G2700610,2006-2010,,,Minnesota,27,Itasca County,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Itasca County, Minnesota",1974,"Itasca County, Minnesota",1
G2700630,2006-2010,,,Minnesota,27,Jackson County,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Minnesota",1953,"Jackson County, Minnesota",2
G2700650,2006-2010,,,Minnesota,27,Kanabec County,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kanabec County, Minnesota",1979,"Kanabec County, Minnesota",2
G2700670,2006-2010,,,Minnesota,27,Kandiyohi County,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kandiyohi County, Minnesota",1974,"Kandiyohi County, Minnesota",1
G2700690,2006-2010,,,Minnesota,27,Kittson County,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kittson County, Minnesota",1957,"Kittson County, Minnesota",2
