DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,HMLK12,EC12Enr,FreeEC12,RedEC12,LEPIdentifiedEC12,LEPServedEC12,SPEEC12,HMLEC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,01,577,50,3,51,49,50,,577,50,3,51,49,50,,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,02,613,56,5,49,45,61,1,613,56,5,49,45,61,1,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,03,655,53,3,51,49,67,,655,53,3,51,49,67,,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,04,627,55,2,20,19,77,,627,55,2,20,19,77,,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,05,637,54,2,17,15,80,,637,54,2,17,15,80,,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,06,680,48,7,16,13,59,1,680,48,7,16,13,59,1,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,07,678,53,3,14,14,55,,678,53,3,14,14,55,,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,08,687,51,5,15,14,51,,687,51,5,15,14,51,,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,09,674,55,8,11,10,61,,674,55,8,11,10,61,,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,10,687,60,5,13,11,41,2,687,60,5,13,11,41,2,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,11,676,56,7,19,16,61,,676,56,7,19,16,61,,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,12,687,46,8,10,10,45,,687,46,8,10,10,45,,, ,EC-12,
16-17,27,Hennepin                                     ,0273,01,EDINA PUBLIC SCHOOL DISTRICT       ,000, ,11,11,All Grades,8483,671,60,345,319,752,4,8587,678,60,345,319,856,4,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,EC,,,,,,,,78,7,1,,,78,,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,KG,873,39,12,30,30,63,,873,39,12,30,30,63,,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,01,800,33,4,19,19,77,1,800,33,4,19,19,77,1,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,02,783,36,12,18,18,75,3,783,36,12,18,18,75,3,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,03,791,49,9,16,16,96,,791,49,9,16,16,96,,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,04,848,51,16,17,17,119,1,848,51,16,17,17,119,1,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,05,809,44,12,7,7,82,1,809,44,12,7,7,82,1,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,06,828,38,11,13,13,96,,828,38,11,13,13,96,,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,07,810,38,18,8,8,92,,810,38,18,8,8,92,,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,08,789,48,16,13,13,75,1,789,48,16,13,13,75,1,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,09,802,42,14,10,10,55,,802,42,14,10,10,55,,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,10,806,36,15,7,7,57,1,806,36,15,7,7,57,1,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,11,833,39,14,10,10,71,1,833,39,14,10,10,71,1,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,12,717,28,13,15,15,87,,717,28,13,15,15,87,,, ,EC-12,
16-17,27,Hennepin                                     ,0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT  ,000, ,11,11,All Grades,10489,521,166,183,183,1045,9,10567,528,167,183,183,1123,9,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,EC,,,,,,,,38,2,3,,,38,,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,KG,139,9,3,1,1,23,,139,9,3,1,1,23,,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,01,163,17,10,1,1,21,,163,17,10,1,1,21,,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,02,161,22,7,3,3,18,,161,22,7,3,3,18,,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,03,172,23,10,4,4,27,,172,23,10,4,4,27,,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,04,191,20,11,1,1,26,1,191,20,11,1,1,26,1,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,05,195,18,9,,,36,,195,18,9,,,36,,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,06,198,22,7,,,28,1,198,22,7,,,28,1,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,07,215,28,20,2,2,37,,215,28,20,2,2,37,,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,08,205,21,13,,,21,,205,21,13,,,21,,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,09,190,33,13,,,23,1,190,33,13,,,23,1,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,10,177,18,7,,,25,1,177,18,7,,,25,1,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,11,144,19,10,,,19,,144,19,10,,,19,,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,12,151,15,5,,,19,2,151,15,5,,,19,2,, ,EC-12,
16-17,27,Hennepin                                     ,0277,01,WESTONKA PUBLIC SCHOOL DISTRICT    ,000, ,11,11,All Grades,2301,265,125,12,12,323,6,2339,267,128,12,12,361,6,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,EC,,,,,,,,21,3,,,,21,,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,KG,166,9,2,9,9,16,1,166,9,2,9,9,16,1,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,01,192,13,1,6,6,14,3,192,13,1,6,6,14,3,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,02,197,18,6,6,6,15,1,197,18,6,6,6,15,1,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,03,189,9,7,12,12,12,,189,9,7,12,12,12,,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,04,205,7,5,3,3,22,1,205,7,5,3,3,22,1,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,05,210,11,8,,,28,1,210,11,8,,,28,1,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,06,238,10,5,,,41,,238,10,5,,,41,,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,07,236,13,4,,,30,,236,13,4,,,30,,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,08,227,10,6,2,2,25,,227,10,6,2,2,25,,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,09,229,9,2,2,2,26,1,229,9,2,2,2,26,1,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,10,231,9,8,,,31,,231,9,8,,,31,,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,11,248,5,7,4,4,27,,248,5,7,4,4,27,,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,12,241,7,2,,,26,,241,7,2,,,26,,, ,EC-12,
16-17,27,Hennepin                                     ,0278,01,ORONO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,All Grades,2809,130,63,44,44,313,8,2830,133,63,44,44,334,8,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,EC,,,,,,,,419,95,4,16,16,419,1,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,PK,,,,,,,,216,92,19,65,64,,,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,KG,1526,527,119,205,203,162,14,1526,527,119,205,203,162,14,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,01,1518,493,117,255,248,166,10,1518,493,117,255,248,166,10,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,02,1545,555,116,276,273,202,13,1545,555,116,276,273,202,13,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,03,1632,615,139,302,296,180,22,1632,615,139,302,296,180,22,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,04,1556,541,158,175,172,227,20,1556,541,158,175,172,227,20,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,05,1538,535,146,141,139,237,15,1538,535,146,141,139,237,15,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,06,1381,502,131,113,109,191,12,1381,502,131,113,109,191,12,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,07,1481,510,154,112,110,183,11,1481,510,154,112,110,183,11,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,08,1449,510,143,116,116,152,14,1449,510,143,116,116,152,14,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,09,1644,574,146,141,138,180,20,1644,574,146,141,138,180,20,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,10,1677,605,147,134,132,183,12,1677,605,147,134,132,183,12,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,11,1577,516,132,83,79,163,10,1577,516,132,83,79,163,10,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,12,1688,548,151,84,81,225,29,1688,548,151,84,81,225,29,, ,EC-12,
16-17,27,Hennepin                                     ,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       ,000, ,11,11,All Grades,20212,7031,1799,2137,2096,2451,202,20847,7218,1822,2218,2176,2870,203,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,EC,,,,,,,,101,34,11,,,101,,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,PK,,,,,,,,122,67,16,,,,2,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,KG,321,177,30,122,122,24,3,321,177,30,122,122,24,3,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,01,341,190,26,138,137,44,5,341,190,26,138,137,44,5,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,02,339,186,45,148,148,39,6,339,186,45,148,148,39,6,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,03,369,192,46,159,156,31,4,369,192,46,159,156,31,4,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,04,363,204,33,93,93,62,6,363,204,33,93,93,62,6,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,05,361,196,30,96,96,55,4,361,196,30,96,96,55,4,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,06,325,181,33,74,74,49,7,325,181,33,74,74,49,7,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,07,282,163,27,79,78,58,3,282,163,27,79,78,58,3,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,08,280,146,24,58,58,38,5,280,146,24,58,58,38,5,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,09,298,159,28,73,73,60,2,298,159,28,73,73,60,2,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,10,296,173,36,44,44,52,2,296,173,36,44,44,52,2,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,11,288,155,18,28,27,51,7,288,155,18,28,27,51,7,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,12,299,142,29,17,15,58,5,299,142,29,17,15,58,5,, ,EC-12,
16-17,27,Hennepin                                     ,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   ,000, ,11,11,All Grades,4162,2264,405,1129,1121,621,59,4385,2365,432,1129,1121,722,61,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,EC,,,,,,,,228,81,13,,,228,2,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,KG,865,382,91,131,130,76,12,865,382,91,131,130,76,12,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,01,893,417,70,127,127,103,19,893,417,70,127,127,103,19,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,02,907,428,71,152,152,87,21,907,428,71,152,152,87,21,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,03,944,454,70,166,166,102,25,944,454,70,166,166,102,25,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,04,1032,487,104,120,120,132,27,1032,487,104,120,120,132,27,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,05,945,440,95,74,73,113,19,945,440,95,74,73,113,19,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,06,965,450,87,76,76,100,12,965,450,87,76,76,100,12,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,07,1002,434,108,72,72,142,21,1002,434,108,72,72,142,21,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,08,945,410,83,65,64,108,17,945,410,83,65,64,108,17,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,09,958,414,97,79,76,134,17,958,414,97,79,76,134,17,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,10,935,363,102,46,46,125,14,935,363,102,46,46,125,14,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,11,910,378,83,42,40,117,16,910,378,83,42,40,117,16,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,12,1024,345,93,23,22,165,20,1024,345,93,23,22,165,20,, ,EC-12,
16-17,27,Hennepin                                     ,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT ,000, ,11,11,All Grades,12325,5402,1154,1173,1164,1504,240,12553,5483,1167,1173,1164,1732,242,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,EC,,,,,,,,3,,,,,3,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,KG,117,11,4,17,11,13,,117,11,4,17,11,13,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,01,111,18,9,22,19,6,1,111,18,9,22,19,6,1,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,02,115,20,5,18,16,9,,115,20,5,18,16,9,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,03,124,18,11,18,16,10,,124,18,11,18,16,10,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,04,116,21,5,12,8,12,1,116,21,5,12,8,12,1,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,05,122,17,11,10,5,9,1,122,17,11,10,5,9,1,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,06,144,29,9,12,7,12,1,144,29,9,12,7,12,1,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,07,142,22,12,8,8,8,,142,22,12,8,8,8,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,08,144,28,6,8,4,13,,144,28,6,8,4,13,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,09,187,37,18,16,13,14,,187,37,18,16,13,14,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,10,179,27,7,4,4,22,,179,27,7,4,4,22,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,11,185,20,14,2,1,15,,185,20,14,2,1,15,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,12,164,23,10,4,4,11,,164,23,10,4,4,11,,, ,EC-12,
16-17,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   ,000, ,11,11,All Grades,1850,291,121,151,116,154,4,1853,291,121,151,116,157,4,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,EC,,,,,,,,102,27,5,,,102,,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,KG,343,91,14,53,52,36,5,343,91,14,53,52,36,5,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,01,356,107,16,53,53,48,11,356,107,16,53,53,48,11,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,02,374,107,26,61,61,35,9,374,107,26,61,61,35,9,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,03,362,108,21,61,60,46,9,362,108,21,61,60,46,9,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,04,359,116,21,49,49,46,10,359,116,21,49,49,46,10,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,05,336,94,23,49,49,48,5,336,94,23,49,49,48,5,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,06,351,110,25,22,22,43,7,351,110,25,22,22,43,7,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,07,338,97,27,34,33,37,9,338,97,27,34,33,37,9,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,08,347,106,23,30,30,32,9,347,106,23,30,30,32,9,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,09,365,120,21,28,27,33,8,365,120,21,28,27,33,8,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,10,372,122,17,26,25,40,10,372,122,17,26,25,40,10,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,11,371,108,17,18,18,47,8,371,108,17,18,18,47,8,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,12,353,97,17,14,14,43,7,353,97,17,14,14,43,7,, ,EC-12,
16-17,27,Hennepin                                     ,0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,4627,1383,268,498,493,534,107,4729,1410,273,498,493,636,107,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,EC,,,,,,,,122,9,1,,,122,,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,KG,810,86,15,53,53,44,3,810,86,15,53,53,44,3,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,01,865,93,26,42,42,69,2,865,93,26,42,42,69,2,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,02,856,88,13,39,39,48,1,856,88,13,39,39,48,1,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,03,802,93,21,31,31,68,3,802,93,21,31,31,68,3,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,04,868,98,24,24,24,83,,868,98,24,24,24,83,,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,05,789,99,14,11,11,79,3,789,99,14,11,11,79,3,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,06,941,104,21,15,15,89,3,941,104,21,15,15,89,3,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,07,949,82,30,8,8,67,2,949,82,30,8,8,67,2,, ,EC-12,
16-17,27,Hennepin                                     ,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     ,000, ,11,11,08,886,101,24,19,19,69,2,886,101,24,19,19,69,2,, ,EC-12,
