Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,GNS Average Score,GPFA Average Score,GDSP Average Score,GSGM Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
10-Sep,1,Aitkin,1,1,AITKIN PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,93,61,32,65.6,34.4,52.8,6.5,10.5,6.1,5.9,10.7,1.1,50.6-55.0,3,0,0,0,0,0,0,105,1271,9,Y,,,0
10-Sep,27,Hennepin,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,1969,785,1184,39.9,60.1,44.5,5.5,8.5,5,4.7,14.9,0.3,43.8-45.2,38,5,1,45,0,0,6,2371,33555,9,Y,,,0
10-Sep,1,Aitkin,2,1,HILL CITY PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,32,16,16,50,50,51,6.4,9.5,6.3,5.6,13,2.3,46.5-55.5,0,0,0,0,0,0,0,34,289,9,Y,,,0
10-Sep,1,Aitkin,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,35,14,21,40,60,45.6,6.1,8.7,5.1,4.7,10.7,1.8,42.0-49.2,0,1,0,0,0,0,0,36,377,9,Y,,,0
10-Sep,19,Dakota,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,217,120,97,55.3,44.7,49.5,6.3,9.4,6,5.3,12,0.8,47.9-51.1,4,0,0,4,0,0,0,242,3232,9,Y,,,0
10-Sep,2,Anoka,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,3095,1713,1382,55.3,44.7,50.6,6.3,9.7,6,5.5,12.2,0.2,50.2-51.0,11,0,0,11,0,0,0,3285,39100,9,Y,,,0
10-Sep,2,Anoka,12,1,CENTENNIAL PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,540,441,99,81.7,18.3,58.4,7,11.3,7.1,6.7,11.3,0.5,57.4-59.4,3,0,1,1,0,0,0,599,6795,9,Y,,,0
10-Sep,2,Anoka,13,1,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,217,83,134,38.2,61.8,45.8,5.7,9,5,4.8,11.6,0.8,44.3-47.3,0,0,0,1,0,0,0,257,2880,9,Y,,,0
10-Sep,2,Anoka,14,1,FRIDLEY PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,208,106,102,51,49,48.3,6.2,9.3,5.9,4.8,12.6,0.9,46.6-50.0,5,0,0,0,0,0,3,247,2811,9,Y,,,0
10-Sep,2,Anoka,15,1,ST. FRANCIS PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,381,230,151,60.4,39.6,51.5,6.5,10,6.1,5.6,10.7,0.5,50.4-52.6,1,0,0,4,0,0,0,436,5385,9,Y,,,0
10-Sep,2,Anoka,16,1,SPRING LAKE PARK PUBLIC SCHOOLS,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,326,167,159,51.2,48.8,48.8,6.1,9.1,5.8,5.4,12.5,0.7,47.4-50.2,1,1,0,1,0,0,0,362,4729,9,Y,,,0
10-Sep,3,Becker,22,1,DETROIT LAKES PUBLIC SCHOOL DIST.,0,All Schools,4,4,GRAD,20100413,11,M,1,All Categories,All Students,N,204,123,81,60.3,39.7,52.4,6.4,9.9,6.4,5.9,13,0.9,50.6-54.2,6,0,0,2,0,0,0,223,2732,9,Y,,,0
10-Sep,3,Becker,23,1,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,0,All Schools,4,4,GRAD,20100413,11,M,1,All Categories,All Students,N,65,36,29,55.4,44.6,49.2,6.2,9.6,5.6,5.4,11.7,1.5,46.4-52.0,0,0,0,0,0,0,0,73,896,9,Y,,,0
10-Sep,4,Beltrami,31,1,BEMIDJI PUBLIC SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20100413,11,M,1,All Categories,All Students,N,339,186,153,54.9,45.1,49.6,6.1,9.8,5.7,5.3,14.3,0.8,48.1-51.1,0,0,2,1,0,0,0,371,4824,9,Y,,,0
10-Sep,4,Beltrami,32,1,BLACKDUCK PUBLIC SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20100413,11,M,1,All Categories,All Students,N,50,33,17,66,34,52.8,6.9,10.1,5.9,6.3,10.2,1.4,50.0-55.6,1,0,0,0,0,0,0,54,616,9,Y,,,0
10-Sep,4,Beltrami,36,1,KELLIHER PUBLIC SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20100413,11,M,1,All Categories,All Students,N,16,10,6,62.5,37.5,52,5.9,10.6,6.1,6.2,7.9,2,48.1-55.9,0,0,0,0,0,0,0,16,220,9,Y,,,0
10-Sep,4,Beltrami,38,1,RED LAKE PUBLIC SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20100413,11,M,1,All Categories,All Students,N,44,1,43,2.3,97.7,30.8,4.2,4.8,3.3,2.6,9.4,1.4,28.0-33.6,0,0,0,3,0,0,0,78,1368,9,Y,,,0
10-Sep,5,Benton,47,1,SAUK RAPIDS PUBLIC SCHOOL DISTRICT,0,All Schools,7,07W,GRAD,20100413,11,M,1,All Categories,All Students,N,292,157,135,53.8,46.2,49.9,6.4,9.6,5.9,5.3,11.3,0.7,48.6-51.2,0,0,0,0,0,0,0,295,3679,9,Y,,,0
10-Sep,5,Benton,51,1,FOLEY PUBLIC SCHOOL DISTRICT,0,All Schools,7,07W,GRAD,20100413,11,M,1,All Categories,All Students,N,111,61,50,55,45,47.8,6.3,8.9,5.8,5.1,11.8,1.1,45.6-50.0,0,0,0,0,0,0,0,109,1715,9,Y,,,0
10-Sep,7,Blue Earth,75,1,ST. CLAIR PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20100413,11,M,1,All Categories,All Students,N,40,24,16,60,40,52.6,6.4,10.5,5.7,6.4,10.3,1.6,49.4-55.8,0,0,0,0,0,0,0,47,584,9,Y,,,0
10-Sep,7,Blue Earth,77,1,MANKATO PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20100413,11,M,1,All Categories,All Students,N,475,293,182,61.7,38.3,51.4,6.5,9.9,5.9,5.8,12.2,0.6,50.3-52.5,3,0,0,0,0,0,0,519,7121,9,Y,,,0
10-Sep,8,Brown,81,1,COMFREY PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20100413,11,M,1,All Categories,All Students,Y,6,,,,,,,,,,,,,,,,,,,,6,155,9,Y,,,0
10-Sep,8,Brown,84,1,SLEEPY EYE PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20100413,11,M,1,All Categories,All Students,N,43,20,23,46.5,53.5,48.3,6.4,9.5,5.6,4.9,11.6,1.8,44.8-51.8,0,0,0,1,0,0,0,47,634,9,Y,,,0
10-Sep,8,Brown,85,1,SPRINGFIELD PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20100413,11,M,1,All Categories,All Students,N,62,44,18,71,29,54.2,7.1,10.6,6.7,5.8,9.1,1.2,51.9-56.5,0,0,0,0,0,0,0,62,578,9,Y,,,0
10-Sep,8,Brown,88,1,NEW ULM PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20100413,11,M,1,All Categories,All Students,N,147,96,51,65.3,34.7,51.6,6.6,10.2,6.2,5.5,10.8,0.9,49.9-53.3,0,0,0,1,0,0,0,158,1990,9,Y,,,0
10-Sep,9,Carlton,91,1,BARNUM PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,41,12,29,29.3,70.7,43.3,5.9,8,4.6,4.4,8.7,1.4,40.6-46.0,0,0,0,0,0,0,1,44,740,9,Y,,,0
10-Sep,9,Carlton,93,1,CARLTON PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,51,19,32,37.3,62.7,46.3,5.6,8.8,5.4,5,13.5,1.9,42.6-50.0,0,0,0,0,0,0,0,57,537,9,Y,,,0
10-Sep,9,Carlton,94,1,CLOQUET PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,174,91,83,52.3,47.7,49,6.3,9,6.1,5.2,12.4,0.9,47.2-50.8,1,0,0,2,0,0,0,195,2383,9,Y,,,0
10-Sep,9,Carlton,95,1,CROMWELL-WRIGHT PUBLIC SCHOOLS,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,30,15,15,50,50,50.4,6.3,9.4,6,6.1,10.8,2,46.5-54.3,0,0,0,0,0,0,0,32,296,9,Y,,,0
10-Sep,9,Carlton,97,1,MOOSE LAKE PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,65,37,28,56.9,43.1,52.2,6.7,9.6,6.5,5.8,9.9,1.2,49.8-54.6,0,0,0,0,0,0,0,67,725,9,Y,,,0
10-Sep,9,Carlton,99,1,ESKO PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,92,68,24,73.9,26.1,55,6.9,11.1,6.1,6.4,10.7,1.1,52.8-57.2,0,0,0,0,0,0,0,95,1149,9,Y,,,0
10-Sep,9,Carlton,100,1,WRENSHALL PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20100413,11,M,1,All Categories,All Students,N,21,9,12,42.9,57.1,47,5.7,9,5.2,5.3,10.9,2.4,42.3-51.7,2,0,0,0,0,0,0,26,329,9,Y,,,0
10-Sep,10,Carver,108,1,NORWOOD PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,89,66,23,74.2,25.8,53.6,6.6,10.8,6.1,6.3,10.8,1.1,51.4-55.8,0,0,0,0,0,0,0,89,989,9,Y,,,0
10-Sep,10,Carver,110,1,WACONIA PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,232,156,76,67.2,32.8,54.1,6.6,10.7,6.2,6.3,12.1,0.8,52.5-55.7,0,0,1,0,0,0,0,245,3177,9,Y,,,0
10-Sep,10,Carver,111,1,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,124,92,32,74.2,25.8,55.1,7,10.9,6.3,6.3,10.2,0.9,53.3-56.9,0,0,0,0,0,0,0,128,1582,9,Y,,,0
10-Sep,10,Carver,112,1,EASTERN CARVER COUNTY PUBLIC SCHOOL,0,All Schools,11,11,GRAD,20100413,11,M,1,All Categories,All Students,N,619,459,160,74.2,25.8,55.9,6.9,10.8,6.5,6.5,12,0.5,55.0-56.8,0,0,0,4,0,0,0,659,8854,9,Y,,,0
10-Sep,11,Cass,113,1,WALKER-HACKENSACK-AKELEY SCHL. DIST,0,All Schools,5,5,GRAD,20100413,11,M,1,All Categories,All Students,N,69,21,48,30.4,69.6,44.5,5.7,8.6,5.1,4.3,11.3,1.4,41.8-47.2,0,0,0,0,0,0,0,75,777,9,Y,,,0
10-Sep,11,Cass,115,1,CASS LAKE-BENA PUBLIC SCHOOLS,0,All Schools,5,5,GRAD,20100413,11,M,1,All Categories,All Students,N,41,9,32,22,78,39.8,5.4,7.4,4,3.8,11.8,1.8,36.2-43.4,0,0,0,3,0,0,0,57,1113,9,Y,,,0
10-Sep,11,Cass,116,1,PILLAGER PUBLIC SCHOOL DISTRICT,0,All Schools,5,5,GRAD,20100413,11,M,1,All Categories,All Students,N,60,34,26,56.7,43.3,50,6.4,9.8,5.6,5.5,10.9,1.4,47.2-52.8,0,0,0,0,0,0,0,60,777,9,Y,,,0
10-Sep,11,Cass,118,1,NORTHLAND COMMUNITY SCHOOLS,0,All Schools,5,5,GRAD,20100413,11,M,1,All Categories,All Students,N,46,27,19,58.7,41.3,49.4,6.1,10.3,5.6,5.2,11.2,1.6,46.2-52.6,0,0,0,0,0,0,0,47,427,9,Y,,,0
10-Sep,12,Chippewa,129,1,MONTEVIDEO PUBLIC SCHOOL DISTRICT,0,All Schools,6,06W,GRAD,20100413,11,M,1,All Categories,All Students,N,96,49,47,51,49,49.9,6.4,9.3,5.8,5.6,11.4,1.2,47.6-52.2,0,0,0,0,0,0,0,108,1351,9,Y,,,0
10-Sep,13,Chisago,138,1,NORTH BRANCH PUBLIC SCHOOLS,0,All Schools,7,07E,GRAD,20100413,11,M,1,All Categories,All Students,N,304,179,125,58.9,41.1,52.1,6.4,10,5.9,6,12.1,0.7,50.7-53.5,2,1,0,1,0,0,0,328,3593,9,Y,,,0
10-Sep,13,Chisago,139,1,RUSH CITY PUBLIC SCHOOL DISTRICT,0,All Schools,7,07E,GRAD,20100413,11,M,1,All Categories,All Students,N,64,38,26,59.4,40.6,49.8,6.5,9.8,5.8,5.2,9.8,1.2,47.4-52.2,0,0,0,0,0,0,0,66,866,9,Y,,,0
10-Sep,14,Clay,146,1,BARNESVILLE PUBLIC SCHOOL DIST.,0,All Schools,4,4,GRAD,20100413,11,M,1,All Categories,All Students,N,62,40,22,64.5,35.5,52.9,6.8,9.9,6.3,6,12.3,1.6,49.8-56.0,0,0,0,0,0,0,0,60,804,9,Y,,,0
10-Sep,14,Clay,150,1,HAWLEY PUBLIC SCHOOL DISTRICT,0,All Schools,4,4,GRAD,20100413,11,M,1,All Categories,All Students,N,72,54,18,75,25,55.3,6.9,11.1,6.6,6.2,8.6,1,53.3-57.3,0,0,0,0,0,0,0,80,899,9,Y,,,0
