DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,17,9,2,,,1,17,9,2,,,1,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,24,9,5,,,5,24,9,5,,,5,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,26,15,,,,2,26,15,,,,2,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,04,16,10,3,,,3,16,10,3,,,3,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,05,19,11,1,,,5,19,11,1,,,5,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,06,20,10,2,,,1,20,10,2,,,1,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,07,17,8,,,,4,17,8,,,,4,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,08,22,13,2,,,1,22,13,2,,,1,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,09,19,7,,,,2,19,7,,,,2,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,10,37,14,2,,,8,37,14,2,,,8,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,11,17,6,3,,,3,17,6,3,,,3,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,12,21,11,1,,,6,21,11,1,,,6,, ,EC-12,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,All Grades,275,133,22,,,47,289,139,23,,,61,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,EC,,,,,,,4,,1,,,4,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,KG,39,21,8,,,2,39,21,8,,,2,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,01,28,18,2,,,6,28,18,2,,,6,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,02,27,17,3,,,4,27,17,3,,,4,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,03,30,22,4,,,5,30,22,4,,,5,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,04,38,27,2,,,9,38,27,2,,,9,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,05,37,27,3,,,13,37,27,3,,,13,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,06,22,18,3,,,2,22,18,3,,,2,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,07,26,15,2,,,2,26,15,2,,,2,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,08,34,16,3,,,3,34,16,3,,,3,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,09,25,16,4,,,6,25,16,4,,,6,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,10,25,12,2,,,2,25,12,2,,,2,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,11,27,14,5,,,4,27,14,5,,,4,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,12,37,16,5,,,7,37,16,5,,,7,, ,EC-12,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,All Grades,395,239,46,,,65,399,239,47,,,69,, ,EC-12,
