DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,04,0,0,0,1,0,0,1,1,0,0,0,0,20,19,21,21,3,42,District,EC-12,, ,
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,05,0,1,0,0,0,0,1,1,0,0,0,0,20,23,21,25,3,46,District,EC-12,, ,
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,06,0,0,0,0,0,0,3,1,0,0,3,1,12,22,18,24,8,42,District,EC-12,, ,
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,07,0,0,0,2,0,0,2,0,0,0,1,0,23,13,26,15,5,41,District,EC-12,, ,
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,08,0,0,1,0,0,0,3,1,0,0,0,1,25,8,29,10,6,39,District,EC-12,, ,
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,09,0,0,1,0,0,0,2,1,0,0,0,0,24,23,27,24,4,51,District,EC-12,, ,
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,10,0,0,2,1,2,0,2,2,0,0,1,1,12,27,19,31,11,50,District,EC-12,, ,
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,11,0,1,0,0,0,0,1,1,0,0,0,0,18,15,19,17,3,36,District,EC-12,, ,
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,12,0,0,1,1,2,0,2,0,0,0,0,0,23,14,28,15,6,43,District,EC-12,, ,
17-18,37,Lac qui Parle                                ,0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT ,000, ,06,06W,All Grades,2,3,6,5,4,0,28,16,1,0,7,7,269,219,317,250,79,567,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,EC,0,0,0,0,0,0,0,0,0,0,0,0,20,9,20,9,0,29,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,KG,1,1,0,0,0,0,2,2,0,0,1,2,39,40,43,45,9,88,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,01,0,1,0,0,1,0,1,0,0,0,2,0,42,37,46,38,5,84,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,02,0,0,0,0,0,0,0,0,0,0,1,1,53,43,54,44,2,98,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,03,0,0,0,0,0,0,0,0,0,0,2,1,50,56,52,57,3,109,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,04,0,0,0,0,0,0,0,0,0,0,0,1,43,46,43,47,1,90,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,05,1,1,0,0,1,2,0,0,0,0,1,1,49,51,52,55,7,107,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,06,0,1,0,0,1,0,1,0,1,0,1,0,53,38,57,39,5,96,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,07,0,1,0,0,0,1,0,0,0,0,1,0,54,64,55,66,3,121,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,08,1,2,2,0,0,0,2,0,0,0,0,1,58,40,63,43,8,106,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,09,1,0,1,0,0,0,1,1,0,0,2,1,61,50,66,52,7,118,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,10,0,1,0,0,0,0,0,0,0,1,0,3,58,52,58,57,5,115,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,11,0,0,0,0,0,1,1,0,0,1,0,1,53,52,54,55,4,109,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,12,0,0,0,1,1,0,1,0,0,0,1,0,62,52,65,53,4,118,District,EC-12,, ,
17-18,38,Lake                                         ,0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.  ,000, ,03,03,All Grades,4,8,3,1,4,4,9,3,1,2,12,12,695,630,728,660,63,1388,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,EC,1,0,0,1,0,0,0,0,0,0,1,0,3,2,5,3,3,8,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,KG,1,0,0,0,0,0,1,0,0,0,1,0,14,13,17,13,3,30,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,01,1,1,0,0,0,0,0,0,0,0,4,2,13,13,18,16,8,34,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,02,0,1,1,0,0,0,0,0,0,0,1,0,10,10,12,11,3,23,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,03,1,0,0,0,0,2,0,0,0,0,3,0,16,11,20,13,6,33,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,04,1,0,0,1,0,1,0,0,0,0,0,1,16,13,17,16,4,33,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,05,1,0,0,0,0,0,2,0,0,0,1,0,16,18,20,18,4,38,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,06,0,0,0,0,1,1,0,0,0,0,1,0,20,18,22,19,3,41,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,07,0,0,0,0,0,0,0,1,0,0,2,1,19,16,21,18,4,39,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,08,1,0,1,1,0,0,0,1,0,0,0,2,24,19,26,23,6,49,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,09,1,0,0,0,0,0,0,0,0,0,0,1,13,14,14,15,2,29,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,10,0,0,0,0,0,0,0,0,0,0,3,1,19,15,22,16,4,38,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,11,1,0,0,1,1,0,0,0,0,0,2,1,9,8,13,10,6,23,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,12,0,0,1,0,0,0,0,0,0,0,1,0,16,15,18,15,2,33,District,EC-12,, ,
17-18,39,Lake of the Woods                            ,0390,01,LAKE OF THE WOODS SCHOOL DISTRICT  ,000, ,01,02,All Grades,9,2,3,4,2,4,3,2,0,0,20,9,208,185,245,206,58,451,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,EC,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,KG,0,0,0,0,0,0,0,1,0,0,1,1,18,17,19,19,3,38,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,01,0,0,0,0,0,0,0,1,0,0,0,1,15,14,15,16,2,31,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,02,0,0,0,0,0,0,1,1,0,0,0,0,19,10,20,11,2,31,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,03,0,0,0,0,0,0,0,0,0,0,0,0,19,13,19,13,0,32,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,04,0,0,0,0,0,0,2,3,0,0,0,0,21,14,23,17,5,40,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,05,0,0,0,0,0,0,0,0,0,0,0,1,21,24,21,25,1,46,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,06,1,0,0,0,1,0,0,1,0,0,0,0,10,22,12,23,3,35,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,07,0,0,0,0,1,0,1,2,0,0,1,0,20,26,23,28,5,51,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,08,0,0,0,0,0,0,0,0,0,0,1,0,20,22,21,22,1,43,District,EC-12,, ,
17-18,40,Le Sueur                                     ,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   ,000, ,09,09,09,1,0,0,0,0,0,0,2,0,0,0,0,14,19,15,21,3,36,District,EC-12,, ,
