DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,,,,,,,9,7,,,,9,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,70,24,10,,,14,70,24,10,,,14,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,95,36,16,,,11,95,36,16,,,11,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,89,36,7,,,14,89,36,7,,,14,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,81,28,13,,,12,81,28,13,,,12,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,95,36,10,,,10,95,36,10,,,10,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,99,31,10,,,10,99,31,10,,,10,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,101,35,9,,,9,101,35,9,,,9,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,77,20,9,,,10,77,20,9,,,10,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,92,35,11,,,9,92,35,11,,,9,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,87,28,5,,,5,87,28,5,,,5,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,95,25,7,,,13,95,25,7,,,13,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,104,29,9,,,17,104,29,9,,,17,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,99,29,12,,,11,99,29,12,,,11,, ,EC-12,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,1184,392,128,,,145,1193,399,128,,,154,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,EC,,,,,,,899,542,43,292,,899,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,KG,3200,1786,157,797,794,310,3200,1786,157,797,794,310,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,01,3217,1854,165,834,832,329,3217,1854,165,834,832,329,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,02,3227,1929,148,939,926,384,3227,1929,148,939,926,384,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,03,3069,1853,127,917,906,376,3069,1853,127,917,906,376,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,04,2978,1743,149,774,763,471,2978,1743,149,774,763,471,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,05,2894,1709,110,735,730,461,2894,1709,110,735,730,461,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,06,2388,1374,114,537,530,387,2388,1374,114,537,530,387,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,07,2337,1453,101,534,525,471,2337,1453,101,534,525,471,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,08,2436,1464,118,564,558,447,2436,1464,118,564,558,447,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,09,2456,1486,118,569,566,424,2456,1486,118,569,566,424,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,10,2394,1472,106,529,519,434,2394,1472,106,529,519,434,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,11,2190,1271,108,378,370,376,2190,1271,108,378,370,376,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,12,2719,1676,130,445,436,702,2719,1676,130,445,436,702,, ,EC-12,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,All Grades,35505,21070,1651,8552,8455,5572,36404,21612,1694,8844,8455,6471,, ,EC-12,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,EC,,,,,,,9,4,1,,,9,, ,EC-12,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,KG,16,8,1,,,5,16,8,1,,,5,, ,EC-12,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,20,9,5,,,2,20,9,5,,,2,, ,EC-12,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,21,10,2,,,2,21,10,2,,,2,, ,EC-12,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,17,8,2,,,1,17,8,2,,,1,, ,EC-12,
