DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,01,2,4,45,33,9,18,35,21,215,237,306,313,167,619,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,02,9,3,43,35,13,12,33,26,251,218,349,294,174,643,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,03,2,2,37,35,13,14,29,31,282,222,363,304,163,667,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,04,4,1,27,30,15,18,26,21,269,271,341,341,142,682,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,05,4,6,35,40,13,16,35,30,296,261,383,353,179,736,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,06,6,2,43,28,17,19,29,34,325,290,420,373,178,793,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,07,6,6,45,39,13,8,24,26,333,296,421,375,167,796,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,08,5,3,38,30,12,11,30,20,329,352,414,416,149,830,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,09,5,10,38,36,13,11,20,34,396,349,472,440,167,912,  , ,  
06-07,62,Ramsey                                       ,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT ,000, ,11,11 ,10,3,4,37,36,12,17,24,15,384,357,460,429,148,889,  , ,  
