DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,1,0,0,0,0,0,0,0,0,0,1,0,3,4,5,4,2,9,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,1,0,0,0,0,0,0,0,0,0,0,0,38,31,39,31,1,70,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,1,0,0,1,1,0,2,0,0,0,0,2,41,47,45,50,7,95,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,1,0,0,0,0,0,2,0,0,0,2,1,46,37,51,38,6,89,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,1,2,0,0,0,0,0,0,0,0,2,3,37,36,40,41,8,81,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,0,0,0,0,2,0,0,1,0,0,3,2,54,33,59,36,8,95,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,0,0,0,0,0,0,1,0,0,0,2,2,47,47,50,49,5,99,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,0,0,0,0,1,2,0,1,0,0,0,1,50,46,51,50,5,101,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,1,1,0,0,0,0,0,0,0,0,1,1,36,37,38,39,4,77,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,1,1,0,0,1,1,1,1,0,0,1,2,40,43,44,48,9,92,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,1,0,1,0,0,3,0,0,0,0,1,0,38,43,41,46,6,87,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,1,2,0,0,0,2,0,1,0,0,2,0,51,36,54,41,8,95,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,0,0,0,0,1,0,0,0,0,0,0,0,59,44,60,44,1,104,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,0,1,0,0,0,1,1,0,0,0,0,2,46,48,47,52,5,99,District,EC-12,, ,
14-15,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,9,7,1,1,6,9,7,4,0,0,15,16,586,532,624,569,75,1193,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,EC,8,9,33,10,157,109,139,58,0,0,16,4,222,134,575,324,543,899,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,KG,59,45,108,73,520,509,294,293,1,1,84,73,605,535,1671,1529,2060,3200,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,01,52,46,79,78,528,533,324,306,3,1,50,33,576,608,1612,1605,2033,3217,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,02,47,67,95,84,556,568,331,285,4,4,44,39,525,578,1602,1625,2124,3227,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,03,67,47,81,81,544,473,300,298,3,0,40,37,544,554,1579,1490,1971,3069,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,04,51,59,78,80,562,479,311,303,0,4,22,32,498,499,1522,1456,1981,2978,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,05,64,61,81,94,556,491,300,255,2,3,13,24,481,469,1497,1397,1944,2894,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,06,48,60,74,72,442,405,207,230,0,1,10,6,422,411,1203,1185,1555,2388,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,07,43,62,72,79,496,413,216,214,1,0,5,5,348,383,1181,1156,1606,2337,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,08,57,53,75,81,500,473,230,215,0,1,5,7,379,360,1246,1190,1697,2436,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,09,52,48,108,101,493,464,226,189,1,0,1,6,386,381,1267,1189,1689,2456,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,10,45,42,93,98,482,454,252,199,1,1,8,9,381,329,1262,1132,1684,2394,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,11,40,37,91,100,414,435,208,153,0,0,4,7,356,345,1113,1077,1489,2190,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,12,55,38,140,115,549,570,256,221,1,1,4,5,397,367,1402,1317,1955,2719,District,EC-12,, ,
14-15,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,All Grades,688,674,1208,1146,6799,6376,3594,3219,17,17,306,287,6120,5953,18732,17672,24331,36404,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,EC,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3,6,1,9,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,KG,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,16,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,0,0,0,0,0,0,0,1,0,0,0,1,8,10,8,12,2,20,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,0,0,0,0,0,0,0,1,0,0,0,0,13,7,13,8,1,21,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,1,0,0,0,0,0,0,0,0,0,0,0,9,7,10,7,1,17,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,04,0,1,0,0,0,0,0,0,0,0,2,0,13,9,15,10,3,25,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,05,0,0,0,0,0,0,0,0,0,0,1,2,11,16,12,18,3,30,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,06,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,7,0,16,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,07,2,1,0,0,0,0,1,0,0,0,0,0,6,10,9,11,4,20,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,08,0,2,0,0,0,0,0,0,0,0,0,0,8,8,8,10,2,18,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,09,0,0,0,0,0,0,0,0,0,0,0,0,13,4,13,4,0,17,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,10,1,0,0,0,0,0,0,0,0,0,0,0,12,9,13,9,1,22,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,11,0,0,0,0,0,0,0,1,0,0,0,0,7,11,7,12,1,19,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,12,1,1,0,0,0,0,0,0,0,0,0,0,14,20,15,21,2,36,District,EC-12,, ,
14-15,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,All Grades,5,5,0,0,0,0,1,3,0,0,3,4,134,131,143,143,21,286,District,EC-12,, ,
14-15,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,EC,1,6,0,0,0,0,0,0,0,0,0,0,11,3,12,9,7,21,District,EC-12,, ,
14-15,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,KG,7,4,0,0,0,0,1,1,0,0,1,1,11,14,20,20,15,40,District,EC-12,, ,
14-15,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,01,3,5,0,1,1,0,0,1,0,0,0,1,13,8,17,16,12,33,District,EC-12,, ,
