DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
04-05,01,Aitkin                                       ,0001,01,AITKIN                             ,000, ,03,03 ,All Grades,10,16,5,7,6,4,9,5,649,627,679,659,62,1338,  , ,  
04-05,01,Aitkin                                       ,0002,01,HILL CITY                          ,000, ,03,03 ,All Grades,1,3,0,0,2,1,0,0,196,149,199,153,7,352,  , ,  
04-05,01,Aitkin                                       ,0004,01,MCGREGOR                           ,000, ,03,03 ,All Grades,40,30,0,2,0,1,1,0,218,199,259,232,74,491,  , ,  
04-05,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN                     ,000, ,11,11 ,All Grades,286,279,1207,1057,499,456,1172,1174,18228,17234,21392,20200,6130,41592,  , ,  
04-05,02,Anoka                                        ,0012,01,CENTENNIAL                         ,000, ,11,11 ,All Grades,47,57,95,102,47,48,44,49,3363,3181,3596,3437,489,7033,  , ,  
04-05,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS                   ,000, ,11,11 ,All Grades,44,72,85,96,196,184,351,322,818,827,1494,1501,1350,2995,  , ,  
04-05,02,Anoka                                        ,0014,01,FRIDLEY                            ,000, ,11,11 ,All Grades,36,23,87,97,61,53,193,181,923,870,1300,1224,731,2524,  , ,  
04-05,02,Anoka                                        ,0015,01,ST. FRANCIS                        ,000, ,11,11 ,All Grades,41,42,81,76,35,42,60,40,2903,2669,3120,2869,417,5989,  , ,  
04-05,02,Anoka                                        ,0016,01,SPRING LAKE PARK                   ,000, ,11,11 ,All Grades,38,35,151,158,119,112,122,137,1807,1679,2237,2121,872,4358,  , ,  
04-05,02,Anoka                                        ,4008,07,PACT CHARTER SCHOOL                ,000, ,11,11 ,All Grades,1,3,3,4,3,3,9,5,279,243,295,258,31,553,  , ,  
04-05,02,Anoka                                        ,4049,07,COON RAPIDS LEARNING CENTER        ,000, ,11,11 ,All Grades,3,2,6,3,2,2,11,7,84,56,106,70,36,176,  , ,  
04-05,02,Anoka                                        ,4104,07,LIBERTY HIGH SCHOOL                ,000, ,11,11 ,All Grades,1,2,0,2,2,1,4,5,77,66,84,76,17,160,  , ,  
04-05,03,Becker                                       ,0022,01,DETROIT LAKES                      ,000, ,04,04 ,All Grades,154,177,6,6,12,13,6,11,1160,1151,1338,1358,385,2696,  , ,  
04-05,03,Becker                                       ,0023,01,FRAZEE-VERGAS                      ,000, ,04,04 ,All Grades,36,27,3,7,9,6,5,5,543,494,596,539,98,1135,  , ,  
04-05,03,Becker                                       ,0025,01,PINE POINT                         ,000, ,04,04 ,All Grades,36,33,0,0,0,0,0,0,0,0,36,33,69,69,  , ,  
04-05,03,Becker                                       ,0397,52,LAKE AGASSIZ SP. ED. COOP.         ,000, ,04,04 ,All Grades,0,0,0,0,1,0,0,1,16,12,17,13,2,30,  , ,  
04-05,03,Becker                                       ,2889,01,LAKE PARK AUDUBON DISTRICT         ,000, ,04,04 ,All Grades,2,2,3,4,4,2,0,2,326,288,335,298,19,633,  , ,  
04-05,04,Beltrami                                     ,0031,01,BEMIDJI                            ,000, ,01,02 ,All Grades,407,358,25,25,29,25,30,21,2116,1885,2607,2314,920,4921,  , ,  
04-05,04,Beltrami                                     ,0032,01,BLACKDUCK                          ,000, ,01,02 ,All Grades,39,35,0,0,8,4,9,7,334,331,390,377,102,767,  , ,  
04-05,04,Beltrami                                     ,0036,01,KELLIHER                           ,000, ,01,02 ,All Grades,43,37,0,0,0,0,4,0,100,86,147,123,84,270,  , ,  
04-05,04,Beltrami                                     ,0038,01,RED LAKE                           ,000, ,01,02 ,All Grades,779,721,0,0,0,0,0,0,0,0,779,721,1500,1500,  , ,  
04-05,04,Beltrami                                     ,0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,000, ,01,02 ,All Grades,11,7,0,0,0,0,0,0,0,1,11,8,18,19,  , ,  
04-05,04,Beltrami                                     ,4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,000, ,01,02 ,All Grades,10,7,1,1,3,3,2,2,69,62,85,75,29,160,  , ,  
04-05,04,Beltrami                                     ,4106,07,TREKNORTH HIGH SCHOOL              ,000, ,01,02 ,All Grades,13,13,0,2,0,3,2,1,63,62,78,81,34,159,  , ,  
04-05,04,Beltrami                                     ,4107,07,VOYAGEURS EXPEDITIONARY            ,000, ,07,02 ,All Grades,3,8,1,0,0,0,0,1,16,21,20,30,13,50,  , ,  
04-05,05,Benton                                       ,0047,01,SAUK RAPIDS                        ,000, ,07,07W,All Grades,3,3,35,31,24,12,23,30,1799,1694,1884,1770,161,3654,  , ,  
04-05,05,Benton                                       ,0051,01,FOLEY                              ,000, ,07,07W,All Grades,2,5,5,2,4,4,3,4,849,799,863,814,29,1677,  , ,  
04-05,06,Big Stone                                    ,0062,01,ORTONVILLE                         ,000, ,06,06W,All Grades,4,3,0,0,5,2,1,1,296,254,306,260,16,566,  , ,  
04-05,06,Big Stone                                    ,2888,01,CLINTON-GRACEVILLE-BEARDSLEY       ,000, ,06,06W,All Grades,6,2,2,0,1,1,0,0,252,210,261,213,12,474,  , ,  
04-05,07,Blue Earth                                   ,0075,01,ST. CLAIR                          ,000, ,09,09 ,All Grades,0,0,0,0,0,0,0,0,350,316,350,316,0,666,  , ,  
04-05,07,Blue Earth                                   ,0077,01,MANKATO                            ,000, ,09,09 ,All Grades,16,15,93,94,140,134,235,182,3112,2989,3596,3414,909,7010,  , ,  
04-05,07,Blue Earth                                   ,2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL     ,000, ,09,09 ,All Grades,0,0,0,5,6,2,4,1,418,351,428,359,18,787,  , ,  
04-05,07,Blue Earth                                   ,2135,01,MAPLE RIVER                        ,000, ,09,09 ,All Grades,1,2,6,7,16,7,4,3,627,577,654,596,46,1250,  , ,  
04-05,07,Blue Earth                                   ,4066,07,RIVERBEND ACADEMY                  ,000, ,09,09 ,All Grades,0,1,0,0,2,0,1,1,54,45,57,47,5,104,  , ,  
04-05,08,Brown                                        ,0081,01,COMFREY                            ,000, ,09,09 ,All Grades,0,0,0,0,10,6,0,0,81,60,91,66,16,157,  , ,  
04-05,08,Brown                                        ,0084,01,SLEEPY EYE                         ,000, ,09,09 ,All Grades,0,0,4,3,116,93,0,0,225,215,345,311,216,656,  , ,  
04-05,08,Brown                                        ,0085,01,SPRINGFIELD                        ,000, ,09,09 ,All Grades,1,2,1,2,13,9,2,0,320,313,337,326,30,663,  , ,  
04-05,08,Brown                                        ,0088,01,NEW ULM                            ,000, ,09,09 ,All Grades,3,2,14,7,25,19,10,7,1170,1024,1222,1059,87,2281,  , ,  
04-05,09,Carlton                                      ,0091,01,BARNUM                             ,000, ,03,03 ,All Grades,13,9,1,2,3,1,3,3,324,291,344,306,35,650,  , ,  
04-05,09,Carlton                                      ,0093,01,CARLTON                            ,000, ,03,03 ,All Grades,50,36,1,0,0,0,0,1,292,259,343,296,88,639,  , ,  
04-05,09,Carlton                                      ,0094,01,CLOQUET                            ,000, ,03,03 ,All Grades,174,164,16,10,8,11,8,11,967,960,1173,1156,402,2329,  , ,  
04-05,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT                    ,000, ,03,03 ,All Grades,5,3,0,0,0,0,1,0,154,155,160,158,9,318,  , ,  
04-05,09,Carlton                                      ,0097,01,MOOSE LAKE                         ,000, ,03,03 ,All Grades,4,2,4,8,4,3,3,6,404,341,419,360,34,779,  , ,  
04-05,09,Carlton                                      ,0099,01,ESKO                               ,000, ,03,03 ,All Grades,2,5,4,6,4,2,4,3,578,539,592,555,30,1147,  , ,  
04-05,09,Carlton                                      ,0100,01,WRENSHALL                          ,000, ,03,03 ,All Grades,4,1,1,2,1,0,0,2,190,173,196,178,11,374,  , ,  
04-05,10,Carver                                       ,0108,01,NORWOOD                            ,000, ,11,11 ,All Grades,2,1,6,13,23,14,3,11,479,449,513,488,73,1001,  , ,  
04-05,10,Carver                                       ,0110,01,WACONIA                            ,000, ,11,11 ,All Grades,4,5,16,29,23,35,26,25,1266,1158,1335,1252,163,2587,  , ,  
04-05,10,Carver                                       ,0111,01,WATERTOWN-MAYER                    ,000, ,11,11 ,All Grades,7,3,17,15,5,17,5,10,749,699,783,744,79,1527,  , ,  
04-05,10,Carver                                       ,0112,01,CHASKA                             ,000, ,11,11 ,All Grades,5,8,128,148,245,250,84,98,3756,3483,4218,3987,966,8205,  , ,  
04-05,10,Carver                                       ,0930,53,CARVER-SCOTT EDUCATIONAL COOP.     ,000, ,11,11 ,All Grades,1,4,2,6,11,12,10,6,184,155,208,183,52,391,  , ,  
04-05,10,Carver                                       ,4016,07,WORLD LEARNER CHARTER SCHOOL       ,000, ,11,11 ,All Grades,0,1,4,8,1,2,1,0,63,60,69,71,17,140,  , ,  
04-05,11,Cass                                         ,0113,01,WALKER-HACKENSACK-AKELEY           ,000, ,05,05 ,All Grades,98,102,1,3,5,2,1,0,403,358,508,465,212,973,  , ,  
04-05,11,Cass                                         ,0115,01,CASS LAKE-BENA SCHOOLS             ,000, ,05,05 ,All Grades,452,443,2,3,2,0,2,3,80,102,538,551,907,1089,  , ,  
04-05,11,Cass                                         ,0116,01,PILLAGER                           ,000, ,05,05 ,All Grades,1,3,3,4,3,2,0,3,397,326,404,338,19,742,  , ,  
04-05,11,Cass                                         ,0118,01,NORTHLAND COMMUNITY SCHOOLS        ,000, ,05,05 ,All Grades,43,54,0,0,3,0,3,1,205,200,254,255,104,509,  , ,  
04-05,11,Cass                                         ,2174,01,PINE RIVER-BACKUS                  ,000, ,05,05 ,All Grades,9,9,6,6,8,4,7,8,511,519,541,546,57,1087,  , ,  
04-05,11,Cass                                         ,4080,07,PILLAGER AREA CHARTER SCHOOL       ,000, ,05,05 ,All Grades,1,0,0,0,1,1,0,0,23,17,25,18,3,43,  , ,  
04-05,12,Chippewa                                     ,0129,01,MONTEVIDEO                         ,000, ,06,06W,All Grades,5,1,4,7,35,39,6,3,696,688,746,738,100,1484,  , ,  
04-05,12,Chippewa                                     ,2180,01,M.A.C.C.R.A.Y.                     ,000, ,06,06W,All Grades,0,1,0,0,12,19,5,2,414,366,431,388,39,819,  , ,  
04-05,12,Chippewa                                     ,6018,61,MINNESOTA RIVER VALLEY ED. DISTRICT,000, ,06,06W,All Grades,1,2,0,0,5,6,0,0,49,47,55,55,14,110,  , ,  
04-05,13,Chisago                                      ,0138,01,NORTH BRANCH                       ,000, ,07,07E,All Grades,16,15,36,31,37,36,15,8,1902,1835,2006,1925,194,3931,  , ,  
04-05,13,Chisago                                      ,0139,01,RUSH CITY                          ,000, ,07,07E,All Grades,6,3,7,3,3,7,8,6,491,434,515,453,43,968,  , ,  
