DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
03-04,01,Aitkin                                       ,0001,01,AITKIN                             ,000, ,03,03 ,All Grades,6,11,4,5,6,5,8,3,660,614,684,638,48,1322,  , ,  
03-04,01,Aitkin                                       ,0002,01,HILL CITY                          ,000, ,03,03 ,All Grades,2,5,0,0,2,2,0,0,194,157,198,164,11,362,  , ,  
03-04,01,Aitkin                                       ,0004,01,MCGREGOR                           ,000, ,03,03 ,All Grades,46,35,1,2,0,1,1,1,231,201,279,240,87,519,  , ,  
03-04,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN                     ,000, ,11,11 ,All Grades,293,281,974,929,450,423,996,998,18414,17496,21127,20127,5344,41254,  , ,  
03-04,02,Anoka                                        ,0012,01,CENTENNIAL                         ,000, ,11,11 ,All Grades,52,62,89,92,48,50,41,47,3365,3205,3595,3456,481,7051,  , ,  
03-04,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS                   ,000, ,11,11 ,All Grades,48,50,102,105,158,142,260,266,911,929,1479,1492,1131,2971,  , ,  
03-04,02,Anoka                                        ,0014,01,FRIDLEY                            ,000, ,11,11 ,All Grades,35,34,86,105,43,40,183,164,984,907,1331,1250,690,2581,  , ,  
03-04,02,Anoka                                        ,0015,01,ST. FRANCIS                        ,000, ,11,11 ,All Grades,41,47,59,61,35,41,48,34,2912,2668,3095,2851,366,5946,  , ,  
03-04,02,Anoka                                        ,0016,01,SPRING LAKE PARK                   ,000, ,11,11 ,All Grades,42,40,131,131,107,98,92,98,1847,1733,2219,2100,739,4319,  , ,  
03-04,02,Anoka                                        ,4008,07,PACT CHARTER SCHOOL                ,000, ,11,11 ,All Grades,1,1,1,2,0,0,6,2,184,157,192,162,13,354,  , ,  
03-04,02,Anoka                                        ,4049,07,COON RAPIDS LEARNING CENTER        ,000, ,11,11 ,All Grades,2,4,3,0,2,0,4,2,90,60,101,66,17,167,  , ,  
03-04,02,Anoka                                        ,4104,07,LIBERTY HIGH SCHOOL                ,000, ,11,11 ,All Grades,1,2,0,2,1,2,2,3,57,42,61,51,13,112,  , ,  
03-04,03,Becker                                       ,0022,01,DETROIT LAKES                      ,000, ,04,04 ,All Grades,150,175,9,11,15,20,8,15,1221,1160,1403,1381,403,2784,  , ,  
03-04,03,Becker                                       ,0023,01,FRAZEE-VERGAS                      ,000, ,04,04 ,All Grades,49,36,4,4,5,3,4,5,556,526,618,574,110,1192,  , ,  
03-04,03,Becker                                       ,0025,01,PINE POINT                         ,000, ,04,04 ,All Grades,37,32,0,0,0,0,0,0,0,0,37,32,69,69,  , ,  
03-04,03,Becker                                       ,0397,52,LAKE AGASSIZ SP. ED. COOP.         ,000, ,04,04 ,All Grades,0,0,0,0,3,0,0,1,12,11,15,12,4,27,  , ,  
03-04,03,Becker                                       ,2889,01,LAKE PARK AUDUBON DISTRICT         ,000, ,04,04 ,All Grades,4,6,3,6,4,3,0,1,348,300,359,316,27,675,  , ,  
03-04,04,Beltrami                                     ,0031,01,BEMIDJI                            ,000, ,01,02 ,All Grades,407,382,19,26,25,22,35,26,2095,1864,2581,2320,942,4901,  , ,  
03-04,04,Beltrami                                     ,0032,01,BLACKDUCK                          ,000, ,01,02 ,All Grades,40,37,0,0,7,4,5,7,346,345,398,393,100,791,  , ,  
03-04,04,Beltrami                                     ,0036,01,KELLIHER                           ,000, ,01,02 ,All Grades,41,44,0,0,0,0,4,0,103,86,148,130,89,278,  , ,  
03-04,04,Beltrami                                     ,0038,01,RED LAKE                           ,000, ,01,02 ,All Grades,776,727,0,0,0,0,0,0,0,0,776,727,1503,1503,  , ,  
03-04,04,Beltrami                                     ,4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,000, ,01,02 ,All Grades,3,4,0,1,3,2,2,1,73,71,81,79,16,160,  , ,  
03-04,04,Beltrami                                     ,4106,07,TREKNORTH HIGH SCHOOL              ,000, ,01,02 ,All Grades,15,13,1,0,0,1,2,2,64,62,82,78,34,160,  , ,  
03-04,05,Benton                                       ,0047,01,SAUK RAPIDS                        ,000, ,07,07W,All Grades,3,4,30,32,20,9,22,24,1778,1683,1853,1752,144,3605,  , ,  
03-04,05,Benton                                       ,0051,01,FOLEY                              ,000, ,07,07W,All Grades,2,6,4,1,4,2,8,6,838,806,856,821,33,1677,  , ,  
03-04,06,Big Stone                                    ,0062,01,ORTONVILLE                         ,000, ,06,06W,All Grades,4,5,0,0,3,1,0,0,326,272,333,278,13,611,  , ,  
03-04,06,Big Stone                                    ,2888,01,CLINTON-GRACEVILLE-BEARDSLEY       ,000, ,06,06W,All Grades,5,1,2,1,0,1,1,3,258,224,266,230,14,496,  , ,  
03-04,07,Blue Earth                                   ,0075,01,ST. CLAIR                          ,000, ,09,09 ,All Grades,0,0,0,0,0,0,1,0,346,305,347,305,1,652,  , ,  
03-04,07,Blue Earth                                   ,0077,01,MANKATO                            ,000, ,09,09 ,All Grades,15,12,85,84,131,117,211,164,3190,3078,3632,3455,819,7087,  , ,  
03-04,07,Blue Earth                                   ,2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL     ,000, ,09,09 ,All Grades,0,0,0,3,6,1,4,1,431,355,441,360,15,801,  , ,  
03-04,07,Blue Earth                                   ,2135,01,MAPLE RIVER                        ,000, ,09,09 ,All Grades,0,1,6,4,9,4,6,5,626,614,647,628,35,1275,  , ,  
03-04,07,Blue Earth                                   ,4066,07,RIVERBEND ACADEMY                  ,000, ,09,09 ,All Grades,0,1,2,1,2,0,0,2,65,45,69,49,8,118,  , ,  
03-04,08,Brown                                        ,0081,01,COMFREY                            ,000, ,09,09 ,All Grades,0,0,0,0,5,3,0,1,81,72,86,76,9,162,  , ,  
