DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
16-17,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,10,2,2,10,12,11,7,10,15,0,0,8,5,230,204,271,245,82,516,District,EC-12,, ,
16-17,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,11,2,1,15,20,7,3,13,12,0,0,5,8,245,187,287,231,86,518,District,EC-12,, ,
16-17,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,12,2,1,10,18,13,10,8,15,0,0,5,10,258,242,296,296,92,592,District,EC-12,, ,
16-17,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,All Grades,19,16,163,180,125,92,135,175,1,2,133,142,2798,2654,3374,3261,1183,6635,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,EC,0,0,5,1,12,2,9,4,0,0,11,1,20,5,57,13,45,70,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,PK,1,0,1,2,11,19,11,11,0,0,12,5,24,22,60,59,73,119,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,KG,0,1,4,5,34,37,31,39,0,0,15,7,25,26,109,115,173,224,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,01,0,1,7,4,37,24,32,46,0,0,13,15,27,30,116,120,179,236,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,02,2,0,6,4,30,33,37,41,0,0,15,13,30,21,120,112,181,232,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,03,3,3,5,9,32,40,49,48,0,1,16,12,23,33,128,146,218,274,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,04,2,0,7,3,43,38,50,46,0,0,7,8,23,25,132,120,204,252,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,05,3,1,7,1,45,29,42,56,0,0,14,9,18,26,129,122,207,251,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,06,1,4,9,8,37,45,45,47,0,0,10,14,28,23,130,141,220,271,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,07,0,1,5,3,44,46,47,60,0,0,9,9,26,19,131,138,224,269,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,08,1,1,7,4,46,33,40,32,0,2,8,3,15,12,117,87,177,204,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,09,2,0,6,8,49,56,39,44,0,0,4,8,32,29,132,145,216,277,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,10,1,0,5,10,40,53,35,32,0,0,4,4,25,17,110,116,184,226,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,11,2,0,2,10,46,42,39,38,0,0,3,1,15,12,107,103,183,210,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,12,3,0,5,6,34,40,27,26,0,0,2,3,30,18,101,93,146,194,District,EC-12,, ,
16-17,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,000, ,11,11,All Grades,21,12,81,78,540,537,533,570,0,3,143,112,361,318,1679,1630,2630,3309,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,EC,2,0,1,0,7,2,3,3,0,0,2,0,11,3,26,8,20,34,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,PK,0,1,2,3,7,11,3,5,0,0,0,4,15,19,27,43,36,70,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,KG,0,0,3,6,41,31,8,7,0,0,9,5,42,37,103,86,110,189,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,01,1,1,13,10,40,29,12,10,0,0,12,5,51,38,129,93,133,222,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,02,1,1,4,8,31,37,9,10,0,0,5,7,50,42,100,105,113,205,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,03,1,2,4,4,38,46,17,15,0,0,13,10,51,42,124,119,150,243,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,04,2,0,5,7,33,45,12,9,0,0,13,16,46,34,111,111,142,222,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,05,0,3,9,6,53,39,17,10,0,0,8,9,35,49,122,116,154,238,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,06,0,1,6,10,46,39,21,15,0,0,8,11,40,36,121,112,157,233,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,07,0,1,7,11,45,38,14,13,1,0,13,10,51,55,131,128,153,259,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,08,2,1,13,8,46,35,13,18,0,0,4,5,38,55,116,122,145,238,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,09,4,4,10,12,53,36,21,17,0,0,9,6,46,38,143,113,172,256,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,10,5,3,10,9,44,49,13,20,0,0,7,12,58,44,137,137,172,274,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,11,1,3,10,7,51,44,18,13,0,0,4,8,40,46,124,121,159,245,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,12,0,0,16,7,34,35,11,7,0,0,3,5,58,49,122,103,118,225,District,EC-12,, ,
16-17,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,All Grades,19,21,113,108,569,516,192,172,1,0,110,113,632,587,1636,1517,1934,3153,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,EC,2,0,0,0,2,0,1,1,0,0,4,5,71,41,80,47,15,127,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,KG,1,3,7,6,2,0,3,2,0,0,14,12,148,123,175,146,50,321,District,EC-12,, ,
16-17,02,Anoka                                        ,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,000, ,11,11,01,3,2,5,2,1,3,5,6,0,0,6,10,139,144,159,167,43,326,District,EC-12,, ,
