SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
13-14,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,3,37.17,15,22.17,0,0,0,0,0,1,0,0,15,21.17,2,16,8,4.12,8.33,4.6,7.12,2,2.6,0,25.2,11.73,0,0,42,3,6,2,9.33,10.72,6.12
13-14,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,2,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,3,40.66,6.5,34.16,0,0,0,0,0,0,0,0,6.5,34.16,2,13,11,9.17,8.76,5.2,1,5.33,0.2,0,33.67,6.49,0,0,40,4,6,7,10.76,9.17,3.73
13-14,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,4,90,AITKIN CHILREN'S CENTER/ECFE                      ,1,Aitkin                                            ,3,3.34,0,3.34,0,0,0,0,0,0,0,0,0,3.34,0,9,0,1.67,1,0.67,0,0,0,0,3.34,0,0,0,39,0,0,1,1.67,0.67,0
13-14,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,6,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,3,0.4,0.2,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,12,0.2,0,0,0,0.2,0,0,0,0.4,0,0,0,45,0,0.2,0,0,0,0.2
13-14,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,Totals                                            ,1,Aitkin                                            ,3,81.57,21.7,59.87,0,0,0,0,0,1,0,0,21.7,58.87,4,14,19.2,14.96,18.09,10.47,8.32,7.33,2.8,0,62.61,18.22,0,0,41,7,12.2,10,21.76,20.56,10.05
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,0,0,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,27,Hennepin                                          ,11,49.98,10.58,39.4,2,1,1.66,2,0,2,1,1,5.92,33.4,12.5,9,26.56,1.77,8,3.8,5.85,1,2,3.7,26.08,19.2,0,1,45,6,3.67,5.7,7.8,13.26,13.55
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,21,50,SPECIAL EDUCATION                                 ,27,Hennepin                                          ,11,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,23,0,0,0,0,0.2,0,0,0,0,0.2,0,0,60,0,0,0,0,0,0.2
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,23,50,SPECIAL ED - SPEECH ONLY                          ,27,Hennepin                                          ,11,0.44,0,0.44,0,0,0,0,0,0,0,0,0,0.44,0,11,0,0,0.44,0,0,0,0,0,0,0.44,0,0,40,0,0,0,0.44,0,0
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11,31.13,4.1,27.03,0,0,0,1,0,0,0.2,1,3.9,25.03,1,11,7.9,5.03,3,7,5,3,0.2,0,11,20.13,0,0,41,0,4,3,11.9,10.03,2.2
13-14,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11,23.66,4,19.66,0,0,0,1,0,0,0,0,4,18.66,0,21,1,1.02,1,8.6,3,7.04,2,0,7,15.66,0,1,46,0,0,1.02,3,15.64,4
