SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
16-17,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,3,38.86,16.57,22.29,0,0,0,0,0,1,0,0,16.57,21.29,1,15,8.97,6.8,5.09,6,8,1,3,0,18.57,20.2,0,0,42,1,6.97,3.2,8.6,14.09,5
16-17,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,2,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,3,40.35,8,32.35,0,0,0,0,0,0,0,0,8,32.35,1,14,7,9.1,5.02,14.23,2,1,2,0,15,25.02,0,0,40,1,5.1,5.02,12,15.03,2.2
16-17,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,4,90,AITKIN CHILDREN'S CENTER CENSUS                   ,1,Aitkin                                            ,3,4.7,0,4.7,0,0,0,0,0,0,0,0,0,4.7,0.9,5,2.7,0,2,0,0,0,0,0,2.7,2,0,0,32,0,0.9,1,2.8,0,0
16-17,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,6,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,3,0.8,0.2,0.6,0,0,0,0,0,0,0,0,0.2,0.6,0,19,0.2,0.2,0,0,0,0.2,0.2,0,0.8,0,0,0,55,0,0,0.2,0,0,0.6
16-17,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,Totals                                            ,1,Aitkin                                            ,3,84.71,24.77,59.94,0,0,0,0,0,1,0,0,24.77,58.94,2.9,14,18.87,16.1,12.11,20.23,10,2.2,5.2,0,37.07,47.22,0,0,41,2,12.97,9.42,23.4,29.12,7.8
16-17,1,3,Minneapolis Public School District                ,0,0,Minneapolis Public School District                ,27,Hennepin                                          ,11,43.52,14.29,29.23,1,0,0,0,0,0,3,3,10.29,26.23,4,10,19.35,4.84,4,4.93,7,3.4,0,1,15.34,27.18,0,0,44,0,3.3,5.74,9.73,17.55,7.2
16-17,1,3,Minneapolis Public School District                ,21,50,SPECIAL EDUCATION                                 ,27,Hennepin                                          ,11,7.44,1,6.44,0,0,0,0,0,0,0,0,1,6.44,0,13,1,1,2.44,1,2,0,0,1,1,5.44,0,0,42,0,1,0,2.44,3,1
16-17,1,3,Minneapolis Public School District                ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11,32.89,5.03,27.86,0,0,0,1,0,0,0,1,5.03,25.86,0,14,5.2,6.02,2.96,6,9.71,2,1,0,16.73,16.16,0,0,44,0.7,3,3.5,9.02,14.67,2
16-17,1,3,Minneapolis Public School District                ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11,27.37,4,23.37,0,0,0,0,0,0,0,0,4,23.37,0,20,3.2,0.49,0.65,2,9.01,6,6.02,0,9.2,17.17,0,1,48,1,1,0.2,1.49,17.68,6
16-17,1,3,Minneapolis Public School District                ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11,45.62,4.02,41.6,0,1,0,2,0,1,0,2,4.02,35.6,2,15,7.4,13.2,2,8.02,11,3,1,0,15.22,30.4,0,0,44,1,4,10.4,5.2,20.02,5
16-17,1,3,Minneapolis Public School District                ,106,10,BARTON OPEN ELEMENTARY                            ,27,Hennepin                                          ,11,39.48,6.92,32.56,0,0,0,2,0,0,0,0,6.92,30.56,1,19,8.03,3.5,2.03,6.5,7.42,8,4,1,9.48,29,0,0,46,2,3.03,3.5,5.03,17.92,8
16-17,1,3,Minneapolis Public School District                ,107,10,BETHUNE ELEMENTARY                                ,27,Hennepin                                          ,11,34,6,28,0,0,0,2,0,0,2,2,4,24,2,8,17,9,2,1,3,1,1,2,17,15,0,0,36,2,9,6,9,5,3
