SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,3,38.49,16,22.49,0,0,0,0,0,1,0,0,16,21.49,2,14,8,6.12,7,5.33,9.04,1,1,0,16,22.33,0,0,40,3,6,2,10.33,12.12,5.04
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,2,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,3,40.16,6,34.16,0,0,0,0,0,0,0,0,6,34.16,1,13,11,7,8,8.96,2,2,0.2,0,21,18.66,0,0,40,4,5,4,15.76,8,3.4
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,4,90,AITKIN CHILDREN'S CENTER CENSUS                   ,1,Aitkin                                            ,3,3.67,0,3.67,0,0,0,0,0,0,0,0,0,3.67,1,8,1,1,1,0.67,0,0,0,0,3.67,0,0,0,36,0,1,1,1,0.67,0
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,6,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,3,1,0.2,0.8,0,0,0,0,0,0,0,0,0.2,0.8,0,21,0.2,0,0,0.2,0.4,0,0.2,0,1,0,0,0,53,0,0,0.2,0,0.2,0.6
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,Totals                                            ,1,Aitkin                                            ,3,83.32,22.2,61.12,0,0,0,0,0,1,0,0,22.2,60.12,4,14,20.2,14.12,16,15.16,11.44,3,1.4,0,41.67,40.99,0,0,41,7,12,7.2,27.09,20.99,9.04
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,0,0,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,27,Hennepin                                          ,11,70.69,21.49,49.2,1,1,0,1.3,1.33,0,2.33,4,16.83,42.9,12.49,11,32.26,4.09,6.74,9,12.2,3.4,2,7.86,27.19,33.64,0,2,46,2,6.83,10,12.24,16.25,23.37
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,21,50,SPECIAL EDUCATION                                 ,27,Hennepin                                          ,11,7,1,6,0,0,0,0,0,0,0,0,1,6,2,11,2,0,2,3,0,0,0,2,1,4,0,0,37,2,0,0,3,2,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11,31.53,6.02,25.51,0,0,0,1,0,0,0,1,6.02,23.51,0.2,11,7.22,6.31,1,8,6,2,0,0,11.22,20.31,0,0,42,0,4,2,10.53,13,2
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11,25.6,4,21.6,0,0,0,1,0,0,0,0,4,20.6,2,23,3,0,1,5.6,5,7,2,1,8,15.6,0,1,48,1,1,0,1,18.6,4
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11,45.39,3.5,41.89,0,1,0,2,0,1,0,2,3.5,35.89,0,12,13.8,6.1,2,9.5,9,3,1.99,0,14.88,30.51,0,0,46,0,7,7,8.1,15.52,7.77
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,106,10,BARTON OPEN ELEMENTARY                            ,27,Hennepin                                          ,11,37.32,7.42,29.9,0,0,0,1.83,0,0,0,0.4,7.42,27.67,3,20,6.8,2,2.4,10.12,5,7,3,1,7.42,28.5,0.4,0,47,1,2,4.4,5.77,15.15,9
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,107,10,BETHUNE ELEMENTARY                                ,27,Hennepin                                          ,11,33.7,4.5,29.2,0,0,0,2,0,0,1,1,3.5,26.2,5,8,20,5,2.7,0.5,2.5,1,2,3,16.2,14.5,0,0,36,4,7,9,5,5.7,3
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,110,10,BURROUGHS ELEMENTARY                              ,27,Hennepin                                          ,11,37.4,19,18.4,1,0,1,0,0,0.83,0,0,17,17.57,3.56,15,10.56,3,2.83,9,7.01,2,2,0,14.56,20.83,0,2.01,43,3.03,5,2.53,8.83,12,6.01
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,119,20,FIELD ELEMENTARY                                  ,27,Hennepin                                          ,11,25.79,9.24,16.55,0,0,0,1.77,0,0,0,0.64,9.24,14.14,1.6,15,6.19,2.63,3.81,4.03,7.32,1.81,0,0,8.18,16.67,0.94,0,45,0,5.38,1,2.81,8.84,7.76
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,121,10,LAKE HARRIET UPPER SCHOOL                         ,27,Hennepin                                          ,11,28.73,9.81,18.92,1.81,0,0,0,0,0,0.99,0,7.01,18.92,0,19,2.02,1.93,2.86,9.15,4.52,4.54,2.86,0,3.65,24.08,0,1,47,0,1.02,0,7.38,13.02,7.31
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,123,10,HALE ELEMENTARY                                   ,27,Hennepin                                          ,11,31.98,4.15,27.83,0,0,1,1,0,1,1,0,2.15,25.83,1.14,18,3.14,3.51,1.82,4,6.51,11,2,0,6.64,24.33,0,1.01,46,0,2.14,1.51,6.4,13.93,8
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,130,10,HIAWATHA ELEMENTARY                               ,27,Hennepin                                          ,11,18.7,1.1,17.6,0,0,0,1,1.1,0,0,1,0,15.6,1,20,3.6,0,1,3.1,3,5.5,1.5,0,5.5,13.2,0,0,49,3,0,0.6,2,5.1,8
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,132,10,HOWE ELEMENTARY                                   ,27,Hennepin                                          ,11,11.4,1.9,9.5,0,0,0,0,0.9,0,0,1,1,8.5,0,23,0.4,1,0,2,2,3.5,1.5,0,4.5,6.9,0,0,52,0,1,0.4,0,5.5,4.5
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,134,10,LK NOKOMIS COMM-KEEWAYDIN CAMPUS                  ,27,Hennepin                                          ,11,27.07,6.2,20.87,0,0,0,0,0,1,0,0,6.2,19.87,1.38,11,8.52,6.28,6.68,3.81,1.78,0,0,0,14.42,12.15,0,0.5,39,0.6,6.43,4.73,5.39,9.92,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,135,10,KENNY ELEMENTARY                                  ,27,Hennepin                                          ,11,23.51,2.7,20.81,0,0,0,2,0,0,0.7,0,2,18.81,0.99,15,3.59,1,3.7,7,5.02,1,1,1.7,5,15.82,0.99,0,47,0,1,2,8.72,7.19,4.6
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,136,10,KENWOOD ELEMENTARY                                ,27,Hennepin                                          ,11,24.76,4.1,20.66,0,0,0,0,0,0,0,1,4.1,19.66,0,21,1.84,3,0.5,4.1,4.32,5,3,0,6.1,17.66,0,1,48,0,2.84,0,3,9.92,9
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,140,10,LORING ELEMENTARY                                 ,27,Hennepin                                          ,11,26.59,7.83,18.76,0,0,0,2,0,0,0,0,7.83,16.76,1.83,16,3.33,4.26,1,8,5,3,2,0,5.76,20.83,0,0,46,1,0.93,3.33,4.83,12.5,4
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,144,10,LYNDALE ELEMENTARY                                ,27,Hennepin                                          ,11,40.23,9,31.23,2,0,0,0,0,0,0,2,7,29.23,4,11,13.43,6,1.9,11,3,2.9,1,3,15.51,20.72,0,1,42,2,4,6.01,9.92,10.9,7.4
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,151,10,JENNY LIND ELEMENTARY                             ,27,Hennepin                                          ,11,42.06,2.47,39.59,0,0,0,2.82,0,2,0.8,5.89,1.67,28.88,6.28,8,23.16,5.66,4.75,3.84,1,1,2.65,1.9,18.54,19.23,0.83,1.56,44,5.6,3,4.68,6.61,16.29,5.88
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,152,10,NORTHROP ELEMENTARY                               ,27,Hennepin                                          ,11,24.86,7.5,17.36,0,0,1,2,1,0,0,0,5.5,15.36,0,17,2.01,5.38,2,9.7,4,1,0,0,11.38,13.48,0,0,47,0,1,2.49,6.01,10.89,4.47
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,155,10,PILLSBURY ELEMENTARY                              ,27,Hennepin                                          ,11,48.3,10.4,37.9,0.5,0,0,2,0,2,0,1,9.9,32.9,1,13,14,8,2.3,11.4,7.5,3.5,1,0,20.4,26.9,0,1,44,3,7,5.5,6.3,17.5,9
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,156,10,PRATT ELEMENTARY                                  ,27,Hennepin                                          ,11,17.16,2.46,14.7,0,0,1,0,0,0,1,1,0.46,13.7,0.5,12,6.7,2,1,2.46,2,1,2,0.5,7.16,9.5,0,0,40,0,5,2.5,1.2,4.46,4
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,160,10,SEWARD ELEMENTARY                                 ,27,Hennepin                                          ,11,41.66,7.63,34.03,0,0,0,0.99,0,0,0,0.8,7.63,32.24,1.92,15,8.91,5.78,4.04,11.26,5.45,3.81,1.99,0,15.65,23.22,0,2.79,46,0,4.17,3.32,10.22,11.76,12.19
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,161,10,SHERIDAN ELEMENTARY                               ,27,Hennepin                                          ,11,41.47,6.67,34.8,0,0,0,3,0,1,0,2,6.67,28.8,1.84,13,15.47,7,2.49,8,4,2.83,1.68,0,18.31,22.16,0,1,41,2,6.64,5,12.32,10,5.51
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,165,10,WAITE PARK ELEMENTARY                             ,27,Hennepin                                          ,11,23.82,6.29,17.53,0,1.67,0,1,0,0,0,0,6.29,14.86,0.8,21,2.8,1.5,1.67,5.5,4.69,4.67,2.99,0.8,9.85,12.33,0,0.84,50,0.8,1,2.5,5.17,9.16,5.19
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,167,10,LK NOKOMIS COMM-WENONAH CAMPUS                    ,27,Hennepin                                          ,11,18.85,3.34,15.51,0,0,0,0,0,0,0,2,3.34,13.51,0,14,2.5,1,5.02,2.5,3.83,2,2,0,3.5,15.35,0,0,43,0,1,1,6.52,7.33,3
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,170,10,WINDOM SCHOOL                                     ,27,Hennepin                                          ,11,28.57,3.03,25.54,0,0,0,0,0,8.83,0.2,0,2.83,16.71,4,13,11.83,7,1.27,3.63,0,1.84,2,0.2,14.8,13.57,0,0,42,3,4,3,8.03,6.74,3.8
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,175,10,FOLWELL ARTS MAGNET                               ,27,Hennepin                                          ,11,58.49,12.98,45.51,1,1.83,0,1,0,2,0,3.26,11.98,37.42,3.77,15,15.03,5.85,5.63,17.96,7.01,4.33,2.68,0,18.54,36.95,1,2,47,0,4.6,6.66,12.38,16.82,18.03
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,179,10,JEFFERSON ELEMENTARY                              ,27,Hennepin                                          ,11,60.46,12.26,48.2,0,0,0,0,2,1,0,2.36,10.26,44.84,10.52,11,25.13,10.59,5.85,7.71,4.46,4.02,1.85,4.02,26.76,28.66,1.02,0,39,8.08,10.08,5,13.54,13.83,9.93
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,180,10,DOWLING ELEMENTARY                                ,27,Hennepin                                          ,11,34.28,7,27.28,0,1,0,0,0,1,0,0,7,25.28,1,22,4,3,0,5.29,7,5.99,8,1,9,23.28,0,1,49,1,2,0,4.29,13.99,13
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,183,50,ECSE                                              ,27,Hennepin                                          ,11,54.2,2.8,51.4,0,0,0,0,0,0,0,1,2.8,50.4,0,15,11,14,4.5,5.6,6.8,4.5,6,1,15.4,36.8,1,0,47,0,5,3.6,9.6,19.3,16.7
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,190,10,ANDERSEN COMMUNITY                                ,27,Hennepin                                          ,11,106.12,24.98,81.14,0,1.02,1,0,3.01,5.7,2.92,3.04,18.05,71.38,11.92,13,39.77,13.78,10.25,27.52,6.88,4.86,2.04,2,53.81,49.31,1,0,40,13.71,11.03,12.88,28.73,25.8,13.97
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,193,10,SULLIVAN ELEMENTARY                               ,27,Hennepin                                          ,11,60.68,8.68,52,0,0,0,3.05,0,1.02,1,2,7.68,45.93,3.9,11,25.54,11.04,3.02,9.06,7.01,2,2.01,2,33.7,24.98,0,0,36,5.92,17.62,9.02,8.01,13.1,7.01
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,209,10,PIERRE BOTTINEAU                                  ,27,Hennepin                                          ,11,6.65,2,4.65,0,0,0,0,0,0,1,0.97,1,3.68,3.35,5,6.35,0,0,0.3,0,0,0,0.67,2.68,3,0.3,0,33,1.68,2,1,0.67,0.3,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,225,10,ANISHINABE ACADEMY                                ,27,Hennepin                                          ,11,22.66,4.99,17.67,0,1.93,0,0,0,0,0,2,4.99,13.74,2.83,6,11.81,4.92,1,3.93,1,0,0,1,17.8,3.86,0,0,38,2.84,1.98,7,1.92,3.93,4.99
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,226,10,MARCY OPEN ELEMENTARY                             ,27,Hennepin                                          ,11,36.47,8.37,28.1,0,0,0,0,0,0,0.63,0,7.74,28.1,3,15,8.7,3.85,5.81,9.1,4.89,4.12,0,1,16.18,17.43,1.03,0.83,43,2,3.7,5.53,9.68,9.03,6.53
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,249,10,BRYN MAWR ELEMENTARY                              ,27,Hennepin                                          ,11,36.18,6.5,29.68,0,0,0,2,0,0.83,1,3.02,5.5,23.83,3.01,9,13.31,3.37,1,14.83,3.67,0,0,3.01,12.52,20.65,0,0,41,1,2,6.39,15.98,7.83,2.98
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,256,10,GREEN CENTRAL PARK ELEMENTARY                     ,27,Hennepin                                          ,11,43.24,5.7,37.54,0,1.85,0,0,0,4.23,0,1.87,5.7,29.59,12.31,7,28.65,5.7,0.83,3.85,0.87,2.49,0,1.83,22.5,18.91,0,0,35,5.68,9.48,10.15,6.21,4.53,7.19
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,260,10,EMERSON ELEMENTARY                                ,27,Hennepin                                          ,11,36.87,6.01,30.86,0,0,0,2.03,1,7.01,2.01,2,3,19.82,5,9,17.82,11,1,3.02,2.03,1,1,3,18.82,15.05,0,0,41,1,12.83,3,8,8,4.04
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,282,10,LUCY LANEY @ CLEVELAND PARK ELEM.                 ,27,Hennepin                                          ,11,50.41,9.18,41.23,0,0,0,2.02,1,0,1.99,3.88,6.19,35.33,7.05,8,25.72,9.9,4.69,6.24,1.84,1.02,1,7.03,25.53,17.85,0,0,34,6.06,13.67,9.89,8.7,9.26,2.83
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,287,10,HALL INTERNATIONAL                                ,27,Hennepin                                          ,11,36.4,4.95,31.45,0,0,0,2.83,1,2,2,6.5,1.95,20.12,1,14,8.1,3.33,6.5,13.47,4,1,0,4,17.42,14.98,0,0,43,2,4,2.83,12.82,12.75,2
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,288,10,NELLIE STONE JOHNSON ELEMENTARY                   ,27,Hennepin                                          ,11,65.2,8.86,56.34,0,0,0.97,0,0,1.02,0,8,7.89,47.32,10.06,10,30.85,7.51,4.94,9.38,6.93,3.72,1.87,1.99,36.01,26.18,0,1.02,38,3.99,17.96,6.98,11.91,17.52,6.84
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,289,10,WHITTIER INTERNATIONAL                            ,27,Hennepin                                          ,11,42.65,9.38,33.27,0,0,0,4.9,0.83,1,0,1.83,8.55,25.54,6.16,11,21.55,4.78,2.33,6.16,4.83,0,3,1.33,18.94,21.55,0,0.83,38,6.83,7,4,9.93,8.89,6
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,291,10,HMONG INTERNATIONAL ACADEMY                       ,27,Hennepin                                          ,11,46.67,6,40.67,0,0,2.97,10.34,0,0,0,1,3.03,29.33,4.97,11,14.99,8.4,6.77,7.49,4.02,2,3,2.97,22,19.73,0,1.97,41,2,7.02,6,11.66,14.02,5.97
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,293,10,CITYVIEW COMMUNITY                                ,27,Hennepin                                          ,11,15.5,4,11.5,0,0,0,0,0,1,0,0,4,10.5,2,12,5,2.5,2,3,2,0,1,1,9,5,0,0.5,39,1,1,3.5,7,1,2
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,300,20,ANTHONY MIDDLE SCHOOL                             ,27,Hennepin                                          ,11,38.2,16.22,21.98,0,1,0,0.99,0,0,2,1.99,14.22,18,2,13,14.87,3.43,3,9.96,4.94,2,0,0,16.52,21.68,0,0,42,3.84,6.73,3.93,7.63,8.94,7.13
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,309,20,ANWATIN MIDDLE COM & SPANISH D I                  ,27,Hennepin                                          ,11,51.67,16.95,34.72,0,0,1.99,1,0.83,1.8,1.91,1.83,12.22,30.09,5.79,11,25.16,4.53,2.97,12.57,3.66,1.94,0.84,1,18.85,31.82,0,0,40,1.97,10.83,7.36,9.5,16.35,5.66
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,315,43,RONALD MCDONALD HOUSE                             ,27,Hennepin                                          ,11,1.02,0,1.02,0,0,0,0,0,0,0,0,0,0,0,5,1.02,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,1.02
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,316,20,NORTHEAST MIDDLE                                  ,27,Hennepin                                          ,11,45.6,20.44,25.16,0,1,0,0.97,0.8,0,0,0,19.64,23.19,0,11,14.48,10.91,4.27,9.94,4,1,1,0.94,25.39,19.27,0,0,40,1.84,8.75,4,11.91,14.24,4.86
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,318,20,OLSON MIDDLE                                      ,27,Hennepin                                          ,11,26.11,12.33,13.78,1,0,0,0.99,0,0,1.9,2.9,9.43,9.89,2.84,8,13.23,5.93,3,3.05,0,0,0.9,1.9,11.41,12.8,0,0,38,0.84,4.89,4,6.98,7.6,1.8
