SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,AdminALL,Superintendent,AsstSuper,Principals,AsstPrinc,Director,OtherAdmin,Coord/Supv,SpEdProgCoord,VocFacil/Eval,OtherNonInstruct,Counselors,Media/Librarian,SchNurse,Psychologist,SocWorker,SpeechLangPath,TchrALL,PreK/ECFE,Kindgtn,GenElemEd,SpEdTchr,VocEdTchr,AllOtherTchr
99-00,0001,01,AITKIN,0 ,0,District Totals: ,01,AITKIN,03,4.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00,1.00,2.00,87.92,1.76,3.00,26.00,8.17,4.31,44.68
99-00,0001,03,MINNEAPOLIS,0 ,0,District Totals: ,27,HENNEPIN,11,170.74,1.00,3.00,91.91,55.90,0.00,18.93,15.01,0.00,0.00,0.00,43.58,87.96,37.32,37.97,135.49,76.38,"3,624.25",52.00,105.01,"1,249.25",366.50,53.94,"1,797.55"
99-00,0002,01,HILL CITY,0 ,0,District Totals: ,01,AITKIN,03,2.50,1.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.68,0.00,0.20,1.00,0.83,35.24,0.53,1.00,10.57,3.07,0.84,19.23
99-00,0004,01,MCGREGOR,0 ,0,District Totals: ,01,AITKIN,03,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.00,0.00,0.00,0.00,0.50,38.83,0.34,2.00,12.00,4.29,0.00,20.20
99-00,0006,03,SOUTH ST. PAUL,0 ,0,District Totals: ,19,DAKOTA,11,9.60,1.00,0.00,4.00,1.60,2.00,1.00,1.00,0.00,0.00,0.00,2.00,1.00,4.00,2.00,0.00,6.50,220.88,8.91,7.00,64.00,22.92,1.20,116.85
99-00,0011,01,ANOKA-HENNEPIN,0 ,0,District Totals: ,02,ANOKA,11,78.20,1.00,4.00,39.00,32.00,2.20,0.00,8.00,0.00,3.41,0.00,48.50,28.62,13.00,23.48,21.06,71.21,"2,325.31",0.00,79.00,629.10,319.13,77.17,"1,220.91"
99-00,0012,01,CENTENNIAL,0 ,0,District Totals: ,02,ANOKA,11,24.00,1.00,2.00,7.00,4.00,3.00,7.00,0.00,0.00,0.00,0.00,9.55,4.35,1.00,4.00,0.00,10.60,399.08,1.00,13.00,144.30,56.41,2.69,181.68
99-00,0013,01,COLUMBIA HEIGHTS,0 ,0,District Totals: ,02,ANOKA,11,12.50,1.00,2.00,5.00,1.00,0.50,3.00,1.00,0.00,0.00,0.00,4.20,6.20,1.60,0.80,4.00,4.50,207.01,4.79,7.00,53.50,26.94,1.01,113.77
99-00,0014,01,FRIDLEY,0 ,0,District Totals: ,02,ANOKA,11,8.50,1.00,0.00,4.00,2.00,0.50,1.00,0.00,0.00,0.00,0.00,4.83,4.00,1.50,2.50,2.00,3.01,158.02,0.00,5.00,48.00,20.21,2.00,82.81
99-00,0015,01,ST. FRANCIS,0 ,0,District Totals: ,02,ANOKA,11,20.00,1.00,2.00,7.00,4.00,2.00,4.00,0.00,0.00,0.00,0.00,6.80,6.10,5.07,2.00,4.00,7.00,356.86,4.83,10.50,84.15,60.14,6.14,191.10
99-00,0016,01,SPRING LAKE PARK,0 ,0,District Totals: ,02,ANOKA,11,12.50,1.00,1.00,6.00,2.00,2.50,0.00,1.00,0.00,0.00,0.00,8.00,6.20,1.00,3.00,0.00,6.00,249.53,7.11,8.00,78.33,22.40,5.53,128.16
99-00,0022,01,DETROIT LAKES,0 ,0,District Totals: ,03,BECKER,04,10.27,1.00,0.00,4.20,1.00,1.60,2.47,0.00,0.00,0.00,0.00,4.48,3.00,0.00,1.99,2.00,5.60,209.73,3.57,5.50,46.00,35.06,3.80,115.80
99-00,0023,01,FRAZEE,0 ,0,District Totals: ,03,BECKER,04,6.10,1.00,0.00,2.00,2.00,1.10,0.00,0.00,0.00,0.00,0.00,1.50,2.00,0.00,1.00,0.00,2.66,87.66,0.63,3.00,16.00,14.94,2.00,51.09
99-00,0025,01,PINE POINT,0 ,0,District Totals: ,03,BECKER,04,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,3.00,2.00,0.00,2.00
99-00,0031,01,BEMIDJI,0 ,0,District Totals: ,04,BELTRAMI,02,19.50,1.00,2.00,10.00,4.00,1.00,1.50,0.00,0.00,0.00,0.00,5.00,7.41,1.00,3.00,6.00,9.48,401.60,10.50,10.00,88.00,81.06,4.39,207.65
99-00,0032,01,BLACKDUCK,0 ,0,District Totals: ,04,BELTRAMI,02,3.50,1.00,0.00,2.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,64.19,0.93,3.00,18.68,9.00,1.52,31.06
99-00,0036,01,KELLIHER,0 ,0,District Totals: ,04,BELTRAMI,02,2.33,1.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,25.70,0.40,1.00,5.00,2.91,1.26,15.13
99-00,0038,01,RED LAKE,0 ,0,District Totals: ,04,BELTRAMI,02,12.00,1.00,1.00,4.33,1.00,1.00,3.67,0.00,0.00,0.00,0.00,2.20,2.83,0.00,0.83,0.00,0.99,127.13,1.00,6.00,42.04,16.50,1.20,60.39
99-00,0047,01,SAUK RAPIDS,0 ,0,District Totals: ,05,BENTON,07W,10.50,1.00,0.00,4.00,3.00,1.00,1.50,1.50,0.00,0.00,0.00,4.00,6.00,1.00,0.00,2.00,6.88,215.05,10.80,6.10,53.00,25.81,3.80,115.54
99-00,0051,01,FOLEY,0 ,0,District Totals: ,05,BENTON,07W,5.00,1.00,0.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,2.40,3.03,1.00,0.00,1.00,3.00,109.03,0.00,3.00,21.00,15.47,1.20,68.36
99-00,0062,01,ORTONVILLE,0 ,0,District Totals: ,06,BIG STONE,06W,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.00,1.00,0.17,0.00,0.00,1.00,48.08,0.00,0.83,12.00,7.05,3.80,24.40
99-00,0075,01,ST. CLAIR,0 ,0,District Totals: ,07,BLUE EARTH,09,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.50,45.89,0.00,2.00,10.00,4.17,0.20,29.52
99-00,0077,01,MANKATO,0 ,0,District Totals: ,07,BLUE EARTH,09,17.95,2.00,0.00,11.95,2.00,1.00,1.00,3.00,0.00,0.00,0.00,13.00,11.30,2.50,4.00,0.50,9.52,437.62,1.27,15.06,139.59,57.21,5.56,218.93
99-00,0081,01,COMFREY,0 ,0,District Totals: ,08,BROWN,09,0.99,0.33,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.66,0.00,0.00,0.00,0.01,17.16,0.00,0.60,4.78,0.96,0.34,10.48
99-00,0084,01,SLEEPY EYE,0 ,0,District Totals: ,08,BROWN,09,3.77,1.00,0.00,2.00,0.00,0.77,0.00,0.67,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.70,1.00,48.08,0.84,1.20,13.00,5.36,0.70,26.98
99-00,0085,01,SPRINGFIELD,0 ,0,District Totals: ,08,BROWN,09,2.83,1.00,0.00,1.83,0.00,0.00,0.00,0.17,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,46.99,0.30,1.00,14.00,5.08,2.40,24.21
99-00,0088,01,NEW ULM,0 ,0,District Totals: ,08,BROWN,09,6.17,1.00,0.00,4.00,1.00,0.00,0.17,1.00,0.00,0.00,0.00,6.00,4.00,1.00,0.00,1.00,4.00,180.02,1.00,7.00,48.00,23.37,5.20,95.45
99-00,0091,01,BARNUM,0 ,0,District Totals: ,09,CARLTON,03,4.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.60,0.67,0.00,1.00,0.00,43.94,0.00,2.00,14.00,3.12,0.80,24.02
99-00,0093,01,CARLTON,0 ,0,District Totals: ,09,CARLTON,03,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,53.07,0.00,2.00,12.00,4.62,0.73,33.72
99-00,0094,01,CLOQUET,0 ,0,District Totals: ,09,CARLTON,03,8.36,1.00,0.00,4.00,1.26,1.00,1.10,1.24,0.00,0.00,0.00,5.30,3.00,1.00,1.00,2.00,3.00,155.10,0.96,5.00,38.00,22.56,4.00,84.58
99-00,0095,01,CROMWELL,0 ,0,District Totals: ,09,CARLTON,03,2.03,1.00,0.00,1.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.17,1.17,0.00,0.00,0.00,1.00,26.24,0.72,1.00,7.83,2.45,1.00,13.24
99-00,0097,01,MOOSE LAKE,0 ,0,District Totals: ,09,CARLTON,03,3.67,1.00,0.00,2.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,1.00,1.67,0.00,1.00,0.00,1.50,55.74,0.61,3.00,18.00,6.87,0.00,27.26
99-00,0099,01,ESKO,0 ,0,District Totals: ,09,CARLTON,03,4.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.83,2.00,0.00,1.00,0.00,2.00,67.40,1.84,2.00,22.43,7.13,0.64,33.36
99-00,0100,01,WRENSHALL,0 ,0,District Totals: ,09,CARLTON,03,2.50,1.00,0.00,1.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,1.14,0.83,0.00,1.00,0.00,1.00,29.30,0.00,0.50,8.80,4.20,0.60,15.20
99-00,0108,01,NORWOOD,0 ,0,District Totals: ,10,CARVER,11,5.00,1.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,2.00,3.00,80.02,2.10,3.00,20.10,11.48,2.20,41.14
99-00,0110,01,WACONIA,0 ,0,District Totals: ,10,CARVER,11,6.00,1.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,1.99,1.00,0.00,0.00,4.00,121.45,2.74,3.77,32.27,11.96,0.00,70.71
99-00,0111,01,WATERTOWN-MAYER,0 ,0,District Totals: ,10,CARVER,11,5.71,1.00,0.00,3.00,0.71,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,2.93,86.70,1.07,3.00,18.00,9.22,2.62,52.79
99-00,0112,01,CHASKA,0 ,0,District Totals: ,10,CARVER,11,17.67,1.00,1.00,7.67,6.00,2.00,0.00,2.00,0.00,0.00,0.00,10.49,8.63,1.00,0.80,3.30,11.36,409.95,1.00,15.50,121.06,42.69,0.00,229.70
99-00,0113,01,WALKER-HACKENSACK-AKELEY,0 ,0,District Totals: ,11,CASS,05,3.50,1.00,0.00,2.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,1.67,1.00,1.00,0.00,2.00,80.85,0.50,3.00,26.52,14.40,0.90,35.53
99-00,0115,01,CASS LAKE,0 ,0,District Totals: ,11,CASS,05,5.20,1.00,0.00,3.20,0.00,1.00,0.00,0.17,0.00,0.00,0.00,1.00,2.87,0.00,0.00,3.00,1.00,92.64,3.87,5.00,28.34,8.20,0.40,46.83
99-00,0116,01,PILLAGER,0 ,0,District Totals: ,11,CASS,05,4.35,1.00,0.00,1.00,0.00,0.00,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,51.41,0.00,2.00,18.00,7.38,0.60,23.43
99-00,0118,01,REMER-LONGVILLE,0 ,0,District Totals: ,11,CASS,05,3.50,1.00,0.00,1.00,0.00,0.50,1.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,1.50,2.13,52.55,0.63,2.00,13.00,9.68,0.67,26.57
99-00,0129,01,MONTEVIDEO,0 ,0,District Totals: ,12,CHIPPEWA,06W,5.33,1.00,0.00,3.00,0.00,1.00,0.33,1.00,0.00,0.00,0.00,1.00,2.00,0.66,1.00,3.00,2.00,119.01,2.33,3.33,28.64,15.59,4.60,64.52
99-00,0138,01,NORTH BRANCH,0 ,0,District Totals: ,13,CHISAGO,07E,11.00,1.00,1.00,5.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,3.67,4.00,0.00,3.00,0.00,2.60,188.45,1.13,7.73,44.84,22.48,2.34,109.93
99-00,0139,01,RUSH CITY,0 ,0,District Totals: ,13,CHISAGO,07E,3.47,1.00,0.00,2.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.93,0.00,0.47,55.73,1.56,2.00,15.00,5.23,1.40,30.54
99-00,0146,01,BARNESVILLE,0 ,0,District Totals: ,14,CLAY,04,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.80,0.00,0.00,0.00,1.00,57.44,0.00,1.50,19.00,7.00,1.53,28.41
99-00,0150,01,HAWLEY,0 ,0,District Totals: ,14,CLAY,04,3.17,1.00,0.00,2.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,57.76,0.00,1.50,19.00,6.00,1.22,30.04
99-00,0152,01,MOORHEAD,0 ,0,District Totals: ,14,CLAY,04,16.00,1.00,1.00,8.00,4.00,2.00,0.00,2.00,0.00,0.00,0.00,10.00,8.00,2.00,4.00,4.00,14.00,399.56,1.00,9.50,109.00,93.04,7.23,179.79
99-00,0160,70,FARIBAULT ACADEMIES,0 ,0,District Totals: ,66,RICE,10,6.00,2.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,2.60,43.60,0.00,0.00,0.00,41.00,0.00,2.60
99-00,0162,01,BAGLEY,0 ,0,District Totals: ,15,CLEARWATER,02,5.80,1.00,0.00,3.00,0.00,1.00,0.80,0.00,0.00,0.00,0.00,1.83,1.00,0.00,0.00,0.00,1.00,81.15,1.54,2.00,25.00,5.50,1.80,45.31
99-00,0166,01,COOK COUNTY,0 ,0,District Totals: ,16,COOK,03,3.50,1.00,0.00,2.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.60,0.00,1.00,1.00,51.82,0.00,1.83,14.31,4.92,0.00,30.76
99-00,0173,01,MOUNTAIN LAKE,0 ,0,District Totals: ,17,COTTONWOOD,08,2.00,0.60,0.00,0.40,0.00,0.00,1.00,0.33,0.00,0.00,0.00,1.00,1.00,0.50,0.00,0.00,1.00,42.91,0.36,2.00,11.00,6.70,1.22,21.63
99-00,0175,01,WESTBROOK,0 ,0,District Totals: ,17,COTTONWOOD,08,2.00,0.60,0.00,1.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.67,0.10,0.00,0.00,0.00,0.40,20.80,0.00,0.60,5.00,1.00,1.08,13.12
99-00,0177,01,WINDOM,0 ,0,District Totals: ,17,COTTONWOOD,08,5.00,1.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.84,2.00,1.00,1.00,0.00,2.00,87.53,1.20,1.50,25.97,13.75,1.73,43.38
99-00,0181,01,BRAINERD,0 ,0,District Totals: ,18,CROW WING,05,22.00,1.00,1.00,13.00,4.00,3.00,0.00,3.00,0.00,0.00,0.00,8.20,11.20,2.17,7.50,1.00,12.00,452.84,7.47,12.00,115.50,76.24,17.13,224.50
99-00,0182,01,CROSBY-IRONTON,0 ,0,District Totals: ,18,CROW WING,05,4.00,0.67,1.00,1.33,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.20,1.00,0.00,1.00,1.00,101.60,2.57,2.50,31.66,11.63,4.57,48.67
99-00,0186,01,PEQUOT LAKES,0 ,0,District Totals: ,18,CROW WING,05,5.76,1.00,0.00,2.00,1.00,1.00,0.76,1.25,0.00,0.00,0.00,1.00,0.25,1.00,0.00,1.00,1.00,77.90,0.69,2.00,25.00,8.86,0.92,40.43
99-00,0191,01,BURNSVILLE,0 ,0,District Totals: ,19,DAKOTA,11,26.82,1.00,1.00,14.00,4.82,2.00,4.00,0.00,0.00,0.00,0.00,9.43,10.81,12.17,8.50,1.67,26.39,689.02,3.00,24.34,231.31,117.99,8.65,303.73
99-00,0192,01,FARMINGTON,0 ,0,District Totals: ,19,DAKOTA,11,11.00,1.00,0.00,4.00,3.00,3.00,0.00,1.00,0.00,0.00,0.00,5.20,5.00,1.00,2.00,0.00,5.00,272.31,2.00,6.50,88.00,44.18,1.51,130.12
99-00,0194,01,LAKEVILLE,0 ,0,District Totals: ,19,DAKOTA,11,19.66,1.00,0.00,13.00,3.00,1.00,1.66,3.43,0.00,0.00,0.00,16.00,12.00,2.94,9.71,0.00,21.60,584.66,8.47,16.50,178.67,82.28,2.52,296.22
99-00,0195,01,RANDOLPH,0 ,0,District Totals: ,19,DAKOTA,11,1.83,0.50,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,1.00,0.00,0.00,0.00,0.30,31.23,0.00,1.00,7.50,2.00,0.60,20.13
99-00,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,0 ,0,District Totals: ,19,DAKOTA,11,54.50,1.00,0.00,29.00,15.00,4.00,5.50,11.51,0.00,0.00,0.00,29.83,28.90,28.55,25.63,5.00,56.08,"1,864.08",30.32,60.07,501.83,228.99,29.68,"1,013.19"
99-00,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,0 ,0,District Totals: ,19,DAKOTA,11,18.00,1.00,2.00,8.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,10.20,8.27,6.37,4.00,0.00,10.20,303.08,11.51,12.98,66.16,45.13,1.90,165.40
99-00,0199,01,INVER GROVE,0 ,0,District Totals: ,19,DAKOTA,11,12.50,1.00,1.00,7.00,2.50,1.00,0.00,0.00,0.00,0.00,0.00,5.20,6.86,3.00,1.50,0.00,9.87,235.67,0.00,6.00,67.00,34.92,1.51,126.24
99-00,0200,01,HASTINGS,0 ,0,District Totals: ,19,DAKOTA,11,16.00,1.00,0.00,7.00,5.00,2.00,1.00,1.00,0.00,0.00,0.00,7.60,6.00,1.00,3.59,2.57,9.00,300.36,3.87,8.77,78.00,36.42,2.60,170.70
99-00,0203,01,HAYFIELD,0 ,0,District Totals: ,20,DODGE,10,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,2.00,2.20,0.00,0.00,1.00,1.80,63.53,0.50,2.00,20.00,5.73,1.00,34.30
99-00,0204,01,KASSON-MANTORVILLE,0 ,0,District Totals: ,20,DODGE,10,5.01,1.00,0.00,3.01,0.00,0.00,1.00,2.00,0.00,0.00,0.00,3.99,2.00,1.00,0.00,0.00,3.60,113.19,0.50,7.00,26.83,11.42,1.35,66.09
99-00,0206,01,ALEXANDRIA,0 ,0,District Totals: ,21,DOUGLAS,04,12.19,1.00,1.00,6.19,2.00,1.00,1.00,1.20,0.00,0.00,0.00,4.00,4.80,1.00,2.00,3.00,5.60,255.51,1.50,6.50,77.86,35.24,7.60,126.81
99-00,0207,01,BRANDON,0 ,0,District Totals: ,21,DOUGLAS,04,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.33,0.00,0.00,0.00,0.00,21.81,0.00,1.00,7.00,1.71,0.00,12.10
99-00,0208,01,EVANSVILLE,0 ,0,District Totals: ,21,DOUGLAS,04,1.68,0.86,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,20.60,0.00,0.60,6.00,1.00,1.00,12.00
99-00,0213,01,OSAKIS,0 ,0,District Totals: ,21,DOUGLAS,04,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.20,0.50,0.17,0.33,0.00,0.24,40.40,0.48,1.00,12.00,3.50,1.00,22.42
99-00,0227,01,CHATFIELD,0 ,0,District Totals: ,55,OLMSTED,10,3.90,1.00,0.00,2.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,2.00,1.50,0.00,0.00,0.00,2.00,67.85,0.00,2.00,21.01,6.18,2.99,35.67
99-00,0229,01,LANESBORO,0 ,0,District Totals: ,23,FILLMORE,10,2.94,0.83,0.00,0.84,0.00,0.00,1.27,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,1.00,31.35,0.00,0.50,8.90,2.33,2.32,17.30
99-00,0238,01,MABEL-CANTON,0 ,0,District Totals: ,23,FILLMORE,10,2.00,0.50,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.66,30.98,0.00,1.00,9.50,1.93,1.63,16.92
99-00,0239,01,RUSHFORD-PETERSON,0 ,0,District Totals: ,23,FILLMORE,10,4.78,1.00,0.00,2.78,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,53.46,1.47,1.00,13.50,6.49,3.65,27.35
99-00,0241,01,ALBERT LEA,0 ,0,District Totals: ,24,FREEBORN,10,15.00,1.00,0.00,9.00,1.00,2.00,2.00,1.20,0.00,0.00,0.00,4.00,5.00,1.50,2.00,6.00,6.00,245.30,2.00,5.50,58.00,43.70,3.26,132.84
99-00,0242,01,ALDEN,0 ,0,District Totals: ,24,FREEBORN,10,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.50,34.16,0.40,2.00,8.33,3.00,1.40,19.03
99-00,0252,01,CANNON FALLS,0 ,0,District Totals: ,25,GOODHUE,10,5.73,1.00,0.00,3.00,1.00,0.73,0.00,0.00,0.00,0.00,0.00,2.00,2.50,1.00,0.00,1.00,2.00,98.49,0.00,2.50,32.00,11.38,1.40,51.21
99-00,0253,01,GOODHUE,0 ,0,District Totals: ,25,GOODHUE,10,2.83,1.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,40.36,0.00,1.00,12.43,3.28,1.97,21.68
99-00,0255,01,PINE ISLAND,0 ,0,District Totals: ,25,GOODHUE,10,4.40,1.00,0.00,2.00,1.00,0.40,0.00,0.70,0.00,0.00,0.00,2.00,1.27,0.43,0.00,1.00,1.88,86.03,1.97,3.00,26.87,7.25,3.89,43.05
99-00,0256,01,RED WING,0 ,0,District Totals: ,25,GOODHUE,10,8.47,1.00,0.00,4.80,1.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,4.20,1.00,3.00,1.00,6.49,207.11,2.46,5.00,47.00,33.19,4.60,114.86
99-00,0261,01,ASHBY,0 ,0,District Totals: ,26,GRANT,04,2.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,22.54,0.00,1.00,6.60,1.29,1.00,12.65
99-00,0264,01,HERMAN-NORCROSS,0 ,0,District Totals: ,26,GRANT,04,1.44,0.44,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.83,0.00,0.00,0.17,0.17,20.84,0.00,0.67,6.00,1.60,1.47,11.10
99-00,0270,01,HOPKINS,0 ,0,District Totals: ,27,HENNEPIN,11,24.15,1.00,0.00,10.00,4.50,2.84,5.81,2.15,0.00,0.77,0.00,17.80,11.00,10.70,4.10,17.71,15.46,605.17,14.22,19.91,192.41,83.55,5.53,289.55
99-00,0271,01,BLOOMINGTON,0 ,0,District Totals: ,27,HENNEPIN,11,29.00,1.00,1.00,20.00,1.00,1.00,5.00,4.42,0.00,0.00,0.00,14.20,16.34,0.00,7.50,10.87,15.50,668.25,8.70,24.00,161.10,87.93,2.04,384.48
99-00,0272,01,EDEN PRAIRIE,0 ,0,District Totals: ,27,HENNEPIN,11,21.00,1.00,1.00,8.00,4.00,2.00,5.00,0.98,0.00,0.00,0.00,11.00,8.00,5.29,2.98,9.78,17.89,615.74,5.83,21.00,199.00,84.99,1.99,302.93
99-00,0273,01,EDINA,0 ,0,District Totals: ,27,HENNEPIN,11,20.00,1.00,2.00,9.00,4.00,2.00,2.00,2.00,0.00,0.00,0.00,8.20,9.00,4.71,6.00,1.00,10.40,430.84,4.29,13.00,125.00,37.29,1.00,250.26
99-00,0276,01,MINNETONKA,0 ,0,District Totals: ,27,HENNEPIN,11,23.84,1.00,2.00,9.00,6.00,2.67,3.17,1.50,0.00,0.00,0.00,7.33,8.00,3.07,3.50,10.10,13.00,482.45,4.98,16.00,140.20,56.55,4.00,260.72
