SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
09-10,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,001,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,03                  ,37.22,15.80,21.42,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,15.80,20.42,2.60,12.00,8.68,10.00,4.74,8.20,1.00,1.00,1.60,0.00,24.80,12.34,0.00,0.00,41.00,4.00,1.60,4.00,12.34,11.08,4.20
09-10,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,002,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,03                  ,41.52,9.50,32.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,32.02,1.00,16.00,9.00,7.17,8.69,3.00,4.33,2.23,5.10,0.00,31.67,9.49,0.00,0.00,42.00,3.00,2.00,10.00,8.86,13.33,4.33
09-10,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,003,10,PALISADE ELEMENTARY                               ,1,Aitkin                                            ,03                  ,1.99,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,9.00,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.99,1.00
09-10,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,004,90,AITKIN CHILREN'S CENTER/ECFE                      ,1,Aitkin                                            ,03                  ,1.17,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,9.00,0.00,0.50,0.67,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.50,0.67,0.00
09-10,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,006,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,03                  ,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,18.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,57.00,0.00,0.00,0.00,0.00,0.00,0.40
09-10,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,000,0 ,Totals                                            ,1,Aitkin                                            ,03                  ,82.30,25.50,56.80,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,25.50,55.80,3.60,13.00,17.68,19.66,14.10,11.60,5.33,3.23,6.70,0.00,60.03,21.83,0.00,0.00,42.00,7.00,3.60,14.00,21.70,26.07,9.93
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11                  ,28.03,3.60,24.43,0.00,0.00,0.00,2.00,0.00,0.00,0.20,1.00,3.40,21.43,0.00,20.00,3.00,0.80,7.61,4.00,4.02,5.60,3.00,0.00,7.62,20.21,0.00,0.20,47.00,0.00,2.00,0.00,10.81,8.20,7.02
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11                  ,19.49,4.00,15.49,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,14.49,0.00,24.00,0.00,1.00,4.00,2.00,6.00,4.00,2.49,0.00,4.00,14.49,0.00,1.00,50.00,0.00,0.00,0.00,4.00,11.00,4.49
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11                  ,27.77,0.80,26.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.80,24.97,0.50,20.00,0.50,1.00,4.67,7.80,7.80,4.00,1.00,0.00,9.17,17.60,0.00,1.00,49.00,0.00,0.00,0.00,7.30,10.80,9.67
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,106,10,BARTON OPEN ELEMENTARY                            ,27,Hennepin                                          ,11                  ,36.96,5.83,31.13,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,5.83,30.80,0.00,18.00,1.03,2.00,9.23,9.05,7.83,3.83,3.99,0.00,10.18,26.78,0.00,0.00,48.00,0.00,0.00,3.80,5.70,18.29,9.17
