SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,107,10,BETHUNE ELEMENTARY                                ,27,Hennepin                                          ,11                  ,26.54,3.40,23.14,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,2.40,20.14,1.00,16.00,5.00,1.74,7.00,4.00,5.00,0.80,3.00,0.00,13.80,12.74,0.00,0.00,45.00,1.00,3.00,2.00,4.40,10.47,5.67
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,110,10,BURROUGHS ELEMENTARY                              ,27,Hennepin                                          ,11                  ,35.42,19.01,16.41,1.00,0.00,1.01,0.00,0.00,0.50,0.00,0.00,17.00,15.91,2.00,17.00,3.50,1.00,14.00,7.91,2.00,4.01,2.00,0.00,9.50,23.01,0.00,2.91,46.00,2.00,0.50,3.50,11.00,11.50,6.92
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,119,20,FIELD ELEMENTARY                                  ,27,Hennepin                                          ,11                  ,26.09,9.92,16.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,9.92,15.29,0.20,14.00,2.08,3.49,9.97,6.67,3.08,0.80,0.00,0.00,7.53,18.56,0.00,0.00,47.00,0.20,1.00,2.02,7.57,9.60,5.70
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,121,10,LAKE HARRIET UPPER SCHOOL                         ,27,Hennepin                                          ,11                  ,28.30,6.86,21.44,1.87,0.00,0.00,0.20,0.00,0.00,1.59,0.00,3.40,21.24,0.40,19.00,0.40,1.40,8.27,7.26,3.92,5.20,1.85,0.00,8.67,18.15,0.00,1.48,48.00,0.00,0.40,1.00,6.87,9.93,10.10
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,123,10,HALE ELEMENTARY                                   ,27,Hennepin                                          ,11                  ,29.67,5.20,24.47,0.00,0.00,1.00,0.00,0.40,0.00,1.00,0.00,2.80,24.47,1.00,20.00,1.17,0.00,4.60,6.70,11.80,2.40,3.00,0.00,5.60,21.07,1.00,2.00,47.00,0.17,1.00,0.00,7.30,13.90,7.30
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,124,10,PARK VIEW MONTESSORI ELEMENTARY                   ,27,Hennepin                                          ,11                  ,14.54,3.10,11.44,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.30,2.10,10.14,0.00,16.00,1.80,0.60,4.10,4.17,2.00,0.87,1.00,0.00,4.07,8.47,0.00,2.00,48.00,0.00,0.00,1.40,3.90,4.67,4.57
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,130,10,HIAWATHA ELEMENTARY                               ,27,Hennepin                                          ,11                  ,21.40,1.60,19.80,0.00,0.00,0.00,1.00,0.00,0.00,0.60,3.00,1.00,15.80,0.00,21.00,1.00,0.80,1.60,3.00,9.00,5.00,1.00,0.00,3.30,18.10,0.00,0.00,51.00,0.00,0.00,0.00,1.60,13.30,6.50
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,134,10,LK NOKOMIS COMM-KEEWAYDIN CAMPUS                  ,27,Hennepin                                          ,11                  ,19.01,0.44,18.57,0.00,0.00,0.00,0.00,0.00,1.02,0.00,2.00,0.44,15.55,0.88,9.00,5.49,2.39,5.21,4.12,1.80,0.00,0.00,0.00,10.42,8.22,0.00,0.37,37.00,0.00,3.77,2.76,7.21,3.47,1.80
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,135,10,KENNY ELEMENTARY                                  ,27,Hennepin                                          ,11                  ,19.19,3.99,15.20,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.99,14.20,0.99,12.00,1.98,1.01,4.80,5.40,4.00,1.00,1.00,0.00,3.00,16.19,0.00,0.00,39.00,0.00,0.99,1.00,6.21,8.99,2.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,136,10,KENWOOD ELEMENTARY                                ,27,Hennepin                                          ,11                  ,18.33,3.90,14.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.90,13.43,0.00,19.00,0.40,0.40,5.20,4.23,2.40,3.70,2.00,0.00,2.70,14.63,0.00,1.00,50.00,0.00,0.00,0.00,5.43,8.90,4.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,139,10,LONGFELLOW ELEMENTARY                             ,27,Hennepin                                          ,11                  ,20.83,2.33,18.50,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,2.33,14.50,1.00,14.00,6.00,0.00,5.83,4.80,2.20,1.00,1.00,0.00,8.33,12.50,0.00,0.00,45.00,0.00,3.00,1.00,4.83,6.20,5.80
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,140,10,LORING ELEMENTARY                                 ,27,Hennepin                                          ,11                  ,25.73,5.00,20.73,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,5.00,17.73,1.00,17.00,1.00,2.50,8.23,5.00,3.00,4.00,1.00,0.00,8.00,17.33,0.00,0.40,45.00,0.00,1.00,2.50,7.23,10.00,5.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,144,10,LYNDALE ELEMENTARY                                ,27,Hennepin                                          ,11                  ,32.40,5.00,27.40,2.00,0.00,0.00,1.00,0.00,1.00,0.00,2.00,3.00,23.40,1.00,15.00,6.50,2.40,10.80,4.00,2.70,3.00,3.00,0.00,10.00,21.40,0.00,1.00,42.00,0.00,5.00,2.90,10.50,8.00,6.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,151,10,JENNY LIND ELEMENTARY                             ,27,Hennepin                                          ,11                  ,28.80,9.01,19.79,0.00,0.00,0.00,1.75,0.00,1.00,1.80,2.00,7.21,15.04,2.80,16.00,2.80,2.55,10.28,6.00,1.67,1.00,4.50,0.00,9.66,18.14,1.00,0.00,47.00,0.00,0.00,1.55,13.18,5.30,8.77
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,152,10,NORTHROP ELEMENTARY                               ,27,Hennepin                                          ,11                  ,24.11,10.00,14.11,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,8.00,13.11,1.00,13.00,5.80,1.61,9.00,5.59,0.40,1.71,0.00,0.00,13.21,9.31,0.00,1.59,46.00,1.10,2.00,1.00,8.70,8.72,2.59
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,155,10,PILLSBURY ELEMENTARY                              ,27,Hennepin                                          ,11                  ,35.90,5.57,30.33,0.00,0.00,0.00,0.00,0.00,1.00,0.20,3.00,5.37,26.33,1.00,20.00,3.00,2.50,3.57,10.39,7.50,2.54,5.40,0.00,11.07,21.83,0.00,3.00,50.00,0.00,1.00,2.00,3.57,18.03,11.30
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,156,10,PRATT ELEMENTARY                                  ,27,Hennepin                                          ,11                  ,8.60,0.70,7.90,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.20,7.40,1.00,17.00,1.00,1.00,2.10,1.20,2.80,0.50,0.00,0.00,2.10,6.00,0.00,0.50,47.00,0.00,1.00,0.00,1.10,4.80,1.70
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,160,10,SEWARD ELEMENTARY                                 ,27,Hennepin                                          ,11                  ,43.43,9.53,33.90,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,9.53,31.90,1.00,18.00,4.50,3.52,15.40,7.08,6.42,3.52,2.99,0.00,10.99,29.40,0.00,3.04,48.00,1.00,1.00,0.00,12.91,18.49,10.03
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,161,10,SHERIDAN ELEMENTARY                               ,27,Hennepin                                          ,11                  ,42.53,8.02,34.51,0.00,0.00,0.00,0.56,0.00,2.53,0.00,1.00,8.02,30.42,7.21,13.00,13.23,5.85,7.39,7.05,5.97,1.00,2.04,0.00,17.75,24.78,0.00,0.00,40.00,3.02,3.21,6.35,12.99,8.95,8.01
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,165,10,WAITE PARK ELEMENTARY                             ,27,Hennepin                                          ,11                  ,25.60,4.02,21.58,0.00,1.02,0.00,1.00,0.00,0.00,0.00,0.00,4.02,19.56,1.20,19.00,2.20,1.00,2.85,3.86,8.04,4.82,2.83,0.00,8.68,15.92,0.00,1.00,49.00,0.00,2.20,1.00,4.43,8.65,9.32
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,167,10,LK NOKOMIS COMM-WENONAH CAMPUS                    ,27,Hennepin                                          ,11                  ,18.81,3.00,15.81,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,14.81,0.00,19.00,1.00,1.00,1.50,5.20,5.11,2.00,3.00,0.00,7.20,11.61,0.00,0.00,46.00,0.00,1.00,0.00,7.20,4.50,6.11
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,170,10,WINDOM SCHOOL                                     ,27,Hennepin                                          ,11                  ,22.24,3.81,18.43,0.00,0.00,0.00,0.00,1.00,2.00,0.20,0.00,2.61,16.43,2.85,13.00,9.72,1.00,4.84,1.84,1.00,3.84,0.00,0.00,13.57,8.47,0.00,0.20,41.00,1.87,4.85,2.00,1.84,10.24,1.44
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,175,10,RAMSEY FINE ARTS ELEMENTARY                       ,27,Hennepin                                          ,11                  ,63.48,13.81,49.67,1.00,0.98,0.00,0.00,0.60,2.58,0.00,4.00,12.21,42.11,3.98,15.00,7.25,4.25,24.97,12.95,5.09,6.14,1.99,0.00,23.05,39.10,0.00,1.33,47.00,1.00,2.84,2.01,16.62,27.00,14.01
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,179,10,JEFFERSON ELEMENTARY                              ,27,Hennepin                                          ,11                  ,49.16,15.84,33.32,0.00,0.70,0.00,0.00,2.00,0.00,1.00,0.00,12.84,32.62,4.90,14.00,10.31,7.68,13.09,4.50,6.03,5.85,1.70,0.00,15.67,31.46,1.03,1.00,43.00,3.90,2.37,6.02,13.72,12.53,10.62
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,180,10,DOWLING ELEMENTARY                                ,27,Hennepin                                          ,11                  ,29.60,5.00,24.60,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,5.00,23.90,0.70,21.00,1.70,0.00,4.00,9.00,5.00,3.90,5.00,0.00,8.00,17.70,2.00,1.90,49.00,1.70,0.00,0.00,4.00,13.90,10.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,183,50,ECSE                                              ,27,Hennepin                                          ,11                  ,44.50,2.00,42.50,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,2.00,39.50,1.00,15.00,12.80,3.00,7.80,4.90,7.70,6.80,1.50,0.00,14.60,28.20,0.00,1.70,46.00,1.00,4.00,3.00,8.90,18.50,9.10
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,190,10,ANDERSEN COMMUNITY                                ,27,Hennepin                                          ,11                  ,97.85,21.01,76.84,1.00,2.50,1.00,2.00,1.00,3.00,2.00,3.03,16.01,66.31,8.83,11.00,24.65,11.81,39.84,9.53,7.52,3.50,1.00,0.00,57.35,38.50,1.00,1.00,39.00,9.83,7.83,13.98,26.35,27.04,12.82
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,193,10,SULLIVAN ELEMENTARY                               ,27,Hennepin                                          ,11                  ,43.26,11.45,31.81,0.00,1.00,0.00,1.00,1.00,1.00,1.00,3.02,9.45,25.79,3.85,15.00,5.87,3.85,12.65,9.88,2.99,4.00,4.02,0.00,18.91,23.33,0.00,1.02,43.00,3.02,0.00,3.72,10.47,16.04,10.01
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,210,10,PERFORMING ARTS MAGNET-KENWOOD EL.                ,27,Hennepin                                          ,11                  ,7.70,1.30,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,6.40,0.00,22.00,1.00,0.00,0.00,1.80,1.60,1.30,1.00,0.00,1.30,6.40,0.00,0.00,50.00,0.00,1.00,0.00,0.00,4.70,2.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,225,40,ANISHINABE ACADEMY                                ,27,Hennepin                                          ,11                  ,24.85,5.52,19.33,0.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,5.52,13.33,2.83,9.00,7.51,4.00,6.34,5.00,1.00,1.00,0.00,0.00,11.85,13.00,0.00,0.00,42.00,1.00,1.00,2.51,8.00,9.00,3.34
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,226,10,MARCY OPEN ELEMENTARY                             ,27,Hennepin                                          ,11                  ,34.13,10.56,23.57,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,9.56,23.57,1.00,14.00,2.00,4.98,12.63,7.01,5.00,2.00,0.51,0.00,12.43,21.70,0.00,0.00,45.00,1.00,0.00,2.34,8.80,11.47,10.52
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,249,10,BRYN MAWR ELEMENTARY                              ,27,Hennepin                                          ,11                  ,20.90,4.00,16.90,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,3.00,14.90,1.00,18.00,2.00,1.00,7.00,2.90,3.00,4.00,0.00,0.00,8.50,9.40,0.00,3.00,46.00,0.00,1.00,1.00,6.00,8.50,4.40
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,256,10,GREEN CENTRAL PARK ELEMENTARY                     ,27,Hennepin                                          ,11                  ,40.28,4.83,35.45,0.00,1.83,0.00,0.00,0.00,1.00,1.00,6.01,3.83,26.61,5.36,12.00,9.35,4.83,13.53,7.01,2.05,2.00,1.51,0.00,13.88,25.39,0.00,1.01,43.00,1.85,3.51,3.00,10.83,13.59,7.50
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,260,10,EMERSON ELEMENTARY                                ,27,Hennepin                                          ,11                  ,31.30,6.33,24.97,0.00,0.00,0.00,1.96,1.28,9.06,3.00,0.00,2.05,13.95,1.28,11.00,7.23,4.93,6.01,9.13,1.00,1.00,2.00,0.00,13.34,17.96,0.00,0.00,41.00,1.00,2.94,4.22,9.00,10.08,4.06
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,282,10,LUCY LANEY @ CLEVELAND PARK ELEM.                 ,27,Hennepin                                          ,11                  ,39.92,11.35,28.57,0.00,0.00,0.00,1.00,0.00,1.00,2.06,6.85,9.29,19.72,6.84,9.00,15.54,6.88,9.46,4.00,3.04,1.00,0.00,0.00,16.95,22.97,0.00,0.00,41.00,4.00,4.01,4.68,12.73,11.08,3.42
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,283,50,CROSSTOWN EDUCATIONAL CENTER                      ,27,Hennepin                                          ,11                  ,8.48,2.08,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,6.40,0.68,9.00,3.52,1.04,1.68,0.00,1.40,0.84,0.00,0.00,5.04,3.44,0.00,0.00,41.00,0.68,0.00,3.04,0.00,3.08,1.68
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,287,10,HALL INTERNATIONAL                                ,27,Hennepin                                          ,11                  ,27.50,4.10,23.40,0.00,0.00,0.00,1.00,1.00,0.00,2.00,5.00,1.10,17.40,2.20,13.00,3.20,4.00,12.30,4.00,1.00,0.00,2.00,0.00,13.20,14.30,0.00,0.00,41.00,1.20,0.00,4.50,9.00,7.10,5.70
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,288,10,NELLIE STONE JOHNSON ELEMENTARY                   ,27,Hennepin                                          ,11                  ,47.53,9.00,38.53,0.00,0.00,0.00,1.00,0.00,2.00,1.00,5.60,8.00,29.93,2.00,11.00,9.00,9.36,16.77,7.40,2.00,2.00,1.00,0.00,21.85,24.68,0.00,1.00,38.00,4.00,4.35,5.36,19.83,5.99,8.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,289,10,WHITTIER INTERNATIONAL                            ,27,Hennepin                                          ,11                  ,34.89,4.66,30.23,0.00,0.00,0.00,1.00,0.00,3.00,0.83,2.00,3.83,24.23,2.00,12.00,8.83,4.33,9.63,9.10,1.00,2.00,0.00,0.00,10.96,22.93,0.00,1.00,40.00,0.00,3.83,4.80,14.66,7.60,4.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,290,10,CITYVIEW PAM MAGNET                               ,27,Hennepin                                          ,11                  ,44.65,11.14,33.51,0.00,0.00,0.00,1.87,1.00,0.00,3.03,3.02,7.11,28.62,2.00,12.00,6.14,6.37,19.34,8.83,3.30,0.67,0.00,0.00,18.01,24.97,0.00,1.67,44.00,0.48,1.00,4.10,18.77,10.65,9.65
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,291,10,HMONG INTERNATIONAL ACADEMY                       ,27,Hennepin                                          ,11                  ,20.59,4.74,15.85,0.00,0.00,3.21,7.68,0.00,0.00,0.00,0.00,1.53,8.17,1.21,12.00,3.21,1.68,8.86,3.03,1.21,2.00,0.60,0.00,9.49,11.10,0.00,0.00,39.00,0.84,0.00,4.68,7.23,6.24,1.60
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,300,20,ANTHONY MIDDLE SCHOOL                             ,27,Hennepin                                          ,11                  ,33.68,10.00,23.68,0.00,1.02,0.00,0.00,0.00,1.05,0.00,0.94,10.00,20.67,1.05,14.00,6.05,1.02,16.05,5.11,3.09,0.34,2.02,0.00,11.94,20.74,0.00,1.00,45.00,1.02,4.12,0.00,10.20,10.88,7.46
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,301,20,ANWATIN MIDDLE SCHOOL                             ,27,Hennepin                                          ,11                  ,33.84,8.94,24.90,0.00,0.00,2.04,0.17,0.00,0.80,2.82,0.90,4.08,23.03,4.42,13.00,6.34,7.18,6.61,8.80,2.70,1.02,1.19,0.00,10.47,22.35,0.00,1.02,41.00,2.60,1.69,5.56,9.41,9.60,4.98
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,304,20,FOLWELL MIDDLE SCHOOL                             ,27,Hennepin                                          ,11                  ,8.98,1.95,7.03,0.00,0.97,0.00,0.00,0.40,0.17,0.00,1.60,1.55,4.29,1.00,11.00,2.14,1.40,1.31,2.89,1.24,0.00,0.00,0.00,3.68,5.30,0.00,0.00,45.00,0.00,0.00,1.57,1.55,4.46,1.40
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,311,50,SPAN                                              ,27,Hennepin                                          ,11                  ,11.46,6.44,5.02,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,4.44,5.02,0.00,10.00,2.00,3.84,4.02,1.00,0.60,0.00,0.00,0.00,6.84,4.62,0.00,0.00,38.00,0.00,2.00,1.84,5.02,2.60,0.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,315,43,RONALD MCDONALD HOUSE                             ,27,Hennepin                                          ,11                  ,1.03,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,1.03,0.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,316,20,NORTHEAST MIDDLE                                  ,27,Hennepin                                          ,11                  ,39.75,14.53,25.22,0.00,0.00,0.00,1.00,1.00,0.00,0.00,2.00,13.53,22.22,3.58,10.00,9.55,9.00,10.90,5.00,3.45,1.85,0.00,0.00,20.30,19.45,0.00,0.00,37.00,2.58,6.33,3.64,12.90,10.60,3.70
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,318,20,OLSON MIDDLE                                      ,27,Hennepin                                          ,11                  ,30.34,13.38,16.96,0.00,0.00,0.50,1.70,0.00,0.00,4.12,4.00,8.76,11.26,5.05,10.00,5.73,10.03,8.25,4.06,1.24,0.50,0.33,0.00,16.84,12.59,0.00,0.91,43.00,3.68,1.04,2.41,5.61,9.03,8.57
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,324,20,SANFORD MIDDLE                                    ,27,Hennepin                                          ,11                  ,24.99,10.77,14.22,0.00,0.00,1.04,0.00,0.68,0.00,1.60,1.04,7.45,13.18,2.07,13.00,5.28,5.79,6.73,4.00,0.85,0.33,2.01,0.00,12.28,12.03,0.00,0.68,43.00,2.07,0.00,5.15,7.90,3.96,5.91
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,348,43,MPLS. EMPLOYMENT READINESS CURRIC.                ,27,Hennepin                                          ,11                  ,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,1.00,0.00,1.00,0.00,0.00,0.00
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,349,43,LORING-NICOLLET HIGH                              ,27,Hennepin                                          ,11                  ,3.20,1.60,1.60,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,8.00,1.60,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.80,0.00,1.60,0.00,0.00,0.80
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,351,43,URBAN LEAGUE ACADEMY HIGH                         ,27,Hennepin                                          ,11                  ,6.97,2.99,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.99,0.00,3.00,4.97,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,3.98,1.00,1.99,0.00,0.00
