SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,AdminALL,Superintendent,AsstSuper,Principals,AsstPrinc,Director,OtherAdmin,Coord/Supv,SpEdProgCoord,VocFacil/Eval,OtherNonInstruct,Counselors,Media/Librarian,SchNurse,Psychologist,SocWorker,SpeechLangPath,TchrALL,PreK/ECFE,Kindgtn,GenElemEd,SpEdTchr,VocEdTchr,AllOtherTchr
04-05,0001,01,AITKIN,0 ,0,District Totals: ,01,AITKIN,03,4.77,1.00,0.00,2.00,1.00,0.60,0.17,0.17,0.20,0.00,0.67,1.00,2.00,1.00,0.57,1.00,2.00,88.18,1.66,2.33,28.35,11.23,4.85,39.76
04-05,0001,03,MINNEAPOLIS,0 ,0,District Totals: ,27,HENNEPIN,11,146.49,1.00,2.00,75.83,51.66,5.00,11.00,4.33,17.66,1.16,183.00,33.59,57.04,41.85,47.32,123.46,90.19,"2,657.61",30.07,136.74,664.71,517.39,42.05,"1,266.65"
04-05,0002,01,HILL CITY,0 ,0,District Totals: ,01,AITKIN,03,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.00,0.50,0.63,0.03,1.00,1.00,28.85,0.33,1.00,7.00,3.56,0.33,16.63
04-05,0004,01,MCGREGOR,0 ,0,District Totals: ,01,AITKIN,03,2.97,1.00,0.00,1.97,0.00,0.00,0.00,0.00,0.13,0.00,0.00,1.00,0.00,1.00,0.40,0.00,0.50,42.39,0.53,2.00,13.00,4.91,0.00,21.95
04-05,0006,03,SOUTH ST. PAUL,0 ,0,District Totals: ,19,DAKOTA,11,8.00,1.00,0.00,5.00,1.00,1.00,0.00,1.00,0.00,0.00,2.23,0.00,2.00,2.00,2.00,0.00,5.60,198.74,3.83,7.50,57.00,26.34,0.46,103.61
04-05,0011,01,ANOKA-HENNEPIN,0 ,0,District Totals: ,02,ANOKA,11,113.00,1.00,2.00,40.00,57.00,4.00,9.00,14.17,4.00,2.00,52.78,32.23,30.70,14.60,37.00,26.90,82.60,"2,373.39",21.47,77.00,602.08,381.47,77.22,"1,214.15"
04-05,0012,01,CENTENNIAL,0 ,0,District Totals: ,02,ANOKA,11,16.00,1.00,1.00,8.00,4.00,2.00,0.00,1.00,5.00,0.00,4.00,10.00,2.97,1.00,6.50,3.00,13.00,365.78,0.77,12.95,121.17,60.13,2.67,168.09
04-05,0013,01,COLUMBIA HEIGHTS,0 ,0,District Totals: ,02,ANOKA,11,11.00,0.00,1.00,5.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,1.50,2.00,0.00,4.00,192.36,4.10,11.00,56.00,32.72,1.60,86.94
04-05,0014,01,FRIDLEY,0 ,0,District Totals: ,02,ANOKA,11,8.50,1.00,0.00,5.00,0.00,1.30,1.20,0.00,0.00,0.00,1.00,4.83,4.00,1.60,3.40,1.39,3.40,153.21,4.00,6.00,32.17,26.77,3.17,81.10
04-05,0015,01,ST. FRANCIS,0 ,0,District Totals: ,02,ANOKA,11,11.83,1.00,0.00,6.00,3.83,1.00,0.00,4.00,1.94,0.00,3.86,5.16,0.00,4.40,1.80,7.86,7.00,315.31,2.50,12.00,102.00,50.49,4.70,143.62
04-05,0016,01,SPRING LAKE PARK,0 ,0,District Totals: ,02,ANOKA,11,15.00,1.00,1.00,6.00,2.00,2.00,3.00,3.50,1.00,0.00,2.50,8.00,4.00,1.00,3.00,1.00,7.20,247.75,5.33,9.00,70.50,32.50,7.52,122.90
04-05,0022,01,DETROIT LAKES,0 ,0,District Totals: ,03,BECKER,04,9.60,1.00,1.00,4.00,2.00,1.60,0.00,0.67,1.00,0.00,2.73,4.50,2.99,1.00,1.99,3.00,4.60,196.99,3.63,8.50,45.33,34.57,1.50,103.46
04-05,0023,01,FRAZEE-VERGAS,0 ,0,District Totals: ,03,BECKER,04,4.30,1.00,0.00,2.00,0.00,1.30,0.00,0.63,0.00,0.00,0.00,1.83,1.67,0.00,1.00,0.00,2.80,75.74,1.33,2.00,21.00,15.03,1.02,35.36
04-05,0025,01,PINE POINT,0 ,0,District Totals: ,03,BECKER,04,1.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,1.00,6.00,2.00,0.00,2.00
04-05,0031,01,BEMIDJI,0 ,0,District Totals: ,04,BELTRAMI,02,14.00,1.00,0.00,7.00,5.00,1.00,0.00,1.00,1.00,0.00,3.56,3.00,6.63,1.00,3.00,5.00,10.47,338.02,5.77,17.00,68.27,78.90,3.30,164.78
04-05,0032,01,BLACKDUCK,0 ,0,District Totals: ,04,BELTRAMI,02,2.50,0.83,0.00,1.17,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.30,0.00,1.40,52.52,0.57,2.00,13.00,10.68,0.67,25.60
04-05,0036,01,KELLIHER,0 ,0,District Totals: ,04,BELTRAMI,02,2.00,0.50,0.00,0.50,0.00,0.00,1.00,0.00,0.00,0.00,0.51,0.00,0.67,0.00,0.10,0.00,0.50,25.25,1.00,1.00,5.00,2.78,0.90,14.57
04-05,0038,01,RED LAKE,0 ,0,District Totals: ,04,BELTRAMI,02,8.17,1.00,0.00,4.00,2.00,1.17,0.00,1.83,0.00,0.00,8.83,2.00,5.00,0.00,1.00,0.00,1.00,161.41,1.00,10.00,49.07,24.86,1.00,75.48
04-05,0047,01,SAUK RAPIDS,0 ,0,District Totals: ,05,BENTON,07W,10.00,1.00,0.00,5.00,3.00,1.00,0.00,3.57,2.30,0.00,4.61,5.00,5.00,0.83,2.20,2.00,7.06,213.39,5.72,8.10,64.00,31.57,2.54,101.46
04-05,0051,01,FOLEY,0 ,0,District Totals: ,05,BENTON,07W,5.63,1.00,0.00,3.00,0.00,0.83,0.80,0.00,0.17,0.00,2.98,2.00,2.00,1.00,1.00,1.00,4.00,96.55,1.77,4.58,31.35,16.53,1.02,41.30
04-05,0062,01,ORTONVILLE,0 ,0,District Totals: ,06,BIG STONE,06W,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,1.00,1.00,0.20,0.00,0.00,1.00,43.61,0.00,1.60,11.00,6.94,2.38,21.69
04-05,0075,01,ST. CLAIR,0 ,0,District Totals: ,07,BLUE EARTH,09,3.17,1.00,0.00,2.00,0.00,0.17,0.00,0.00,0.10,0.00,2.71,1.00,1.00,1.00,0.20,0.20,1.50,43.98,0.00,3.00,10.00,5.80,1.07,24.11
04-05,0077,01,MANKATO,0 ,0,District Totals: ,07,BLUE EARTH,09,17.27,1.00,0.00,11.27,2.00,1.00,2.00,2.50,0.00,0.00,11.77,16.33,12.53,2.50,5.67,1.00,12.50,430.86,5.29,16.50,137.44,70.23,6.87,194.53
04-05,0081,01,COMFREY,0 ,0,District Totals: ,08,BROWN,09,1.03,0.50,0.00,0.50,0.00,0.03,0.00,0.03,0.03,0.00,1.10,0.00,0.66,0.00,0.33,0.00,0.03,15.92,0.00,0.60,5.14,1.19,0.20,8.79
04-05,0084,01,SLEEPY EYE,0 ,0,District Totals: ,08,BROWN,09,3.77,1.00,0.00,2.00,0.00,0.77,0.00,0.47,0.00,0.00,0.17,1.60,0.50,0.00,0.40,0.70,1.60,46.60,0.77,2.10,13.05,6.63,2.19,21.86
04-05,0085,01,SPRINGFIELD,0 ,0,District Totals: ,08,BROWN,09,3.03,1.00,0.00,1.00,0.00,0.03,1.00,0.00,0.00,0.00,0.15,0.33,1.00,0.00,0.43,0.00,0.90,41.65,0.20,1.00,12.00,5.89,1.01,21.55
04-05,0088,01,NEW ULM,0 ,0,District Totals: ,08,BROWN,09,6.00,1.00,0.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,6.00,4.00,1.00,1.50,1.00,4.00,151.81,0.00,6.00,39.50,23.93,3.90,78.48
04-05,0091,01,BARNUM,0 ,0,District Totals: ,09,CARLTON,03,3.67,1.00,0.00,2.00,0.00,0.67,0.00,0.00,0.20,0.00,0.00,1.00,1.33,0.67,0.50,0.00,1.00,40.04,0.00,2.00,13.00,5.25,0.57,19.22
04-05,0093,01,CARLTON,0 ,0,District Totals: ,09,CARLTON,03,4.00,1.00,0.00,1.00,0.00,0.00,2.00,0.53,0.20,0.00,0.33,0.33,1.00,0.57,0.40,0.00,1.17,43.94,1.40,1.50,12.00,5.26,1.04,22.74
04-05,0094,01,CLOQUET,0 ,0,District Totals: ,09,CARLTON,03,7.83,1.00,0.00,4.00,0.83,1.00,1.00,1.83,0.30,0.00,5.63,5.42,3.10,1.00,0.00,3.00,3.60,132.85,1.46,6.00,40.00,19.68,1.46,64.25
04-05,0095,01,CROMWELL-WRIGHT,0 ,0,District Totals: ,09,CARLTON,03,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.24,0.13,0.00,0.00,0.98,1.00,0.00,0.06,0.00,0.80,24.52,0.37,2.00,7.36,2.40,0.75,11.64
04-05,0097,01,MOOSE LAKE,0 ,0,District Totals: ,09,CARLTON,03,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,2.00,1.00,0.00,0.50,0.00,1.00,52.68,0.44,3.00,18.00,8.14,0.52,22.58
04-05,0099,01,ESKO,0 ,0,District Totals: ,09,CARLTON,03,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,1.20,2.00,0.00,0.70,0.00,2.00,66.07,1.58,3.00,21.00,8.28,1.36,30.85
04-05,0100,01,WRENSHALL,0 ,0,District Totals: ,09,CARLTON,03,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.20,0.20,0.00,0.27,1.10,0.40,0.00,0.20,0.00,0.03,25.58,0.47,0.60,7.17,2.16,0.28,14.90
04-05,0108,01,NORWOOD,0 ,0,District Totals: ,10,CARVER,11,5.00,1.00,0.00,3.00,0.00,1.00,0.00,0.23,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,2.00,61.88,0.90,3.00,19.00,9.60,1.00,28.38
04-05,0110,01,WACONIA,0 ,0,District Totals: ,10,CARVER,11,6.00,1.00,0.00,4.00,1.00,0.00,0.00,2.67,0.00,0.00,1.00,2.50,1.47,1.00,0.00,0.00,4.99,129.13,1.00,5.00,34.67,14.71,0.00,73.75
04-05,0111,01,WATERTOWN-MAYER,0 ,0,District Totals: ,10,CARVER,11,6.00,1.00,0.00,3.00,1.00,1.00,0.00,1.24,0.00,0.00,0.17,2.00,1.00,1.00,0.00,1.00,2.83,84.93,0.96,3.80,18.50,9.55,1.32,50.80
04-05,0112,01,CHASKA,0 ,0,District Totals: ,10,CARVER,11,23.50,1.00,0.00,11.50,4.00,4.00,3.00,3.00,2.00,0.00,2.50,14.00,9.99,1.00,1.00,4.20,14.39,467.57,0.00,17.77,145.73,55.82,0.00,248.25
04-05,0113,01,WALKER-HACKENSACK-AKELEY,0 ,0,District Totals: ,11,CASS,05,4.67,1.00,0.00,2.00,0.00,0.67,1.00,0.00,0.60,0.00,0.84,1.00,1.00,1.00,0.33,0.00,2.00,70.30,0.83,3.00,18.00,13.92,0.54,34.01
04-05,0115,01,CASS LAKE-BENA SCHOOLS,0 ,0,District Totals: ,11,CASS,05,5.00,1.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,3.86,2.00,2.00,0.00,0.50,4.00,2.00,112.34,3.00,5.00,31.98,23.92,0.67,47.77
04-05,0116,01,PILLAGER,0 ,0,District Totals: ,11,CASS,05,3.97,1.00,0.00,1.97,0.00,0.00,1.00,0.00,0.36,0.00,1.95,0.97,0.67,0.00,0.37,0.00,2.00,46.38,0.00,2.00,15.00,7.89,0.23,21.26
04-05,0118,01,NORTHLAND COMMUNITY SCHOOLS,0 ,0,District Totals: ,11,CASS,05,3.33,1.00,0.00,2.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,2.00,50.95,2.26,2.00,12.00,12.48,0.66,21.55
04-05,0129,01,MONTEVIDEO,0 ,0,District Totals: ,12,CHIPPEWA,06W,5.00,1.00,0.00,3.00,0.00,1.00,0.00,0.50,0.00,0.00,1.33,1.00,1.00,1.00,1.00,5.51,2.67,104.02,1.33,4.20,25.19,19.09,2.82,51.39
04-05,0138,01,NORTH BRANCH,0 ,0,District Totals: ,13,CHISAGO,07E,11.50,1.00,1.00,4.00,3.00,1.00,1.50,1.00,1.00,0.00,7.77,3.00,3.67,2.00,4.00,1.00,5.80,196.60,1.86,6.93,57.01,29.41,2.94,98.45
