SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
15-16,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,Aitkin                                            ,3,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,2,0.2,0,0,0,0,0,0,0,0.2,0,0,0,28,0,0.2,0,0,0,0
15-16,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,Totals                                            ,1,Aitkin                                            ,3,86.56,23.6,62.96,0,0,0,0,0,1,0,0,23.6,61.96,2.8,14,21,13.6,16.09,18.29,10.28,2,3.3,0,37,48.99,0,0,41,3,14,8.2,27.19,24.19,9.98
15-16,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,3,38.7,16.2,22.5,0,0,0,0,0,1,0,0,16.2,21.5,0,15,8.8,5.4,5.09,7.33,8.08,1,2,0,15.2,23.33,0,0,42,0,8.8,2,9.73,12.09,6.08
15-16,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,2,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,3,43.06,7,36.06,0,0,0,0,0,0,0,0,7,36.06,2,13,10,8,9,10.96,2,1,1.1,0,17,25.66,0,0,41,3,5,4,15.66,12.1,3.3
15-16,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,4,90,AITKIN CHILDREN'S CENTER CENSUS                   ,1,Aitkin                                            ,3,3.8,0,3.8,0,0,0,0,0,0,0,0,0,3.8,0.8,6,1.8,0,2,0,0,0,0,0,3.8,0,0,0,34,0,0,2,1.8,0,0
15-16,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,6,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,3,0.8,0.2,0.6,0,0,0,0,0,0,0,0,0.2,0.6,0,18,0.2,0.2,0,0,0.2,0,0.2,0,0.8,0,0,0,54,0,0,0.2,0,0,0.6
15-16,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,0,0,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,27,Hennepin                                          ,11,47.63,16.61,31.02,0,0,0,0.32,0,0,3,2,13.61,28.7,3.95,12,13.13,6.3,3.44,7.83,9.93,4,2,3.42,19.54,24.67,0,0,45,0.1,3.3,5.13,9.87,15.43,13.8
15-16,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,0,0,Totals                                            ,27,Hennepin                                          ,11,2693.79,728.52,1965.27,11.31,17.09,20.75,80.22,15.97,44.52,54.9,113.47,613.03,1699.61,186.71,12,958.7,415.67,221.46,448.54,309.63,181.44,113.05,69.86,1259.14,1277.55,19.71,27.87,42,139.78,379.48,380.56,605.09,745.25,443.63
15-16,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,21,50,SPECIAL EDUCATION                                 ,27,Hennepin                                          ,11,8,1,7,0,0,0,0,0,0,0,0,1,7,0,11,3,0,2,2,1,0,0,2,1,5,0,0,37,0,3,0,3,1,1
15-16,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11,32.47,4.25,28.22,0,0,0,1,0,0,0,1,4.25,26.22,0,13,5,6.8,2.03,7,8.64,2,1,0,15.05,17.42,0,0,43,0,3,4,8.8,14.67,2
