districtNumber,districtType,districtName,year,totalStudents,totalTeachers,studentTeacherRatio
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2017,730,66.7,10.944527736131933
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2017,50,9.68,5.1652892561983474
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2017,756,62.48,12.099871959026888
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2017,7598,523.58,14.511631460330799
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2017,8050,490.5,16.411824668705403
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2017,760,55.4,13.71841155234657
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2017,538,43.78,12.288716308816811
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2017,2344,151.8,15.441370223978918
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2017,2042,115,17.756521739130434
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2017,1510,110.96,13.608507570295602
0696,01,ELY PUBLIC SCHOOL DISTRICT,2017,1170,79.54,14.709580085491575
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2017,500,40.94,12.212994626282365
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2017,4282,234.3,18.275714895433204
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2017,4890,290.36,16.841162694586032
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2017,3700,218.12,16.96313955620759
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2017,3326,221.68,15.003608805485383
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2017,116,17.4,6.666666666666667
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2017,17094,1062.26,16.092105510891873
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2017,1018,71.02,14.33399042523233
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2017,3310,205.56,16.102354543685543
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2017,3622,230.04,15.74508781081551
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2017,16850,921.6,18.28342013888889
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2017,16608,1059.12,15.680942669385907
0721,01,NEW PRAGUE AREA SCHOOLS,2017,8312,468.58,17.738699901831065
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2017,5760,329.8,17.465130382049725
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2017,6248,345.06,18.106995884773664
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2017,26438,1394.42,18.959854276329942
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2017,2178,133.8,16.278026905829595
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2017,1480,97,15.257731958762887
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2017,2766,167.22,16.5410836024399
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2017,1900,127.44,14.908976773383554
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2017,19604,1459.62,13.430892972143436
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2017,2094,135.44,15.460720614294152
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2017,3462,246.66,14.035514473364145
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2017,7850,486.82,16.125056489051396
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2017,4150,252.02,16.466947067693038
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2017,1482,104.66,14.160137588381426
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2017,9952,622.68,15.982527140746452
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2017,1790,113.24000000000001,15.807135287884138
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2017,692,52.22,13.251627728839525
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2017,314,38.3,8.198433420365536
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2017,1406,103.1,13.637245392822503
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2017,1738,117.06,14.84708696395011
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2017,888,70.06,12.674850128461319
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2017,920,69.46,13.245033112582783
0801,01,BROWNS VALLEY PUBLIC SCHOOL DIST.,2017,284,24.48,11.601307189542483
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2017,844,72.06,11.712461837357758
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2017,1090,90.74,12.012342957901698
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2017,2498,173.92,14.362925482980682
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2017,1090,86.5,12.601156069364162
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2017,1014,81.76,12.402152641878669
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2017,1988,135.54,14.667256898332596
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2017,3822,239.48,15.959579088024054
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2017,12756,761.74,16.74587129466747
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2017,6504,379.06,17.158233525035616
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2017,37246,2342.82,15.897934967261675
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2017,16714,895.58,18.662766028718817
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2017,432,38.96,11.08829568788501
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2017,1088,81.58,13.336602108359893
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2017,2098,132.26,15.862694692272797
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2017,1332,100.02,13.317336532693462
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2017,600,48.02,12.494793835901707
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2017,292,32.62,8.951563458001226
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2017,1496,109.82,13.622291021671828
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2017,1944,131.16,14.821591948764867
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2017,6234,445.96,13.978832182258499
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2017,3680,220.38,16.698429984572105
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2017,11692,661.26,17.681396122553913
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2017,5050,257.84,19.585789636984178
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2017,1716,114.28,15.015750787539377
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2017,8188,489.44,16.729323308270676
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2017,3446,209.98,16.411086770168588
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2017,12572,707.32,17.77413334841373
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2017,1070,74.4,14.381720430107526
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2017,10158,561.42,18.09340600619857
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2017,3700,271.44,13.631005010315356
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2017,608,51.3,11.851851851851853
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2017,210,36.06,5.823627287853577
0916,06,NORTHEAST METRO 916,2017,1628,308.2,5.282284231018819
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2017,1368,233.6,5.856164383561644
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2017,84,10.18,8.25147347740668
0935,52,FERGUS FALLS AREA SP. ED. COOP.,2017,152,16.46,9.234507897934385
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2017,412,49.94,8.249899879855827
0966,51,WRIGHT TECHNICAL CENTER,2017,200,39.76,5.030181086519115
0991,83,REGION 6 AND 8-SW/WC SERVICE COOP,2017,356,82.24,4.328793774319067
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2017,56,13.62,4.1116005873715125
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2017,358,37.68,9.501061571125266
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2017,304,NA,NA
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2017,1760,124.88,14.093529788597055
2125,01,TRITON SCHOOL DISTRICT,2017,2294,164.38,13.955469035162428
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2017,1432,100.74,14.21481040301767
2135,01,MAPLE RIVER SCHOOL DISTRICT,2017,1906,136.28,13.985911358966833
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2017,1152,86.3,13.348783314020858
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2017,3954,305.86,12.927483162231086
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2017,1580,130.54,12.103569787038456
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2017,6792,395.78,17.161049067663853
2149,01,MINNEWASKA SCHOOL DISTRICT,2017,2490,175.24,14.209084683862132
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2017,1996,136.7,14.601316752011705
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2017,1970,145.48,13.54138025845477
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2017,1078,87.98,12.252784723800863
2164,01,DILWORTH-GLYNDON-FELTON,2017,3318,220.76,15.029896720420366
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2017,1912,154.1,12.407527579493836
2167,01,LAKEVIEW SCHOOL DISTRICT,2017,1314,101,13.009900990099009
2168,01,NRHEG SCHOOL DISTRICT,2017,1852,129.52,14.298949969116737
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2017,1462,102.28,14.294094642158779
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2017,2324,165.36,14.05418480890179
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2017,508,48.6,10.45267489711934
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2017,1670,97.32,17.159884915741884
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2017,1916,141.8,13.511988716502115
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2017,946,72.84,12.987369577155409
2180,01,MACCRAY SCHOOL DISTRICT,2017,1392,105.54,13.189312109152928
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2017,2554,168.02,15.200571360552313
2190,01,YELLOW MEDICINE EAST,2017,1488,112.36,13.24314702741189
2198,01,FILLMORE CENTRAL,2017,1264,96.22,13.136562045312825
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2017,580,46.34,12.516184721622787
2310,01,SIBLEY EAST SCHOOL DISTRICT,2017,2362,166.6,14.17767106842737
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2017,890,66.56,13.37139423076923
2342,01,WEST CENTRAL AREA,2017,1414,106.8,13.239700374531836
2358,01,TRI-COUNTY SCHOOL DISTRICT,2017,404,38.9,10.38560411311054
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2017,1282,87.62,14.631362702579318
2365,01,G.F.W.,2017,1474,119,12.38655462184874
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2017,1626,130.84,12.427392234790583
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2017,2062,138.44,14.894539150534527
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2017,1486,105.42,14.095996964522861
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2017,542,49.94,10.853023628354025
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2017,1344,101.86,13.19458079717259
2536,01,GRANADA HUNTLEY-EAST CHAIN,2017,490,38.8,12.628865979381445
2580,01,EAST CENTRAL SCHOOL DISTRICT,2017,1448,111.48,12.988876928597056
2609,01,WIN-E-MAC SCHOOL DISTRICT,2017,846,70.76,11.95590729225551
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2017,768,71.7,10.711297071129707
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2017,2318,163.04,14.217369970559373
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2017,2262,164.62,13.74073624103997
2711,01,MESABI EAST SCHOOL DISTRICT,2017,1826,121.94,14.974577661144826
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2017,3434,203.12,16.906262307995274
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2017,1736,137.6,12.616279069767442
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2017,974,77.44,12.577479338842975
2769,01,MORRIS AREA PUBLIC SCHOOLS,2017,2108,143.66,14.673534734790477
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2017,2416,151.32,15.966164419772667
2835,01,JANESVILLE-WALDORF-PEMBERTON,2017,1302,99.16,13.130294473578056
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2017,1502,121.32,12.380481371579295
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2017,1110,81.68,13.589618021547501
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2017,588,47.24,12.447078746824724
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2017,3220,205.32,15.682836547827781
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2017,2290,157.66,14.524927058226563
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2017,868,68.04,12.757201646090534
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2017,504,39.72,12.688821752265861
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2017,704,56.58,12.442559208200779
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2017,1386,112.1,12.363960749330955
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2017,1098,89.4,12.281879194630871
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2017,2342,163.72,14.30491082335695
2897,01,REDWOOD AREA SCHOOL DISTRICT,2017,2258,175.98,12.83100352312763
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2017,800,70.02,11.425307055127107
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2017,2982,197.52,15.097205346294045
2902,01,RTR PUBLIC SCHOOLS,2017,1140,94.18,12.104480781482268
2903,01,ORTONVILLE PUBLIC SCHOOLS,2017,1018,81.9,12.429792429792428
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2017,1538,114.58,13.422935939954616
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2017,3892,262.5,14.826666666666666
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2017,798,64.94,12.288266091777025
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2017,514,43.66,11.772789738891435
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2017,940,70.18,13.394129381590195
4000,07,CITY ACADEMY,2017,232,16.4,14.146341463414636
4001,07,BLUFFVIEW MONTESSORI,2017,400,39.4,10.152284263959391
4003,07,"NEW HEIGHTS SCHOOL, INC.",2017,256,28.8,8.88888888888889
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2017,372,39.32,9.460834181078331
4005,07,METRO DEAF SCHOOL,2017,176,43.18,4.075961093098657
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2017,438,38.32,11.430062630480167
4008,07,PACT CHARTER SCHOOL,2017,1292,71.6,18.044692737430168
4011,07,ATHLOS LEADERSHIP ACADEMY,2017,1816,118.8,15.286195286195287
4015,07,COMMUNITY OF PEACE ACADEMY,2017,1564,105.06,14.88673139158576
4016,07,WORLD LEARNER CHARTER SCHOOL,2017,416,27.3,15.238095238095237
4017,07,MINNESOTA TRANSITIONS CHARTER SCH,2017,6082,299.18,20.328898990574235
4018,07,ACHIEVE LANGUAGE ACADEMY,2017,914,62.06,14.727682887528198
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2017,2848,236.18,12.058599373359302
4025,07,CYBER VILLAGE ACADEMY,2017,506,41.04,12.329434697855751
4026,07,E.C.H.O. CHARTER SCHOOL,2017,212,21.48,9.869646182495345
4027,07,HIGHER GROUND ACADEMY,2017,1522,84.4,18.033175355450236
4029,07,ST. PAUL CITY SCHOOL,2017,938,59.04,15.887533875338754
4031,07,JENNINGS COMMUNITY SCHOOL,2017,182,12,15.166666666666666
4032,07,HARVEST PREPARATORY SCHOOL,2017,612,46,13.304347826086957
4035,07,LIFE PREP,2017,624,52.3,11.931166347992352
4036,07,FACE TO FACE ACADEMY,2017,160,13.8,11.594202898550725
4038,07,SOJOURNER TRUTH ACADEMY,2017,752,54,13.925925925925926
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2017,636,26,24.46153846153846
4043,07,MATH AND SCIENCE ACADEMY,2017,1016,61.34,16.56341701988914
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2017,356,31.62,11.258697027197975
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2017,170,20.08,8.466135458167331
4053,07,NORTH LAKES ACADEMY,2017,792,60.68,13.052076466710613
4054,07,LA CRESCENT MONTESSORI & STEM SCHOO,2017,106,15.06,7.038512616201859
4055,07,NERSTRAND CHARTER SCHOOL,2017,306,17,18
4056,07,ROSA PARKS CHARTER HIGH SCHOOL,2017,168,13.02,12.903225806451614
4057,07,EL COLEGIO CHARTER SCHOOL,2017,168,14.06,11.948790896159316
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,2017,382,34.98,10.920526014865638
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2017,398,28.36,14.033850493653032
4064,07,RIVERWAY LEARNING COMMUNITY CHTR,2017,190,15.02,12.649800266311585
4066,07,KATO PUBLIC CHARTER SCHOOL,2017,160,17.48,9.153318077803203
4067,07,AURORA CHARTER SCHOOL,2017,840,64.58,13.007122948281202
4068,07,EXCELL ACADEMY CHARTER,2017,812,63,12.88888888888889
4070,07,HOPE COMMUNITY ACADEMY,2017,1022,87.86,11.632142044161165
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2017,918,50,18.36
4074,07,AFSA HIGH SCHOOL,2017,742,65.56,11.317876754118364
4075,07,AVALON SCHOOL,2017,432,36.72,11.764705882352942
4077,07,TWIN CITIES INTERNATIONAL ELEM SCH,2017,1176,76,15.473684210526315
4078,07,MINNESOTA INTERNATIONAL MIDDLE CHTR,2017,886,50,17.72
4079,07,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,2017,322,16,20.125
4080,07,PILLAGER AREA CHARTER SCHOOL,2017,90,10.08,8.928571428571429
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2017,128,13.06,9.800918836140887
4082,07,BLUESKY CHARTER SCHOOL,2017,976,72.82,13.402911288107664
4083,07,RIDGEWAY COMMUNITY SCHOOL,2017,200,19.7,10.152284263959391
4084,07,NORTH SHORE COMMUNITY SCHOOL,2017,728,42.26,17.22669190724089
4085,07,HARBOR CITY INTERNATIONAL CHARTER,2017,472,37.24,12.67454350161117
4087,07,SAGE ACADEMY CHARTER SCHOOL,2017,148,13.46,10.99554234769688
4088,07,URBAN ACADEMY CHARTER SCHOOL,2017,608,38,16
4089,07,NEW CITY SCHOOL,2017,502,35.94,13.967723984418477
4090,07,PRAIRIE CREEK COMMUNITY SCHOOL,2017,360,27.12,13.274336283185841
4091,07,ARCADIA CHARTER SCHOOL,2017,248,22.56,10.99290780141844
4092,07,WATERSHED HIGH SCHOOL,2017,106,12,8.833333333333334
4093,07,NEW CENTURY ACADEMY,2017,254,23.44,10.83617747440273
4095,07,TRIO WOLF CREEK DISTANCE LEARNING,2017,352,22.48,15.658362989323843
4097,07,"PARTNERSHIP ACADEMY, INC.",2017,562,52,10.807692307692308
4098,07,NOVA CLASSICAL ACADEMY,2017,1892,94.46,20.029642176582684
4100,07,GREAT EXPECTATIONS,2017,196,18.72,10.47008547008547
4102,07,MINNESOTA INTERNSHIP CENTER,2017,1044,46.42,22.490305902628176
4103,07,HMONG COLLEGE PREP ACADEMY,2017,2938,209.44,14.027883880825058
4104,07,PALADIN CAREER AND TECH HIGH SCHOOL,2017,438,43.54,10.059715204409738
4105,07,GREAT RIVER SCHOOL,2017,860,67.9,12.665684830633284
4106,07,TREKNORTH HIGH SCHOOL,2017,494,31.46,15.702479338842975
4107,07,VOYAGEURS EXPEDITIONARY,2017,210,23.36,8.98972602739726
4110,07,PIM ARTS HIGH SCHOOL,2017,552,43.44,12.707182320441989
4111,07,AUGSBURG FAIRVIEW ACADEMY,2017,198,20.4,9.705882352941178
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2017,1154,73.52,15.696409140369969
4113,07,SPERO ACADEMY,2017,186,34.06,5.4609512624779795
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEM,2017,2044,130.06,15.715823466092573
4118,07,KALEIDOSCOPE CHARTER SCHOOL,2017,1128,88.74,12.711291413116971
4119,07,ACADEMIC ARTS HIGH SCHOOL,2017,206,15.9,12.955974842767295
4120,07,ST. CROIX PREPARATORY ACADEMY,2017,2322,134.3,17.289650037230082
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2017,694,49.36,14.059967585089142
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2017,2454,151.26,16.22372074573582
4124,07,BEACON ACADEMY,2017,776,66.94,11.592470869435315
4126,07,PRAIRIE SEEDS ACADEMY,2017,1520,80.4,18.90547263681592
4127,07,TEAM ACADEMY,2017,224,24.8,9.032258064516128
4131,07,METRO SCHOOLS CHARTER,2017,608,25.86,23.511214230471772
4132,07,TWIN CITIES ACADEMY,2017,1204,72.3,16.65283540802213
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2017,674,30,22.466666666666665
4137,07,SWAN RIVER MONTESSORI CHARTER SCH,2017,314,21.56,14.56400742115028
4138,07,MILROY AREA CHARTER SCHOOL,2017,84,10.68,7.865168539325843
4139,07,LOVEWORKS ACADEMY FOR ARTS,2017,410,22,18.636363636363637
4140,07,YINGHUA ACADEMY,2017,1610,93.78,17.167839624653443
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2017,1376,110.48,12.454742939898624
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCH,2017,1308,81.7,16.009791921664625
4144,07,GREEN ISLE COMMUNITY SCHOOL,2017,134,6.22,21.54340836012862
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2017,58,6.16,9.415584415584416
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2017,212,20.9,10.14354066985646
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2017,280,30.48,9.186351706036746
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2017,232,21.14,10.97445600756859
4152,07,TWIN CITIES GERMAN IMMERSION CHTR,2017,1040,64.14,16.214530714062988
4153,07,DUGSI ACADEMY,2017,590,54.16,10.893648449039883
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2017,192,28,6.857142857142857
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2017,1634,106.28,15.37448249905909
4160,07,SPECTRUM HIGH SCHOOL,2017,1338,74.66,17.921242968122154
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2017,318,27.9,11.397849462365592
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2017,236,25.1,9.40239043824701
4163,07,LEARNING FOR LEADERSHIP CHARTER,2017,480,40,12
4164,07,LAURA JEFFREY ACADEMY CHARTER,2017,244,23.8,10.252100840336134
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2017,304,22.4,13.571428571428573
4167,07,INTERNATIONAL SPANISH LANGUAGE ACAD,2017,634,34.42,18.41952353282975
4168,07,GLACIAL HILLS ELEMENTARY,2017,224,25.5,8.784313725490197
4169,07,STONEBRIDGE WORLD SCHOOL,2017,488,47,10.382978723404255
4170,07,HIAWATHA ACADEMIES,2017,2430,182.86,13.288854861642786
4171,07,NOBLE ACADEMY,2017,1684,92,18.304347826086957
4172,07,CLARKFIELD CHARTER SCHOOL,2017,106,12.4,8.548387096774194
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2017,46,7.72,5.958549222797927
4178,07,LINCOLN INTERNATIONAL SCHOOL,2017,232,26.8,8.656716417910447
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2017,1840,117.32,15.683600409137403
4183,07,LIONSGATE ACADEMY,2017,378,89.8,4.20935412026726
4184,07,ASPEN ACADEMY,2017,964,80.16,12.025948103792416
4185,07,DAVINCI ACADEMY,2017,882,64.38,13.69990680335508
4186,07,GLOBAL ACADEMY,2017,858,64.64,13.273514851485148
4187,07,NATURAL SCIENCE ACADEMY,2017,160,10,16
4188,07,COLOGNE ACADEMY,2017,1214,99.28,12.228041901692183
4189,07,BRIGHT WATER ELEMENTARY,2017,350,29.86,11.721366376423308
4190,07,RIVERS EDGE ACADEMY,2017,140,11.44,12.237762237762238
4191,07,KIPP MINNESOTA CHARTER SCHOOL,2017,504,40,12.6
4192,07,BEST ACADEMY,2017,1434,91.96,15.593736407133537
4193,07,COLLEGE PREPARATORY ELEMENTARY,2017,714,59.96,11.9079386257505
4194,07,CANNON RIVER STEM SCHOOL,2017,692,49.16,14.076484947111474
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2017,56,9.98,5.611222444889779
4198,07,DISCOVERY WOODS,2017,190,17.94,10.590858416945373
4199,07,PARNASSUS PREPARATORY CHARTER SCH,2017,2006,118.96,16.862811028917285
4200,07,STEP ACADEMY CHARTER SCHOOL,2017,556,36.12,15.393133997785162
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2017,266,17.24,15.4292343387471
4204,07,ROCHESTER STEM ACADEMY,2017,212,14,15.142857142857142
4205,07,HENNEPIN ELEMENTARY SCHOOL,2017,676,48.3,13.995859213250519
4207,07,VERMILION COUNTRY SCHOOL,2017,86,8.48,10.141509433962264
4208,07,NASHA SHKOLA CHARTER SCHOOL,2017,202,26,7.769230769230769
4209,07,MASTERY SCHOOL,2017,316,24,13.166666666666666
4210,07,UPPER MISSISSIPPI ACADEMY,2017,500,40.82,12.24889759921607
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2017,346,23.78,14.550042052144658
4213,07,PRODEO ACADEMY,2017,554,41.52,13.342967244701347
4215,07,SEJONG ACADEMY OF MINNESOTA,2017,242,23.92,10.11705685618729
4217,07,TECHNICAL ACADEMIES OF MINNESOTA,2017,304,17.32,17.551963048498845
4218,07,VENTURE ACADEMY,2017,514,36.8,13.967391304347828
4219,07,NORTHEAST COLLEGE PREP,2017,526,42,12.523809523809524
4220,07,AGAMIM CLASSICAL ACADEMY,2017,298,22,13.545454545454545
4221,07,DISCOVERY CHARTER SCHOOL,2017,384,27.16,14.138438880706921
4223,07,SAINT CLOUD MATH AND SCIENCE ACADEM,2017,336,31.66,10.612760581174983
4224,07,STAR OF THE NORTH ACADEMY CHARTER S,2017,326,26.12,12.480857580398162
4225,07,UNIVERSAL ACADEMY CHARTER SCHOOL,2017,586,22,26.636363636363637
4226,07,BDOTE LEARNING CENTER,2017,150,18.04,8.314855875831485
4227,07,ART AND SCIENCE ACADEMY,2017,506,43.36,11.669741697416974
4228,07,WOODBURY LEADERSHIP ACADEMY,2017,476,39.92,11.923847695390782
4229,07,JANE GOODALL ENVIRONMENTAL SCIENCE,2017,202,20.1,10.049751243781094
4230,07,MINNESOTA EXCELLENCE IN LEARNING AC,2017,410,30,13.666666666666666
