districtNumber,districtType,districtName,year,totalStudents,totalTeachers,studentTeacherRatio
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2018,1826,131.58,13.877488980088158
2125,01,TRITON SCHOOL DISTRICT,2018,2234,163.42,13.670297393219926
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2018,1414,100.4,14.083665338645417
2135,01,MAPLE RIVER SCHOOL DISTRICT,2018,1854,138.74,13.36312527028975
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2018,1114,88.44,12.596110357304388
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2018,4014,313.76,12.793217746047935
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2018,1538,122.96,12.508132726089785
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2018,6902,397.38,17.368765413458153
2149,01,MINNEWASKA SCHOOL DISTRICT,2018,2490,179.8,13.848720800889877
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2018,1888,133.62,14.129621314174525
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2018,2084,147.5,14.128813559322033
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2018,1050,84.86,12.373320763610653
2164,01,DILWORTH-GLYNDON-FELTON,2018,3296,224.34,14.691985379334938
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2018,1992,154.96,12.854930304594733
2167,01,LAKEVIEW SCHOOL DISTRICT,2018,1340,100.62,13.317431922083085
2168,01,NRHEG SCHOOL DISTRICT,2018,1784,133.12,13.401442307692307
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2018,1478,104.86,14.094983787907687
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2018,2238,158.38,14.130572041924486
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2018,486,46.68,10.411311053984576
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2018,1596,93.18,17.128139085640694
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2018,1912,141.52,13.510457885811192
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2018,986,76.26,12.929451875163911
2180,01,MACCRAY SCHOOL DISTRICT,2018,1434,112.42,12.75573741327166
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2018,2530,177.08,14.287327761463745
2190,01,YELLOW MEDICINE EAST,2018,1456,112.66,12.92384164743476
2198,01,FILLMORE CENTRAL,2018,1282,90.26,14.203412364280965
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2018,584,50.02,11.675329868052778
2310,01,SIBLEY EAST SCHOOL DISTRICT,2018,2390,167.78,14.244844439146501
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2018,900,62.7,14.354066985645932
2342,01,WEST CENTRAL AREA,2018,1512,110.92,13.631446087270104
2358,01,TRI-COUNTY SCHOOL DISTRICT,2018,396,40.48,9.782608695652174
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2018,1316,87.14,15.10213449621299
2365,01,G.F.W.,2018,1418,119.34,11.882017764370705
