SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
08-09,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,001,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,03                  ,37.87,17.20,20.67,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,17.20,19.87,3.80,14.00,6.80,6.60,7.67,8.20,1.00,3.00,3.60,0.00,22.60,15.07,0.00,0.00,42.00,3.00,3.00,4.40,10.87,11.00,5.60
08-09,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,002,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,03                  ,40.06,9.20,30.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.20,30.86,2.00,16.00,6.00,8.50,6.40,3.00,4.33,2.20,9.10,0.00,32.83,6.86,0.00,0.00,42.00,2.00,7.00,5.17,7.73,13.96,4.20
08-09,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,003,10,PALISADE ELEMENTARY                               ,1,Aitkin                                            ,03                  ,1.99,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,8.00,0.00,0.99,1.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,1.99,0.00
08-09,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,004,90,AITKIN CHILREN'S CENTER/ECFE                      ,1,Aitkin                                            ,03                  ,1.33,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.00,19.00,0.00,0.00,0.50,0.00,0.00,0.83,0.00,0.00,1.33,0.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,0.50,0.83
08-09,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,006,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,03                  ,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,17.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,56.00,0.00,0.00,0.00,0.00,0.00,0.40
08-09,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,000,0 ,Totals                                            ,1,Aitkin                                            ,03                  ,81.65,26.60,55.05,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,26.60,54.25,5.80,15.00,12.80,16.09,15.57,11.60,5.33,6.03,12.70,0.00,59.15,21.93,0.00,0.00,42.00,5.00,10.00,9.57,18.60,27.45,11.03
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,000,00,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,27,Hennepin                                          ,11                  ,145.09,30.08,115.01,0.00,0.00,0.00,0.00,0.00,1.01,1.00,11.43,29.08,102.57,14.40,12.00,40.48,20.63,27.55,34.98,7.49,6.90,7.06,0.00,85.66,56.43,0.00,3.00,49.00,4.00,5.00,12.67,25.72,38.66,59.04
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11                  ,26.80,2.20,24.60,0.00,0.00,0.00,2.00,0.00,0.00,0.20,2.00,2.00,20.60,1.00,16.00,3.00,2.00,3.00,7.60,2.00,6.20,3.00,0.00,9.60,17.00,0.00,0.20,43.00,0.00,3.00,1.00,10.00,7.20,5.60
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11                  ,15.91,1.00,14.91,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,13.91,0.00,24.00,0.00,0.00,2.00,1.70,3.50,6.00,2.71,0.00,2.70,13.21,0.00,0.00,50.00,0.00,0.00,0.00,4.50,6.50,4.91
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11                  ,27.93,0.73,27.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.73,25.20,0.00,18.00,0.00,0.50,5.10,6.80,6.53,6.00,2.00,0.00,9.30,17.63,0.00,1.00,47.00,0.00,0.00,0.50,7.40,13.03,7.00
