districtNumber,districtType,districtName,year,change
0001,01,Aitkin Public School District,2017,0.00850340136054422
0001,03,Minneapolis Public School District,2017,-0.00497840855956212
0002,01,Hill City Public School District,2017,0.0390070921985816
0004,01,Mcgregor Public School District,2017,0.0227743271221532
0006,03,South St. Paul Public School Dist.,2017,-0.00984805852560495
0011,01,Anoka-Hennepin Public School Dist.,2017,0.000644928283974822
0012,01,Centennial Public School District,2017,0.0107350529297749
0013,01,Columbia Heights Public School Dist,2017,0.00391330523780855
0014,01,Fridley Public School District,2017,0.0168381665107577
0015,01,St. Francis Public School District,2017,-0.0383099824868652
0016,01,Spring Lake Park Public Schools,2017,0.0173557937723328
0022,01,Detroit Lakes Public School Dist.,2017,0.0035702693930542
0023,01,Frazee-Vergas Public School Dist.,2017,0.0377562028047465
0025,01,Pine Point Public School District,2017,0.125
0031,01,Bemidji Public School District,2017,-0.00535270502771937
0032,01,Blackduck Public School District,2017,0.0171339563862928
0036,01,Kelliher Public School District,2017,0.0355871886120996
0038,01,Red Lake Public School District,2017,0.0435881238155401
0047,01,Sauk Rapids-Rice Public Schools,2017,0.0204037334490992
0051,01,Foley Public School District,2017,0.0151362260343088
0075,01,St. Clair Public School District,2017,0.0118168389955687
0077,01,Mankato Public School District,2017,0.0136674259681093
0081,01,Comfrey Public School District,2017,-0.0694444444444444
0084,01,Sleepy Eye Public School District,2017,0.0598705501618123
0085,01,Springfield Public School District,2017,-0.021505376344086
0088,01,New Ulm Public School District,2017,0.00855106888361045
0091,01,Barnum Public School District,2017,-0.050531914893617
0093,01,Carlton Public School District,2017,-0.0237068965517241
0094,01,Cloquet Public School District,2017,0.0217142857142857
0095,01,Cromwell-Wright Public Schools,2017,-0.105919003115265
0097,01,Moose Lake Public School District,2017,0.00746268656716418
0099,01,Esko Public School District,2017,0.0394632991318074
0100,01,Wrenshall Public School District,2017,0.104591836734694
0108,01,Central Public School District,2017,-0.000971817298347911
0110,01,Waconia Public School District,2017,0.0276689520078355
0111,01,Watertown-Mayer Public School Dist.,2017,-0.0247776365946633
0112,01,Eastern Carver County Public School,2017,0.0159439423174571
0113,01,Walker-Hackensack-Akeley Schl. Dist,2017,0.0883084577114428
0115,01,Cass Lake-Bena Public Schools,2017,-0.00579950289975145
0116,01,Pillager Public School District,2017,0.0539568345323741
0118,01,Northland Community Schools,2017,-0.0115942028985507
0129,01,Montevideo Public School District,2017,0
0138,01,North Branch Public Schools,2017,-0.0246788370520622
0139,01,Rush City Public School District,2017,-0.0217889908256881
0146,01,Barnesville Public School Dist.,2017,0.0187353629976581
0150,01,Hawley Public School District,2017,-0.00203873598369011
0152,01,Moorhead Public School District,2017,0.0202971025150757
0160,70,Minnesota State Academies,2017,0.0188679245283019
0162,01,Bagley Public School District,2017,0.00189393939393939
0166,01,Cook County Public Schools,2017,0.0174757281553398
0173,01,Mountain Lake Public Schools,2017,0.058252427184466
0177,01,Windom Public School District,2017,0.0056710775047259
0181,01,Brainerd Public School District,2017,-0.000148279952550415
0182,01,Crosby-Ironton Public School Dist.,2017,0.00951474785918173
0186,01,Pequot Lakes Public Schools,2017,0.0128956623681125
0191,01,Burnsville Public School District,2017,-0.024031007751938
0192,01,Farmington Public School District,2017,0.00799228331266364
0194,01,Lakeville Public School District,2017,0.00963963963963964
0195,01,Randolph Public School District,2017,-0.00755287009063444
0196,01,Rosemount-Apple Valley-Eagan,2017,0.018922297062704
0197,01,West St. Paul-Mendota Hts.-Eagan,2017,0.0303557617942769
0199,01,Inver Grove Heights Schools,2017,0.0151843817787419
0200,01,Hastings Public School District,2017,-0.00883152173913043
0203,01,Hayfield Public School District,2017,0
0204,01,Kasson-Mantorville School District,2017,0.0266299357208448
0206,01,Alexandria Public School District,2017,0.0361702127659574
0213,01,Osakis Public School District,2017,-0.0245098039215686
0227,01,Chatfield Public Schools,2017,0.00327153762268266
0229,01,Lanesboro Public School District,2017,0.0280112044817927
0238,01,Mabel-Canton Public School Dist.,2017,-0.0340909090909091
0239,01,Rushford-Peterson Public Schools,2017,-0.0152439024390244
0241,01,Albert Lea Public School District,2017,0.00933521923620934
0242,01,Alden-Conger Public School District,2017,0.0120724346076459
0252,01,Cannon Falls Public School District,2017,-0.000870322019147084
0253,01,Goodhue Public School District,2017,0.0289193302891933
0255,01,Pine Island Public School Dist.,2017,0.0399698340874811
0256,01,Red Wing Public School District,2017,0.016728624535316
0261,01,Ashby Public School District,2017,-0.00769230769230769
0264,01,Herman-Norcross School District,2017,-0.00892857142857143
0270,01,Hopkins Public School District,2017,-0.0150319988093466
0271,01,Bloomington Public School District,2017,0.0021559805024372
0272,01,Eden Prairie Public School District,2017,-0.00969341749323715
0273,01,Edina Public School District,2017,0.000116441546343735
0276,01,Minnetonka Public School District,2017,0.026352160692896
0277,01,Westonka Public School District,2017,0.0221571906354515
0278,01,Orono Public School District,2017,0.00457263454097784
0279,01,Osseo Public School District,2017,0.0176240516469535
0280,01,Richfield Public School District,2017,0.00589435502153707
0281,01,Robbinsdale Public School District,2017,0
0282,01,St. Anthony-New Brighton Schools,2017,-0.0114628820960699
0283,01,St. Louis Park Public School Dist.,2017,0.00232067510548523
0284,01,Wayzata Public School District,2017,0.035366478728857
0286,01,Brooklyn Center School District,2017,0.058846453624318
0287,06,Intermediate School District 287,2017,-0.0337662337662338
0288,06,Southwest Metro Intermediate 288,2017,0.111498257839721
0294,01,Houston Public School District,2017,-0.0127450980392157
0297,01,Spring Grove School District,2017,-0.0144927536231884
0299,01,Caledonia Public School District,2017,0.0144927536231884
0300,01,La Crescent-Hokah School District,2017,-0.0219106047326906
0306,01,Laporte Public School District,2017,0.0489296636085627
0308,01,Nevis Public School District,2017,-0.0206677265500795
0309,01,Park Rapids Public School District,2017,0.0197132616487455
0314,01,Braham Public School District,2017,-0.0013550135501355
0316,01,Greenway Public School District,2017,0.000919963201471941
0317,01,Deer River Public School District,2017,-0.00841219768664564
0318,01,Grand Rapids Public School District,2017,-0.000968288549987896
0319,01,Nashwauk-Keewatin School District,2017,0.0236593059936909
0330,01,Heron Lake-Okabena School District,2017,-0.0195439739413681
0332,01,Mora Public School District,2017,-0.0433996383363472
0333,01,Ogilvie Public School District,2017,0.054
0345,01,New London-Spicer School District,2017,0.0144927536231884
0347,01,Willmar Public School District,2017,0.0253308991328161
0356,01,Lancaster Public School District,2017,0.17877094972067
0361,01,International Falls School District,2017,-0.0402245088868101
0362,01,Littlefork-Big Falls School Dist.,2017,-0.023598820058997
0363,01,South Koochiching School District,2017,0.0689655172413793
0378,01,Dawson-Boyd Public School District,2017,0.0476190476190476
0381,01,Lake Superior Public School Dist.,2017,0.00360230547550432
0390,01,Lake Of The Woods School District,2017,-0.0155210643015521
0391,01,Cleveland Public School District,2017,0.0272373540856031
0397,52,Lake Agassiz Special Ed. Coop.,2017,0.231884057971014
0398,52,Midwest Special Education Coop.,2017,0.25
0402,01,Hendricks Public School District,2017,0.212121212121212
0403,01,Ivanhoe Public School District,2017,0.120879120879121
0404,01,Lake Benton Public School District,2017,0.0285714285714286
0413,01,Marshall Public School District,2017,0.0390447308567096
0414,01,Minneota Public School District,2017,0.0207156308851224
0415,01,Lynd Public School District,2017,-0.0121212121212121
0423,01,Hutchinson Public School District,2017,-0.00338066260987153
0424,01,Lester Prairie Public School Dist.,2017,0.0316027088036117
0432,01,Mahnomen Public School District,2017,-0.00918836140888208
0435,01,Waubun-Ogema-White Earth Public Sch,2017,0.0491803278688525
0441,01,Marshall County Central Schools,2017,0.0371287128712871
0447,01,Grygla Public School District,2017,-0.0457516339869281
0458,01,Truman Public School District,2017,-0.0728155339805825
0463,01,Eden Valley-Watkins School District,2017,0.0112474437627812
0465,01,Litchfield Public School District,2017,-0.0122186495176849
0466,01,Dassel-Cokato Public School Dist.,2017,-0.013215859030837
0473,01,Isle Public School District,2017,-0.0218818380743982
0477,01,Princeton Public School District,2017,0.0250959551225273
0480,01,Onamia Public School District,2017,-0.0582822085889571
0482,01,Little Falls Public School District,2017,0.00437898089171975
0484,01,Pierz Public School District,2017,-0.0067001675041876
0485,01,Royalton Public School District,2017,-0.00106044538706257
0486,01,Swanville Public School District,2017,0.102941176470588
0487,01,Upsala Public School District,2017,-0.00806451612903226
0492,01,Austin Public School District,2017,0.0643375334096984
0495,01,Grand Meadow Public School District,2017,0.0203619909502262
0497,01,Lyle Public School District,2017,-0.0231023102310231
0499,01,Leroy-Ostrander Public Schools,2017,0
0500,01,Southland Public School District,2017,-0.0368663594470046
