DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
12-13,69,St. Louis                                    ,0709,01,DULUTH PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,275,277,105,120,97,85,422,324,3796,3519,4695,4325,1705,9020,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,EC,0,0,0,0,0,0,0,0,8,4,8,4,0,12,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,KG,0,0,0,0,1,0,0,2,16,13,17,15,3,32,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,01,0,1,0,0,0,0,2,0,21,24,23,25,3,48,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,02,0,0,0,0,0,0,0,0,18,18,18,18,0,36,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,03,0,3,0,0,0,1,0,0,22,14,22,18,4,40,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,04,1,0,1,0,0,0,1,0,17,11,20,11,3,31,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,05,1,3,0,0,1,0,1,0,17,20,20,23,6,43,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,06,1,2,0,0,0,0,2,0,17,16,20,18,5,38,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,07,1,1,0,0,0,0,1,0,15,22,17,23,3,40,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,08,4,2,0,0,0,1,2,0,24,19,30,22,9,52,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,09,7,3,0,0,0,0,5,0,19,9,31,12,15,43,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,10,7,0,0,0,0,0,8,0,26,18,41,18,15,59,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,11,5,3,0,0,1,0,11,0,18,13,35,16,20,51,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,12,4,1,0,0,0,0,9,0,21,14,34,15,14,49,District,EC-12,, ,
12-13,69,St. Louis                                    ,0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT ,000, ,03,03,All Grades,31,19,1,0,3,2,42,2,259,215,336,238,100,574,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,EC,0,0,0,0,0,0,1,0,16,9,17,9,1,26,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,KG,0,1,2,2,3,2,3,0,58,73,66,78,13,144,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,01,0,0,2,0,2,2,2,1,58,53,64,56,9,120,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,02,2,0,0,0,3,5,3,1,55,61,63,67,14,130,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,03,0,1,2,0,2,3,2,0,57,60,63,64,10,127,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,04,0,1,2,2,1,3,0,1,65,51,68,58,10,126,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,05,0,0,1,2,1,0,1,0,57,44,60,46,5,106,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,06,0,0,5,2,3,0,0,1,63,41,71,44,11,115,District,EC-12,, ,
12-13,70,Scott                                        ,0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,000, ,11,11,07,0,0,2,3,4,0,0,1,58,54,64,58,10,122,District,EC-12,, ,
