dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
98-99,0294,01,HOUSTON,12,28,10,0,0,0,0,0,1,0,0,22,18,22,19,1,41,10
98-99,0294,01,HOUSTON,KG,28,10,0,0,0,0,0,0,0,0,20,14,20,14,0,34,10
98-99,0294,01,HOUSTON,PK,28,10,0,0,0,0,0,0,0,0,2,5,2,5,0,7,10
98-99,0297,01,SPRING GROVE,01,28,10,0,0,0,0,0,0,0,0,10,23,10,23,0,33,10
98-99,0297,01,SPRING GROVE,02,28,10,0,0,0,0,0,0,0,0,21,16,21,16,0,37,10
98-99,0297,01,SPRING GROVE,03,28,10,0,0,0,0,0,0,0,0,12,9,12,9,0,21,10
98-99,0297,01,SPRING GROVE,04,28,10,0,1,0,0,0,0,0,0,17,18,17,19,1,36,10
98-99,0297,01,SPRING GROVE,05,28,10,0,0,0,0,0,0,0,0,16,19,16,19,0,35,10
98-99,0297,01,SPRING GROVE,06,28,10,0,1,0,0,0,0,0,0,22,17,22,18,1,40,10
98-99,0297,01,SPRING GROVE,07,28,10,0,0,0,0,0,0,0,0,19,21,19,21,0,40,10
98-99,0297,01,SPRING GROVE,08,28,10,0,0,0,0,0,0,0,0,14,23,14,23,0,37,10
98-99,0297,01,SPRING GROVE,09,28,10,0,0,0,1,0,0,0,0,20,12,20,13,1,33,10
98-99,0297,01,SPRING GROVE,10,28,10,0,0,0,0,0,0,0,1,20,16,20,17,1,37,10
98-99,0297,01,SPRING GROVE,11,28,10,0,0,2,0,0,0,0,0,13,22,15,22,2,37,10
98-99,0297,01,SPRING GROVE,12,28,10,0,0,0,1,0,0,0,0,15,13,15,14,1,29,10
98-99,0297,01,SPRING GROVE,KG,28,10,0,0,0,0,0,0,0,0,15,15,15,15,0,30,10
98-99,0299,01,CALEDONIA,01,28,10,0,0,0,0,0,0,0,0,35,27,35,27,0,62,10
98-99,0299,01,CALEDONIA,02,28,10,0,0,0,0,0,0,1,1,32,26,33,27,2,60,10
98-99,0299,01,CALEDONIA,03,28,10,0,0,0,0,0,0,1,0,34,32,35,32,1,67,10
98-99,0299,01,CALEDONIA,04,28,10,0,0,0,0,0,0,0,0,38,24,38,24,0,62,10
98-99,0299,01,CALEDONIA,05,28,10,0,0,0,0,0,0,0,1,40,32,40,33,1,73,10
98-99,0299,01,CALEDONIA,06,28,10,0,0,0,0,0,0,0,0,41,30,41,30,0,71,10
98-99,0299,01,CALEDONIA,07,28,10,0,0,1,2,0,0,0,0,36,38,37,40,3,77,10
98-99,0299,01,CALEDONIA,08,28,10,0,0,0,1,0,0,0,0,65,43,65,44,1,109,10
98-99,0299,01,CALEDONIA,09,28,10,0,0,1,1,0,0,0,0,48,43,49,44,2,93,10
98-99,0299,01,CALEDONIA,10,28,10,0,0,1,0,1,0,0,0,61,56,63,56,2,119,10
98-99,0299,01,CALEDONIA,11,28,10,0,0,0,0,0,0,0,0,48,52,48,52,0,100,10
98-99,0299,01,CALEDONIA,12,28,10,0,0,1,0,0,0,0,0,38,45,39,45,1,84,10
