districtNumber,districtType,districtName,year,totalStudents
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2018,372
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2018,5238
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2018,442
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2018,303
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2018,284
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2018,434
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2018,329
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2018,386
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2018,2255
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2018,585
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2018,139
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2018,3544
0531,01,BYRON PUBLIC SCHOOL DISTRICT,2018,2079
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2018,1124
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2018,2117
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2018,17791
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2018,425
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2018,2812
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2018,391
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2018,558
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2018,880
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2018,1469
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2018,545
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2018,758
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2018,235
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2018,2034
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2018,437
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2018,1643
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2018,423
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2018,226
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2018,1241
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2018,1917
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2018,460
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2018,272
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2018,642
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2018,11647
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2018,10767
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2018,7768
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2018,8744
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2018,37297
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2018,365
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2018,30
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2018,395
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2018,3777
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2018,4083
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2018,376
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2018,236
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2018,1179
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2018,980
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2018,732
0696,01,ELY PUBLIC SCHOOL DISTRICT,2018,600
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2018,250
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2018,2149
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2018,2460
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2018,1812
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2018,1686
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2018,57
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2018,8844
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2018,507
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2018,1654
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2018,1839
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2018,8710
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2018,8380
0721,01,NEW PRAGUE AREA SCHOOLS,2018,4232
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2018,2902
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2018,3091
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2018,13461
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2018,1085
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2018,748
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2018,1319
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2018,933
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2018,10096
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2018,1084
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2018,1788
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2018,3941
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2018,2100
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2018,734
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2018,4976
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2018,911
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2018,350
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2018,159
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2018,721
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2018,862
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2018,478
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2018,559
0801,01,BROWNS VALLEY PUBLIC SCHOOL DIST.,2018,164
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2018,404
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2018,540
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2018,1243
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2018,551
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2018,514
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2018,1015
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2018,1954
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2018,6261
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2018,3305
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2018,18924
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2018,8444
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2018,204
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2018,597
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2018,1065
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2018,647
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2018,307
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2018,162
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2018,733
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2018,956
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2018,3090
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2018,1893
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2018,5821
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2018,2521
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2018,847
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2018,4168
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2018,1724
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2018,6335
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2018,570
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2018,4995
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2018,1830
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2018,307
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2018,143
0916,06,NORTHEAST METRO 916,2018,864
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2018,704
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2018,45
0935,52,FERGUS FALLS AREA SP. ED. COOP.,2018,85
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2018,205
0966,51,WRIGHT TECHNICAL CENTER,2018,94
0991,83,REGION 6 AND 8-SW/WC SERVICE COOP,2018,210
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2018,23
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2018,159
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2018,103
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2018,913
2125,01,TRITON SCHOOL DISTRICT,2018,1117
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2018,707
2135,01,MAPLE RIVER SCHOOL DISTRICT,2018,927
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2018,557
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2018,2007
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2018,769
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2018,3451
2149,01,MINNEWASKA SCHOOL DISTRICT,2018,1245
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2018,944
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2018,1042
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2018,525
2164,01,DILWORTH-GLYNDON-FELTON,2018,1648
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2018,996
2167,01,LAKEVIEW SCHOOL DISTRICT,2018,670
2168,01,NRHEG SCHOOL DISTRICT,2018,892
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2018,739
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2018,1119
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2018,243
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2018,798
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2018,956
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2018,493
2180,01,MACCRAY SCHOOL DISTRICT,2018,717
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2018,1265
2190,01,YELLOW MEDICINE EAST,2018,728
2198,01,FILLMORE CENTRAL,2018,641
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2018,292
2310,01,SIBLEY EAST SCHOOL DISTRICT,2018,1195
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2018,450
2342,01,WEST CENTRAL AREA,2018,756
2358,01,TRI-COUNTY SCHOOL DISTRICT,2018,198
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2018,658
2365,01,G.F.W.,2018,709
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2018,832
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2018,1031
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2018,725
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2018,213
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2018,699
2536,01,GRANADA HUNTLEY-EAST CHAIN,2018,278
2580,01,EAST CENTRAL SCHOOL DISTRICT,2018,745
2609,01,WIN-E-MAC SCHOOL DISTRICT,2018,481
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2018,331
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2018,1230
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2018,1142
2711,01,MESABI EAST SCHOOL DISTRICT,2018,992
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2018,1767
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2018,889
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2018,473
2769,01,MORRIS AREA PUBLIC SCHOOLS,2018,1026
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2018,1224
2835,01,JANESVILLE-WALDORF-PEMBERTON,2018,679
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2018,820
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2018,603
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2018,304
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2018,1636
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2018,1122
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2018,438
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2018,239
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2018,341
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2018,703
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2018,563
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2018,1127
2897,01,REDWOOD AREA SCHOOL DISTRICT,2018,1146
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2018,369
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2018,1478
2902,01,RTR PUBLIC SCHOOLS,2018,584
2903,01,ORTONVILLE PUBLIC SCHOOLS,2018,498
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2018,739
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2018,1925
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2018,401
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2018,298
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2018,465
4000,07,CITY ACADEMY,2018,112
4001,07,BLUFFVIEW MONTESSORI,2018,209
4003,07,"NEW HEIGHTS SCHOOL, INC.",2018,132
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2018,185
4005,07,METRO DEAF SCHOOL,2018,97
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2018,218
4008,07,PACT CHARTER SCHOOL,2018,658
4011,07,ATHLOS LEADERSHIP ACADEMY,2018,904
4015,07,COMMUNITY OF PEACE ACADEMY,2018,791
4016,07,WORLD LEARNER CHARTER SCHOOL,2018,218
4017,07,MINNESOTA TRANSITIONS CHARTER SCH,2018,3278
4018,07,ACHIEVE LANGUAGE ACADEMY,2018,448
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2018,1399
4025,07,CYBER VILLAGE ACADEMY,2018,243
4026,07,E.C.H.O. CHARTER SCHOOL,2018,115
4027,07,HIGHER GROUND ACADEMY,2018,775
4029,07,ST. PAUL CITY SCHOOL,2018,476
4031,07,JENNINGS COMMUNITY SCHOOL,2018,96
4032,07,HARVEST PREPARATORY SCHOOL,2018,262
4035,07,LIFE PREP,2018,307
4036,07,FACE TO FACE ACADEMY,2018,79
4038,07,SOJOURNER TRUTH ACADEMY,2018,379
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2018,324
4043,07,MATH AND SCIENCE ACADEMY,2018,512
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2018,153
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2018,95
4053,07,NORTH LAKES ACADEMY,2018,405
4054,07,LA CRESCENT MONTESSORI & STEM SCHOO,2018,56
4055,07,NERSTRAND CHARTER SCHOOL,2018,149
4056,07,ROSA PARKS CHARTER HIGH SCHOOL,2018,72
4057,07,EL COLEGIO CHARTER SCHOOL,2018,92
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,2018,192
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2018,208
4064,07,RIVERWAY LEARNING COMMUNITY CHTR,2018,112
4066,07,KATO PUBLIC CHARTER SCHOOL,2018,71
4067,07,AURORA CHARTER SCHOOL,2018,423
4068,07,EXCELL ACADEMY CHARTER,2018,454
4070,07,HOPE COMMUNITY ACADEMY,2018,536
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2018,509
4074,07,AFSA HIGH SCHOOL,2018,348
4075,07,AVALON SCHOOL,2018,240
4077,07,TWIN CITIES INTERNATIONAL ELEM SCH,2018,581
4078,07,MINNESOTA INTERNATIONAL MIDDLE CHTR,2018,431
4079,07,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,2018,152
4080,07,PILLAGER AREA CHARTER SCHOOL,2018,36
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2018,59
4082,07,BLUESKY CHARTER SCHOOL,2018,453
4083,07,RIDGEWAY COMMUNITY SCHOOL,2018,95
4084,07,NORTH SHORE COMMUNITY SCHOOL,2018,363
4085,07,HARBOR CITY INTERNATIONAL CHARTER,2018,231
